Massachusetts,マサチューセッツ州
"St. Clair County, Michigan",セントクレア郡・(ミシガン州)
Gold Glove Award,ゴールドグラブ賞
Museum of Contemporary Art Chicago,シカゴ現代美術館
2 (New York City Subway service),ニューヨーク市地下鉄2系統
Denali,デナリ
"Barry County, Michigan",バリー郡・(ミシガン州)
"Lassen County, California",ラッセン郡・(カリフォルニア州)
"La Salle County, Texas",ラサール郡・(テキサス州)
Miss Universe,ミス・ユニバース
Raytheon,レイセオン
Mercury Records,マーキュリー・レコード
Utah Jazz,ユタ・ジャズ
L'Enfant Plaza station,ランファン・プラザ駅
Marvel Comics,マーベル・コミック
Yunaska Island,ユナスカ島
"Lexington, North Carolina",レキシントン・(ノースカロライナ州)
Mount Rainier,レーニア山
"Fulton, Alabama",フルトン・(アラバマ州)
Hollywood Walk of Fame,ハリウッド・ウォーク・オブ・フェーム
"Florence, Alabama",フローレンス・(アラバマ州)
"Page, Arizona",ペイジ・(アリゾナ州)
American Dream,アメリカン・ドリーム
Epic Records,エピック・レコード
Unification Church,世界平和統一家庭連合
"Manatee County, Florida",マナティ郡・(フロリダ州)
Providence Park,プロビデンス・パーク
Hewlett-Packard,ヒューレット・パッカード
"Pelican, Alaska",ペリカン・(アラスカ州)
"Clear Creek County, Colorado",クリアクリーク郡・(コロラド州)
"Somervell County, Texas",サマーヴェル郡・(テキサス州)
50 Greatest Players in NBA History,NBA50周年記念オールタイムチーム
First Avenue (Manhattan),1番街・(マンハッタン)
Puerto Rico at the 2012 Summer Olympics,2012年ロンドンオリンピックのプエルトリコ選手団
Tenth Avenue (Manhattan),10番街・(マンハッタン)
Third Avenue,3番街
"Carver County, Minnesota",カーバー郡・(ミネソタ州)
"Clayton County, Iowa",クレイトン郡・(アイオワ州)
"Erie County, New York",エリー郡・(ニューヨーク州)
Checker Marathon,チェッカー・マラソン
Disneyland,ディズニーランド
"Cayuga County, New York",カユガ郡・(ニューヨーク州)
"Greene County, New York",グリーン郡・(ニューヨーク州)
Harlem,ハーレム・(ニューヨーク市)
Niagara River,ナイアガラ川
"Columbia County, Georgia",コロンビア郡・(ジョージア州)
"Elbert County, Colorado",エルバート郡・(コロラド州)
Detroit Red Wings,デトロイト・レッドウィングス
Hollywood/Highland station,ハリウッド/ハイランド駅
Pacific Division (NBA),パシフィック・ディビジョン・(NBA)
Parallels (company),パラレルス
"Garfield County, Colorado",ガーフィールド郡・(コロラド州)
Saturn Award for Best Horror Film,サターンホラー映画賞
2009 World Series,2009年のワールドシリーズ
"Autauga County, Alabama",オートーガ郡・(アラバマ州)
Zappos,Zappos.com
Palouse,パルース・(地形)
Professional wrestling,プロレス
"Cook County, Minnesota",クック郡・(ミネソタ州)
"Irion County, Texas",イリオン郡・(テキサス州)
Boston Celtics,ボストン・セルティックス
5th Marine Division (United States),第5海兵師団・(アメリカ軍)
"El Dorado County, California",エルドラド郡・(カリフォルニア州)
"San Mateo County, California",サンマテオ郡
"Albany County, New York",オールバニ郡・(ニューヨーク州)
"El Paso County, Texas",エルパソ郡・(テキサス州)
"Shelburn, Indiana",シェルバーン・(インディアナ州サリバン郡)
New Orleans Mint,ニューオーリンズ造幣局
"Yuba County, California",ユバ郡
"Carson County, Texas",カーソン郡・(テキサス州)
"Crosby County, Texas",クロスビー郡・(テキサス州)
Battle of the Little Bighorn,リトルビッグホーンの戦い
Hummer,ハマー・(自動車)
2012 American Le Mans Series,2012年のアメリカン・ル・マン・シリーズ
Rockstar Games,Rockstar・Games
Lexington Avenue,レキシントン・アベニュー・(マンハッタン)
Madison Avenue,マディソン・アベニュー
"Monterey County, California",モントレー郡・(カリフォルニア州)
General Dynamics F-16 Fighting Falcon,F-16・(戦闘機)
Academy Award for Best Actor,アカデミー主演男優賞
"Rockland County, New York",ロックランド郡
"Union Square, Manhattan",ユニオンスクエア・(ニューヨーク市)
Academy Award for Best Adapted Screenplay,アカデミー脚色賞
"Andrews County, Texas",アンドリューズ郡・(テキサス州)
"Rains County, Texas",レインズ郡・(テキサス州)
"Rockwall County, Texas",ロックウォール郡・(テキサス州)
National Cryptologic Museum,アメリカ国立暗号博物館
"Winnebago County, Illinois",ウィネベーゴ郡・(イリノイ州)
"Wood County, Texas",ウッド郡・(テキサス州)
"Maverick County, Texas",マーベリック郡・(テキサス州)
"Washakie County, Wyoming",ワシャキー郡・(ワイオミング州)
"Adams County, Nebraska",アダムズ郡・(ネブラスカ州)
"Jones County, Mississippi",ジョーンズ郡・(ミシシッピ州)
"Syracuse, New York",シラキュース・(ニューヨーク州)
Apollo 15,アポロ15号
Indianapolis Colts,インディアナポリス・コルツ
Adventist Development and Relief Agency,ADRA
American Registry for Internet Numbers,ARIN
ASCI Red,ASCI・Red
Waterloo station (Indiana),ウォータールー駅・(インディアナ州)
Level 3 Communications,Level・3・Communications
Mad (magazine),MAD・(雑誌)
Adams–Onís Treaty,アダムズ＝オニス条約
"Columbus, Georgia",コロンバス・(ジョージア州)
Seattle SuperSonics,シアトル・スーパーソニックス
"Macon County, Illinois",メイコン郡・(イリノイ州)
"Madison County, New York",マディソン郡・(ニューヨーク州)
Rikers Island,ライカーズ島
Utah Stars,ユタ・スターズ
"Choctaw County, Mississippi",チョクトー郡・(ミシシッピ州)
Johnston Atoll,ジョンストン島
Los Angeles Lakers,ロサンゼルス・レイカーズ
Shenandoah Valley,シェナンドー・バレー
Mariana Islands,マリアナ諸島
Metro-Goldwyn-Mayer,メトロ・ゴールドウィン・メイヤー
Potomac River,ポトマック川
"New Castle County, Delaware",ニューキャッスル郡
"La Plata County, Colorado",ラプラタ郡・(コロラド州)
"Las Animas County, Colorado",ラスアニマス郡
Metro-North Railroad,メトロノース鉄道
Utah Territory,ユタ準州
Black Panther Party,ブラックパンサー党
"Bernalillo County, New Mexico",ベルナリオ郡・(ニューメキシコ州)
"Trinity County, California",トリニティ郡・(カリフォルニア州)
Geographic Names Information System,地名情報システム
"Van Buren County, Michigan",ヴァンビューレン郡・(ミシガン州)
Battle of Five Forks,ファイブフォークスの戦い
170th Infantry Brigade (United States),第170歩兵旅団・(アメリカ軍)
UPN,United・Paramount・Network
Boston Massacre,ボストン虐殺事件
Roswell incident,ロズウェル事件
"Park County, Wyoming",パーク郡・(ワイオミング州)
"Pierce County, Washington",ピアース郡・(ワシントン州)
Steinway %26 Sons,スタインウェイ・アンド・サンズ
De La Salle Brothers,ラ・サール会
"Lancaster County, Pennsylvania",ランカスター郡・(ペンシルベニア州)
1973 United States Grand Prix,1973年アメリカグランプリ
Mauna Loa,マウナ・ロア
"South Kingstown, Rhode Island",サウスキングスタウン・(ロードアイランド州)
1969 United States Grand Prix,1969年アメリカグランプリ
Ames Research Center,エイムズ研究センター
Apollo 16,アポロ16号
CMT (American TV channel),カントリー・ミュージック・テレビジョン
Blue Ridge Mountains,ブルーリッジ山脈
Portland Trail Blazers,ポートランド・トレイルブレイザーズ
Dunlop Tyres,ダンロップ
Miami Heat,マイアミ・ヒート
Apollo 7,アポロ7号
"Galisteo, New Mexico",ガリステオ
"Day County, South Dakota",デイ郡・(サウスダコタ州)
Detroit street circuit,デトロイト市街地コース
New Market train wreck,ニューマーケット鉄道事故
Pratt %26 Whitney,プラット・アンド・ホイットニー
Giants Stadium,ジャイアンツ・スタジアム
Glacier National Park (U.S.),グレイシャー国立公園
Abenaki,アベナキ族
"Arapahoe County, Colorado",アラパホ郡・(コロラド州)
"Clarksville, Tennessee",クラークスビル・(テネシー州)
"Cleburne County, Alabama",クリバーン郡・(アラバマ州)
"Crawford County, Kansas",クロウフォード郡・(カンザス州)
"Greeley County, Kansas",グリーリー郡・(カンザス州)
"Old Orchard Beach, Maine",オールドオーチャードビーチ
Legoland Discovery Centre,レゴランド・ディスカバリー・センター
Northwest Ordinance,北西部条例・(アメリカ)
Cessna,セスナ
Devils Tower,デビルスタワー
California Current,カリフォルニア海流
"Grant County, Washington",グラント郡・(ワシントン州)
"Jim Hogg County, Texas",ジムホッグ郡・(テキサス州)
Go! (airline),Go!
"Skamania County, Washington",スカマニア郡
Sprint Corporation,スプリント・(企業)
Target Center,ターゲット・センター
Disney Junior,ディズニージュニア
Toon Disney,トゥーン・ディズニー
Guadalupe Mountains National Park,グアダルーペ山脈国立公園
Antelope Canyon,アンテロープ・キャニオン
National Park Service,アメリカ合衆国国立公園局
"Adams County, Indiana",アダムズ郡・(インディアナ州)
Panama–Pacific International Exposition,サンフランシスコ万国博覧会
7 Up,セブンアップ・(飲料)
Sybase,Sybase
XYZ Affair,XYZ事件
Aviation/LAX station,アヴィエーション/ラックス駅
Jean Hersholt Humanitarian Award,ジーン・ハーショルト友愛賞
Mohegan,モヒガン族の人々
Pennsylvania Railroad class GG1,ペンシルバニア鉄道GG1形電気機関車
Recording Industry Association of America,アメリカレコード協会
2001 American Le Mans Series,2001年のアメリカン・ル・マン・シリーズ
2008 United States motorcycle Grand Prix,2008年のアメリカグランプリ・(ロードレース)
American LaFrance,アメリカン・ラフランス
American Motors Corporation,アメリカン・モーターズ
Beta Israel,ベタ・イスラエル
Apollo 9,アポロ9号
Continental Basketball Association,コンチネンタル・バスケットボール・アソシエーション
Enola Gay,エノラ・ゲイ
Exploratorium,エクスプロラトリアム
Food and Drug Administration,アメリカ食品医薬品局
Walt Disney World,ウォルト・ディズニー・ワールド・リゾート
"Macon, Georgia",メイコン・(ジョージア州)
International Bank for Reconstruction and Development,国際復興開発銀行
Gettysburg Address,ゲティスバーグ演説
"Redmond, Washington",レドモンド・(ワシントン州)
"Naperville, Illinois",ネイパービル・(イリノイ州)
Citigroup,シティグループ
ConocoPhillips,コノコフィリップス
Black Hills,ブラックヒルズ
Market Street (San Francisco),マーケット・ストリート・(サンフランシスコ)
Montgomery bus boycott,モンゴメリー・バス・ボイコット事件
American Music Awards,アメリカン・ミュージック・アワード
Magic: The Gathering,マジック:ザ・ギャザリング
Honolulu Marathon,ホノルルマラソン
"Perry County, Alabama",ペリー郡・(アラバマ州)
Athletics at the 1984 Summer Olympics,1984年ロサンゼルスオリンピックの陸上競技
Capital One Arena,キャピタル・ワン・アリーナ
Golden Gate,ゴールデンゲート海峡
Stanley Cup,スタンレー・カップ
Walters Art Museum,ウォルターズ美術館
Procter %26 Gamble,プロクター・アンド・ギャンブル
Spacewatch,スペースウォッチ
Coast Starlight,コースト・スターライト
United States Army Central,第3軍・(アメリカ軍)
1967–68 ABA season,1967-68・ABAシーズン
1989–90 NBA season,1989-1990シーズンのNBA
1991 CONCACAF Gold Cup,1991・CONCACAFゴールドカップ
Athletics at the 1904 Summer Olympics – Men's 100 metres,1904年セントルイスオリンピックの陸上競技・男子100m
Vertica,Vertica
"Larchmont, New York",ラーチモント・(ニューヨーク州)
Motorola,モトローラ
Operation Ivy,アイビー作戦
"Ralls County, Missouri",ラルズ郡・(ミズーリ州)
2003 US Open – Women's singles,2003年全米オープン女子シングルス
83rd Academy Awards,第83回アカデミー賞
ECHL,ECHL
81st Academy Awards,第81回アカデミー賞
Electric chair,電気椅子
6th Marine Division (United States),第6海兵師団・(アメリカ軍)
