"Мигунова, Елена Сергеевна",옐레나 미구노바
Николай Александрович Тихонов,니콜라이 티호노프
Виктор Владимирович Хряпа,빅토르 흐랴파
"Моисеев, Андрей Сергеевич",안드레이 모이세예프
"Дерлюк, Роман Олегович",로만 데를류크
Александр Борисович Замолодчиков,알렉산드르 자몰롯치코프
Андрей Владимирович Гаврилов,안드레이 가브릴로프
"Грязев, Андрей Владимирович",안드레이 그랴제프
"Гречин, Андрей Владимирович",안드레이 그레친
Олег Штефанко,올레그 스테판
Александр Грищук,알렉산데르 그리추크
Виктор Анатольевич Бут,빅토르 부트
Алишер Бурханович Усманов,알리셰르 우스마노프
"Таймазов, Артур Борисович",아르투르 타이마조프
"Горбунова, Татьяна Игоревна",타티야나 고르부노바
"Кривошлыков, Денис Иванович",데니스 크리보실리코프
Рустем Казаков,루스탐 카자코프
"Марков, Андрей Викторович",안드레이 마르코프
Андрей Викторович Назаров,안드레이 나자로프
"Кваша, Олег Владимирович",올레크 크바샤
Александр Владимирович Руцкой,알렉산드르 루츠코이
Сергей Николаевич Литвинов,세르게이 리트비노프
Владимир Сергеевич Быстров,블라디미르 비스트로프
"Танич, Михаил Исаевич",미하일 타니치
Дмитрий Андреевич Муратов,드미트리 무라토프
Николай Иванович Меркушкин,니콜라이 메르쿠시킨
"Кулик, Илья Александрович",일리야 쿨리크
Александр Юрьевич Пичушкин,알렉산드르 피추시킨
Виктор Борисович Христенко,빅토르 흐리스텐코
Валерий Владимирович Поляков,발레리 폴랴코프
Василий Дмитриевич Кузнецов,바실리 쿠즈네초프
Владислав Александрович Третьяк,블라디슬라프 트레티야크
Владимир Васильевич Гранат,블라디미르 그라나트
"Малышев, Антон Владимирович",안톤 말리 셰프
Вагиз Искандарович Галиулин,바기즈 갈리울린
Денис Борисович Глушаков,데니스 글루샤코프
Евгений Владимирович Малкин,예브게니 말킨
Анатолий Эдуардович Сердюков,아나톨리 세르듀코프
"Ягудин, Алексей Константинович",알렉세이 야구딘
Виталий Леонтьевич Мутко,비탈리 뭇코
Магомедали Магомедович Магомедов,마고메달리 마고메도프
"Коновалов, Александр Владимирович",알렉산드르 코노발로프
"Перова, Ксения Витальевна",크세니야 페로바
Павел Григорьевич Чухрай,파벨 추크레이
Андрей Юрьевич Окуньков,안드레이 오쿤코프
Олег Дерипаска,올레크 데리파스카
Леонид Вениаминович Келдыш,레오니트 켈디시
Юлий Черсанович Ким,율리 킴
Мария Андреевна Миронова,마리아 미로노바
Сергей Михайлович Макаров,세르게이 마카로프
Александр Могильный,알렉산드르 모길니
Вячеслав Владимирович Буравчиков,뱌체슬라프 부랍치코프
Маргарита Сергеевна Алийчук,마르가리타 알리추크
"Шкурихина, Дарья Валерьевна",다리야 시쿠리히나
"Каменский, Валерий Викторович",발레리 카멘스키
"Зуева, Наталья Владимировна",나탈리야 주예바
Михаил Сергеевич Соломенцев,미하일 솔로멘체프
"Фалин, Валентин Михайлович",발렌틴 팔린
Али Дадашевич Алханов,알루 알하노프
Валерий Николаевич Брумель,발레리 브루멜
Николай Семёнович Кардашёв,니콜라이 카르다쇼프
