Deutschland,ドイツ
Pelikan Holding,ペリカン・(企業)
Barntrup,バルントルプ
Griechische Sprache,ギリシア語
Bundesautobahn 21,アウトバーン・21
Bundesautobahn 23,アウトバーン・23
Bundesautobahn 29,アウトバーン・29
Bundesautobahn 27,アウトバーン・27
Bundesautobahn 28,アウトバーン・28
Bundesautobahn 24,アウトバーン・24
Bundesautobahn 26,アウトバーン・26
Bundesautobahn 25,アウトバーン・25
Kasachische Sprache,カザフ語
Bundesautobahn 30,アウトバーン・30
Blomberg,ブロムベルク
Frankfurter Allgemeine Zeitung,フランクフルター・アルゲマイネ・ツァイトゥング
Kriegsverbrechergefängnis Spandau,シュパンダウ戦犯刑務所
Zentraler Omnibusbahnhof Berlin,ベルリン中央自動車駅
Steinheim (Westfalen),シュタインハイム・(ヴェストファーレン)
Aserbaidschanische Sprache,アゼルバイジャン語
Hoya,ホーヤ
Bernau bei Berlin,ベルナウ・バイ・ベルリン
ProSieben,プロジーベン
Burk,ブルク
Eurowings,ユーロウイングス
AC Schnitzer,ACシュニッツァー
Abt Sportsline,アプト・スポーツライン
Gebrüder Faller,ファーラー
Kalkar,カルカー
Tagesspiegel,ターゲス・シュピーゲル
V. SS-Freiwilligen-Gebirgskorps,第5SS山岳軍団
Landkreis Oberallgäu,オーバーアルゴイ郡
Landkreis Ostallgäu,オストアルゴイ郡
Zwingenberg (Baden),ツヴィンゲンベルク・(バーデン)
Zwilling J. A. Henckels,ツヴィリング・J.A.・ヘンケルス
Museum Brandhorst,ブランドホルスト博物館
Zaza-Sprache,ザザキ語
Landkreis Lindau (Bodensee),リンダウ郡
Zwingenberg (Bergstraße),ツヴィンゲンベルク・(ベルクシュトラーセ)
Siegesstele des Asarhaddon,エサルハドンの戦勝記念碑
Deutsche Telekom,ドイツテレコム
BASF,BASF
Eberswalde,エーベルスヴァルデ
Deutsche Bahn,ドイツ鉄道
Lufthansa,ルフトハンザドイツ航空
Metro AG,メトロ・(小売業)
Schmiechen,シュミーヒェン
Westdeutscher Rundfunk Köln,西部ドイツ放送
Neu-Eichenberg,ノイ＝アイヒェンベルク
Bundesamt für Sicherheit in der Informationstechnik,BSI・(ドイツ)
Bedburg,ベトブルク
Bitburg,ビットブルク
Landkreis Neustadt an der Waldnaab,ノイシュタット・アン・デア・ヴァルトナープ郡
Landkreis Tirschenreuth,ティルシェンロイト郡
Aindling,アイントリング
IPPNW,核戦争防止国際医師会議
11. Panzergrenadierdivision,第11装甲擲弾兵師団・(ドイツ連邦陸軍)
Alpina Burkard Bovensiepen,アルピナ
Haribo,ハリボー
Hamburger Kunsthalle,ハンブルク美術館
Flughafen Berlin-Tegel,ベルリン・テーゲル空港
Flughafen Berlin-Tempelhof,ベルリン・テンペルホーフ空港
DIN 31635,DIN・31635
Deutsche Eishockey Liga,ドイツ・アイスホッケーリーガ
Bach (Musikerfamilie),バッハ家
Flughafen Berlin-Schönefeld,ベルリン・シェーネフェルト空港
Eurovision Song Contest 2011,ユーロビジョン・ソング・コンテスト2011
Landkreis Neu-Ulm,ノイ＝ウルム郡
Landkreis Unterallgäu,ウンターアルゴイ郡
Landkreis Augsburg,アウクスブルク郡
Landkreis Günzburg,ギュンツブルク郡
Landkreis Dillingen an der Donau,ディリンゲン・アン・デア・ドナウ郡
Landkreis Aichach-Friedberg,アイヒャッハ＝フリートベルク郡
Landkreis Donau-Ries,ドナウ＝リース郡
Ustersbach,ウスタースバッハ
Deutsche Tourenwagen-Masters 2007,2007年のドイツツーリングカー選手権
Kabardiner,カバルド人
Holzheim (Landkreis Donau-Ries),ホルツハイム・(ドナウ＝リース郡)
Landkreis Amberg-Sulzbach,アンベルク＝ズルツバッハ郡
Landkreis Schwandorf,シュヴァンドルフ郡
Neandertal,ネアンデル谷
Ampelmännchen,アンペルマン
Gendarmenmarkt,ジャンダルメンマルクト
Landkreis Main-Spessart,マイン＝シュペッサルト郡
Landkreis Aschaffenburg,アシャッフェンブルク郡
Landkreis Regen,レーゲン郡
Landkreis Straubing-Bogen,シュトラウビング＝ボーゲン郡
Landkreis Dingolfing-Landau,ディンゴルフィング＝ランダウ郡
Landkreis Rottal-Inn,ロッタル＝イン郡
Landkreis Kelheim,ケールハイム郡
Landkreis Landshut,ランツフート郡
Landkreis Miltenberg,ミルテンベルク郡
Landkreis Rhön-Grabfeld,レーン＝グラープフェルト郡
Landkreis Bad Kissingen,バート・キッシンゲン郡
Landkreis Deggendorf,デッゲンドルフ郡
Landkreis Freyung-Grafenau,フライウング＝グラーフェナウ郡
Landkreis Cham,カーム郡
Landkreis Neumarkt in der Oberpfalz,ノイマルクト・イン・デア・オーバープファルツ郡
Landkreis Wunsiedel im Fichtelgebirge,ヴンジーデル・イム・フィヒテルゲビルゲ郡
Landkreis Regensburg,レーゲンスブルク郡
Landkreis Hof,ホーフ郡
Landkreis Kulmbach,クルムバッハ郡
Landkreis Kronach,クローナハ郡
Evangelische Kirche in Deutschland,ドイツ福音主義教会
Sommer-Paralympics 1972,1972年ハイデルベルクパラリンピック
FC Ingolstadt 04,FCインゴルシュタット04
Stuttgarter Kickers,シュトゥットガルト・キッカーズ
FC Rot-Weiß Erfurt,FCロートヴァイス・エアフルト
Staatsbibliothek zu Berlin,ベルリン州立図書館
Landkreis Eichstätt,アイヒシュテット郡
Landkreis Passau,パッサウ郡
Landkreis Pfaffenhofen an der Ilm,プファッフェンホーフェン・アン・デア・イルム郡
Landkreis Neuburg-Schrobenhausen,ノイブルク＝シュローベンハウゼン郡
Landkreis Dachau,ダッハウ郡
Landkreis Freising,フライジング郡
Landkreis Fürstenfeldbruck,フュルステンフェルトブルック郡
Landkreis Starnberg,シュタルンベルク郡
Landkreis Landsberg am Lech,ランツベルク・アム・レヒ郡
Berliner Schloss,ベルリン王宮
Landkreis Bayreuth,バイロイト郡
Landkreis Coburg,コーブルク郡
Rot Weiss Ahlen,ロート・ヴァイス・アーレン
Märklin,メルクリン
SV Waldhof Mannheim,SVヴァルトホーフ・マンハイム
Lufthansa Regional,ルフトハンザ・リージョナル
Rudolf-Harbig-Stadion,グリュックスガス・シュタディオン
Neue Pinakothek,ノイエ・ピナコテーク
Wuppertaler SV,ヴッパーターラーSVボルシア
Landkreis Lichtenfels,リヒテンフェルス郡
Landkreis Bamberg,バンベルク郡
Landkreis Forchheim,フォルヒハイム郡
Landkreis Erlangen-Höchstadt,エアランゲン＝ヘーヒシュタット郡
Landkreis Nürnberger Land,ニュルンベルガー・ラント郡
Kirchwalsede,キルヒヴァルゼーデ
Neunkirchen am Brand,ノインキルヒェン・アム・ブラント
6. Panzergrenadierdivision (Bundeswehr),第6装甲擲弾兵師団・(ドイツ連邦陸軍)
Gesundheitssystem Deutschlands,ドイツの医療
Eiterfeld,アイターフェルト
Landkreis Roth,ロート郡
Landkreis Weißenburg-Gunzenhausen,ヴァイセンブルク＝グンツェンハウゼン郡
Landkreis Ansbach,アンスバッハ郡
Landkreis Fürth,フュルト郡
Landkreis Würzburg,ヴュルツブルク郡
Landkreis Kitzingen,キッツィンゲン郡
Landkreis Neustadt an der Aisch-Bad Windsheim,ノイシュタット・アン・デア・アイシュ＝バート・ヴィンツハイム郡
Landkreis Schweinfurt,シュヴァインフルト郡
Landkreis Haßberge,ハースベルゲ郡
Flughafen Hannover,ハノーファー空港
Thomaskirche (Leipzig),聖トーマス教会
Hohenberg an der Eger,ホーエンベルク・アン・デア・エーゲル
Inchenhofen,インヒェンホーフェン
Schlacht bei Breitenfeld (1631),ブライテンフェルトの戦い・(1631年)
Landkreis Weilheim-Schongau,ヴァイルハイム＝ショーンガウ郡
Landkreis Garmisch-Partenkirchen,ガルミッシュ＝パルテンキルヒェン郡
Landkreis Traunstein,トラウンシュタイン郡
Großer Preis von Deutschland 1973,1973年ドイツグランプリ
Landkreis Rosenheim,ローゼンハイム郡
Abchasen,アブハズ人
Großer Preis von Deutschland 1970,1970年ドイツグランプリ
Großer Preis von Deutschland 1969,1969年ドイツグランプリ
Großer Preis von Deutschland 1972,1972年ドイツグランプリ
Großer Preis von Deutschland 1967,1967年ドイツグランプリ
Großer Preis von Deutschland 1971,1971年ドイツグランプリ
"Zionskirche (Dresden, 1912)",シオン教会・(ドレスデン)
Hopferau,ホプフェラウ
Landkreis Miesbach,ミースバッハ郡
Landkreis Bad Tölz-Wolfratshausen,バート・テルツ＝ヴォルフラーツハウゼン郡
Zähringer,ツェーリンゲン家
Affing,アフィング
Altertheim,アルタートハイム
Landkreis Erding,エルディング郡
Landkreis Mühldorf am Inn,ミュールドルフ・アム・イン郡
Landkreis Ebersberg,エーバースベルク郡
Landkreis München,ミュンヘン郡
Landkreis Berchtesgadener Land,ベルヒテスガーデナー・ラント郡
Landkreis Altötting,アルトエッティング郡
ATS Racing Team,ATS・(F1・ドイツ)
Unterfranken,ウンターフランケン
Rial Racing,リアル・(F1)
12. Panzerdivision (Bundeswehr),第12装甲師団・(ドイツ連邦陸軍)
Großer Preis von Deutschland 1968,1968年ドイツグランプリ
Tagebau Garzweiler,ガルツヴァイラー鉱山
Dreiländerbrücke,三カ国橋
Wasserkuppe,ヴァッサークッペ
Todtenweis,トッテンヴァイス
Odeonsplatz,オデオン広場
Bayerische Oberlandbahn,バイエルン・オーバーラント鉄道
Oberfranken,オーバーフランケン
Mittelfranken,ミッテルフランケン
Oberpfalz,オーバープファルツ行政管区
Großer Preis von Deutschland 1953,1953年ドイツグランプリ
Großer Preis von Deutschland 1980,1980年ドイツグランプリ
Großer Preis von Deutschland 1951,1951年ドイツグランプリ
Großer Preis von Deutschland 1952,1952年ドイツグランプリ
Harkort’sche Fabrik,ハーコート
Ilmenau,イルメナウ
Weißwurstäquator,ヴァイスヴルストの赤道
Olympische Sommerspiele 1972/Radsport,1972年ミュンヘンオリンピックの自転車競技
Hochschule für Musik Würzburg,ヴュルツブルク音楽大学
Großer Preis von Deutschland 1978,1978年ドイツグランプリ
Großer Preis von Deutschland 1985,1985年ドイツグランプリ
Englischer Garten (München),エングリッシャーガルテン
Oberbayern,オーバーバイエルン
Niederbayern,ニーダーバイエルン行政管区
Schwaben (Bayern),シュヴァーベン行政管区
Straßenbahn Kiel,キール市電
Panzergrenadierbrigade 31,第31装甲擲弾兵旅団・(ドイツ連邦陸軍)
Pinakothek der Moderne,ピナコテーク・デア・モデルネ
Rehling,レーリング
Großer Preis von Deutschland 1976,1976年ドイツグランプリ
Großer Preis von Deutschland 1982,1982年ドイツグランプリ
Großer Preis von Deutschland 1987,1987年ドイツグランプリ
Großer Preis von Deutschland 1988,1988年ドイツグランプリ
Brandis,ブランディス
Großer Preis von Deutschland 1984,1984年ドイツグランプリ
BMW M,BMW・M
Transparency International,トランスペアレンシー・インターナショナル
Bewährungsbataillon,執行猶予大隊
Großer Preis von Deutschland 1981,1981年ドイツグランプリ
Großer Preis von Deutschland 1983,1983年ドイツグランプリ
Großer Preis von Deutschland 1986,1986年ドイツグランプリ
Großer Preis von Deutschland 2000,2000年ドイツグランプリ
Liste der Städte in Deutschland,ドイツの市町村一覧
Saarländisches Staatstheater,ザールラント州立劇場
Bundesautobahn 31,アウトバーン・31
Bundesautobahn 33,アウトバーン・33
Tour de France 1906,ツール・ド・フランス1906
Tour de France 1908,ツール・ド・フランス1908
Frankenau,フランケナウ
Bundesautobahn 37,アウトバーン・37
Planet Core Productions,プラネットコア・プロダクション
Essingen (Württemberg),エッシンゲン・(ヴュルテンベルク)
Bad Laer,バート・ラーエル
Tour de France 1909,ツール・ド・フランス1909
BMW Motorrad,BMWモトラッド
Tour de France 1907,ツール・ド・フランス1907
7. Panzerdivision (Bundeswehr),第7装甲師団・(ドイツ連邦陸軍)
Heeresflugplatz Altenstadt,アルテンシュタット陸軍飛行場
Kloster Sankt Emmeram,聖エメラム修道院
2. Panzerarmee (Wehrmacht),第2装甲軍
Ihagee,イハゲー
Grebenstein,グレーベンシュタイン
Bundesautobahn 63,アウトバーン・63
Bundesautobahn 59,アウトバーン・59
Bundesautobahn 64,アウトバーン・64
Bundesautobahn 61,アウトバーン・61
Bundesautobahn 62,アウトバーン・62
Bundesautobahn 60,アウトバーン・60
Bundesautobahn 65,アウトバーン・65
Alte Mainbrücke,アルテ・マイン橋
Rheingau,ラインガウ
Abenberg,アーベンベルク
Bundesautobahn 44,アウトバーン・44
Bundesautobahn 43,アウトバーン・43
Bundesautobahn 42,アウトバーン・42
Bundesautobahn 38,アウトバーン・38
Bundesautobahn 39,アウトバーン・39
Bundesautobahn 40,アウトバーン・40
Bundesautobahn 46,アウトバーン・46
Bundesautobahn 48,アウトバーン・48
Bundesautobahn 57,アウトバーン・57
Bundesautobahn 45,アウトバーン・45
Bundesautobahn 49,アウトバーン・49
Bundesautobahn 52,アウトバーン・52
Regnum Teutonicum,ドイツ王国
Red Bull Arena (Leipzig),ツェントラールシュタディオン
Falknerei,鷹狩
Polling (bei Weilheim),ポリング・(ヴァイルハイム＝ショーンガウ郡)
Städtische Galerie im Lenbachhaus,レンバッハハウス美術館
Potsdam-Institut für Klimafolgenforschung,ポツダム気候影響研究所
Bayern-Rundfahrt,バイエルン一周
Handball-Bundesliga,ハンドボール・ブンデスリーガ
Romrod,ロムロート
Pleinfeld,プラインフェルト
Treuchtlingen,トロイヒトリンゲン
Schwebebahn Dresden,ドレスデン・サスペンション鉄道
Oberdeutsche Dialekte,上部ドイツ語
Ökologisch-Demokratische Partei,エコロジー民主党
Bundesautobahn 67,アウトバーン・67
Bundesautobahn 71,アウトバーン・71
Bundesautobahn 72,アウトバーン・72
Bundesautobahn 66,アウトバーン・66
Bundesautobahn 70,アウトバーン・70
Schauenburg,シャウエンブルク
Internationales Paralympisches Komitee,国際パラリンピック委員会
Schweich,シュヴァイヒ
Bahnstrecke Magdeburg–Leipzig,マグデブルク-ライプツィヒ線
Aichach,アイヒャッハ
Sielenbach,ジーレンバッハ
Feldherrnhalle,フェルトヘルンハレ
Groß-Gerau,グロース＝ゲーラウ
Pöttmes,ペットメス
Manthey-Racing,マンタイ・レーシング
Radio-Sinfonieorchester Stuttgart des SWR,シュトゥットガルト放送交響楽団
13. Panzergrenadierdivision (Bundeswehr),第13装甲擲弾兵師団・(ドイツ連邦陸軍)
Vietnamesen,キン族
Kahl am Main,カール・アム・マイン
Heidesheim (Ingelheim am Rhein),ハイデスハイム・アム・ライン
24-Stunden-Rennen auf dem Nürburgring,ニュルブルクリンク24時間レース
DTM,ドイツツーリングカー選手権
Tour de Sol,ツール・ド・ソル
Burghausen,ブルクハウゼン・(アルトエッティング)
Füssen,フュッセン
719. Infanterie-Division (Wehrmacht),第719歩兵師団・(ドイツ国防軍)
Öhringen,エーリンゲン
Großer Preis von Deutschland 1958,1958年ドイツグランプリ
Großer Preis von Deutschland 1954,1954年ドイツグランプリ
Großer Preis von Deutschland 1957,1957年ドイツグランプリ
Blohm %2B Voss,ブローム・ウント・フォス
Großer Preis von Deutschland 1956,1956年ドイツグランプリ
Poststadion,ポストシュタディオン
Schirn Kunsthalle Frankfurt,シルン美術館
Marienplatz (München),マリエン広場
Phoenix Contact,フエニックス・コンタクト
Lahntal,ラーンタール
Bahnstrecke Kempten (Allgäu)–Neu-Ulm,ケンプテン・-・ノイウルム線
