Silbo gomero,シルボ
Vuelta a España 2011,ブエルタ・ア・エスパーニャ2011
Semana Trágica (España),悲劇の一週間
Renfe Cercanías AM,スペイン狭軌鉄道
Covadonga,コバドンガ
Dolmen de Menga,メンガ支石墓
Cuevas de la Araña,アラニア洞窟
Tour de Francia 1999,ツール・ド・フランス1999
Liga Asobal,リーガASOBAL
Distrito de Sans-Montjuich,サンツ・ムンジュイック
Atapuerca (Burgos),アタプエルカ
Anexo:Abierto de Estados Unidos 2010 (individual masculino),2010年全米オープン男子シングルス
Sevilla Atlético,セビージャ・アトレティコ
Vuelta a España 1999,ブエルタ・ア・エスパーニャ1999
Marrachí,マラチ
Vía Domitia,ドミティア街道
Unión Progreso y Democracia,連合・進歩・民主主義
Anexo:Ríos de España,スペインの河川の一覧
Tour de Francia 1974,ツール・ド・フランス1974
Construcciones y Auxiliar de Ferrocarriles,CAF・(企業)
Supercopa de Europa 1992,1992・UEFAスーパーカップ
The Sporting News,スポーティングニュース
Hegoalde,スペイン・バスク
Tratado de Zaragoza,サラゴサ条約
Pena de muerte en España,スペインにおける死刑
Recopa de Europa 1961-62,UEFAカップウィナーズカップ・1961-62
Las Ventas,ラス・ベンタス闘牛場
Anexo:Voleibol en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのバレーボール競技
Sociedad Deportiva Leioa,SDレイオア
Volta a Cataluña,ボルタ・ア・カタルーニャ
Tour de Francia 1991,ツール・ド・フランス1991
Orden de Santiago,サンティアゴ騎士団
España en los Juegos Olímpicos,オリンピックのスペイン選手団
Orden de Calatrava,カラトラバ騎士団
Recopa de Europa 1996-97,UEFAカップウィナーズカップ・1996-97
Vuelta a España 2010,ブエルタ・ア・エスパーニャ2010
Anexo:Lucha en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのレスリング競技
Comisión Internacional para la Conservación del Atún Atlántico,大西洋まぐろ類保存国際委員会
Sangenjo,サンシェンショ
Primera División de España 1940-41,リーガ・エスパニョーラ1940-1941
Estadio Martínez Valero,エスタディオ・マヌエル・マルティネス・バレーロ
Club Deportivo San Roque de Lepe,CDサン・ロケ・デ・レペ
Club Hielo Jaca,CHハカ
Club Hockey Hielo Txuri Urdin,CHHチュリ・ウルディン
Club Balonmano Ciudad de Logroño,クルブ・バロンマーノ・シウダー・デ・ログローニョ
Club Voleibol Teruel,CVテルエル
Lucha contra el terrorismo en el País Vasco,バスク紛争
Primera División de España 1933-34,リーガ・エスパニョーラ1933-1934
Primera División de España 1932-33,リーガ・エスパニョーラ1932-1933
Club Atlético de Tetuán,アトレティコ・テトゥアン
Saunier Duval (equipo ciclista),ジェオックス・TMC
Negreira,ネグレイラ
El Pino (La Coruña),オ・ピノ
Bembibre,ベンビブレ
Mondoñedo,モンドニェード
Seis Naciones Femenino 2002,2002年女子シックス・ネイションズ・チャンピオンシップ
Ría de Arosa,リア・デ・アロウサ
Usera,ウセラ
Federación Anarquista Ibérica,イベリア・アナーキスト連盟
Castillo Sohail,ソアイル城
Tour de Francia 1971,ツール・ド・フランス1971
Cadena SER,カデーナ・セール
Línea de alta velocidad Madrid-Zaragoza-Barcelona-Frontera francesa,マドリード-バルセロナ-フランス国境高速鉄道線
Masters de Madrid,ムチュア・マドリード・オープン
Górliz,ゴルリス
Calçotada,カルスターダ
Paralelo 40 norte,北緯40度線
Educación en España,スペインの教育
Paralelo 37 norte,北緯37度線
Banco Sabadell,サバデル銀行
Rieju,リエフ
San Millán de la Cogolla,サン・ミジャン・デ・ラ・コゴージャ
Palas de Rey,パラス・デ・レイ
Sangüesa,サングエサ
Comarca de Orense,コマルカ・デ・オウレンセ
Club Voleibol Logroño,CVムリーリョ
Guerras carlistas,カルリスタ戦争
Arquitectura mudéjar de Aragón,アラゴンのムデハル様式の建築物
Línea 8 (Metro de Barcelona),バルセロナ地下鉄8号線
Ifni,イフニ
Plaza de España (Sevilla),スペイン広場・(セビリア)
Villaviciosa,ビリャビシオサ
Partido Socialista Obrero Español de Andalucía,アンダルシーア社会労働党
La Baña (La Coruña),ア・バーニャ
Río Deva (Guipúzcoa),デバ川
Bermeo Futbol Taldea,ベルメオFT
Estadio El Collao,エスタディオ・エル・コジャオ
Camper (empresa),カンペール・(企業)
Campeonato de Cataluña de fútbol,カタルーニャ選手権
Vilallonga del Campo,ビラリョンガ・ダル・カム
Unión Popular de Langreo,UPラングレオ
Observatorio de Calar Alto,カラル・アルト天文台
Puentedeume,ポンテデウメ
Unió Esportiva Cornellà,UEコルネジャ
Río Besós,バゾス川
Basauri,バサウリ
Trabadelo,トラバデーロ
Batalla de Covadonga,コバドンガの戦い
Gran Premio de España de Motociclismo de 2009,2009年のスペイングランプリ・(ロードレース)
Gran Premio de la Comunidad Valenciana de 2008,2008年のバレンシアグランプリ
Gran Premio de la Comunidad Valenciana de 2009,2009年のバレンシアグランプリ
Anexo:Islas de España,スペインの島の一覧
Cesta punta,ハイアライ
África Occidental Española,スペイン領西アフリカ
Sucesión al trono de España,スペイン王位継承順位
Racing Club de Ferrol,ラシン・フェロル
Recopa de Europa 1971-72,UEFAカップウィナーズカップ・1971-72
Recopa de Europa 1978-79,UEFAカップウィナーズカップ・1978-79
Cabo de Creus,クレウス岬
El Hierro,エル・イエロ島
Desamortización española,永代所有財産解放令
Comarca del Deza,コマルカ・デ・デサ
Comarca de Verín,コマルカ・デ・ベリン
Comarca de Viana,コマルカ・デ・ビアナ
Comarca de Carballino,コマルカ・ド・カルバジーニョ
Wamos Air,ワモス・エア
WOW Cargo Alliance,WOW・(航空連合)
Tratado de Sevilla (1729),セビリア条約
Cine español,スペインの映画
Derbi (motocicletas),デルビ
San Carlos de la Rápita,サン・カルラス・デ・ラ・ラーピタ
Universidad de Cantabria,カンタブリア大学
Recopa de Europa 1981-82,UEFAカップウィナーズカップ・1981-82
Anexo:Hockey en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのホッケー競技
Santa Cruz de Mudela,サンタ・クルス・デ・ムデーラ
Club Lleida Esportiu,リェイダ・エスポルティウ
Exposición Universal de Sevilla de 1992,セビリア万国博覧会
Universidad de Málaga,マラガ大学
Restauración borbónica en España,スペイン王政復古
Castilla la Vieja,カスティーリャ・ラ・ビエハ
Universidad de Valladolid,バリャドリッド大学
Zumárraga,スマラガ
La Mancha,ラ・マンチャ
Presidente del Gobierno de España,スペインの首相
Uclés,ウクレス
Casa de Campo,カサ・デ・カンポ
Casa de la Contratación de Indias,通商院
Casa de las Conchas (Salamanca),貝の家
Rodelero,ロデレロ
Nuevo Estadio Los Pajaritos,ヌエボ・エスタディオ・ロス・パハリートス
Barañáin,バラニャイン
Villanueva de los Infantes (Ciudad Real),ビジャヌエバ・デ・ロス・インファンテス・(シウダー・レアル県)
Badalona Dracs,バダロナ・ドラックス
Peñíscola,ペニスコラ
Área metropolitana de Madrid,マドリード都市圏
Vuelta a España 2005,ブエルタ・ア・エスパーニャ2005
Comarca de la Barcala,コマルカ・ダ・バルカーラ
Cuevas del Almanzora,クエバス・デル・アルマンソーラ
Galdácano,ガルダカオ
Instituto Nacional de Estadística (España),スペイン国立統計局
Gran Premio de Aragón de Motociclismo de 2011,2011年のアラゴングランプリ
Gran Premio de la Comunidad Valenciana de 2011,2011年のバレンシアグランプリ
Campeonato Mundial de Clubes de la FIFA 2001,FIFAクラブ世界選手権2001
Begonte,ベゴンテ
Lequeitio,レケイティオ
Estadio Enrique Roca de Murcia,エスタディオ・ヌエバ・コンドミーナ
San Fernando Club Deportivo Isleño,サン・フェルナンドCD
Sociedad Deportiva Logroñés,SDログロニェス
Pasajes,パサイア
Beasáin,ベアサイン
CaixaBank,カイシャバンク
Ea (Vizcaya),エア・(スペイン)
Echévarri,エチェバリ
Cervera,サルベラ
Comarca de Sarria,コマルカ・デ・サリア
Gastronomía de Castilla-La Mancha,カスティーリャ＝ラ・マンチャ料理
Vuelta a España 2003,ブエルタ・ア・エスパーニャ2003
Museo Picasso de Barcelona,ピカソ美術館・(バルセロナ)
Partido de clasificación para la Eurocopa entre España y Malta (1983),UEFA欧州選手権1984予選・スペイン・12-1・マルタ
Sociedad Deportiva Eibar,SDエイバル
San Roque (Cádiz),サン・ロケ・(カディス県)
Comarca de Betanzos,コマルカ・デ・ベタンソス
Anexo:Boxeo en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのボクシング競技
Cesuras,セスーラス
Línea 4 (Metro de Barcelona),バルセロナ地下鉄4号線
Ribera de Piquín,リベイラ・デ・ピキン
Joma,ホマ
Cava,カバ・(ワイン)
Zizur Mayor,シスール・マジョール/シスル・ナグシア
Gandesa,ガンデーザ
Tour de Francia 1964,ツール・ド・フランス1964
Selección femenina de fútbol de España,サッカースペイン女子代表
Tour de Francia 1957,ツール・ド・フランス1957
Ciclismo en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックの自転車競技
Cinturón alpino,アルプス・ヒマラヤ造山帯
Clásica de San Sebastián 2006,クラシカ・サンセバスティアン2006
Renfe Cercanías,セルカニアス
Hospital de Órbigo,オスピタル・デ・オルビゴ
Constitución española de 1978,スペイン1978年憲法
Dolmen de Viera,ビエラ支石墓
CFS Bisontes Castellón,プラジャス・デ・カステジョンFS
Costa del Azahar,コスタ・デル・アサアール
Happy Science,幸福の科学
Elecciones generales de España de 2011,2011年スペイン総選挙
Plencia,プレンツィア
Munguía,ムンギア
Valle de Trápaga,バリェ・デ・トラパガ＝トラパガラン
Batalla de Ilipa,イリッパの戦い
Cercanías Madrid,セルカニアス・マドリード
Virgen de Guadalupe (Extremadura),グアダルーペの聖母・(スペイン)
Pontevedra Club de Fútbol,ポンテベドラCF
Villafranca del Bierzo,ビジャフランカ・デル・ビエルソ
La 1,La・1
Fagor Electrodomésticos,ファゴール
Aiguamurcia,アイグアムルシア
Guetaria,ゲタリア
Puertomarín,ポルトマリン
Aeropuerto de Alicante-Elche Miguel Hernández,アリカンテ＝エルチェ・ミゲル・エルナンデス空港
Gran Premio de España de motociclismo de 2010,2010年のスペイングランプリ・(ロードレース)
Selección de waterpolo de España,水球男子スペイン代表
Segunda División de España 1928-29,セグンダ・ディビシオン1929
Apariciones marianas de Garabandal,ガラバンダルの聖母
Junta de Valladolid,バリャドリッド論争
Nájera,ナヘラ
Calvos de Randín,カルボス・デ・ランディン
Catedral de la Almudena,アルムデナ大聖堂
Punta de Tarifa,タリファ岬
La Graciosa,ラ・グラシオーサ島
Comarca de Lugo,コマルカ・デ・ルーゴ
Comarca del Ribeiro,コマルカ・ド・リベイロ
Bajo Miño,コマルカ・ド・バイショ・ミーニョ
Comarca de Tierra Llana,コマルカ・ダ・テーラ・チャ
Ampurias,アンプリアス
Alaró,アラロー
La Rambla,ランブラス通り
Egin,エギン
Comarca de Ortegal,コマルカ・ド・オルテガル
Comarca de Muros,コマルカ・デ・ムーロス
Universidad de Sevilla,セビリア大学
Gran Premio de Cataluña de Motociclismo de 2007,2007年のカタルーニャグランプリ
Observatorio del Roque de los Muchachos,ロケ・デ・ロス・ムチャーチョス天文台
Real Sociedad de Fútbol "B",レアル・ソシエダB
Unión Deportiva Logroñés,UDログロニェス
Comarca del Jallas,コマルカ・ド・シャージャス
Gran Premio de España de Motociclismo de 2007,2007年のスペイングランプリ・(ロードレース)
Albiol,ラルビオル
Museo de Arte Contemporáneo de Barcelona,バルセロナ現代美術館
El Punt Avui,アル・プン・アブイ
Jávea,ハベア/シャビア
Burgos Club de Fútbol,ブルゴスCF
Serie 592 de Renfe,レンフェ592系気動車
Loewe,ロエベ
Rally Cataluña,ラリー・カタルーニャ
Vuelta a España 2002,ブエルタ・ア・エスパーニャ2002
Vuelta a España 2004,ブエルタ・ア・エスパーニャ2004
Vuelta a España 2001,ブエルタ・ア・エスパーニャ2001
Athletic Club (femenino),アスレティック・ビルバオ・フェメニーノ
Onzonilla,オンソニージャ
Anexo:Tenis de mesa en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックの卓球競技
Salomó,サルモー
Movistar,モビスター
Piedrafita (Lugo),ペドラフィータ・ド・セブレイロ
Gran Premio de Cataluña de Motociclismo de 2008,2008年のカタルーニャグランプリ
Anexo:Clasificación histórica de la Primera División de España,ラ・リーガ通算順位表
Línea de alta velocidad Madrid-Sevilla,マドリード-セビリア高速線
Serie 102 de Renfe,レンフェ102系
Atlético Malagueño,アトレティコ・マラゲーニョ
Club Atlético de Madrid "B",アトレティコ・マドリードB
Distrito de Gracia,グラシア区
Club Deportivo Badajoz (2012),CDバダホス
Buñol,ブニョール
Club Esportiu Europa,CEエウロパ
Juegos Paralímpicos de Barcelona 1992,1992年バルセロナパラリンピック
