Stefano Cerioni,斯特凡诺·切廖尼
Luciano Spinosi,卢恰诺·斯皮诺西
Cristiano Caratti,克里斯蒂亚诺·卡拉蒂
Carlo Alberto Chiesa,卡洛·阿尔贝托·基耶萨
Cristiano Dal Sasso,克里斯蒂亚诺·达尔·沙索
Giorgio Zampori,乔治·赞波里
Pier Silvio Berlusconi,皮埃尔·西尔维奥·贝卢斯科尼
Matteo Anesi,马泰奥·阿内西
Dante Ferretti,丹特·法拉提
Sergio Assisi,赛尔乔·阿西西
Aldo Baglio,阿尔多·巴格里奥
E.B. Clucher,恩佐·巴博尼
Benvolio,班福留
Carlo Broggi,卡洛·保羅傑
Paolo Acerbis,保罗·阿切比斯
Daniele Padelli,達尼埃萊·帕德里
Valeria Parrella,瓦莱里亚·帕雷尔拉
Daniela Masseroni,达妮埃拉·马塞罗尼
Roberto Insigne,羅伯托·因西涅
Lilli Carati,莉莉·卡拉蒂
Stefano Battistelli,斯特凡诺·巴蒂斯泰利
Massimo Margiotta,馬基奧達
Francesca Porcellato,弗兰切斯卡·波尔切拉托
Stefano Farina,史蒂芬諾·法瑞納
Rossano Brazzi,羅薩諾·布拉齊
Giuliana Lojodice,吉利亚纳·洛乔迪斯
Archimede Morleo,阿基梅德·莫尔莱奥
Luca Lionello,卢卡·莱昂内洛
Bruno Rizzi,布鲁诺·里齐
Fabrizio de Miranda,法布里奇奥·德·米兰达
Carlo Di Carlo,卡洛·迪·卡洛
Carlo Duse,卡洛·杜斯
Giuliana Calandra,茱莉婭娜·卡蘭德拉
Carla Calò,卡拉·卡洛
Federico Pellegrino,費德里柯·佩萊格里諾
Camillo Achilli,卡米略·阿基利
Carlo Carlei,卡罗·卡雷
Renato Carpentieri,雷纳托·卡彭蒂耶里
Fulvio Valbusa,富尔维奥·瓦尔布萨
Jacopo Sarno,雅科波·萨诺
Gianluigi Saccaro,詹路易吉·萨卡罗
Enrico Rava,恩里科·拉瓦
Carlo Chiti,卡羅·基帝
Vincenzo Talarico,温琴佐·塔拉里科
Carlo Becchi,卡洛·贝基
Carlo Bernari,卡洛·伯納里
Carlo Ceresoli,卡洛·切雷索利
Mauro Cetto,錫圖
Natasha Hovey,娜塔莎·霍维
Emilio Pericoli,埃米利奧·佩里科利
Alessio Boni,亚力希欧·波尼
Guido Masetti,圭多·马塞蒂
Luciano Petech,伯戴克
Luisa Ranieri,路易莎‧拉涅瑞
Mario Ravagnan,马里奥·拉瓦尼安
Luigi de Magistris,路易吉·代·马吉斯特里斯
Renato Bruson,雷纳托·布鲁松
Maria Pia Casilio,玛丽亚-皮娅·卡西利奥
Daniel Hackett,丹尼爾·哈科特
Federico Agliardi,費德里科·阿格利亞迪
Giorgio Magliulo,乔治·马格里洛
Leopoldo Conti,莱奥波尔多·孔蒂
Umberto Orsini,翁贝托·奥尔西尼
Corrado Böhm,科拉多·伯姆
Fabio Ongaro,法比奧·翁加羅
Andrea Masi,安德烈·馬西
Manlio Di Rosa,曼利奥·迪罗萨
Tommaso Lequio di Assaba,托马索·莱奎奥·迪阿萨巴
Rodolfo Volk,鲁道夫·沃尔克
Remo Ruffini,雷莫·鲁菲尼
Franco Nones,佛朗哥·诺内斯
Orlando Sirola,奥兰多·西罗拉
Carlo Aymonino,卡洛·艾莫尼诺
Giuseppe Giurato,朱塞佩·朱拉托
Dario Hübner,达里奥·许布纳
Giuseppe Materazzi,朱塞佩·马特拉齐
Concetto Lo Bello,孔切托·罗贝洛
Gioia Marzocca,焦娅·马尔佐卡
Carlo Massullo,卡洛·马苏洛
Simonetta Stefanelli,席蒙娜塔·史蒂芬利
Carlo Mazzone,卡洛·马佐尼
Maurizio Lucidi,毛里齐奥·卢奇迪
Giovanni Calabrese,乔瓦尼·卡拉布雷塞
Francesco Attolico,弗朗切斯科·阿托利科
Roberto Fiore,罗伯托·菲奥雷
Luigi Cozzi,路易吉·柯齊
Giovanni Marchese,吉奥瓦尼·馬切塞
Enea Masiero,厄尼亞·馬塞洛
Salvatore Morale,薩爾瓦多·莫拉萊
Alfredo Aglietti,阿爾弗雷多·阿利耶蒂
Antonio Catania,安东尼奥·卡塔尼亚
Giorgio Abetti,焦爾焦·阿貝蒂
Marco Rizzo,马尔科·里佐
Gino Pivatelli,吉诺·皮瓦泰利
Aldo Lado,阿爾多·拉多
Nicola Pecorini,尼可拉·皮科里尼
Ennio De Concini,恩尼奧·德科西尼
Milena Miconi,米萊納·米科尼
Carlo Parola,卡路·柏羅拉
Carlo Pavesi,卡洛·帕韦西
Ennio Antonelli,恩尼奥·安东内利
Enrico Casarosa,埃里康·卡萨罗萨
Mario Bertini,马里奥·贝尔蒂尼
Gonzalo di Borbone-Dampierre,岡薩洛
Carlo Maria Viganò,嘉祿·瑪利亞·維加諾
Alessandro Agostini,亞歷桑德羅·阿戈斯蒂尼
Carlo Monti,卡羅·蒙蒂
Francesca Ferretti,弗兰切斯卡·费雷蒂
Antonio Casale,安东尼奥·卡萨莱
Michelangelo Albertazzi,米切爾朗基羅·阿爾貝塔奇
Valeria Ciangottini,瓦莱里娅·钱戈蒂尼
Eduardo Ciannelli,爱德华多·钱内利
Mario Varglien,马里奥·瓦尔连
Carlo Recalcati,卡洛·雷卡尔卡蒂
Carlo Rustichelli,卡洛·鲁斯蒂奇利
Alessandro Pistone,亚历山德罗·皮斯托内
Ennio Balbo,埃尼奥·巴尔博
Carlo Reali,卡洛·雷亞利
Carlo Ponti,小卡洛·蓬蒂
Maurizio Margaglio,毛里西奥·马加格里欧
Enrico Brignano,恩里克·布里亞諾
Enrico Del Debbio,恩里克·德尔德比
Enrico Lo Verso,恩里克·洛·维索
Carlo Maria Pintacuda,卡洛·马里亚·平塔库达
Fabrizio De Angelis,法布里佐·德·安杰利斯
Carlo Rovelli,卡洛·羅威利
Massimo Brambati,马西莫·布兰巴蒂
Carlo Salotti,卡洛·薩洛蒂
Frank Pentangeli,法蘭基·潘坦居利
Roberto Gualtieri,罗伯托·瓜尔蒂耶里
Umberto Masetti,翁貝托‧馬薩迪
Cristina D'Avena,克里斯蒂娜·达维纳
Armando Segato,阿尔曼多·塞加托
Vittorio Feltri,维托里奥·费特里
Francesco Colasuonno,高樂天
Carlo Ubbiali,卡羅人烏比亞裡
Luciano Alfieri,卢恰诺·阿尔菲耶里
Enrico d'Assia,亨利 (黑森)
Fabio Armiliato,法比奥·阿米里雅图
Carlo Rizzo,卡洛·里佐
Enrico Fulchignoni,恩里科·富爾奇諾尼
Alida Chelli,阿妮妲·克里
Carlo Siliotto,卡洛·锡利托
Enrico Mainardi,恩里科·梅納迪
Enrico Marconi,恩里科·馬克尼
Domenico Marocchino,多米尼克·马洛基诺
Gianluca Festa,吉安卢卡·费斯塔
Giorgio Vanzetta,乔治·万泽塔
Enzo Battaglia,恩佐·巴塔利亞
Enrico Perucconi,恩里科·佩鲁科尼
Luca Caldirola,盧卡·卡爾迪羅拉
Enrico Valentini,恩里科·瓦伦蒂尼
Veniero Colasanti,维涅罗·科拉桑蒂
Stefano Caruso,斯特凡诺·卡鲁索
Enrico Porro,恩里科·波罗
Marco Biagi,马可·比亚吉
Carmelo Cuttitta,卡梅羅·古提塔
Carmelo Scampa,加爾默羅·斯坎帕瓦
Pietro Frua,皮耶特羅·福魯瓦
Pier Giacomo Pisoni,皮埃尔·贾科莫·皮索尼
Elvio Banchero,埃尔维奥·班凯罗
Luigi Diberti,路易吉·迪贝尔蒂
Giacinto Berloco,吉亞琴托·貝洛科
Paola Cortellesi,宝拉·柯特莱西
Daniele Gaglianone,达尼埃莱·加吉利亚诺娜
Roberto Citran,罗伯托·西特兰
Daniele Corvia,达尼埃莱·科尔维亚
Giacomo Conti,贾科莫·孔蒂
Javier Pinola,哈维尔·皮诺拉
Tiberio Guarente,蒂貝里奥·瓜倫特
Giuseppe Aliberti,朱塞佩·阿利贝蒂
Ely Galleani,艾利·加利亞尼
Saverio Ragno,萨韦里奥·拉尼奥
Giorgio Pasotti,乔治·帕索蒂
Daniele Gatti,丹尼尔·加蒂
Sandro Bellucci,山德罗·贝卢奇
Lamberto Dalla Costa,兰贝托·达拉科斯塔
Igor Cassina,伊戈尔·卡西纳
Anželika Savrajuk,安热莉卡·萨夫拉尤克
Enzo Dell’Aquila,恩佐·戴尔·阿奎拉
Daniele Negroni,丹尼尔·内格罗尼
Daniele Varè,华雷
Arcadio Venturi,阿尔卡迪奥·文图里
Enzo D'Alò,恩佐·达阿洛
Isabella Ferrari,伊莎貝拉·法雷利
Ida Di Benedetto,伊妲·迪·贝尼代托
Daniele Costantini,丹尼尔·科斯坦尼
Giangiacomo Feltrinelli,吉安吉科莫·费尔特里内利
Federico Allasio,费德里科·阿拉西奥
Donatella Damiani,多纳泰拉·达米亚尼
Enzo Sacchi,恩佐·萨基
Marco Parolo,馬爾科·帕羅洛
Bernard Castro,伯納德·卡斯特羅
Vittorio Erspamer,維托里奧·埃爾斯巴美爾
Paolo Ferrari,保罗·法拉利
Erminio Blotta,埃尔米尼奥·布洛塔
Dante Boninfante,丹特·博寧范特
Dante Frasnelli Tarter,丹泰·弗拉斯內利-塔爾泰爾
Domenico Messina,多米尼克·梅西納
Tullio Lanese,圖利奧·拉內塞
Fritz Dennerlein,弗里茨·登纳莱因
Stefano Braschi,巴拉斯基
Gianni De Michelis,吉安尼·德·米凯利斯
Vittorio Duse,維多里奧·杜斯
Giustino Durano,朱斯提諾·杜拉諾
Dario Azzellini,达里奥·阿泽里尼
Enzo Liberti,恩佐·利伯蒂
Marcello Marchesi,马尔切洛··马尔凯西
Eugenio Garin,欧金尼奥·加林
Gerhard Plankensteiner,格哈德·普兰肯施泰纳
Giorgio Mastropasqua,馬斯特羅帕斯夸
Pio Vittorio Vigo,庇護·維篤·維戈
Brando Giordani,白蘭度·喬丹尼
Alessandro Maestri,亚历克斯·马艾斯德里
Aldo Valletti,阿爾多·瓦萊蒂
Giuseppe Ottaviani,朱塞佩·奥塔维娅尼
Giuseppe Rotunno,朱塞佩·羅圖諾
Giovan Battista Carpi,乔凡·巴蒂斯塔·卡尔皮
Giuseppe De Luca,朱塞佩·德盧卡
Francesco Marchetti Selvaggiani,方濟·馬爾凱蒂·塞爾瓦賈尼
Giuseppe Casoria,朱塞佩·卡索里亚
Joseph Stella,約瑟夫·斯泰拉
Diego Tardelli,迭戈·塔尔德利
Michele Godena,米歇爾·戈德納
Antonella Interlenghi,安东拉·英特朗吉
Delia Boccardo,德麗婭·布卡爾鐸
Pasqualino De Santis,帕斯夸利諾·德·桑蒂斯
Paolo Eleuteri Serpieri,保罗·埃尔特里·塞皮里
Dario Mangiarotti,达里奥·曼贾罗蒂
Dario Simoni,達里奧·西蒙尼
Bruno Nicolè,布魯諾·尼科萊
Giancarlo De Carlo,吉卡洛·德·卡洛
Claudia Koll,克劳迪亚·科尔
Giuseppe Gentile,朱塞佩·真蒂莱
Sergio Floccari,塞爾吉奧·弗洛卡里
Cipriano Chemello,奇普里亚诺·凯梅洛
Ferruccio Amendola,费鲁吉欧·阿门多拉
Massimiliano Narducci,马西米利亚诺·纳尔杜奇
Giorgio Scerbanenco,乔治·斯克本巴嫩科
Franco Brusati,佛朗哥·布鲁萨蒂
Nevio De Zordo,内维奥·德佐尔多
Damiano Caruso,达米亚诺·卡鲁索
Dori Ghezzi,多里·盖齐
Marco Leonardi,马克·莱昂纳蒂
Marco Bortolami,馬爾科·博托拉米
Ricky Memphis,瑞奇·孟菲斯
Piero Pasinati,皮耶罗·帕西纳蒂
Daniele Del Giudice,丹尼尔·德尔·朱迪斯
Francesco Tullio Altan,弗朗西斯科·图利奥-阿尔坦
Guido Ceronetti,G. 切罗内蒂
Mario Tadini,马里奥·塔迪尼
Lorenzo Bertini,洛伦佐·贝尔蒂尼
Ercole Lupinacci,埃爾科萊·魯皮納慈
Mimmo Rotella,米莫·羅特拉
Cecilia Calvi,塞西莉亚·卡尔维
Piero Biggio,畢齊樂
Sergio Pignedoli,塞爾吉奧·邊耶多利
Gianfranco Agostino Gardin,若望-方濟各·加丁
Alessandro Plotti,亞歷山德羅·普洛蒂
Enrico Montesano,恩裡科·蒙特薩諾
Bruno Mascarenhas,布鲁诺·马什卡雷尼亚什
Raffaello Leonardo,拉法埃洛·莱奥纳尔多
Carlo Carcano,卡尔罗·卡尔卡诺
Francesco Dell'Uomo,弗朗切斯科·德洛莫
Aldo Montano,阿尔多·蒙塔诺 (1978年)
Emilio Trivini,埃米利奥·特里维尼
Eva Riccobono,伊娃·洛克波诺
Barbara D'Urso,芭芭拉·乌尔索德
Innocenzo di Pietro Francucci da Imola,因諾琴佐·達·伊莫拉
Fulco Ruffo di Calabria,福爾科八世
Celso Costantini,刚恒毅
Giorgio Santelli,乔治·圣泰利
Giorgio Morini,乔治·莫里尼
Gianluca Paparesta,吉安卢卡·帕帕雷斯塔
Caterina Guzzanti,卡特莉亚·古尚堤
Renato Ruggiero,雷納托·魯傑羅
Lamberto Cesàri,蘭伯托·塞薩里
Gianni Musy,詹妮·穆西
Fernando Previtali,费尔南多·普雷维塔利
Antonio Janni,安东尼奥·扬尼
Fernando Altimani,费尔南多·阿尔蒂马尼
Daniele Masala,达尼埃莱·马萨拉
Giovanni Colombo,若望·科倫坡
David Brandon,大卫·布兰登
Perin del Vaga,佩里诺·德尔瓦加
Gian Piero Reverberi,吉安·皮耶罗·雷贝里
Giovanni Scalzo,乔瓦尼·斯卡尔佐
Giovanni Cheli,喬萬尼·凱利
Salvatore Sanzo,萨尔瓦托雷·桑佐
Corrado Guzzanti,科拉多·古赞蒂
Adalberto Maria Merli,阿达尔贝托·马里亚·梅利
Oscar De Pellegrin,奥斯卡·德佩莱格林
Claudio Nizzi,克劳迪奥·尼齐
Valerio Mastandrea,瓦裏諾·馬斯坦德雷阿
Marco Albarello,马尔科·阿尔巴雷洛
Venantino Venantini,韦朗第洛·维朗迪尼
Davide Bramati,戴維·布拉瑪蒂
Davide Gaiotto,大衛·格約托
Gianluigi Quinzi,吉安路易·吉奎恩茨
Fernando Di Leo,费尔南多·迪·莱沃
Karl Brunner,卡尔·布伦纳
Devis Mangia,德維斯·曼吉亞
Cristian Savani,克里斯蒂安·薩瓦尼
Stefano Colantuono,斯泰法诺·科兰托诺
Alberto di Jorio,阿爾伯·迪·佐利奧
Alessandro Tuia,亞歷山德羅·圖亞
Raffaele La Capria,拉斐爾·拉卡普里亞
Stefano Casiraghi,史蒂凡諾·卡西拉奇
Casey Shaw,凯西·肖
Alberto Malesani,馬利辛尼
Vincent Riotta,文森·瑞歐塔
Franco Malerba,佛朗哥·马莱尔巴
Erico Menczer,埃里科·門克策
Manlio Brosio,曼利奥·布罗西奥
Maurizio Cheli,毛里齐奥·切利
Antonella Baldini,安东奈拉·巴尔迪尼
Giancarlo Berardi,贾恩卡洛·贝拉尔迪
Norbert Huber,诺贝特·胡贝尔
Franco Califano,佛朗哥·卡利法诺
Aldo Tonti,阿爾多·坦蒂
Carlo Furno,卡羅·福諾
Paolo Sardi,保罗·萨尔蒂
Demetrio Stratos,德梅特里奧·斯特拉托斯
Renato Olmi,雷纳托·奥尔米
Enrico Marini,恩里科·马里尼
Luigi Carpaneda,路易吉·卡尔帕内达
Leopoldo Girelli,莱奥波尔多·吉雷利
Claudio Bisio,克劳迪奥·比西奥
Gino Rossi,吉诺·罗西
Luigi Traglia,類斯·特拉利亞
Stelvio Cipriani,斯泰尔维奥·奇普里亚尼
Salvatore Antibo,萨尔瓦托雷·安蒂博
Cesare Cardini,凱撒·卡狄尼
Vincenzo Cardarelli,V. 卡达雷利
Pino Rauti,皮诺·劳蒂
Riccardo Malipiero,里卡尔多·马利皮耶罗
Giacomo Acerbo,贾科莫·阿切尔博
Pietro Ichino,皮艾托罗•伊奇诺
Vittorio Gui,维托里奥·桂
Franco Zaninetta,佛朗哥·扎尼内塔
Tony Renis,托尼·雷尼斯
Maccio Capatonda,马西奥·卡帕通达
Pericle Felici,佩里克爾·費利奇
Sergio Chiamparino,塞爾喬·克楊帕利諾
Micaela Ramazzotti,米凯叶拉·拉玛佐第
Claudio Santamaria,克劳迪奥·桑塔玛利亚
Salvatore Tatarella,薩爾瓦多·塔塔雷拉
Giuseppe Bigogno,朱塞佩·比格诺
Giulietto Chiesa,朱利葉托·基耶薩
Ottavio Cinquanta,奧塔維奧·辛奎塔
Francesco Cabras,弗朗切斯科·卡布拉斯
Fred Bongusto,弗雷德·邦古斯托
Carlo Fassi,卡洛·法西
Gigi Reder,吉吉·雷德
Francesco Vanni,弗朗切斯科·瓦尼
Alfonso Buonocore,阿方索·博诺科雷
Franco Franchi,佛朗哥·弗兰基
Raffaele Cutolo,拉法埃莱·卡托罗
Giacomo Poretti,贾科莫·波雷蒂
Giovanni Angelo Becciu,喬瓦尼·安傑洛·貝丘
Franco Giorgetti,佛朗哥·焦尔杰蒂
Ermanno Pignatti,埃尔曼诺·皮尼亚蒂
Carlo Fatuzzo,卡洛·法图佐
Fernanda Pivano,費爾南達·皮瓦諾
Emilio Fede,埃米利奥·费德
Mariano Stabile,马里亚诺·斯塔比尔
Alberto Franceschini,阿尔贝托·弗朗切斯基尼
Eros Poli,埃罗斯·波利
Pietro Francisci,派戳・法西斯
Dave Rodgers,戴夫·羅傑斯
Stefano Dionisi,斯特法诺·迪奥尼斯
Ernesto Gastaldi,耶尔迈斯托·加斯塔尔迪
Silvio Muccino,西尔维诺·穆奇诺
Antonio Bassolino,安東尼奧·巴索利諾
Ermes Muccinelli,厄尔梅斯·穆奇内利
Erminio De Scalzi,赫默·德-斯卡爾齊
Fabio Vacchi,法比奥·瓦基
Nicola Mancino,尼古拉·曼奇诺
Matteo Salvini,馬泰奧·薩爾維尼
Ricardo Ezzati Andrello,里卡多·埃扎蒂·安德雷略
Giuseppe Bellusci,朱塞佩·貝盧斯奇
Vittorio Ghirelli,維托里奧·吉雷利
Carla Cassola,卡拉·拉卡索拉
Vittorio Miele,维托里奥·米勒
Alfio Contini,阿爾菲奧·孔蒂尼
Celestino Migliore,塞萊斯蒂諾·米廖雷
Carlo Buti,卡洛·布提
Ernesto Formenti,埃内斯托·福尔门蒂
Carlo Petrini,卡尔洛·佩特里尼
Vincenzo Lavarra,温琴佐·拉瓦拉
Kevin Ceccon,凱文·塞康
Davide Appollonio,戴维·阿波罗尼奥
Romolo Bizzotto,罗莫洛·比佐托
Paolo Stoppa,保罗·斯陶帕
Luca Argentero,路卡·阿根提洛
Lunetta Savino,盧妮塔·薩維諾
Diego Sinagra,迭戈·辛纳格拉
Desirée Noferini,德西里·诺费里尼
Gianrico Tedeschi,詹里科·特德斯基
Giuseppe Caprio,朱塞佩迪·卡普里奧
Vincenzo Zappalà,温琴佐·扎帕拉
Diego Fabbri,迪亞哥·法布里
Luca Lanotte,卢卡·兰诺特
Sergio Amidei,塞爾吉奧·阿米迪
Catiuscia Marini,卡蒂乌西亚·马里尼
Kurt Brugger,库尔特·布鲁格
Federico Pizzarotti,费德里科·比萨罗蒂
Renato Curcio,雷纳托·库尔乔
Cesare Barbetti,塞萨尔·巴贝蒂
Ernesto Almirante,埃内斯托·阿尔米兰特
Cesare Battisti,切萨雷·巴蒂斯蒂
Cesare Canevari,凯撒·卡勒瓦尼
Leo Boccardi,博卡尔迪
Giorgio Ursi,乔治·乌尔西
Diego Nargiso,迭戈·纳尔基索
Peter Clemenza,彼特·克雷曼沙
Cesare Romiti,切萨莱·罗米蒂
Cesare Brandi,布蘭迪技術
Diego Gualtiero Rosa,狄田佳·懷德·羅薩
Diego Natale Bona,迭戈迪·納塔萊·博納
Filippo Coarelli,菲利波·科尔利
Piero De Bernardi,皮耶羅·德·伯納迪
Stefano Gabbana,史蒂法諾·加巴納
Alexei Yuryevich Smirnov,阿列克谢·斯米尔诺夫
Cesare Cremonini,切萨雷·克雷莫尼尼
Pietro Ghersi,彼得·格尔西
Giacomo Battiato,乔科摩·巴蒂亚托
Mario Bellini,馬里奧·貝利尼
Roberto Longhi,罗伯托·隆吉
Manuela Secolo,曼努埃拉·塞科洛
Bruno Amoroso,布魯諾·阿莫魯索
Pino Donaggio,皮諾·唐阿吉歐
Francesco Gargano,弗朗切斯科·加尔加诺
Ludovico Geymonat,卢多维科·盖莫纳
Mario Tobino,马里奥·托比诺
Mario Spezi,马里奥·斯佩兹
Fulvio Bernardini,富尔维奥·贝尔纳迪尼
Gianni Bonichon,詹尼·博尼雄
Gino Strada,吉諾·斯特拉達
Cesare Pinarello,切萨雷·皮纳雷洛
Luciana Littizzetto,卢西亚娜·利特利泽托
Elio,埃利奥
Gianfranco Miglio,奇安弗蘭科·米格利奧
Riccardo Carapellese,里卡尔多·卡拉佩莱塞
Giovanni Bramucci,乔瓦尼·布拉穆奇
Rinaldo Martino,里納爾多·馬提諾
Ilaria Bianchi,伊拉莉亚·比安基
Alessandro Gazzi,亞歷山德羅·加齊
Salvatore Masiello,薩爾瓦托雷·馬塞洛
Mauro Simonetti,毛罗·西莫内蒂
Mauro Staccioli,毛羅·斯塔喬利
Alberto David,阿爾貝托·大衛
Giulio Corsini,朱利奧·柯爾希尼
Ivano Staccioli,伊凡诺·斯塔乔利
Marco Tullio Giordana,馬可·圖里歐·喬達納
Polidoro da Caravaggio,波利多羅·達·卡拉瓦喬
Roberto Porta,羅伯托·波塔
Gianni Lonzi,詹尼·隆齐
Giancarlo Primo,贾恩卡洛·普里莫
Dino Cassio,迪诺·卡西奥
Cesare Maria De Vecchi,切萨雷·马里亚·德韦基
Vito Rizzuto,维托·里兹图
Marcello Giordani,馬爾切洛·喬達尼
Sonny Colbrelli,桑尼·科尔布雷尔
Matteo Soragna,馬特奧·索拉納
Samuele Papi,萨穆埃莱·帕皮
Giovanni da San Giovanni,喬瓦尼·達·聖喬瓦尼
Lidia Trettel,利迪娅·特雷特尔
Mino Guerrini,米诺·圭里尼
Nicolao Dumitru,尼克勞·杜米特魯
Fabio Carta,法比奥·卡尔塔
Bortolo Mutti,博爾托諾·穆蒂
Giuseppe Volpi,朱塞沛‧沃爾庇
Mara Venier,玛拉·韦尼尔
Augusto De Marsanich,奥古斯托·德·马尔萨尼克
Stefano Lucchini,斯蒂法諾·盧奇尼
Giuseppe Beghetto,朱塞佩·贝盖托
Giorgio Capitani,乔吉奥·卡皮塔尼
Tony Currenti,東尼·柯倫帝
Orazio Fagone,奥拉齐奥·法戈内
Tullio Cianetti,图利奥·恰内蒂
Folco Trabalza,福尔科·特拉巴扎
Patrizio Oliva,帕特里齐奥·奥利瓦
Renato Corti,雷納托·科蒂
Paolo Schiavon,保祿·斯基阿翁
Fosco Maraini,福斯科·马莱尼
Luigi Chiarini,路易吉·基亚里尼
Francesco Giacomo Tricomi,弗朗切斯科·特里科米
Enzo G. Castellari,恩佐·卡斯提拉里
Erwin Stricker,艾文·斯特里克
Samuele Dalla Bona,萨缪尔·达拉·波纳
Michele Andreolo,米凯莱·安德烈奥洛
Francesca Lubiani,弗朗西斯卡·卢比亚尼
Raffaele Fitto,拉斐爾·維多
Giovanni Francini,乔瓦尼·弗兰奇尼
Gianni Celati,G. 切拉提
Nicola Piovani,尼古拉·皮奥瓦尼
Francesca Marciano,弗朗西斯卡·马西亚诺
Stefano Eranio,斯蒂法诺·埃拉尼奥
Sergio Marchionne,塞吉歐·馬奇翁
Francesco Molinari,弗朗切斯科·莫利纳里
Giusto Pio,朱斯托·皮奧
Raniero Cantalamessa,拉涅羅·坎塔拉梅薩
Ettore Bassi,埃托雷·巴斯
Leonízio Fantoni,萊奧尼迪奧·凡托尼
Luigi Mastrangelo,路易吉·馬斯特蘭傑洛
Roberto Pinotti,羅伯托·彼諾提
Ivano Fontana,伊瓦诺·丰塔纳
Leonardo Del Vecchio,萊昂納多·維克沃
Walter Audisio,瓦爾特·奧迪西奧
Carlo Silipo,卡洛·西利波
Michele Massimo Tarantini,米歇尔·马西莫·塔兰蒂尼
Elio Germano,埃利奥·杰尔马诺
Francesco Castellacci,弗朗切斯科·卡斯泰拉奇
Francesco Cavina,方濟各·卡維納
Giovanni Gozzi,乔瓦尼·戈齐
Léon Camille Marius Croizat,利昂·克魯瓦扎
Antonio Signorini,安東尼奧·西格諾里尼
Peter Bradley-Fulgoni,彼得·巴特里-富高尼
Elena Santarelli,伊莲娜·桑塔蕾丽
Franca Squarciapino,弗蘭卡·斯夸夏皮諾
Francesco Arlanch,弗朗切斯科·阿兰齐
Luigi Maifredi,路易吉·麥依弗萊迪
Aldo Olivieri,阿尔多·奥利维埃里
Monica De Gennaro,莫妮卡·德·吉纳罗
Giuseppe Abbagnale,朱塞佩·阿巴尼亚莱
Luigi Ambrosio,路易吉·安布罗西奥
Luciano Chailly,卢西亚诺
Francesco Janich,弗朗切斯科·亚尼奇
Leone Frollo,莱昂内·弗罗洛
Paolo Matthiae,保罗·马蒂尔
Luciano de Paolis,卢恰诺·德保利斯
Paolo Thaon di Revel (1888-1973),保罗·伊尼亚齐奥·马里亚·塔翁·迪雷韦尔
Ruggero Maccari,鲁杰罗·马卡里
Giuseppe Patroni Griffi,朱塞佩·帕特羅尼·格里菲
Roberto Bolle,罗伯托·博莱
Mario Ghella,马里奥·盖拉
Matteo Trefoloni,馬提歐·奇法洛尼
Francesco De Vito,法蘭西科·狄·維多
Sergio Cervato,塞尔焦·切尔瓦托
Alberto Orlando,阿爾貝托·奧蘭多
