Dudon de Saint-Quentin,聖·昆汀杜多
Audrey Dana,奧黛莉·達娜
Guillaume II de Nevers,尼維爾的威廉二世
Charles de Bonchamps,夏尔·德·邦尚
Dominique Sanda,多米妮·桑達
Alcide Dessalines d'Orbigny,阿爾西德·道比尼
Édouard Roger-Vasselin,愛德華·羅傑-瓦塞林
Mustapha Hadji,穆斯塔法·哈吉
David N'Gog,大卫·恩戈
Édouard Niermans,愛德華·尼曼
Maurice Leenhardt,莫里斯·里纳尔
Ismail Kadare,伊斯梅尔·卡达莱
Auguste Dumont,奧古斯丁-亞歷山大·迪蒙
Atiq Rahimi,阿提克·拉希米
Clément Janequin,克莱门特·雅内坎
Édouard Séguin,爱德华·塞金
Antoine Reicha,安东·雷哈
Jean-Chrétien-Ferdinand Hœfer,費迪南德·霍弗
Catherine Bellier,凱薩琳-海莉艾特·貝利爾
Louis Aloÿs de Hohenlohe-Waldenbourg-Bartenstein,路易·阿洛瓦
Édouard Ier de Beaujeu,愛德華一世·德·博熱
Jean-Baptiste Milhaud,让-巴蒂斯特·米约
Pierre Montan Berton,皮埃尔·蒙泰·博尔顿
Aurélien Recoing,奥雷利安·雷克因
Armand David,譚衛道
Gustave Charpentier,古斯塔夫·夏庞蒂埃
Alfred de Musset,阿爾弗雷德·德·繆塞
Jean-Baptiste Greuze,让-巴蒂斯特·格勒兹
Jules Mouquet,慕葵
Alfred Neumann,阿爾弗雷德·諾伊曼
François Auguste Ferdinand Mariette,奥古斯特·玛丽特
Alexandre Millerand,亚历山大·米勒兰
Louise d'Orléans,奧爾良的路易絲
Berthold Bartosch,贝特霍尔德·巴托施
Joakim Noah,乔金·诺阿
Louis-Philippe d'Orléans,路易-菲利普二世
Antoine Meillet,安东尼·梅耶
Élisabeth de France,伊丽莎白公主
Élise Bussaglia,埃莉斯·布萨利亚
Ariane Mnouchkine,亞莉安·莫虛金
Charles Koechlin,查理·柯克兰
Guillaume de Tyr,提尔的威廉
Pierre l'Ermite,修士彼得
Lilian Thuram,利利安·图拉姆
François Boucher,弗朗索瓦·布歇
Édouard Spach,爱德华·斯帕克
Édouard Stern,爱德华·斯特恩
Élie-Abel Carrière,伊利-阿贝尔·卡里埃
Antoine François Prévost,安東尼·普列沃斯
Philippe Pinel,菲利普·皮內爾
Gilles de Rais,吉尔·德·雷
Guy Béart,蓋伊·貝阿特
Med Hondo,梅德·翁多
Agathe de Rambaud,阿加斯·德·朗博
Nabil El Zhar,纳比勒·兹哈尔
Paul Broca,科比尼安·布洛德曼
Frédéric Passy,弗雷德里克·帕西
Younès Kaboul,尤尼斯·卡布尔
Jean de Berry,約翰·貝里公爵
Georges Rigal,乔治·里加尔
Mélanie Thierry,米蘭妮·蒂莉
Jean-Claude Pascal,讓·克洛德·帕斯卡
Raymond VII de Toulouse,圖盧斯伯爵雷蒙七世
Kenny de Schepper,肯尼·德·斯查佩普
Romuald Karmakar,罗穆阿德·卡马克
Loup Verlet,卢普·韦尔莱
Albert Grenier,阿尔贝·格勒尼耶
Ernest Chausson,埃内斯特·肖松
Gaston Maspero,加斯頓·馬伯樂
Élisabeth Guigou,伊麗莎白·吉古
Élisabeth Loisel,伊丽莎白·盧瓦謝爾
Érik Izraelewicz,埃里克·伊茨拉勒维奇
Amélie Mauresmo,阿梅莉·毛瑞斯莫
Henri-Gustave Joly de Lotbinière,亨利-居斯塔夫·若利·德·洛比尼耶
Thomas Voeckler,托马斯·沃克勒
Pierre Loti,皮埃爾·洛蒂
Ahmed Ben Bella,艾哈邁德·本·貝拉
Adalbéron II d'Ardenne,阿達爾貝羅二世
Aristide Briand,阿里斯蒂德·白里安
Élie Cartan,埃利·嘉当
Élie Faure,埃利·富尔
Paul Vidal de La Blache,维达尔·白兰士
Élie Hoarau,埃利·瓦罗
Hans-Joachim Klein,汉斯·约阿希姆·克莱因
André Tardieu,安德烈·塔迪厄
Barthélemy Boganda,巴泰勒米·波岡達
Francis Coquelin,弗兰西斯·科克林
Pascal Cygan,帕斯卡·西甘
Arthur Chuquet,亞瑟·修給
Claude-Louis Berthollet,克洛德·贝托莱
Robert Faurisson,羅拔·福爾臣
Alain Corneau,阿藍·柯諾
Élodie Navarre,艾乐蒂·纳瓦
Christophe Lemaitre,克里斯托夫·勒邁特雷
Jean-Louis de Rambures,让-路易·让毕尤斯
Jehan Alain,耶罕·阿兰
Élisabeth Lutz,埃利萨贝特·吕茨
Charles Gounod,夏尔·古诺
Napoléon Louis Bonaparte,拿破仑·路易·波拿巴
Élodie Bollée,伊洛蒂·博来
Antar Yahia,安塔尔·叶海亚
Charles-Frédéric Reinhard,卡尔·弗里德里希·赖因哈德
Adolphe Brongniart,阿道夫·泰奧多爾·布隆尼亞爾
Khaled,海布·哈立德
Olivier Nakache,奧力佛·那卡契
Fabrice Santoro,法布里斯·桑托羅
Jean-Baptiste de La Salle,聖若翰·喇沙
Jean Dufay,让·迪费
Younès Belhanda,尤內思·巴爾漢達
François Clerc,弗朗索瓦·克莱尔
Louis-Charles Mahé de La Bourdonnais,路易-查爾斯·馬埃·德·拉布爾多內
Pierre-Charles Roy,皮耶爾-夏爾·羅伊
Louis-Guillaume Perreaux,路易-纪尧姆·披露士
Charles-Albert de Sardaigne,卡洛·阿尔贝托
Guy Périllat,居伊·佩里亚
Mamadou Sakho,馬馬杜·沙高
Georges Bidault,若爾日·比多爾
Maurice Couve de Murville,莫里斯·顾夫·德姆维尔
Christophe-Philippe Oberkampf,克里斯托夫-菲利普·奥伯坎普夫
Élodie Frégé,艾罗迪·弗雷格
Élodie Thomis,艾洛蒂·托米斯
Hans van Helden,汉斯·范赫尔登
Charles Fourier,夏尔·傅立叶
Marius Petipa,马里于斯·珀蒂帕
Jacques Demy,雅克·德米
Éloi Firmin Féron,埃魯瓦·菲爾曼·費隆
Éliphas Lévi,艾利馮斯·李維
Louis-Philippe d'Orléans,路易-菲利普一世
Adalhard de Paris,巴黎的阿达拉尔
Élie Semoun,埃利·萨姆恩
Élie de Rothschild,埃利·罗斯柴尔德
Virginie Ledieu,维尔日妮·莱迪留
Jeanne Calment,雅娜·卡爾芒
Marie de Médicis,玛丽·德·美第奇
Georges Marchais,乔治·马歇
Gilles Marini,吉爾斯·馬利尼
Marcel Cerdan,马塞尔·塞尔当
Marie d'Avesnes,阿韦讷的玛丽
Éléonore Duplay,埃萊奧諾雷·低普勒
Adalbéron de Laon,拉昂主教阿代爾伯倫
Émile Armand,埃米尔·阿尔曼德
Émile Allais,埃米尔·阿莱
Émile Arnaud,埃米尔·阿诺
Michel-Richard de Lalande,米歇尔·理查德·德拉朗德
Félix Ioussoupov,費利克斯·尤蘇波夫
Jessica Fox,潔西卡·福克斯
Catherine Robbe-Grillet,凯瑟琳·罗伯-格里耶
Auguste Frédéric Viesse de Marmont,奧古斯特·德·馬爾蒙
Louis de Sancerre,路易·德·桑塞爾
Jules Dufaure,朱尔·杜弗尔
Geoffroy de Vigeois,杰弗羅伊·杜·布雷爾
Hervé Gaymard,埃爾韋·蓋馬爾
Henri Deglane,亨利·德格朗
Henri de Schomberg,亨利·德·朔姆贝格
Philippe Leclerc de Hauteclocque,菲利普·勒克萊爾
Jérémy Stravius,傑瑞米·斯特拉維斯
Laurent de Gouvion-Saint-Cyr,洛朗·古维翁-圣西尔
Michel Galabru,米歇爾·格勒布呂
Jonathan Zebina,薛比拿
Alain Giresse,阿兰·吉雷瑟
Adam Philippe de Custine,亚当·菲利普·德·屈斯蒂纳
Michel Crépeau,米歇尔·克雷波
Sébastien-Roch Nicolas de Chamfort,尼古拉斯·尚福爾
Jean Anthelme Brillat-Savarin,讓·安泰爾姆·布里亞-薩瓦蘭
Marcel Lefebvre,馬歇爾·勒費弗爾
Jules Allix,朱尔·阿利克斯
Bénigne Dauvergne de Saint-Mars,貝尼涅·多韋涅·德·聖馬爾斯
Jean-Marie Leclair,让-玛丽·勒克莱尔
Nicolas Fouquet,尼古拉·富凯
Eugène Antoniadi,歐仁·米歇爾·安東尼亞第
Émile-Louis Burnouf,埃米勒-路易·布尔奴夫
Kenneth White,肯尼思·怀特
Théodore de Banville,西奥多·庞维勒
Pierre-André Latreille,皮埃尔·安德烈·拉特雷耶
Stéphane Peterhansel,斯特凡·彼得汉塞尔
Eugène Pottier,欧仁·鲍狄埃
Stéphane Mbia,斯特凡纳·姆比亚
Clément Ader,克雷芒·阿德尔
Jean Metzinger,尚·梅金傑
Karim Matmour,卡林·馬莫亞
Guy IV de Saint-Pol,圣波德伯爵盖伊四世
Benjamin Biolay,本杰明·比奥雷
Charles Van Den Born,查理斯·溫德邦
Brandão,埃瓦爾森·萊莫斯·達·席瓦
Donald-Olivier Sié,唐纳德·西
Bakari Koné,巴卡里·科内
Karim Ziani,卡林·施安尼
Émile Champion,埃米爾·尚皮永
Émile Chautard,埃米尔·肖塔
Alphonse Louis Nicolas Borrelly,阿方斯·路易·尼古拉斯·包瑞利
Alain Robert,阿蘭·羅貝爾
Christian de Portzamparc,克里斯蒂安·德波尔藏帕克
Yannick Agnel,雅尼克·阿格内尔
Bakaye Traoré,巴卡耶·特劳雷
Louis Ier d'Anjou,路易一世
Joseph Babinski,巴宾斯基
Émile Bayard,艾密爾·貝亞德
Jean-Jacques Audubon,约翰·詹姆斯·奥杜邦
Thérèse de Lisieux,里修的聖德蘭
Sadi Carnot,尼古拉·莱昂纳尔·萨迪·卡诺
Émile-Georges Drigny,埃米爾-喬治·德里尼
Émile Amélineau,埃米爾·阿美利諾
Gaspar Noé,加斯帕·诺
Émile Bertrand,埃米尔·伯特兰
Célestin Freinet,瑟勒斯坦·佛勒內
Jamel Debbouze,加梅勒·杜布兹
Vaudès,彼得·瓦勒度
Joseph Pitton de Tournefort,约瑟夫·德图内福尔
François Ravaillac,弗朗索瓦·拉瓦亚克
Dudu Aouate,杜杜·阿瓦特
Nadir Belhadj,納迪爾·貝勒哈吉
Thomas-Robert Bugeaud,托马-罗贝尔·比若
Pierre de Fermat,皮埃爾·德·費馬
Geneviève de Gaulle-Anthonioz,热纳维耶芙·戴高乐-安东尼奥
Jean-Charles Peltier,让·查尔斯·佩尔蒂
Rachida Brakni,拉奇妲·布拉克尼
Austen Henry Layard,奧斯丁·亨利·萊亞德
Émile Combes,埃米尔·孔布
Émile Cohl,埃米里·科尔
Jean Genet,让·热内
Claude Makelélé,克洛德·马克莱莱
Benjamin Boukpeti,邦雅曼·布克佩蒂
Jérémy Mathieu,謝路美·馬菲奧
Sol Bamba,蘇萊曼尼・班巴
Jérôme Pradon,杰罗姆·普拉登
Théodore Géricault,泰奥多尔·杰利柯
Louis Althusser,路易·皮埃尔·阿尔都塞
Alexandre Desplat,亚历山大·德斯普拉
Émile Bourdon,埃米尔·布尔东
Émile Boutmy,埃米尔·布特米
Raí Souza Vieira de Oliveira,萊爾·奧利維拉
Benoît Assou-Ekotto,贝诺瓦·阿索-埃科托
Albert Roussel,阿尔贝·鲁塞尔
Louis Delaporte,路易·德拉波特
Gilles Deleuze,吉尔·德勒兹
Émile Boutroux,埃米尔·布特鲁
Romain Bussine,罗曼·巴辛
Madjid Bougherra,博格赫拉
Jérôme Fernandez,热罗姆·费尔南德斯
Jean-Baptiste Carpeaux,让-巴蒂斯·卡尔波
Jean Baudrillard,尚·布希亞
Ismaël Bangoura,伊斯梅尔·班古拉
Jean-Henri Fabre,让-亨利·法布尔
Bernard-Germain de Lacépède,贝尔纳·热尔曼·德·拉塞佩德
Emmanuel Chabrier,艾曼紐·夏布里耶
Alexandre Guilmant,亚历山大·吉尔芒
Georges Enesco,乔治·埃内斯库
Jacques Boyceau,雅克·布瓦索
Armand-Louis de Gontaut Biron,阿尔芒·路易·德·贡托
Daniel Cohn-Bendit,丹尼爾·孔-本迪
Sandra,桑德拉·安·勞爾
Émile Benveniste,埃米尔·邦弗尼斯特
Modibo Keïta,莫迪博·凯塔
Jean Teulé,让·特磊
Maurice Duruflé,莫里斯·迪吕弗莱
Adel Taarabt,阿贝尔·塔拉布特
Louis Trousselier,路易·特鲁瑟利耶
Alexandre Grothendieck,亚历山大·格罗滕迪克
Alain,埃米尔-奥古斯特·沙尔捷
Michel Legrand,米歇尔·勒格朗
Alain Boghossian,阿兰·博格西安
Guy Ier de Clermont de Nesle,克列芒的居伊一世
René Laurentin,勒內·洛朗坦
Pascal Feindouno,巴斯卡·費因杜諾
Salif Diao,萨利夫·迪奥
Richard Coudenhove-Kalergi,理查德·尼古拉斯·冯·康登霍维-凯勒奇
Adam de Craponne,亚当·德·克拉波纳
Amanda Langlet,阿曼达·朗格勒
Émile Gallé,艾米里·加利
Théophile Gautier,泰奥菲尔·戈蒂耶
Maurice de Saxe,赫尔曼-莫里斯
François Corteggiani,弗朗索瓦·科特吉尼
Julien Benneteau,儒利安·貝內托
Antoine Watteau,让-安东尼·华托
Fernand Braudel,費爾南·布勞岱爾
Mathieu II de Montmorency,馬蒂耶二世·德·蒙莫朗西
Komitas,科米塔斯
Henri Navier,克洛德-路易·纳维
Algirdas Julien Greimas,格雷瑪斯
Didier Auriol,迪迪埃·奥里奥尔
Claude Jade,克劳德·杰德
Louis Charles Antoine Desaix,路易·德塞
Antoine Destutt de Tracy,安托万·德斯蒂·德·特拉西
André Manoukian,安德烈·馬努基安
Jules de Polignac,朱尔
Hermann Mayer Salomon Goldschmidt,赫尔曼·迈尔·萨洛蒙·戈尔德施密特
Louis Bréhier,路易·布雷耶
Darius Milhaud,达律斯·米约
Alberto Santos-Dumont,亞伯托·桑托斯·杜蒙
Émile Clapeyron,埃米尔·克拉佩龙
Bon-Adrien Jeannot de Moncey,邦·阿德里安·让诺·德·蒙塞
Houssine Kharja,侯赛因·哈尔贾
Antoine Béchamp,安托万·贝尚
Max Deutsch,马克斯·多伊奇
Michel Muller,艾米歇爾·穆勒
David Trezeguet,大卫·特雷泽盖
Ferdinand Cheval,费迪南德·薛瓦勒
Laure Sainclair,洛尔·桑克莱尔
Nayah,娜雅
Romy Schneider,罗密·施奈德
Geneviève Tabouis,热纳维耶芙·塔布伊
Manès Sperber,曼尼斯·斯珀伯
Joseph-Louis Lagrange,約瑟夫·路易斯·拉格朗日
Jean Ranc,让·朗克
François-Joseph Gossec,弗朗索瓦-约瑟夫·戈塞克
Henri Ier de Lorraine,吉斯公爵
Clotilde Hesme,克劳迪德·埃斯曼
Georges Jacques Danton,乔治·雅克·丹敦
Nicolas Berdiaev,尼古拉·亚历山德罗维奇·别尔佳耶夫
Marius Trésor,马里乌斯·特雷索尔
Bernard-Henri Lévy,伯纳德-亨利·列维
Émile Coué,埃米尔·库埃
Émile Driant,埃米尔·德里昂
Marie-Laure de Noailles,瑪莉-蘿荷·德·諾瓦耶
Jacques Dupont,雅克·杜邦
Émile Fayolle,埃米勒·法约尔
Raymond de Sauvetat,索维塔的雷蒙德
Macha Méril,玛莎·梅里尔
Guillaume Hoarau,纪尧姆·瓦罗
Julien Escudé,朱利安·埃斯库德
Mylène Farmer,米蓮·法莫
László Bölöni,拉斯洛·博洛尼
Charles Joret,夏尔·若雷
Gabriel Lamé,加布里尔·拉梅
Tzvetan Todorov,茨維坦·托多洛夫
André Campra,安德烈·坎普拉
Félix Guattari,费利克斯·瓜塔里
Jean Buridan,让·布里丹
Ange-Jacques Gabriel,安热-雅克·加布里埃尔
François II de Bretagne,弗朗索瓦二世
Georges Sorel,乔治·索雷尔
Charles Garnier,夏爾·加尼葉
Abel Gance,阿贝尔·冈斯
René Clément,勒内·克莱芒
Alain Connes,阿蘭·科納
Emmanuel Mounier,艾曼纽·穆尼埃
Auguste Bravais,奥古斯特·布拉菲
Adama Coulibaly,阿达马·库利巴利
Mathieu Ier de Montmorency,馬蒂耶·德·蒙莫朗西
Vincent Briant,文森·拜安特
Robert IV de Sablé,薩布萊的羅貝爾四世
François Mansart,弗朗索瓦·芒薩爾
Pierre Mendès France,皮埃尔·孟戴斯-弗朗斯
Charles-Louis de Ficquelmont,卡爾·路德維希·馮·菲克爾蒙
Alfred Neubauer,阿尔弗雷德·诺伊鲍尔
Alain Moineau,阿兰·穆瓦诺
Marion Clignet,玛丽昂·克利涅
Jérôme Valcke,热罗姆·瓦尔克
Charles III d'Alençon,夏爾三世
Fabrice Begeorgi,法布里斯·贝格奥吉
Cécile Renault,塞西爾·雷諾
Germaine Dulac,热尔梅娜·迪拉克
Christian Lacroix,克里斯蒂安·拉克鲁瓦
Jean-Claude Forest,尚·格·佛赫斯特
Alphonse Karr,阿爾馮斯·卡爾
Louis Charles Vincent Le Blond de Saint-Hilaire,圣伊雷尔
Michel Joseph Maunoury,米歇尔·约瑟夫·莫努里
Emmanuel Le Roy Ladurie,埃马纽埃尔·勒鲁瓦·拉迪里
Pierre Duhem,皮埃尔·迪昂
Jean Chacornac,让·沙科纳克
Pierre Augereau,皮埃尔·弗朗索瓦·夏尔·奥热罗
Anne Brochet,安妮·波诺什
Joëlle Ursull,喬艾爾·烏蘇爾
Nina Berberova,尼娜·别尔别罗娃
Ernst Rüdiger Starhemberg,恩斯特·吕迪格·施塔海姆贝格
Henri Poincaré,儒勒·昂利·庞加莱
Sonia Petrovna,索妮亞·佩德羅芙娜
Hélène Ahrweiler,海伦·奥威勒
François Achille Bazaine,弗朗索瓦·阿希尔·巴赞
Léopold Eyharts,利奥波德·埃亚尔茨
Charlotte Gainsbourg,夏洛特·甘斯柏格
Yann Arthus-Bertrand,亚恩·阿蒂斯－贝特朗
Fromental Halévy,雅克·弗洛蒙塔尔·阿莱维
François Lamy,阿梅迪-弗朗索瓦·拉米
Philippe de la Guépière,菲利普·德·拉盖皮耶尔
Antoine-Jérôme Balard,安東尼·巴拉爾
Guy Mollet,居伊·摩勒
Sébastien Duret,塞巴斯蒂安·迪雷
Léon Chestov,列夫·舍斯托夫
Christopher Tolkien,克里斯托夫·托爾金
Ambroise Paré,安布鲁瓦兹·帕雷
Hamani Diori,哈马尼·迪奥里
Diomansy Kamara,迪奥曼西·卡马拉
Delphine de Vigan,德尔菲娜·代·维根
Auguste Charlois,奥古斯特·沙卢瓦
Vincent d’Indy,樊尚·丹第
Remy de Gourmont,雷米·德·古尔蒙
Augustin Fresnel,奥古斯丁·菲涅耳
André Fabre,費伯華
Henri de Lubac,亨利·德·呂巴克
Nicolas Batum,尼古拉·巴通姆
Mikhaïl Gromov,米哈伊尔·格罗莫夫
Paul Scheuring,保罗·舒尔灵
Ségolène Royal,塞戈莱娜·罗亚尔
Burhan Ghalioun,伯翰·加利昂
Jean-Marc Nattier,讓-馬克·納捷
Éric Djemba-Djemba,艾歷·迪贊巴-迪贊巴
Moussa Sow,莫沙蘇禾
Diane de Poitiers,迪亚娜·德·普瓦捷
André Claveau,安德烈·克拉維
Gilbert du Motier de La Fayette,拉法耶特侯爵
Teddy Riner,特迪·里内
Pascal Lamy,帕斯卡尔·拉米
Christine Angot,克莉丝汀·安戈
Constantin Balmont,康斯坦丁·巴尔蒙特
Marthe Hanau,玛尔特·阿诺
Bertrand Clauzel,贝特朗·克洛泽尔
Pierre Larousse,皮埃尔·拉鲁斯
François Mauriac,弗朗索瓦·莫里亚克
Marc-Guillaume-Alexis Vadier,马克-纪尧姆·亚历克西·瓦迪耶
Jean Moréas,莫雷亞斯
Jean d'Ormesson,让·多麦颂
Pascal Chimbonda,帕斯卡尔·希姆邦达
Pierre-Gilles de Gennes,皮埃尔-吉勒·德热纳
Léo Schwechlen,里奥·施韦奇伦
Auguste Escoffier,奥古斯特·埃斯科菲耶
Jean-François Paul de Gondi,让-弗朗索瓦·保罗·德·贡迪
Jean-Pierre Rampal,尚-皮爾·雷波爾
Henri II de Bourbon-Condé,亨利二世·德·波旁
Alexis Carrel,亚历克西·卡雷尔
Ettore Bugatti,埃托雷·布加蒂
Eugène Fromentin,欧仁·弗罗芒坦
Bernard Lama,賓納·拉瑪
Antoine Bourdelle,安托万·布德尔
Francis Jammes,弗朗西斯·雅姆
Charles-Augustin Coulomb,夏尔·奥古斯丁·德·库仑
Ryad Boudebouz,利雅德·保迪保斯
Guillaume Canet,吉约姆·卡内
Gaël Monfils,加埃爾·蒙菲爾斯
François Perrier,弗朗索瓦·佩里耶
Honoré Daumier,奥诺雷·杜米埃
Henri Deloge,亨利·德洛热
Jean Echenoz,让·埃舍诺
Jean-Andoche Junot,讓-安多什·朱諾
André Beaufre,安德烈·博弗爾
Daniel Chalonge,达尼埃尔·沙隆热
Alain Ducasse,艾伦·杜卡斯
Patrice Canayer,帕特里斯·卡納耶
Charles III le Simple,查理三世
Jean-Baptiste de Lamarck,让-巴蒂斯特·拉马克
Jean de Lattre de Tassigny,让·德·拉特尔·德·塔西尼
Isabelle Aboulker,伊莎贝尔·阿布尔克
Bernard Brunhes,伯納德·布容尼斯
Louis Vuitton,路易·威登
Jacques Deny,雅克·蒂奈
Erik Satie,埃里克·薩蒂
Dan Sperber,达恩·斯珀伯
Henri Kagan,亨利·B·卡根
Romain Grosjean,罗曼·格罗斯让
Pierre de Bonzi,伯多祿·德·邦齊
Henri de Toulouse-Lautrec,亨利·德·土魯斯-羅特列克
Antonin Artaud,安托南·阿尔托
Ignace Joseph Pleyel,伊格纳茨·普莱耶尔
Kévin Gameiro,奇雲·甘美路
Blanca Li,布蘭卡·李
Lionel Jospin,利昂内尔·若斯潘
Guillaume Budé,纪尧姆·比代
Adel Abdessemed,阿岱尔·阿德斯梅
Jacques-Louis David,雅克-路易·大卫
Olivier Dacourt,奥利维尔·达科特
Bertrand du Guesclin,贝特朗·杜·盖克兰
Claude-Henri de Rouvroy de Saint-Simon,克勞德·昂列·聖西門
Rio Mavuba,馬胡巴
René Pleven,勒内·普利文
Louis Blanc,路易·布朗
François-Jean-Baptiste de Quesnel,弗朗索瓦·让·巴蒂斯特·凯内尔
William Marçais,威廉·马尔赛
Charles Despiau,查爾斯·德斯皮奧
Ali Boumnijel,保尼積爾
Jean Cocteau,让·谷克多
Claire Bouanich,克莱尔·布纳尼奇
Pierre Plantard,皮埃尔·普朗塔尔
Boris Kaufman,鮑里斯·考夫曼
Joseph Jean Pierre Laurent,約瑟夫·讓·皮埃爾·洛朗
Habib Beye,哈比·比耶
Maurice-Quentin de La Tour,莫里斯·康坦·德·拉圖爾
Théodore De Bèze,泰奥多尔·贝扎
Jacques Pierre Brissot,雅克·皮埃爾·布里索
Alphonse de Lamartine,阿方斯·德·拉马丁
Léon Bollée,莱昂-博莱
Jean-Marie Collot d'Herbois,让-马里·科洛·代尔布瓦
Joseph Agricol Viala,維雅拉
Charles Pic,查尔斯·皮克
Jean-Éric Vergne,让-埃里克·维尔格尼
Philippe d'Orléans,菲利普王子
Alexandre Kojève,亚历山大·科耶夫
Laurent Hénart,洛朗·埃纳尔
Guy Demel,居伊·德梅尔
Bruno Latour,布鲁诺·拉图尔
Nicolas Boileau,尼古拉·布瓦洛
Dany Robin,妲妮·罗宾
Isabelle de Foix-Castelbon,富瓦-卡斯泰尔邦的伊萨贝尔
Maurice Barrès,莫里斯·巴雷斯
Cassandre,卡桑德尔
Geoffroi Ier de Villehardouin,戈弗雷一世
Jules Barbey d’Aurevilly,巴爾貝·多爾維利
Jonathan Littell,乔纳森·利特尔
Natalis de Wailly,納塔利斯·德·韋利
Jean Mabillon,让·马比荣
Pierre de Coubertin,皮埃尔·德·顾拜旦
Pierre II de Courtenay,彼得二世
André-Jacques Garnerin,安德烈-雅克·加纳林
Frédéric Beigbeder,弗雷德里克·贝格伯德
Jean de La Bruyère,尚·德·拉布魯耶
Ernest Meissonier,埃内斯特·梅索尼埃
Brassaï,布拉赛
