日本の元号,日本年號
第1回参議院議員通常選挙,第1屆日本參議院議員通常選舉
下松市,下松市
中日本,中日本
坂之上駅,坂之上站
豊肥本線,豐肥本線
片浜駅,片濱車站
平川駅,平川站
西焼津駅,西燒津車站
カトリック京都司教区,天主教京都教區
はしだて・(列車),橋立號列車
宇宿駅,宇宿車站
郡元駅,郡元站
指宿枕崎線,指宿枕崎線
日本列島,日本列島
高知駅,高知車站
横浜市営地下鉄ブルーライン,藍線·(橫濱市營地下鐵)
伊予市駅,伊予市站
佐久駅,佐久站
湯の里知内信号場,湯之里知內信號場
香椎駅,香椎車站
久大本線,久大本線
天津駅,天津站·(日本)
沼津駅,沼津車站
田川伊田駅,田川伊田車站
カトリック鹿児島司教区,天主教鹿儿岛教区
瀬々串駅,瀨瀨串站
くろしお・(列車),黑潮號列車
五位野駅,五位野站
恵那駅,惠那車站
津駅,津車站
リバーウォーク北九州,RIVERWALK北九州
江戸四大飢饉,江戶四大饑荒
北海道旅客鉄道,北海道旅客鐵道
平成24年台風第15号,颱風布拉萬·(2012年)
富士電機,富士電機
ピンク・レディー,粉紅淑女
久留里線,久留里線
九州旅客鉄道,九州旅客鐵道
佐渡市,佐渡市
日進市,日进市
調布市,調布市
津田山駅,津田山站
2012年ロンドンオリンピックの柔道競技,2012年夏季奧林匹克運動會柔道比賽
東日本旅客鉄道,東日本旅客鐵道
飛鳥時代,飛鳥時代
山王神社・(長崎市),山王神社
中華航空140便墜落事故,中華航空140號班機空難
先島諸島,先島群島
大東諸島,大東群島
波照間島,波照間島
鼎泰豊,鼎泰豐
秋葉山本宮秋葉神社,秋葉山本宮秋葉神社
静岡浅間神社,靜岡淺間神社
日本アカデミー賞外国作品賞,日本電影學院獎最佳外語片獎
瀬戸市,瀨戶市
FIFAクラブ世界選手権2005,2005年國際足協俱樂部世錦賽
Zoome,Zoome
皇居,皇居
沖縄諸島,沖繩群島
文明開化,文明開化
伊勢佐木長者町駅,伊勢佐木長者町站
那覇空港駅,那霸機場站
巣鴨拘置所,巢鴨刑務所
上永谷駅,上永谷車站
京成船橋駅,京成船橋站
天王洲アイル駅,天王洲島站
フジサンケイグループ,富士產經集團
芸備線,藝備線
竹富町,竹富町
首里駅,首里站
厚生省,厚生省
新羽駅,新羽車站
第12回参議院議員通常選挙,第12屆日本參議院議員通常選舉
ハウス食品,好侍食品
新京成電鉄,新京成電鐵
美濃赤坂駅,美濃赤坂車站
国際展示場駅,國際展示場站
御台所,御台所
京成押上線,押上線
空港第2ビル駅,機場第2候機樓站
京急蒲田駅,京急蒲田站
松戸駅,松戶站
刈谷駅,刈谷車站
大牟田駅,大牟田車站
山家駅,山家車站
草薙駅・(JR東海),草薙車站·(JR東海)
山陽電気鉄道本線,山陽電氣鐵道本線
東京ビッグサイト駅,東京國際展覽中心站
第11回参議院議員通常選挙,第11屆日本參議院議員通常選舉
仙台空港鉄道仙台空港線,仙台機場線
幸田駅,幸田車站
イオングループ,永旺集團
竹野駅,竹野車站
鎧駅,鎧車站
名取駅,名取車站
多賀城,多賀城
仙台空港駅,仙台機場站
梁瀬駅,梁瀨車站
餘部駅,餘部車站·(香美町)
北九州・福岡大都市圏,北九州、福岡大都市圈
木曽川駅,木曾川車站
枇杷島駅,枇杷島車站
弁天島駅,辯天島車站
太多線,太多線
大府駅,大府車站
中名駅,中名站
和知駅,和知車站
醒ケ井駅,醒井車站
八鹿駅,八鹿車站
折尾駅,折尾車站
清洲駅,清洲車站
吉原駅,吉原車站
日本放送協会,日本广播协会
ファナック,发那科
文京区,文京區
防府市,防府市
根室市,根室市
北斗市,北斗市
大高駅,大高車站
上松駅,上松站
記紀,記紀
豊田町駅,豐田町車站
三ケ根駅,三根車站
天保山,天保山
尾頭橋駅,尾頭橋車站
鷲津駅,鷲津車站
尾張一宮駅,尾張一宮車站
多摩市,多摩市
日本航空,日本航空
昭島市,昭島市
中央区・(東京都),中央區·(東京都)
宮古市,宮古市
清須市,清須市
茂原市,茂原市
黒島・(沖縄県竹富町),黑島·(八重山群島)
宮古島,宮古島
由布島,由布島
茨木市,茨木市
十島村,十島村
嘉弥真島,嘉彌真島
原駅・(静岡県),原車站·(靜岡縣)
安倍川駅,安倍川車站
立木駅,立木車站
天竜川駅,天龍川車站
日吉駅・(京都府),日吉車站·(京都府)
逢妻駅,逢妻車站
高岡駅,高岡車站
戯画・(ブランド),戲畫·(遊戲品牌)
新蒲原駅,新蒲原車站
東田子の浦駅,東田子之浦車站
菊川駅・(静岡県),菊川車站·(靜岡縣)
新潟駅,新潟站
賀茂御祖神社,賀茂御祖神社
正月,日本新年
在日朝鮮語,在日朝鮮語
伊奈波神社,伊奈波神社
鶴岡八幡宮,鶴岡八幡宮
三河三谷駅,三河三谷車站
赤間駅,赤间站
大垣駅,大垣車站
日光二荒山神社,日光二荒山神社
高岡市,高岡市
日本のカレー,日本咖哩
ベスト電器,最好電器
吉備津彦神社,吉備津彥神社
野宮神社,野宮神社
深大寺,深大寺
西八王子駅,西八王子站
オムロン,欧姆龙
日枝神社・(千代田区),日枝神社·(千代田区)
陸軍飛行戦隊,陸軍飛行戰隊
五箇条の御誓文,五條御誓文
カツ丼,豬排丼
日本アジア航空,日本亞細亞航空
西日本旅客鉄道,西日本旅客鐵道
田原市,田原市
白神山地,白神山地
みどりの風,绿之风
小平市,小平市
松本市,松本市
尼崎市,尼崎市
鳩間島,鳩間島
第11軍・(日本軍),第11軍·(日本陸軍)
京成千原線,千原线
大井川鐵道,大井川鐵道
橋本市,橋本市
第10方面軍・(日本軍),第10方面軍
第15軍・(日本軍),第15軍·(日本陸軍)
天理市,天理市
平塚市,平塚市
滝川市,瀧川市
歌志内市,歌志內市
京成千葉線,千叶线
京都府立大学,京都府立大學
仙台空港鉄道,仙台機場鐵道
名古屋城駅,名古屋城車站
藩,藩·(日本)
厚生労働大臣,厚生勞動大臣
国土交通大臣,國土交通大臣
徳之島,德之島
桜上水駅,櫻上水站
南大高駅,南大高車站
公正取引委員会,公正取引委員會
伊予西条駅,伊予西條站
ビデオリサーチ,Video·Research
曳舟駅,曳舟站
新守山駅,新守山站
養父駅,養父車站
ELOV-Label,傑尼斯娛樂
上野東京ライン,上野東京線
1984年ロサンゼルスオリンピックの柔道競技,1984年夏季奥林匹克运动会柔道比赛
1992年バルセロナオリンピックの柔道競技,1992年夏季奥林匹克运动会柔道比赛
保谷駅,保谷站
テレビ愛媛,愛媛電視台
松本駅,松本車站
桜台駅・(東京都),櫻台站·(東京都)
東武動物公園駅,東武動物公園站
練馬高野台駅,練馬高野台站
記者クラブ,記者俱樂部
鷺ノ宮駅,鷺之宮站·(東京都)
沖縄県の名字,琉球人名
黒磯駅,黑磯站
富士急ハイランド駅,富士急樂園站
東葉高速鉄道東葉高速線,東葉高速線
ジャパン・ラジオ・ネットワーク,日本廣播網
田無駅,田無站
上石神井駅,上石神井站
青梅駅,青梅站
塩尻駅,鹽尻站
防府天満宮,防府天滿宮
土佐神社,土佐神社
宗像大社,宗像大社
笠間稲荷神社,笠間稻荷神社
奥多摩駅,奧多摩站
小淵沢駅,小淵澤站
新鎌ヶ谷駅,新鎌谷車站
本川越駅,本川越站
長町駅,長町車站
フロンティアワークス,Frontier·Works
第33回衆議院議員総選挙,第33屆日本眾議院議員總選舉
稲沢駅,稻澤車站
西岡崎駅,西岡崎車站
千早駅,千早車站
香住駅,香住車站
富士川駅,富士川車站
共和駅,共和車站·(日本)
袋井駅,袋井車站
日本台湾交流協会,日本台灣交流協會
上川口駅,上川口車站
下山駅・(京都府),下山車站·(京都府)
蒲郡駅,蒲郡車站
焼津駅,燒津車站
舞阪駅,舞阪車站
荒尾駅・(岐阜県),荒尾車站·(岐阜縣)
吉都線,吉都線
熱田駅,熱田車站
野田新町駅,野田新町車站
新居町駅,新居町車站
藤枝駅,藤枝車站
上夜久野駅,上夜久野車站
和田山駅,和田山車站
西小坂井駅,西小坂井車站
六合駅,六合車站·(日本)
高津駅・(京都府),高津車站·(京都府)
東武佐野線,佐野線
せんげん台駅,千間台站
東急こどもの国線,子供之國線
西武山口線,山口線·(西武鐵道)
所沢駅,所澤站
玉川上水駅,玉川上水站
ブルーリボン賞・(鉄道),藍絲帶獎·(鐵路)
北越谷駅,北越谷站
竹書房,竹書房
西武秩父線,西武秩父线
越谷駅,越谷站
土渕海峡,土渕海峽
秋津駅,秋津站
大山祇神社,大山祇神社
氷川神社,冰川神社
琉球海溝,琉球海溝
日経平均株価,日经平均指数
日本帝国主義,日本軍國主義
紀伊國屋書店,紀伊國屋書店
朝鮮新報,朝鲜新报
白山比咩神社,白山比咩神社
中部方面隊,陸上自衛隊中部方面隊
豊國神社・(大阪市),豐國神社·(大阪市)
西表石垣国立公園,西表石垣國立公園
飛騨一宮水無神社,飛驒一宮水無神社
鹿児島神宮,鹿兒島神宮
波上宮,波上宮
カトリックたかとり教会,鷹取Paper·Dome紙教堂
宮崎神宮,宮崎神宮
照国神社,照國神社
赤離島,赤離島
霧島神宮,霧島神宮
鵜戸神宮,鵜戶神宮
川平湾小島,川平灣小島
三河塩津駅,三河鹽津車站
東刈谷駅,東刈谷車站
船岡駅・(京都府),船岡車站·(京都府)
東飯能駅,東飯能站
富士駅,富士車站
豊岡駅・(兵庫県),豐岡車站·(兵庫縣)
石原駅・(京都府),石原車站·(京都府)
糸魚川駅,糸魚川站
綾部駅,綾部車站
富士急行,富士急行
武豊線,武豐線
黒崎駅,黑崎車站
玄武洞駅,玄武洞車站
日南線,日南線
江原駅,江原車站
呉インターチェンジ,吳交流道
仁保出入口,仁保出入口
坂北インターチェンジ,坂北交流道
西武多摩湖線,多摩湖線
諏訪大社,諏訪大社
坂パーキングエリア,坂停車區
府中出入口,府中出入口
天応西インターチェンジ,天應西交流道
矢賀出入口,矢賀出入口
神田祭,神田祭
浦和レッドダイヤモンズ,浦和紅鑽
東海旅客鉄道,東海旅客鐵道
鳥ノ木駅,鳥之木站
徳島ヴォルティス,德島漩渦
熊野那智大社,熊野那智大社
鎌倉宮,鎌倉宮
ポニーキャニオン,波麗佳音
奇兵隊,奇兵隊
日向国,日向國
松尾大社,松尾大社
橿原神宮,橿原神宮
矢板駅,矢板車站
よど号ハイジャック事件,淀号劫机事件
南比布駅,南比布車站
各務ケ原駅,各務原站
西那須野駅,西那須野車站
太宰府天満宮,太宰府天滿宮
比布駅,比布車站
肥後伊倉駅,肥後伊倉站
上幌向駅,上幌向車站
カトリック那覇教区,天主教那霸教區
幌向駅,幌向車站
永山駅,永山車站·(北海道)
卵かけご飯,生蛋拌飯
児玉郡,兒玉郡
五能線,五能線
美唄駅,美唄車站
飛騨金山駅,飛驒金山站
豊郷町,豐鄉町
江戸,江戶
二十二社,二十二社
世界平和統一家庭連合,統一教
日本ビクター,JVC
サバイバルゲーム,生存遊戲·(射擊運動)
カシオ計算機,卡西歐
大田区,大田区
工学院大学,工學院大學
新中央航空,新中央航空
元亨,元亨·(日本)
スタジオディーン,Studio·DEEN
今帰仁城,今歸仁城
オウム真理教,奥姆真理教
東京証券取引所,東京證券交易所
稲荷駅,稻荷車站
南宮大社,南宮大社
新幹線E6系電車,新幹線E6系電力動車組
スーパーカップ・(日本サッカー),日本超級盃
大地離島,大地離島
第五福竜丸,第五福龍丸
初午,初午
下地島,下地島
赤十字病院前停留場,赤十字醫院前停留場
安房神社,安房神社
籠神社,籠神社
大神神社,大神神社
大鳥大社,大鳥大社
廣瀬大社,廣瀨大社
丹生都比売神社,丹生都比賣神社
水無瀬神宮,水無瀨神宮
津島神社,津島神社
熊野本宮大社,熊野本宮大社
西宮神社,西宮神社
鳩離島,鳩離島
白鬚神社,白鬚神社
由布岳,由布岳
箱根神社,箱根神社
大分朝日放送,大分朝日放送
テレビ新広島,新廣島電視台
福島中央テレビ,福島中央電視台
JR北海道キハ283系気動車,JR北海道Kiha·283系柴油動車組
井荻駅,井荻站
静岡第一テレビ,靜岡第一電視台
東長崎駅,東長崎站
武蔵関駅,武藏關站
参宮線,参宮線
浜坂駅,濱坂車站
北海道テレビ放送,北海道電視台
熊本朝日放送,熊本朝日放送
長野放送,長野放送
チューリップテレビ,鬱金香電視台
奈良先端科学技術大学院大学,奈良先端科學技術大學院大學
岩手めんこいテレビ,岩手可愛電視台
JR東日本E257系電車,JR東日本E257系電聯車
日本国と中華民国との間の平和条約,中日和約
耳塚,耳塚
チャイナエアライン120便炎上事故,中華航空120號班機事故
石垣空港,石垣機場
富国強兵,富國強兵
琉球藩,琉球藩
鹿島神宮,鹿島神宮
来間島,來間島
大政奉還,大政奉还
良品計画,無印良品
与那国空港,與那國機場
札幌農学校,札幌農學校
石上神宮,石上神宮
上野東照宮,上野東照宮
ロッキード事件,洛克希德事件
日光街道,日光街道
東松島市,東松島市
和歌山線,和歌山線
童夢・(アニメ制作会社),童夢·(動畫工作室)
金沢城,金澤城
二宮駅,二宮車站
日比谷駅,日比谷站
宮良殿内,宮良殿內
第17師団・(日本軍),第17師團
朱鷺メッセ,朱鷺展覽館
テレビ信州,信州電視台
中支那派遣軍,中支那派遣军
大月駅,大月車站
水戸芸術館,水戶藝術館
硫黄島・(鹿児島県),硫磺島·(鹿兒島縣)
印度支那派遣軍,印度支那派遣軍
方言札,方言札
白峯神宮,白峯神宮
篠ノ井線,篠之井線
イオシス,IOSYS
屏風岳・(沖縄県),神农峰
奈良原岳,高华峰
レミオロメン,Remioromen
クリーチャーズ,Creatures
住吉大社,住吉大社
真清田神社,真清田神社
千代田区,千代田區
足立区,足立區
妖怪,妖怪
江戸川区,江戶川區
犬山市,犬山市
PENTAX,賓得士
サイオン,賽揚汽車
小浜島,小濱島
第5方面軍・(日本軍),第5方面軍·(日本陸軍)
ウ離島,烏離島
池間島,池間島
与那国町,與那國町
三島村,三島村
大神島,大神島
新城島,新城島
居合道,居合道
兵庫県南部地震,阪神大地震
南支那方面軍,南支那方面軍
与路島,與路島
参謀本部・(日本),参谋本部·(大日本帝国)
第4軍・(日本軍),第4軍·(日本陸軍)
請島,請島
第1軍・(日本軍),第1軍·(日本陸軍)
第5軍・(日本軍),第5军·(日本陆军)
ぺんてる,飛龍文具
駐蒙軍,駐蒙軍
キ70・(航空機),Ki-70試作司令部偵察機
木刀,木刀
江東区,江東區·(日本)
ゲーム%26ウオッチ,Game·%26·Watch
保元の乱,保元之亂
春日部駅,春日部站
