Campinas,カンピーナス
São José de Piranhas,サン・ジョゼー・デ・ピラーニャス
Bezerros,ベゼロス
Mâncio Lima,マンシオ・リマ
Campeonato Acriano de Futebol,カンピオナート・アクレアーノ
Pintópolis,ピントポリス
Juara,ジュアラ
Vassouras,ヴァッソウラス市
Naque,ナーケ
demografia do Brasil,ブラジルの人口統計
Selvíria,セルヴィリア
Araucária,アラウカーリア
Nova Era,ノヴァ・エラ
neve no Brasil,ブラジルでの降雪
Paranavaí,パラナ州
Quilombo,キロンボ
Neópolis,ネオポリス
Prados,プラドス (ミナスジェライス州)
Guaratuba,グアラトゥバ
Tríplice Fronteira do Iguaçu,トリプレ・フロンテラ
Campeonato Mato-Grossense de Futebol,カンピオナート・マトグロッセンセ
Jandaia do Sul,ジャンダイア・ド・スル
Oriximiná,オリシミナ
Sousa,ソウザ
Passa Tempo,パッサ・テンポ
Toledo,トレド (パラナ州)
América Futebol Clube,アメリカFC (テオフィロ・オトニ)
Espera Feliz,エスペラ・フェリース
Matupá,マトゥパ
Campanha,カンパーニャ
Viçosa,ヴィソーザ市
Milagres,ミラグレス
Imperial Ordem de Nosso Senhor Jesus Cristo,キリスト勲章
Campeonato Capixaba de Futebol,カンピオナート・カピシャーバ
Primavera do Leste,プリマヴェーラ・ド・レステ
Jogos Mundiais Militares de 1995,1995年ミリタリーワールドゲームズ
Itacarambi,イタカランビ
subprefeitura de Santo Amaro,カンポ・グランデ
Santuário Dom Bosco,ドンボスコ聖堂
Glória d'Oeste,グローリア・ドエステ
Moreno,モレーノ
Associação Carlos Barbosa de Futsal,カルロス・バルボザ
Unaí,ウナイ
Sorriso,ソヒーゾ
Copa Norte de Futebol,コパ・ノルテ
Campeonato Brasileiro de Futebol de 2011 - Série A,2011 カンピオナート・ブラジレイロ・セリエA
Serra Verde Express,セーハ・ヴェルジ・エクスプレス
Universo Online,ウニヴェルソ・オンライン
Gurupi,グルピ
Comitê Olímpico Brasileiro,ブラジルオリンピック委員会
Forças policiais do Brasil,ブラジルの法執行機関
Porto Nacional,ポルト・ナシオナル
Itabaiana,イタバイアーナ
Esperança do Sul,エスペランサ・ド・スー
Monte Alegre,モンテアレグレ (パラー州)
Serviço Nacional de Aprendizagem Comercial,全国商業職業訓練機関
Serviço Nacional de Aprendizagem Industrial,全国産業職業訓練機関
eleições no Brasil,ブラジルの選挙
Fernandes Tourinho,フェルナンジェス・トウリーニョ
Aeroporto de Bauru-Arealva,バウル=アリャールヴァ空港
Aeroporto de Bauru,バウル空港
Parque Nacional da Chapada Diamantina,シャパダ・ダ・ジアマンチーナ国立公園
São Carlos Futebol Clube,サンカルロスFC
Stadler He 4/4,シュタッドラー He4/4形電気機関車
Joanésia,ジョアネージア
Lagarto,ラガルト
Lucas do Rio Verde,ルカス・ド・リオ・ヴェルデ
Frutal,フルタル
Bacabal,バカバル
São Félix do Xingu,サン・フェリックス・ド・シング
Itapagipe,イタパジペ
Ibiraçu,イビラク
Rio Paraíba do Sul,パライーバ・ド・スル川
Janaúba,ジャナウバ
Brasil nos Jogos Olímpicos de Verão de 1948,1948年ロンドンオリンピックのブラジル選手団
Polícia Federal do Brasil,連邦警察局
Tailândia,タイランジア
Ferros,フェロス
Marau,マラウ
Força Expedicionária Brasileira,ブラジル海外遠征軍
Três Fronteiras,トレス・フロンテラス
Bumba meu boi,ブンバ・メウ・ボイ
Agremiação Sportiva Arapiraquense,アグレミアソン・スポルチーヴァ・アラピラケンセ
Club Sportivo Sergipe,CSセルジッペ
Brasil nos Jogos Olímpicos de Verão de 1972,1972年ミュンヘンオリンピックのブラジル選手団
Teatro Municipal de São Paulo,サンパウロ市立劇場
Dores do Turvo,ドーレス・ド・トゥルボ
Campeonato Catarinense de Futebol,カンピオナート・カタリネンセ
Codó,コドー市
Barra de São Miguel,バラ・デ・サンミゲル (ペルナンブーコ州)
Jacinto,ジャシント
Seleção Brasileira de Futebol Sub-20,U-20サッカーブラジル代表
Capinópolis,カピノーポリス
Sombrio,ソンブリーユ
Nazaré,ナザレ (ブラジル)
Itanhomi,イタンホミ
São José da Tapera,サン・ジョゼ・ダ・タベーラ
Exército Brasileiro,ブラジル陸軍
Senhor do Bonfim,セニョール・ド・ボンフィン (バイーア州)
São Miguel Arcanjo,サン・ミゲル・アルカンジョ
Metrô do Recife,メトロ・ド・レシフェ
Erval Seco,エルヴァル・セコ
Forquilhinha,フォルキリーニャ
Bom Jardim de Minas,ボンジャルジム・デ・ミナス
Taça Guanabara,タッサ・グアナバラ
Brumado,ブルマード
Praia de Ponta Negra,ポンタ　ネグラ　ビーチ
Palácio da Alvorada,アルボラーダ宮殿
Mesorregião Metropolitana de Belo Horizonte,ベロ・オリゾンテ中地域
Seleção Brasileira de Futebol de Areia Masculino,ビーチサッカーブラジル代表
Campo Formoso,カンポ・フォルモーゾ
Seberi,セベリ
Brejo dos Santos,ブレージョ・ドス・サントス
Botafogo Futebol Clube,ボタフォゴFC
Linha 1,1号線
Linha 2,2号線
Banda Black Rio,バンダ・ブラック・リオ
Quixadá,キシャダ
Barra,バーハ
São José do Xingu,サン・ジョゼー・ド・シングー
Açucena,アスセーナ
Universidade Federal de Pernambuco,ペルナンブーコ連邦大学
Aquidauana,アキダウアーナ
Pedra da Mina,ペドラ・ダ・ミーナ山
União São João Esporte Clube,ウニオン・サンジョアンEC
Laranjeiras,ラランジェイラス (セルジッペ州)
Soledade,ソレダーデ (リオグランデ・ド・スル州)
Eleição presidencial brasileira de 1998,1998年ブラジル総選挙
Bicas,ビカス
Bauru Atlético Clube,バウルAC
Associação Atlética Portuguesa,AAポルトゥゲーザ (リオデジャネイロ州)
Massacre do Carandiru,カランジル虐殺事件
Maués,マウエース
Itapeva,イタペーヴァ
Cajazeiras,カジャゼイラス
São Domingos,サンドミンゴス (バイーア州)
Anchieta,アンシエタ
São Gabriel,サン・ガブリエル
Partido Conservador,保守党
Olaria Atlético Clube,オラリアAC
Viana,ビアナ (エスピリトサント州)
Laguna Mundaú,ムンダウー湖
Luís Eduardo Magalhães,ルイス・エドゥアルド・マガリャンイス
Alpercata,アルペルカータ
Praia de Porto de Galinhas,ポルト・デ・ガリーニャス
Associação Atlética Aparecidense,AAアパレシデンセ
Associação Cultural Esporte Clube Baraúnas,ACECバラウナス
Carmo da Mata,カルモ・ダ・マッタ
Lei do Ventre Livre,リオ・ブランコ法
Carmo do Paranaíba,カルモ・ド・パラナイバ
Jacarezinho,ジャカレジーニョ
Santa Fé,サンタ・フェ
Cariús,カリウス (ブラジル)
Plano Real,レアル計画
Campeonato Brasileiro de Futebol de 2009 - Série A,2009 カンピオナート・ブラジレイロ・セリエA
Conselheiro Pena,コンセリェイロ・ペナ
Candelária,カンデラーリア (リオグランデ・ド・スル州)
Parelhas,パレルハス市
Fórmula Truck,フォーミュラ・トラック
Campeonato Brasileiro de Futebol de 2013 - Série A,2013 カンピオナート・ブラジレイロ・セリエA
Carnaval do Brasil,ブラジルのカーニバル
Sport Club Bahia,SCバイーア
Estado Novo (Brasil),エスタード・ノヴォ
lista de clubes de futebol do Brasil,ブラジルのサッカークラブ一覧
Campeonato Sul-Americano de Voleibol Feminino de 1989,1989年バレーボール女子南米選手権
Redenção,レデンサン
Belém do São Francisco,ベレン・ド・サンフランシスコ
Balsas,バルサス
Liga Mundial de Voleibol de 2002,2002年バレーボール・ワールドリーグ
Picos,ピークス
Bacia do rio da Prata,ラプラタ盆地
Rio Brilhante,リオブリリャンテ
Constituição brasileira de 1988,ブラジル1988年憲法
Pico das Agulhas Negras,ピコ・ダス・アグーリャス・ネーグラス
Americano Futebol Clube,アメリカーノFC
lista de futebolistas do Brasil,ブラジルのサッカー選手一覧
Seleção Brasileira de Futebol Sub-17,U-17サッカーブラジル代表
Santana,サンタナ
Uberaba Sport Club,ウベラーバSC
Clube Esportivo Naviraiense,CEナヴィライエンセ
Sertãozinho Futebol Clube,セルタンジーニョFC
Rio Ibicuí,イビクイ川
Atlético Roraima Clube,アトレチコ・ロライマ・クルーベ
Partido Social Liberal,社会自由党
Torneio da França,トゥルノワ・ド・フランス
Passaredo Linhas Aéreas,パッサレド・リンハス・アエレアス
Catedral de São Sebastião do Rio de Janeiro,リオデジャネイロ大聖堂
Grêmio Esportivo Tiradentes,GEチラデンテス
MRV Engenharia,MRVエンゲンハリア
Cássia,カーシア
Carandaí,カランダイ
Sobral,ソブラル
Macaíba,マカイバ
Carangola,カランゴラ
Bela Vista de Minas,ベラ・ヴィスタ・ジ・ミナス
Alecrim Futebol Clube,アレクリンFC
Goytacaz Futebol Clube,ゴイタカスFC
Aeroporto Internacional de Pelotas,ペロタス国際空港
Atalaia do Norte,アタラヤ・ド・ノルテ
São Roque,サン・ロケ
Novo Horizonte,ノヴォ・オリゾンテ (ブラジル)
Brasil nos Jogos Olímpicos de Verão de 1976,1976年モントリオールオリンピックのブラジル選手団
Pacatuba,パカチュパ (セアラー州)
Faculdade de Direito da Universidade de São Paulo,サンパウロ大学ロースクール
Tubarão,トゥバラン
ticuna,クシヨコチャ・ティクナ語
Pentecoste,ペンテコステ
Carmo da Cachoeira,カルモ・デ・カチョエイラ
Rubiataba,フビアターバ
Aeroporto Internacional Zumbi dos Palmares,マセイオ
Brasil nos Jogos Olímpicos de Verão de 1960,1960年ローマオリンピックのブラジル選手団
Brasil nos Jogos Olímpicos de Verão de 2000,2000年シドニーオリンピックのブラジル選手団
Campeonato Sul-Americano de Voleibol Feminino de 2009,2009年バレーボール女子南米選手権
Associação Atlética Anapolina,AAアナポリーナ
Brusque Futebol Clube,ブルスケFC
Friburguense Atlético Clube,フリブルゲンセAC
Moto Club de São Luís,モト・クルブ・ジ・サン・ルイス
Desvalorização do real em 1999,ブラジル通貨危機
Clube Recreativo e Atlético Catalano,CRアトレティコ・カタラーノ
Posse,ポッセ (ゴイアス州)
Mogi Mirim Esporte Clube,モジミリンEC
Campeonato Sul-Americano de Voleibol Masculino de 1951,1951年バレーボール男子南米選手権
Brasil Open de 2010 – Duplas,2010年ブラジル・オープンダブルス
Clube 15 de Novembro,クルーベ・キンゼ・デ・ノヴェンブロ
Catedral de Petrópolis,ペトロポリス大聖堂
Duas Barras,リオデジャネイロ州
Brasil nos Jogos Olímpicos de Verão de 1968,1968年メキシコシティーオリンピックのブラジル選手団
Eleição presidencial brasileira de 2006,2006年ブラジル大統領選挙
Partido Humanista da Solidariedade,連帯の人道党
Partido da Causa Operária,労働者の大義党
Copa João Havelange,コパ・ジョアン・アヴェランジェ
Afonso Cláudio,アフォンソ・クラウディオ
Língua caingangue,カインガング語
línguas do Brasil,ブラジルの言語
Aeroporto de Alta Floresta,アルタ・フローレスタ空港
Meridiano 35 W,西経35度線
Fluminense de Feira Futebol Clube,フルミネンセ・フェイラFC
Ferroviário Atlético Clube,フェロヴィアリオAC (セアラー州)
Campeonato Brasileiro de Futebol de 2004,2004 カンピオナート・ブラジレイロ・セリエA
Campeonato Brasileiro de Futebol de 2002,2002 カンピオナート・ブラジレイロ・セリエA
Iraty Sport Club,イラチSC
Esporte Clube Flamengo,ECフラメンゴ
Pão de Açúcar,ポン・ジ・アスーカル
Eusébio,エウゼビオ
Meridiano 38 W,西経38度線
Paralelo 2 S,南緯2度線
Escândalo do Mensalão,メンサロン事件
Meridiano 50 W,西経50度線
Meridiano 60 W,西経60度線
Meridiano 55 W,西経55度線
Meridiano 64 W,西経64度線
Meridiano 65 W,西経65度線
Campeonato Brasileiro de Futebol de 1971,1971 カンピオナート・ブラジレイロ・セリエA
São Cristóvão de Futebol e Regatas,サンクリストヴァンFR
Ilha Caviana,カビアナ島
Potiraguá,ポチラグア
Meridiano 70 W,西経70度線
Jogos Mundiais Militares de 2011,2011年ミリタリーワールドゲームズ
Meridiano 61 W,西経61度線
Meridiano 54 W,西経54度線
Meridiano 62 W,西経62度線
Associação Sportiva Sociedade Unida,Associação Sportiva Sociedade Unida
Buri,ブリ
São Gonçalo dos Campos,サン・ゴンサロ・ドス・カンポス
Guerra do Contestado,コンテスタードの反乱
Esporte Clube Democrata,ECデモクラータFC
Queluz,ケルス
Presidente Bernardes,プレジデンテ・ベルナルデス (サンパウロ州)
Clube Esportivo Nova Esperança,CEノヴァ・エスペランサ
Transferência da corte portuguesa para o Brasil,王室はポルトガルを脱出した
Pontifícia Universidade Católica de São Paulo,サンパウロ・カトリック大学
Estádio Brinco de Ouro da Princesa,エスタジオ・ブリンコ・ジ・オウロ・ダ・プリンセーザ
Camargo,カマルゴ
Fronteira Brasil–Uruguai,ブラジル＝ウルグアイ国境
Campeonato Brasileiro de Futebol de 2005,2005 カンピオナート・ブラジレイロ・セリエA
Brasil nos Jogos Olímpicos de Verão de 1964,1964年東京オリンピックのブラジル選手団
Fonte Boa,フォンテ・ボア
Universidade Estadual Paulista Júlio de Mesquita Filho,「ジュリオ・ヂ・メスキータ・フィーリョ」パウリスタ州立大学
Bebedouro,ベベドウロ (サンパウロ州)
Sento Sé,セント・セー
Planaltino,プラナルティーノ
Meridiano 56 W,西経56度線
Meridiano 52 W,西経52度線
Meridiano 57 W,西経57度線
Meridiano 58 W,西経58度線
Meridiano 53 W,西経53度線
Meridiano 59 W,西経59度線
Brasil Open de 2011 – Simples,2011年ブラジル・オープンシングルス
Brasil Open de 2011 – Duplas,2011年ブラジル・オープンダブルス
Campeonato Brasileiro de Futebol de 2012 - Série A,2012 カンピオナート・ブラジレイロ・セリエA
Copa dos Campeões,コパ・ドス・カンピオンイス
Sampaio Corrêa Futebol Clube,サンパイオ・コヘイアFC
Partido Renovador Trabalhista Brasileiro,ブラジル人労働党
Partido Socialista dos Trabalhadores Unificado,統一社会主義労働者党
Brasil nos Jogos Olímpicos de Verão de 1956,1956年メルボルンオリンピックのブラジル選手団
lista de primeiros-ministros do Brasil,ブラジルの首相
Campeonato Alagoano de Futebol,カンピオナート・アラゴアーノ
Microrregião de Linhares,リニャレス
1989 no Brasil,1989年のブラジル
Meridiano 69 W,西経69度線
Meridiano 68 W,西経68度線
Meridiano 67 W,西経67度線
Matsés,マツェ族（マヨルナ族）
Upaon-Açu,サン・ルイス島
Rio de Janeiro Vôlei Clube,レクソーナ・アデス
Reservas de Mata Atlântica da Costa do Descobrimento,コスタ・ド・デスコブリメントの大西洋岸森林保護区群
