Leandro Damião,レアンドロ・ダミアン・ダ・シウバ・ドス・サントス
Lord Vinheteiro,ファブリシオ・ディ・パオロ
Matheus Nunes,マテウス・ルイス・ヌネス
Mayara Magri (bailarina),マヤラ・マグリ
Marcelo Valle Silveira Mello,Marcelo・Valle・Silveira・Mello
Rodrigo Nascimento (lutador),ホドリゴ・ナシメント
Rodrigo Muniz (futebolista),ロドリゴ・ムニス・カルバーリョ
Vanderson de Oliveira Campos,ヴァンデルソン・ジ・オリヴェイラ・カンポス
Antônia da Santa Cruz,アントニア・ダ・サンタ・クルス
Pedro Henrique Azevedo Pereira,ペドロ・エンヒキ・アゼヴェド・ペレイラ
Norma Dumont,ノルマ・ドゥモン
Andrey Santos,アンドレイ・ナシメント・ドス・サントス
Márcia Dantas,マルシア・ダンタス
Kaiky,カイキー・フェルナンデス・メロ
Ana Cristina de Souza,アナ・クリスティーナ・デ・ソウザ
Nyeme Costa,ニエメ・コスタ
Marcus Vinicius Oliveira Alencar,マルクス・ヴィニシウス・オリヴェイラ・アレンカル
Rafaela Zanellato,ラファエラ・ザネラト
Marina Fioravanti,マリナ・フィオラバンチコスタ
Mariana Nicolau,マリアナ・ニコラウ
Arthur Augusto de Matos Soares,アルトゥール・アウグスト・ジ・マトス・ソアレス
Inah Canabarro Lucas,イナ・カナバッロ・ルーカス
Gui Santos,ギー・サントス
Matheus França,マテウス・フランサ・ジ・オリヴェイラ
Eshyllen Coimbra,エシイレン・コインブラ
Estevão Willian,エステヴォン・ウィリアン・アウメイダ・ジ・オリヴェイラ・ゴンサウヴェス
John Kennedy (futebolista),ジョン・ケネジ・バチスタ・ジ・ソウザ
Giovani Henrique Amorim da Silva,ジオヴァニ・エンヒキ・アモリム・ダ・シウヴァ
Eduardo Riedel,エドゥアルド・リーデル
Luis Guilherme,ルイス・ギリェルミ・リラ・ドス・サントス
Lucas Beraldo,ルーカス・ロペス・ベラウド
Endrick,エンドリッキ・フェリペ・モレイラ・デ・ソウザ
Júlia Kudiess,ジュリア・クジュス
Robert Renan,ホベルチ・ヘナン・アウヴェス・バルボーザ
"Rômulo (futebolista, 2002)",ホムル・ジョゼ・カルドーソ・ダ・クルス
Pablo Maia,パブロ・ゴンサウベス・マイア・フォルトゥナート
Maria da Esperança de Bourbon,マリア・デ・ラ・エスペランサ・デ・ボルボン＝ドス・シシリアス
Vitor Roque,ヴィトール・ウーゴ・ホッキ・フェヘイラ
Vinicius Tobias,ヴィニシウス・アウグスト・トビアス・ダ・シウヴァ
