Angela Merkel,アンゲラ・メルケル
Hermann Reinecke,ヘルマン・ライネッケ
Julius Friedrich (Württemberg-Weiltingen),ユリウス・フリードリヒ・(ヴュルテンベルク＝ヴァイルティンゲン公)
Heinrich George,ハインリヒ・ゲオルゲ
Lorenz Heister,ローレンツ・ハイスター
Dirk Müller (Rennfahrer),ディルク・ミューラー
Marc Rothemund,マルク・ローテムント
Stephan Schröck,シュテファン・シュレック
Ingrid Andree,イングリッド・アンドレ
Ewa Paradies,エワ・パラダイス
Gottlob Frege,ゴットロープ・フレーゲ
Herbert Marcuse,ヘルベルト・マルクーゼ
Josef Greindl,ヨーゼフ・グラインドル
"Hermann von Oppeln-Bronikowski (General, 1899)",ヘルマン・フォン・オッペルン＝ブロニコフスキー
Richard Schirrmann,リヒャルト・シルマン
Günter Blobel,ギュンター・ブローベル
Roland Emmerich,ローランド・エメリッヒ
Delron Buckley,デルロン・バックリー
Ernst Freiherr Stromer von Reichenbach,エルンスト・シュトローマー
Anja Mittag,アーニャ・ミッターク
Christofer Heimeroth,クリストファー・ハイメロート
Walter Hohmann,ヴァルター・ホーマン
Benedicta Henriette von der Pfalz,ベネディクタ・ヘンリエッテ・フォン・デア・プファルツ
Hubertus von Preußen,フーベルトゥス・フォン・プロイセン
Maria von Bayern,マリア・フォン・バイエルン
Marco Wittmann,マルコ・ヴィットマン
Marcel Schrötter,マルセル・シュロッター
Hans Friedrich Geitel,ハンス・フリードリヒ・ガイテル
Josef Bühler,ヨーゼフ・ビューラー
Eilhart von Oberg,アイルハルト・フォン・オベルク
Frederick Lau,フレデリック・ラウ
Albert Speer,アルベルト・シュペーア
Gerhard Ertl,ゲルハルト・エルトル
Otto IV. (Braunschweig-Lüneburg),オットー4世・(ブラウンシュヴァイク＝リューネブルク公)
Otto I. (Braunschweig-Lüneburg-Harburg),オットー1世・(ブラウンシュヴァイク＝リューネブルク＝ハルブルク公)
Adolf Johann I. (Pfalz-Zweibrücken-Kleeburg),アドルフ・ヨハン1世・(プファルツ＝クレーブルク公)
Martin Kneser,マルティン・クネーザー
Johann I. (Pfalz-Simmern),ヨハン1世・(プファルツ＝ジンメルン公)
Hermann Lietz,ヘルマン・リーツ
Adam von Württemberg,アダム・フォン・ヴュルテンベルク
Johann David Schöpf,ヨハン・ダーフィット・シュープ
Philipp Wilhelm August von der Pfalz,フィリップ・ヴィルヘルム・アウグスト・フォン・デア・プファルツ
William Beier,ウィリアム・バイアー
Hans Naumann (Mediävist),ハンス・ナウマン
Otto John,オットー・ヨーン
Friedrich Geiger (Fahrzeugdesigner),フリードリッヒ・ガイガー
Otto I. (Pfalz-Mosbach),オットー1世・(プファルツ＝モスバッハ公)
Hans Erwin von Spreti-Weilbach,ハンス・フォン・シュプレーティ＝ヴァイルバッハ
Johann Wilhelm Weinmann,ヨハン・ヴィルヘルム・ヴァインマン
Ulrich Greifelt,ウルリヒ・グライフェルト
Friedrich von Preußen (1911–1966),フリードリヒ・フォン・プロイセン・(1911-1966)
Hannah Pick-Goslar,ハンネリ・ホースラル
Ewald André Dupont,E・A・デュポン
Friedrich Karl von Eberstein,フリードリヒ・カール・フォン・エーベルシュタイン
Friedrich Kasimir (Pfalz-Zweibrücken-Landsberg),フリードリヒ・カジミール・(プファルツ＝ツヴァイブリュッケン＝ランツベルク公)
Karl Wilhelm Ferdinand Solger,カール・ヴィルヘルム・フェルディナント・ゾルガー
Albert Schäffle,アルベルト・シェフレ
Marcus Böhme,マルクス・ベーメ
Heidi Klum,ハイディ・クルム
Manuela Schwesig,マヌエラ・シュヴェーズィヒ
Friedrich Josias Prinz von Sachsen-Coburg und Gotha,フリードリヒ・ヨシアス・フォン・ザクセン＝コーブルク＝ゴータ
Harry von Bülow-Bothkamp,ハリー・フォン・ビューロウ＝ボートカンプ
Andreas E. Furtwängler,アンドレアス・フルトヴェングラー
Paul Daimler,パウル・ダイムラー
Franziska Sibylla Augusta von Sachsen-Lauenburg,フランツィスカ・ジビッラ・アウグスタ・フォン・ザクセン＝ラウエンブルク
Johann Wilhelm (Jülich-Kleve-Berg),ヨハン・ヴィルヘルム・(ユーリヒ＝クレーフェ＝ベルク公)
Margarete von Bayern (1442–1479),マルガレーテ・フォン・バイエルン・(1442-1479)
Wittekind zu Waldeck und Pyrmont,ヴィッテキント・ツー・ヴァルデック＝ピルモント
Walter Anderson,ヴァルター・アンダーソン
Otto II. (Braunschweig-Lüneburg),オットー2世・(ブラウンシュヴァイク＝リューネブルク公)
Christian Petzold (Regisseur),クリスティアン・ペツォールト・(映画監督)
Otto Friedrich Bollnow,オットー・フリードリッヒ・ボルノウ
Heinrich III. (Limburg),ハインリヒ3世・(リンブルフ公)
Karl August von Schleswig-Holstein-Gottorf,カール・アウグスト・フォン・シュレースヴィヒ＝ホルシュタイン＝ゴットルプ
Franz Otto (Braunschweig-Lüneburg),フランツ・オットー・(ブラウンシュヴァイク＝リューネブルク公)
Gottfried Münzenberg,ゴットフリート・ミュンツェンベルク
Nikolaus Schneider,ニコラウス・シュナイダー
Adam Bousdoukos,アダム・ブースドゥーコス
Günter Litfin,ギュンター・リトフィン
Camilla Horn,カミルラ・ホルン
Friedrich V. (Nürnberg),フリードリヒ5世・(ニュルンベルク城伯)
Johann III. (Nürnberg),ヨハン3世・(ニュルンベルク城伯)
Otto von Münchhausen (Botaniker),オットー・フォン・ミュンヒハウゼン・(植物学者)
Hans Fruhstorfer,ハンス・フルストルファー
Jakob Thomasius,ヤーコプ・トマジウス
Anni Steuer,アンニ・シュトイヤー
Heinrich Behnke,ハインリヒ・ベーンケ
Gerhard Ebeling,ゲアハルト・エーベリンク
Emil Hirschfeld,エミール・ヒルシュフェルト
Hans Frank,ハンス・フランク
Konrad Zuse,コンラート・ツーゼ
Otto von Guericke,オットー・フォン・ゲーリケ
Anton Fils,アントン・フィルツ
Paul Carell,パウル・カレル
Katharina Wagner,カタリーナ・ワーグナー
Heinrich Liebe,ハインリヒ・リーベ
Caroline Schelling,カロリーネ・シェリング
Manfred Burgsmüller,マンフレート・ブルクスミュラー
Lothar Schmid,ローター・シュミット
Hedwig Elisabeth Amalia von der Pfalz,ヘートヴィヒ・エリーザベト・フォン・デア・プファルツ
August I. (Braunschweig-Lüneburg),アウグスト1世・(ブラウンシュヴァイク＝リューネブルク公)
Günther Victor (Schwarzburg-Rudolstadt),ギュンター・ヴィクトル・(シュヴァルツブルク＝ルードルシュタット侯)
Georg Misch (Philosoph),ゲオルク・ミッシュ
Thanos Petsos,アサナシオス・ペツォス
Bernhard III. (Baden-Baden),ベルンハルト3世・(バーデン＝バーデン辺境伯)
Hermann Giesler,ヘルマン・ギースラー
Herbert Ihlefeld,ヘルベルト・イーレフェルト
Dietrich IV. (Lausitz),ディートリヒ4世・(ラウジッツ辺境伯)
Alexander (Pfalz-Zweibrücken),アレクサンダー・(プファルツ＝ツヴァイブリュッケン公)
Kurt Kuhlmey,クルト・クールマイ
Eckhart Tolle,エックハルト・トール
Otto Graf Lambsdorff,オットー・グラーフ・ラムスドルフ
Alfred Einstein,アルフレート・アインシュタイン
Britta Heidemann,ブリッタ・ハイデマン
Roberto Hilbert,ロベルト・ヒルバート
Julia Jentsch,ユリア・イェンチ
Erhard Heiden,エアハルト・ハイデン
Karl Korsch,カール・コルシュ
Ernst Gräfenberg,エルンスト・グレフェンベルグ
Conrad Schumann,コンラート・シューマン
Hermann Scherchen,ヘルマン・シェルヘン
Ernst Kretschmer,エルンスト・クレッチマー
Aby Warburg,アビ・ヴァールブルク
Ken Adam,ケン・アダム
René Rast,レネ・ラスト
Andreas Deja,アンドレアス・デジャ
Heinz Nixdorf,ハインツ・ニクスドルフ
Herbert Rosenfeld,ハーバート・ロゼンフェルド
Frank Beyer,フランク・バイヤー
Ludwig Knorr,ルートヴィヒ・クノール
Hermann Paul Müller,ヘルマン・パウル・ミューラー
Max Littmann,マックス・リットマン
Matthias Habich,マティアス・ハビッヒ
Karl Mildenberger,カール・ミルデンバーガー
Paul Lorenzen,パウル・ローレンツェン
Margareta Kozuch,マルガレーテ・コズーフ
Manfred Schnelldorfer,マンフレート・シュネルドルファー
Fırat Arslan,フィラット・アルスラン
Wolf Kahler,ヴォルフ・カーラー
Heinrich Hoerle,ハインリヒ・ホーレ
James Kwast,ジェームス・クヴァスト
Gustav Herglotz,グスタフ・ヘルグロッツ
Adolf Schlagintweit,アドルフ・シュラーギントヴァイト
Dietrich Adolf Hrabak,ディートリヒ・フラバク
Gerhard Hüsch,ゲルハルト・ヒュッシュ
Marie Karoline von Battenberg,マリー・フォン・バッテンベルク
Dietrich Eckart,ディートリヒ・エッカート
Wilhelm Backhaus,ヴィルヘルム・バックハウス
Alexander von Kluck,アレクサンダー・フォン・クルック
Lou Bega,ルー・ベガ
Heinrich Barkhausen,ハインリッヒ・バルクハウゼン
Jürgen Moltmann,ユルゲン・モルトマン
Paul Biedermann,パウル・ビーデルマン
Albrecht Mayer,アルブレヒト・マイヤー
Albert Bassermann,アルベルト・バッサーマン
Ernst August II. (Sachsen-Weimar-Eisenach),エルンスト・アウグスト2世・(ザクセン＝ヴァイマル＝アイゼナハ公)
Christine Magdalena von Pfalz-Zweibrücken-Kleeburg,クリスティーネ・マグダレーナ・フォン・プファルツ＝ツヴァイブリュッケン＝クレーブルク
Hans Conon von der Gabelentz,ハンス・コーノン・フォン・デア・ガーベレンツ
Christian Tetzlaff,クリスティアン・テツラフ
Harun Farocki,ハルーン・ファロッキ
Günther-Eberhardt Wisliceny,ギュンター＝エーベルハルト・ヴィスリツェニー
Georg (Bayern),ゲオルク・(バイエルン公)
Johann Hedwig,ヨハン・ヘートヴィヒ
Marcus Élieser Bloch,マルクス・エリエゼル・ブロッホ
Heinrich Kittel,ハインリヒ・キッテル
Johannes Abromeit,ヨハネス・アプロマイト
Richard Pfeiffer (Mediziner),リヒャルト・プファイファー
Raphael Liesegang,ラファエル・エデュアルト・リーゼガング
Walter Warzecha,ヴァルター・ヴァルツェハ
Andreas Prinz von Sachsen-Coburg und Gotha,アンドレアス・フォン・ザクセン＝コーブルク・ウント・ゴータ
Friedrich Ludwig (Pfalz-Zweibrücken-Landsberg),フリードリヒ・ルートヴィヒ・(プファルツ＝ツヴァイブリュッケン公)
Kaspar (Pfalz-Zweibrücken),カスパー・(プファルツ＝ツヴァイブリュッケン公)
Theodor Weißenberger,テオドール・ワイセンベルガー
Oskar Anderson (Statistiker),オスカー・アンダーソン
Verena Bentele,ベレーナ・ベンテレ
Ruprecht (Pfalz-Veldenz),ループレヒト・(プファルツ＝フェルデンツ公)
Wilhelm Ehm,ヴィルヘルム・エーム
Michael Stich,ミヒャエル・シュティヒ
Bernhard von Bülow,ベルンハルト・フォン・ビューロー
Michael Spindler,マイケル・スピンドラー
Simon Pauli (der Jüngere),ジーモン・パウリ
Rolf Singer,ロルフ・シンガー
August Wilhelm (Braunschweig-Wolfenbüttel),アウグスト・ヴィルヘルム・(ブラウンシュヴァイク＝ヴォルフェンビュッテル公)
Georg Marggraf,ゲオルク・マルクグラーフ
Johann August Carl Sievers,ヨハン・アウグスト・カール・ジーファース
Heino Ferch,ハイノ・フェルヒ
Augustus Quirinus Rivinus,アウグスト・クイリヌス・リヴィヌス
Max Amann (Politiker),マックス・アマン
Christian Träsch,クリスティアン・トレーシュ
Markus Beyer,マルクス・バイエル
Wilhelm Herrmann,ヴィルヘルム・ヘルマン
Gunda Niemann-Stirnemann,グンダ・ニーマン＝シュティルネマン
Ernst Troeltsch,エルンスト・トレルチ
Gottlob Berger,ゴットロープ・ベルガー
Franz Schmidberger,フランツ・シュミットバーガー
Bernhard II. (Braunschweig-Lüneburg),ベルンハルト2世・(ブラウンシュヴァイク＝リューネブルク公)
Klaus Schrodt,クラウス・シュロット
Ellen Brockhöft,エレン・ブロックヘフト
Simon August (Lippe),ジーモン・アウグスト・(リッペ＝デトモルト伯)
Maria Reiter,マリア・ライター
Pierre Kaffer,ピエール・カッファー
Charlotte von Hanau-Lichtenberg,シャルロッテ・フォン・ハーナウ＝リヒテンベルク
Friedrich Wilhelm II. (Sachsen-Altenburg),フリードリヒ・ヴィルヘルム2世・(ザクセン＝アルテンブルク公)
Peter Högl,ペーター・ヘーグル
Franz Wilhelm Prinz von Preußen,フランツ・ヴィルヘルム・フォン・プロイセン
Richardis von Schwerin,リヒャルディス・フォン・シュヴェリーン・(スウェーデン王妃)
Friedrich Wilhelm I. (Sachsen-Weimar),フリードリヒ・ヴィルヘルム1世・(ザクセン＝ヴァイマル公)
Heinz Tiessen,ハインツ・ティーセン
Hans Jüttner,ハンス・ユットナー
Max Warburg,マックス・ヴァールブルク
Benno Landsberger,ベンノ・ランツベルガー
Gottfried von Bismarck-Schönhausen,ゴットフリート・フォン・ビスマルク＝シェーンハウゼン
Walter Schottky,ヴァルター・ショットキー
Erich Koch,エーリヒ・コッホ
Ingrid Auerswald,イングリット・アウアースバルト
Philipp Bouhler,フィリップ・ボウラー
Sven Ulreich,スヴェン・ウルライヒ
Adolf Heusinger,アドルフ・ホイジンガー
Nadine Keßler,ナディネ・ケスラー
Karl Ewald Hasse,カール・エーヴァルト・ハッセ
Albert von Schrenck-Notzing,アルベルト・フォン・シュレンク＝ノッチング
Elisabeth Henriette von Hessen-Kassel,エリーザベト・ヘンリエッテ・フォン・ヘッセン＝カッセル
Ludwig VII. (Bayern),ルートヴィヒ7世・(バイエルン公)
Wilhelm Gliese,ヴィルヘルム・グリーゼ
Adolf Wild von Hohenborn,アドルフ・ヴィート・フォン・ホーエンボルン
Alfred Müller-Armack,アルフレート・ミュラー＝アルマック
Hugo Junkers,フーゴー・ユンカース
Martin Harnik,マーティン・ハルニック
Walther Wenck,ヴァルター・ヴェンク
Joachim von Preußen,ヨアヒム・フォン・プロイセン
