Diego Velázquez,ディエゴ・ベラスケス
Gonzalo Castro Irizábal,ゴンサロ・カストロ・イリサバル
Diego Costa,ジエゴ・ダ・シウヴァ・コスタ
Arly Jover,アーリー・ジョヴァー
Raimon Panikkar,ライモン・パニカー
Albert Celades,アルベルト・セラーデス
Albert Ramos,アルベルト・ラモス＝ビノラス
Migueli,ミゲル・ベルナルド
Jordi Pujol,ジョルディ・プジョール
Amr Waked,アムール・ワケド
Miguel Reina,ミゲル・レイナ
Roberto Álamo,ロベルト・アラモ
Karra Elejalde,カラ・エレハルデ
Rosalía Mera,ロザリア・メラ
Juanra Cabrero,フアン・ラモン・カブレーロ
Christian Poveda,クリスチャン・ポヴェダ
Bodo Illgner,ボド・イルクナー
Juan Carreño de Miranda,フアン・カレーニョ・デ・ミランダ
Damià Abella,ダミア・アベジャ・ペレス
Miguel Flaño,ミゲル・フラーニョ
Antonio Palomino,アントニオ・パロミーノ
Antonio de Pereda,アントニオ・デ・ペレーダ
Iñigo Larrainzar,イニゴ・ララインサル
Antonio Casas,アントニオ・カサス
Antonio Colom,アントニオ・コロム
Federico Gravina,フェデリコ・グラビーナ
Rafael Pascual (voleibolista),ラファエル・パスカル
Ramón Calderé,ラモン・カルデレ
Marcos Alonso Peña,マルコス・アロンソ・ペーニャ
Pablo Maqueda,パブロ・マケーダ
Óliver Torres,オリベル・トーレス
Borja Valero,ボルハ・バレロ
Gonzalo López-Gallego,ゴンサーロ・ロペス＝ガイェゴ
Alejandro Valverde,アレハンドロ・バルベルデ
Iván Marcano,イバン・マルカノ
Francisco Fernández de Capillas,フランシスコ・フェルナンデス・デ・カピリャス
Chano Domínguez,チャノ・ドミンゲス
Lorenzo Sanz,ロレンソ・サンス
Laure Sanabria,ラウレアーノ・サナブリア・ルイス
Pello Bilbao,ペリョ・ビルバオ
Albert Crusat,アルベルト・クルサット
Pilar Lorengar,ピラール・ローレンガー
Ion Izagirre,ヨン・イサギレ
José Luis Abajo,ホセ・ルイス・アバホ
Ignacio Zuloaga,イグナシオ・スロアガ
Juan Marsé,フアン・マルセー
Ramón Sampedro,ラモン・サンペドロ
Héctor Faubel,エクトル・ファウベル
Javier Camuñas Gallego,ハビエル・カムーニャス
Voro,サルバドール・ゴンサーレス・マルコ
Alfonso Carlos de Borbón,アルフォンソ・カルロス・デ・ボルボン・(サン・ハイメ公)
Cayetana Fitz-James Stuart,カイエターナ・フィツ＝ハメス・ストゥアルト
Óscar de Marcos,オスカル・デ・マルコス
Constanza II de Sicilia,コンスタンサ・デ・シシリア
María Josefa Carmela de Borbón,マリア・ホセファ・デ・ボルボン
Toño Martínez,アントニオ・ロドリゲス・マルティネス
Antonio Tapia,アントニオ・タピア
Antonio Suárez,アントニオ・スアレス
Diego de Pantoja,ディエゴ・デ・パントーハ
Sofía de Borbón,ソフィア・デ・ボルボン
Iñaki Azkuna,イニャキ・アスクナ
Philip Barker Webb,フィリップ・バーカー＝ウェッブ
Mikel Rico,ミケル・リコ
Severino Reija,セベリーノ・レイハ
Gioconda Belli,ジョコンダ・ベッリ
Eladio Silvestre,エラディオ・シルベストレ
Aythami Artiles,アイタミ・アルティレス
Miguel Pardeza,ミゲル・パルデサ
Carlos Checa,カルロス・チェカ
Rafael Gordillo,ラファエル・ゴルディージョ
Ricardo Gallego,リカルド・ガジェゴ
Javi de Pedro,ハビエル・デ・ペドロ
Roldán Rodríguez,ロルダン・ロドリゲス
Chendo,ミゲル・ポルラン
Marino Lejarreta,マリノ・レハレタ
Antonio Álvarez Giráldez,アントニオ・アルバレス
Toño de la Cruz,アントニオ・デラ・クルス
Óscar de la Renta,オスカー・デ・ラ・レンタ
Joaquina de Vedruna,ホアキナ・デ・ベドゥルナ
Enrique Saura,エンリケ・サウラ
Maya Plisétskaya,マイヤ・プリセツカヤ
Enrique Líster,エンリケ・リステル
José Luis Mendilibar,ホセ・ルイス・メンディリバル
Antonio Ruiz-Pipó,アントニオ・ルイス＝ピポー
Gaspar de Portolá,ガスパル・デ・ポルトラ
Xavi Torres,シャビ・トーレス
Kirmen Uribe,キルメン・ウリベ
Javi Fuego,ハビ・フエゴ
Josu Urrutia,ホス・ウルティア
Aitana Sánchez-Gijón,アイタナ・サンチェス＝ギヨン
Björn Dunkerbeck,ビヨン・ダンカーベック
Àngel Rangel,アンヘル・ランヘル
Óscar Javier González Marcos,オスカル・ハビエル・ゴンサレス・マルコス
Óscar Domínguez,オスカル・ドミンゲス
La Argentina (bailarina),ラ・アルヘンティーナ
Óscar García Junyent,オスカル・ガルシア・ジュニエント
Beñat Intxausti,ベニャト・インチャウスティ
Gabriel Campillo,ガブリエル・カンピージョ
Periko Alonso,ペリコ・アロンソ
Antonio Olaguer Feliú,アントニオ・オラゲール・イ・フェリウー
Luis Antonio García Navarro,ルイス・アントニオ・ガルシア・ナバロ
Tania Lamarca,タニア・ラマルカ
Imanol Erviti,イマノル・エルビティ
Francisco de Paula de Borbón,フランシスコ・デ・パウラ・デ・ボルボン
César Azpilicueta,セサル・アスピリクエタ
Enrique Granados,エンリケ・グラナドス
Jesús Ángel García Bragado,ヘスス・アンヘル・ガルシア
Rosalía de Castro,ロサリア・デ・カストロ
Javier Gómez Noya,ハビエル・ゴメス
Patricia Moreno,パトリシア・モレーノ
Carolina Pascual,カロリーナ・パスクアル
Eusebio Güell,エウゼビ・グエイ
Juanito Gómez,フアン・ゴメス・ゴンサレス
Miguel Januario de Braganza,ミゲル2世・デ・ブラガンサ
Pilar López de Ayala,ピラール・ロペス・デ・アジャラ
Dani Abalo,ダニ・アバロ
Andrea Orlandi,アンドレア・オルランディ
Dani (futbolista),ダニエル・ルイス
Óscar Serrano Rodríguez,オスカル・セラーノ
Óscar Pujol,オスカル・プジョル
Óscar López Hernández,オスカル・ロペス
Óscar Sevilla,オスカル・セビリャ
Joaquín (futbolista),ホアキン・サンチェス
Mariano Lagasca,マリアーノ・ラガスカ・イ・セグーラ
Jon Sobrino,ヨン・ソブリノ
Derik Osede,デリク・オセデ
Esther San Miguel Busto,エステール・サン・ミゲル
Carlos del Cerro Grande,カルロス・デル・セロ・グランデ
Ricardo Zamora,リカルド・サモラ
Vicente Rodríguez Guillén,ビセンテ・ロドリゲス
George Meade,ジョージ・ミード
José Luis Arrieta,ホセ・ルイス・アリエタ
Iván Helguera,イバン・エルゲラ
Carlos Ruiz Zafón,カルロス・ルイス・サフォン
David Albelda,ダビド・アルベルダ
Gaizka Mendieta,ガイスカ・メンディエタ
Tirso de Molina,ティルソ・デ・モリーナ
Luis García Sanz,ルイス・ハビエル・ガルシア・サンス
Saúl Ñíguez,サウール・ニゲス
Juan Martínez Montañés,フアン・マルティネス・モンタニェース
Nikola Mirotić,ニコラ・ミロティッチ
Recio (futbolista),ホセ・ルイス・ガルシア・デル・ポソ
Pablo Nieto,パブロ・ニエト
Julio Velázquez,フリオ・ベラスケス
Delfí Geli,デルフィ・ヘリ
David Russell,デイヴィッド・ラッセル
David Castedo,ダビド・カステド
David Cerrajería,ダビド・セラヘリア
Alba Torrens,アルバ・トーレンス
Lola Forner,ローラ・フォルネル
Ladislao Kubala,ラディスラオ・クバラ
Unai Emery,ウナイ・エメリ
Nico Terol,ニコラス・テロル
Íñigo Cuesta,イニィーゴ・クエスタ
Carlos Saura,カルロス・サウラ
Ezequiel Mosquera,エセキエル・モスケラ
Ricardo Alós,リカルド・アロス
Ricky Cardús,リカルド・カルダス
Veljko Paunović,ヴェリコ・パウノヴィッチ
Patxi López,パチ・ロペス
Ruy López de Segura,ルイ・ロペス・デ・セグラ
Jeanette,ジャネット・(イギリスの歌手)
Samuel Sánchez,サムエル・サンチェス
Jorge Valdano,ホルヘ・バルダーノ
David Bisbal,ダビッド・ビスバル
Josep Lluís Sert,ホセ・ルイ・セルト
Paco Rabanne,パコ・ラバンヌ
Grigori Sokolov,グリゴリー・ソコロフ
José María Jiménez,ホセ・マリア・ヒメネス
Miquel Soler,ミケル・ソレール
Javi Márquez,ハビ・マルケス
Manuela Velasco,マヌエラ・ベラスコ
Fernando Sunyer,フェラン・スニェール
Juan del Encina,フアン・デル・エンシーナ
Vero Boquete,ベロニカ・ボケーテ
He Zhi Wen,何志文
Albert Montañés,アルベルト・モンタニェス
Antonio López (futbolista nacido en 1981),アントニオ・ロペス
Javier Clemente,ハビエル・クレメンテ
Vespasiano I Gonzaga,ヴェスパシアーノ・ゴンザーガ
Javier Marías,ハビエル・マリアス
Santiago Carrillo,サンティアゴ・カリーリョ
Ramón Mercader,ラモン・メルカデル
Dani Navarro,ダニエル・ナバーロ
Alberto Botía,アルベルト・ボティア
Isidro Lángara,イシドロ・ランガラ
Nieves Navarro,ニエベス・ナバロ
Ana Botín,アナ・ボティン
Rubén Baraja,ルベン・バラハ
Federico Moreno Torroba,フェデリコ・モレーノ・トローバ
Félix de Azara,フェリックス・デ・アサーラ
Carlos Marín (cantante),カルロス・マリン
Jaume Balagueró,ジャウマ・バラゲロ
Eduard Fernández,エドゥアルド・フェルナンデス・(俳優)
Enrique García Asensio,エンリケ・ガルシーア・アセンシオ
Ángel Nieto Aguilar,アンヘル・ニエト・ジュニア
Félix Sesúmaga,フェリックス・セスマガ
Luis Sotelo,ルイス・ソテロ
Cipriano Portocarrero,シプリアーノ・パラフォクス・イ・ポルトカレッロ
Pedro Morenés,ペドロ・モレネス
Pedro Obiang,ペドロ・オビアング
Kiril Jaliavin,キリル・ハリャヴィン
Peru Zaballa,ペドロ・サバリャ
Sergi Vidal,セルジ・ビダル
José Cubiles,ホセ・クビレス
Sergi Enrich,セルジ・エンリク
Cristina Garmendia,クリスティーナ・ガルメンディア
Rosa Chacel,ロサ・チャセル
Bigas Luna,ビガス・ルナ
Diego Camacho Quesada,ディエゴ・カマーチョ
Manuel Marín,マヌエル・マリン
Víctor Fernández,ビクトル・フェルナンデス
Diego Mariño,ディエゴ・マリーニョ
Diego Durán,ディエゴ・ドゥラン
Diego Laínez (jesuita),ディエゴ・ライネス・(イエズス会総長)
José Ramón Sandoval,ホセ・ラモン・サンドバル
Guillermo Cabrera Infante,ギリェルモ・カブレラ＝インファンテ
Héctor Font,エクトル・フォント
Aarón Ñíguez,アーロン・ニゲス
José Durán Pérez,ホセ・デュラン
Domingo de Soto,ドミンゴ・デ・ソト
Domingo Matheu,ドミンゴ・マテウ
Albert Luque,アルベルト・ルケ
Joaquín Almunia,ホアキン・アルムニア
Wellington Paulista,ヴェリントン・ペレイラ・ド・ナシメント
Universidad de Alcalá,アルカラ大学
Sergio Ramos,セルヒオ・ラモス
Guillermo García López,ギリェルモ・ガルシア＝ロペス
Gerardo Torrado,ヘラルド・トラード
Francisco de Miranda,フランシスコ・デ・ミランダ
Joan Laporta,ジョアン・ラポルタ
Pedro León (futbolista),ペドロ・レオン
Antón Lamazares,アントン・ラマザレス
Javier Olaizola,ハビエル・オライソラ
Rivaldo,リバウド
Nacho Fernández Iglesias,ホセ・イグナシオ・フェルナンデス・イグレシアス
Felipe Poey,フェリペ・ポエ
Manuel Castells,マニュエル・カステル
Fernando Navarro Corbacho,フェルナンド・ナバーロ
Luisa Teresa de Borbón,ルイサ・テレサ・デ・ボルボン
Ángel Pedraza,アンヘル・ペドラサ
Josefa Fernanda de Borbón,ホセフィーナ・フェルナンダ・デ・ボルボン
Diego Velázquez de Cuéllar,ディエゴ・ベラスケス・デ・クエリャル
Juan Carlos Navarro,フアン・カルロス・ナバーロ
Valeri Karpin,ヴァレリー・カルピン
Antonio Adán,アントニオ・アダン
José Carreras,ホセ・カレーラス
Samu Saiz,サムエル・サイス
Nacho Vidal,ナチョ・ビダル
Samuel Eto'o,サミュエル・エトー
Antonio López García,アントニオ・ロペス・ガルシア
José Luis Guerín,ホセ・ルイス・ゲリン
Jesús Iñigo Liceranzu,ヘスス・イニゴ・リセランス
Juan Carlos Arteche,フアン・カルロス・アルテチェ
Ander Mirambell,アンデル・ミランベル
Jesús Garay Vecino,ヘスス・ガライ
Alberto Toril,アルベルト・トリル
Ferenc Puskás,フェレンツ・プスカシュ
David Lombán,ダビド・ロンバン
Pruden,プルデン
Ana Wagener,アナ・ワヘネル
Míchel Herrero,ミゲル・アルフォンソ・エレーロ
Ander Herrera,アンデル・エレーラ
Jesús Landáburu,ヘスス・ランダブル
Gemma Mengual,ヘマ・メングアル
Joan Massià,ジュアン・マッシア
Andrés Túñez,アンドレス・トゥニェス
Joseba Etxeberria,ホセバ・エチェベリア
Javi García,フランシスコ・ハビエル・ガルシア
Luis de Narváez,ルイス・デ・ナルバエス
Esperanza Aguirre,エスペランサ・アギーレ
Nicanor Zabaleta,ニカノール・サバレタ
Álvaro de Orleans-Borbón y Sajonia-Coburgo y Gotha,アルバロ・デ・オルレアンス
Marc Bartra,マルク・バルトラ
Alberto Undiano Mallenco,アルベルト・ウンディアーノ
Francisco Ayala,フランシスコ・アヤラ・(作家)
Juan Carlos Valerón,フアン・カルロス・バレロン
Ramón María del Valle-Inclán,ラモン・デル・バリェ＝インクラン
Sergi Bruguera,セルジ・ブルゲラ
José Antonio Camacho,ホセ・アントニオ・カマーチョ
Miguel Ángel Nadal,ミゲル・アンヘル・ナダル
Diego Ortiz,ディエゴ・オルティス
Paco Gento,フランシスコ・ヘント
Gonzalo Torrente Ballester,ゴンサロ・トレンテ・バジェステル
Oskar Vales,オスカル・バレス
Roberto Fresnedoso,ロベルト・フレスネドソ
Miguel de Andrés,ミゲル・デ・アンドレス
Alejandro O'Reilly,アレハンドロ・オレイリー
Juan Carlos Gómez Díaz,フアン・カルロス・ゴメス
Denis Suárez,デニス・スアレス・フェルナンデス
Antonio Carlos Ortega,アントニオ・カルロス・オルテガ
Josep Borrell,ジョセップ・ボレル
Alejandro Farnesio (duque de Parma),アレッサンドロ・ファルネーゼ・(パルマ公)
Vicente Iborra de la Fuente,ビセンテ・イボーラ
