Григорий Яковлевич Перельман,グリゴリー・ペレルマン
"Тихонов, Владимир Ильич",ウラジーミル・チーホノフ
Николай Николаевич Цуканов,ニコライ・ツカノフ
Леонид Михайлович Щербаков,レオニード・シチェルバコフ
Григорий Давидович Брускин,グリシャ・ブルスキン
Владимир Константинович Трошин,ウラジーミル・トロ―シン
Александр Сергеевич Демьяненко,アレクサンドル・デミヤネーンコ
"Самарин, Иван Алексеевич",イヴァン・サマリン
"Миненков, Андрей Олегович",アンドレイ・ミネンコフ
Андрей Павлович Петров,アンドレイ・ペトロフ
Олег Викторович Новицкий,オレッグ・ノヴィツキー
Дмитрий Андреевич Василенко,ドミトリー・ワシレンコ
Сергей Михайлович Слонимский,セルゲイ・スロニムスキー
Андрей Петрович Капица,アンドレイ・カピッツァ
"Епишин, Андрей Сергеевич",アンドレイ・エピシン
"Моисеев, Андрей Сергеевич",アンドレイ・モイセエフ
Игорь Николаевич Смирнов,イーゴリ・スミルノフ
Дмитрий Турсунов,ドミトリー・トゥルスノフ
Борис Абрамович Березовский,ボリス・ベレゾフスキー
Владимир Андреевич Успенский,ウラジーミル・ウスペンスキー
Валентина Полханова,ヴァレンティナ・ポルハノヴァ
Лев Борисович Окунь,レフ・オクン
"Мансуров, Фуат Шакирович",ファト・マンスーロフ
Андрей Васильевич Мягков,アンドレイ・ミヤフコフ
Андрей Викторович Борейко,アンドレイ・ボレイコ
Александр Николаевич Яковлев,アレクサンドル・ニコラエヴィチ・ヤコヴレフ
Андриян Григорьевич Николаев,アンドリアン・ニコラエフ
Михаил Иванович Лапшин,ミハイル・ラプシン
Валерий Викентьевич Минько,ヴァレリー・ミンコ
Александр Георгиевич Тишанин,アレクサンドル・チシャーニン
Евгений Рошал,ユージン・ローシャル
Игорь Васильевич Таланкин,イーゴリ・タランキン
Валентин Козьмич Иванов,ワレンチン・イワノフ
"Колодин, Денис Алексеевич",デニス・コロディン
"Клименко, Глеб Викторович",グレプ・クリメンコ
Екатерина Валерьевна Макарова,エカテリーナ・マカロワ
Виктор Михайлович Чебриков,ヴィクトル・チェブリコフ
Максим Михайлович Михайлов,マキシム・ミハイロフ
Сергей Копылов,セルゲイ・コピロフ
Борис Всеволодович Громов,ボリス・グロモフ
Андрей Владимирович Гаврилов,アンドレイ・ガヴリーロフ
"Грязев, Андрей Владимирович",アンドレイ・グリアゼフ
Вячеслав Васильевич Тихонов,ヴャチェスラフ・チーホノフ
Сергей Богданович Семак,セルゲイ・セマク
Андрей Владимирович Козырев,アンドレイ・コズイレフ
"Лутай, Андрей Владимирович",アンドレイ・ルータイ
Андрей Андреев,アンドレ・アンドレイエフ
"Маркин, Виктор Фёдорович",ビクトル・マルキン
Богдан Витальевич Пищальников,ボグダン・ピシャルニコワ
Антон Алексеевич Баков,アントーン・バーコフ
"Катушев, Константин Фёдорович",コンスタンチン・カツシェフ
Константин Лифшиц,コンスタンチン・リフシッツ
"Замковой, Андрей Викторович",アンドレイ・ザンコボイ
Андрей Владимирович Богданов,アンドレイ・ボグダーノフ
Александр Золотинскович Анкваб,アレクサンドル・アンクヴァブ
Владимир Александрович Шаталов,ウラジーミル・シャタロフ
"Воронин, Сергей Михайлович",セルゲイ・ヴォロニン
Кирсан Николаевич Илюмжинов,キルサン・イリュムジーノフ
Василий Семёнович Гроссман,ヴァシリー・グロスマン
Александр Сергеевич Морозевич,アレクサンドル・モロゼヴィッチ
Роман Сергеевич Шаронов,ロマン・シャロノフ
"Гуревич, Георгий Иосифович",ゲオルギー・グレーヴィッチ
