Polska,波蘭
Siły Powietrzne,波兰空军
Prusy,普鲁士地区
MTV Polska,MTV波蘭
Wilga,維爾加河 (加爾沃林)
Pałac Prymasowski w Warszawie,大主教宮 (華沙)
Pałac Teppera-Dückerta w Warszawie,四風宮
Bazylika św. Franciszka z Asyżu w Krakowie,圣方济各圣殿
Muzeum Narodowe we Wrocławiu,弗羅茨瓦夫國家博物館
Netta,內塔河
Lotnisko Warszawa-Babice,华沙巴比采机场
Krzywiń,克日溫
Kamieńsk,卡緬斯克
Skaryszew,斯卡雷謝夫
Halinów,哈利努夫
Chęciny,亨齊內
Koprzywnica,戈不里斯夫尼卡
Muzeum Kolejnictwa w Warszawie,華沙鐵路博物館
Reprezentacja Polski w hokeju na lodzie kobiet,波蘭國家女子冰球隊
Kościół Nawiedzenia Najświętszej Maryi Panny w Warszawie,聖母親訪教堂
Wesoła,維索拉區
Suwalszczyzna,苏瓦尔凯地区
Hala Sportowo-Widowiskowa Gdynia,格地尼亞競技場
Krzyżtopór,庫茲托波爾城堡
powiat buski,布斯科縣
powiat leski,萊斯科縣
powiat rzeszowski,熱舒夫縣
powiat łęczyński,文奇納縣
parki narodowe w Polsce,波兰国家公园
Mistrzostwa Europy w Łyżwiarstwie Figurowym 2007,2007 華沙
żołnierze wyklęci,被詛咒的士兵
Zamek w Nidzicy,濟察城堡
Stadion Widzewa Łódź,韋捷瓦體育場
Czarni Żagań,薩根足球會
Bazylika św. Elżbiety Węgierskiej we Wrocławiu,弗罗茨瓦夫圣伊丽莎白教堂
Mamry,马姆雷湖
powiat łódzki wschodni,東羅茲縣
Olza,奥尔扎河
Sulęcin,苏伦钦乡
Wielka Orkiestra Świątecznej Pomocy,聖誕慈善大樂隊
powiat leżajski,萊扎伊斯克縣
Wojnicz,沃伊尼奇
Festiwal Kultury Żydowskiej w Krakowie,克拉科夫猶太文化節
Maszt radiowy w Konstantynowie,華沙電台廣播塔
powiat piaseczyński,皮亞塞奇諾縣
Kukułowo,庫庫窩佛
Ambasada Turcji w Polsce,土耳其駐波蘭大使館
Ruda,哈默弗利斯河
Europejskie Siły Żandarmeryjne,歐盟國家憲兵
Małkinia Górna,上马乌基尼亚
Pomarańczowa Alternatywa,橙色運動
Słowiński Park Narodowy,斯沃溫斯基國家公園
Cmentarz Mauzoleum Żołnierzy Radzieckich,華沙蘇聯軍人公墓
Orszak Trzech Króli,东方三博士狂欢游行
PLL LOT 007,LOT波蘭航空007號班機空難
Nowe Miasto,华沙新城区
powiat kazimierski,卡齊米日縣
powiat jędrzejowski,延傑尤夫縣
Opera Wrocławska,弗羅茨瓦夫歌劇院
Pulwa,普爾瓦河
Sobótka,索布特卡
Kąty Wrocławskie,弗羅茨瓦夫的孔蒂
Sahryń,薩赫林
Port lotniczy Wrocław-Strachowice,樂斯拉夫
Barbakan w Warszawie,華沙甕城
Kościół św. Anny w Warszawie,聖安妮教堂
Kościół Matki Bożej Łaskawej w Warszawie,耶穌會教堂
People Can Fly,People Can Fly
linia kolejowa nr 65,國鐵第65線
Brusy,布魯瑟
Collegium Maius Uniwersytetu Jagiellońskiego,克拉科夫大學院
powiat włoszczowski,弗沃什喬瓦縣
droga krajowa w Polsce,波蘭國道
Kłecko,克韋茨科
Warsaw Snooker Tour,2007年华沙斯诺克巡回赛
Plac Zamkowy w Warszawie,城堡广场
Hala Targowa przy ul. Piaskowej we Wrocławiu,弗罗茨瓦夫集市大厅
Orzyc,奧日茨河
Warszawski Międzynarodowy Festiwal Filmowy,华沙国际电影节
Nasielsk,納謝爾斯克
powiat zambrowski,贊布魯夫縣
Bitwa pod Tomaszowem Lubelskim,Tomaszów Lubelski戰役
III liga polska w piłce nożnej,波兰足球丁级联赛
Skalbmierz,斯卡爾布梅日
Chmielnik,赫梅爾尼克
powiat kielecki,凱爾采縣
Karczew,卡爾切夫
Chorzele,霍熱萊
powiat myszkowski,梅什庫夫縣
powiat kraśnicki,克拉希尼克縣
powiat przeworski,普熱沃斯克縣
powiat kołobrzeski,科沃布熱格縣
powiat olkuski,奧爾庫什縣
Biblioteka Uniwersytecka w Warszawie,華沙大學圖書館
Rakoniewice,拉科涅維采
Port Gdańsk,格但斯克港
Żydowski Instytut Historyczny im. Emanuela Ringelbluma,犹太历史学会
Wigry,維格雷湖
powiat sanocki,薩諾克縣
Witkowo,維特科沃
Różan,羅贊
powiat wadowicki,瓦多維采縣
powiat limanowski,利馬諾瓦縣
powiat konecki,孔斯凱縣
powiat ropczycko-sędziszowski,羅普奇采-森濟舒夫縣
powiat jasielski,亞斯沃縣
Uniwersytet Muzyczny Fryderyka Chopina w Warszawie,蕭邦音樂大學
powiat świdwiński,希維德溫縣
Kolegium Europejskie,歐洲學院
Ulica Nowy Świat w Warszawie,新世界街
Suwerenna Polska,主权波兰
Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach,波蘭國家廣播交響樂團
Rada Ministrów w Polsce,波兰部长会议
Ruch Palikota,帕利科特運動
Muzeum Historii Polskiego Ruchu Ludowego,波蘭農民運動博物館
Halowe Mistrzostwa Świata w Lekkoatletyce 2014,2014年世界室內田徑錦標賽
Pogrom w Krakowie,克拉科夫反犹骚乱
Krakowski Szybki Tramwaj,克拉科夫快速電車
Libiąż,利比翁日
Kowal,科瓦爾
powiat tczewski,特切夫縣
powiat sztumski,什圖姆縣
Tygodnik Solidarność,团结周刊
pałac Kazimierzowski w Warszawie,卡齊米日宮
Ulica Piotrkowska,皮歐考斯卡大街
Czarna Hańcza,黑汉恰河
powiat zgierski,茲蓋日縣
powiat białostocki,比亞韋斯托克縣
powiat łomżyński,沃姆扎縣
powiat sochaczewski,索哈切夫縣
Skwierzyna,斯克維日納
Gorzów Śląski,希隆斯克地區戈茹夫
Kościół św. Anny w Krakowie,聖安妮教堂 (克拉科夫)
Związek Bojowników o Wolność i Demokrację,自由与民主斗士协会
powiat hajnowski,哈伊努夫卡縣
Łeba,韋巴河
Torzym,托日姆
Opoczno,奧波奇諾
Wólka Okrąglik,武尔卡奥克兰格里克
Miłomłyn,米沃姆溫
Lądek-Zdrój,隆代克-茲德魯伊
Dobrzyń nad Wisłą,維斯瓦河畔多布任
Bychawa,貝哈瓦
powiat żywiecki,日維茨縣
Brzeg Dolny,下布熱格
Brzezinka,布热津卡
Międzylesie,緬濟萊謝
Małomice,馬沃米采
Radków,拉德庫夫
Pałac w Mosznej,莫斯納城堡
Młoda Polska,青年波蘭
Centralny Okręg Przemysłowy,中央工业区
Kolno,科爾諾
Uniwersytet Marii Curie-Skłodowskiej w Lublinie,居里夫人大学
Reprezentacja Polski w piłce siatkowej kobiet,波兰国家女子排球队
Opera Śląska,西里西亞歌劇院
powiat sieradzki,謝拉茲縣
powiat augustowski,奧古斯圖夫縣
powiat mrągowski,姆龍戈沃縣
Wieprz,維普日河
Alstom Konstal,康斯塔爾
Ośrodek KARTA,卡尔塔基金会
Wiadomości,新聞
Tłuszcz,特武什奇
Pałac Brühla w Warszawie,布呂爾宮
Czersk,基瑟斯克
powiat łańcucki,萬楚特縣
powiat bielski,別爾斯科郡 (西利西亞省)
powiat grajewski,格拉耶沃縣
powiat siemiatycki,謝米亞蒂切縣
Stocznia Szczecińska Nowa,什切青造船廠
Besko,别斯科乡
Tanew,塔內夫河
Muzeum Niepodległości w Warszawie,獨立博物館
Klasztor Karmelitów Bosych w Przemyślu,加尔默罗会教堂
Kongres Nowej Prawicy,新右派大會
powiat grodziski,馬佐夫舍地區格羅濟斯克縣
powiat wysokomazowiecki,馬佐夫舍地區維索凱縣
powiat pajęczański,帕延奇諾縣
Suraż,蘇拉日
ISO 3166-2:PL,ISO 3166-2:PL
powiat stargardzki,什切青縣
powiat tarnowski,塔爾努夫縣
Samoobrona Rzeczpospolitej Polskiej,波兰共和国自卫党
Mariensztat,马林施塔特区
Fablok,Fablok工厂
Muzeum Plakatu w Wilanowie,海報博物館
droga ekspresowa,波兰快速公路
Stadion Polonii Warszawa,華沙波蘭人體育場
Narodowe Święto Niepodległości,波蘭國家獨立日
powiat białogardzki,比亞沃加德縣
Pałac Janaszów-Czackich w Warszawie,雅納茲宮
Księstwo lwóweckie,勒武韋克公爵
Marki,馬爾基
Sokołów Podlaski,波德拉謝地區索科武夫
Pojazdy Szynowe Pesa Bydgoszcz,PESA比得哥什
Rozewie,罗泽维耶海岬
Eparchia wrocławsko-gdańska,烏克蘭希臘禮天主教弗羅茨瓦夫-格但斯克教區
powiat człuchowski,奇武胡夫縣
powiat bartoszycki,巴爾托希采縣
Szubin,舒賓
Wiązów,維翁祖夫
Park Narodowy „Bory Tucholskie”,圖霍拉森林國家公園
Modlin,莫德林
Szamocin,沙莫欽
Mieroszów,梅羅舒夫
Rydzyna,雷濟納
Lipsk,利普斯克
Ciechanowiec,切哈諾維茨
Enter Air,輸入航空
PKP Polskie Linie Kolejowe,PKP波蘭鐵路線
Góry Izerskie,伊澤拉山脈
Pawłokoma,帕夫沃科馬
Iłża,伊烏扎
Kleczew,克萊切夫
Warsaw Spire,華沙尖頂
Nowa Maliszewa,新马里舍瓦
powiat dąbrowski,棟布羅瓦縣
Stowarzyszenie „Wspólnota Polska”,波蘭社群協會
Pyrzowice,皮爾佐維斯
Nowogrodziec,諾沃格羅傑茨
Stare Miasto w Warszawie,华沙老城
powiat starogardzki,格但斯克舊城縣
powiat kwidzyński,克維曾縣
województwo bialskopodlaskie,比亞瓦-波德拉斯卡省
powiat ełcki,埃烏克縣
powiat zawierciański,扎維爾切縣
Reprezentacja Polski w piłce siatkowej mężczyzn,波蘭國家男子排球隊
powiat kętrzyński,肯琴縣
powiat sejneński,塞伊內縣
Hotel Bristol w Warszawie,布里斯托酒店
Hotel Monopol we Wrocławiu,莫諾普爾酒店
powiat wejherowski,韋伊海羅沃縣
powiat działdowski,賈烏多沃縣
powiat nowodworski,馬佐夫舍地區新莊園縣
powiat bytowski,貝圖夫縣
powiat słupski,斯武普斯克縣
powiat nidzicki,尼濟察縣
powiat ostrowski,馬佐夫舍地區奧斯特魯夫縣
powiat iławski,伊瓦瓦縣
powiat radomszczański,拉多姆斯科縣
Węgorzyno,文戈日諾
powiat chrzanowski,赫扎努夫縣
bazylika archikatedralna św. Stanisława Kostki w Łodzi,圣达尼老圣殿总主教座堂
Mistrzostwa Świata w Biegach Przełajowych 2010,2010年世界越野錦標賽
Szczawnica,什恰夫尼察
Toszek,托謝克
Sopot Festival,索波特国际歌唱节
Praga,布拉格 (華沙)
Treblinka,特雷布林卡
Archidiecezja białostocka,天主教比亚韦斯托克总教区
archidiecezja wrocławska,天主教弗罗茨瓦夫总教区
powiat suwalski,蘇瓦烏基縣
Mokotów,莫科托夫區
Iławka,伊瓦夫卡河
kościół archiprezbiterialny pw. Wniebowzięcia Najświętszej Marii Panny w Krakowie,圣母圣殿
powiat sandomierski,桑多梅日縣
powiat poddębicki,波德登比采縣
powiat olecki,奧萊茨科縣
Plac Trzech Krzyży,三十字广场
Sędziszów,森濟舒夫
Olsztynek,奧爾什蒂內克
Województwo katowickie (1975–1998),卡托維茲省
Sytuacja prawna i społeczna osób LGBT w Polsce,波蘭LGBT權益
Kościół Wizytek w Warszawie,聖母訪親女修會教堂
Zimowa Uniwersjada 1993,1993年冬季世界大學生運動會
Port lotniczy Poznań-Ławica,波茲南-拉威卡機場
Kietrz,凱奇
Szczawno-Zdrój,斯察烏諾-佐爾
Kalety,卡萊蒂
Suwalszczyzna/Suvalkija,苏瓦尔基亚
Cybinka,齊賓卡
Stawiszyn,斯塔維申
Brama Floriańska w Krakowie,圣福里安门
Trybunał Konstytucyjny,波兰共和国宪法法院
Wielichowo,維利霍沃
Poniec,波涅茨
powiat elbląski,埃爾布隆格縣
Krośniewice,克羅希涅維采
Krasnobród,克拉斯諾布魯德
Pakość,帕科希奇
Piotrków Kujawski,庫亞維地區彼得庫夫
powiat mikołowski,米科武夫縣
powiat cieszyński,切申縣
Socjaldemokracja Rzeczypospolitej Polskiej,波兰共和国社会民主党
Siarka Tarnobrzeg,塔爾諾布熱格籃球隊
Pałac Potockich w Warszawie,波托茨基宮
zamek królewski w Sanoku,薩諾克城堡
Pałac Jabłonowskich w Warszawie,雅布羅夫斯基宮
Orlanka,奧爾蘭卡河
Pszów,普舒夫
Ustroń,烏斯特龍
Turystyka w Polsce,波蘭觀光
Muszyna,穆希納
Muzeum Sztuki w Łodzi,罗兹艺术博物馆
powiat rawski,拉瓦縣
Archidiecezja lubelska,天主教卢布林总教区
Archidiecezja szczecińsko-kamieńska,天主教什切青-卡缅总教区
Archidiecezja łódzka,天主教罗兹总教区
Archieparchia przemysko-warszawska,烏克蘭希臘禮天主教普熱梅希爾-華沙總教區
Duszniki-Zdrój,杜什尼基-茲德魯伊
Uniwersytet w Białymstoku,比亚韦斯托克大学
Jezioro Turawskie,圖拉瓦湖
Prószków,普魯什庫夫
Widawa,維達瓦河
Nysa Szalona,尼斯沙洛納河
Lega,萊加河
Pałac Komisji Rządowej Przychodu i Skarbu w Warszawie,財政部長宮
FKS Stal Mielec,梅莱茨钢铁足球俱乐部
Order Krzyża Grunwaldu,格伦瓦尔德十字勋章
trasa europejska E462,欧洲E462公路
Muzeum Komunizmu w Warszawie,華沙共產主義博物館
Pole Mokotowskie,莫科托夫公园
Centrum Nauki Kopernik w Warszawie,哥白尼科學中心
trasa europejska E261,欧洲E261公路
Ina,伊納河
Pyskowice,佩斯科維采
Jeziorany,耶焦拉內
powiat skierniewicki,斯凱爾涅維采縣
powiat legionowski,萊吉奧諾沃縣
Supraśl,蘇普拉希爾河
Służba Bezpieczeństwa,秘密警察
powiat łowicki,沃維奇縣
powiat wieluński,維隆縣
Góry Sowie,奧爾山脈
Europejskie Radio dla Białorusi,白俄罗斯欧洲电台
Kościół Ewangelicko-Augsburski w RP,波兰奥格斯堡忏悔福音派教会
Nowy Port,新港
powiat piotrkowski,彼得庫夫縣
powiat łaski,瓦斯克縣
Zalipie,薩利派
powiat tarnogórski,塔爾諾夫斯凱古雷縣
powiat opoczyński,奧波奇諾縣
powiat opatowski,奧帕圖夫縣
Gogolin,戈戈林
Syców,瑟楚夫
Śnieżnik,克拉里茨峰
Szkoła Główna Handlowa w Warszawie,华沙经济大学
Więź,连接
powiat kłobucki,克沃布茨克縣
powiat lubliniecki,盧布利涅茨縣
Koniecpol,科涅茨波尔
Niemodlin,涅莫德林
Czchów,奇胡夫
Trzemeszno,切梅什諾
Zdzieszowice,茲傑紹維采
archidiecezja krakowska,天主教克拉科夫总教区
Leśnica,萊希尼察
Archidiecezja warmińska,天主教瓦尔米亚总教区
Archidiecezja gnieźnieńska,天主教格涅兹诺总教区
archidiecezja katowicka,天主教卡托维兹总教区
Sompolno,松波爾諾
Zalewo,扎萊沃
powiat lidzbarski,利茲巴克縣
powiat tatrzański,塔特拉縣
Multikino,多基诺影城
Unity Tower,團結塔
powiat kościerski,科希切日納縣
Międzybórz,緬濟布日
Dobczyce,多布奇采
Górnośląski Związek Metropolitalny,上西利西亞都會區
powiat lęborski,倫堡縣
InterContinental Warszawa,華沙洲際酒店
Jamno,亞姆諾湖
pomnik księcia Józefa Poniatowskiego w Warszawie,约瑟夫·波尼亚托夫斯基纪念碑
Kcynia,克齊尼亞
Moszna,摩斯納
powiat goleniowski,戈萊紐夫縣
Pałac Saski w Warszawie,薩克森宮
powiat drawski,德拉夫斯科縣
powiat pyrzycki,佩日采縣
Marzec 1968,1968年波兰政治危机
Warszawa Gdańska,華沙格但斯克車站
Strumień,斯特鲁缅
Ośno Lubuskie,奥希诺-卢布斯卡
Rabka-Zdrój,拉布卡-茲德魯伊
Politechnika Poznańska,波茲南科技大學
powiat częstochowski,琴斯托霍瓦縣
województwo ciechanowskie,切哈努夫省
Ursus,烏爾蘇斯區
Włochy,弗沃黑區
Osowiec-Twierdza,奥索维茨要塞镇
Warszawa Wola Grzybowska,華沙沃拉格茲包斯卡車站
powiat nowosądecki,新松奇縣
powiat bocheński,博赫尼亞縣
powiat tarnobrzeski,塔爾諾布熱格縣
OLiS,波蘭唱片業協會
Twardogóra,特瓦爾多古拉
Przemków,普熱姆庫夫
Dąbie,棟別
powiat brzeziński,布熱濟內縣
powiat lubaczowski,盧巴丘夫縣
Zamek książąt Sułkowskich,別爾斯科-比亞瓦博物館和城堡
Czarni Słupsk,恩尼加斯紮尼
Wicko,維茨科湖
powiat krośnieński,克羅斯諾縣
Pałac Czapskich,恰普斯基宮
Jeziorak,耶焦拉克湖
Gardno,加爾德諾湖
Województwo piotrkowskie,彼得庫夫省
Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,华沙红衣主教斯德望·维辛斯基大学
województwo ostrołęckie,奧斯特羅文卡省
Kresy Wschodnie,波兰前东部领土
powiat sławieński,斯瓦夫諾縣
powiat proszowicki,普羅紹維采縣
Wierzyca,維日察河
Festiwal w Jarocinie,亞羅欽節
Twierdza Wisłoujście,維斯瓦河口要塞
powiat brzozowski,布若祖夫縣
powiat miechowski,梅胡夫縣
powiat oświęcimski,奧斯威辛縣
powiat bieruńsko-lędziński,別倫-倫濟內縣
powiat mielecki,梅萊茨縣
Stadion Zagłębia Lubin,魯賓札格溫別體育場
Wolność i Równość,自由與平等
powiat choszczeński,霍什奇諾縣
województwo gorzowskie,戈茹夫省
Zamek w Kliczkowie,克里佐夫城堡
port lotniczy Modlin,華沙–莫德林
Hale Mirowskie,米羅夫斯基廳
Międzynarodowy Festiwal Filmowy T-Mobile Nowe Horyzonty,新視野國際電影節
Diecezja warszawsko-praska,天主教华沙-布拉格教区
Kazimierza Wielka,大卡齊米日
Port lotniczy Bydgoszcz,比得哥什
Jeleniów,耶勒尼奧
Strzelno,斯切爾諾
Jastrzębski Węgiel,亞斯琴布斯基
Lubawka,盧巴夫卡
Drzewica,德熱維察
droga krajowa nr 68,国道68号
Otmuchów,奧特穆胡夫
Kolonowskie,科洛諾夫斯凱
Lidzbark,利茲巴克
powiat dębicki,登比察縣
Przemsza,普熱姆沙河
Województwo wałbrzyskie,瓦烏布日赫省
Medal Zasłużony Kulturze Gloria Artis,文化榮譽獎章
Order Krzyża Wojskowego,军事十字勋章
Miejska Górka,梅伊斯卡古爾卡
Tuliszków,圖利什庫夫
województwo krośnieńskie,克罗斯诺省
Korfantów,科爾凡圖夫
Krzepice,克熱皮采
Orkiestra Symfoniczna Filharmonii Narodowej,華沙國家愛樂樂團
Studio Filmowe Kadr,KADR工作室
Stowarzyszenie „Pax”,PAX協會
Wołczyn,沃烏琴
Ujazd,烏亞茲德
Skamander,斯卡曼德尔诗社
Hańcza,漢恰湖
Archikatedra św. Jana Chrzciciela i św. Jana Ewangelisty w Lublinie,盧布林主教座堂
Kościół katolicki w Polsce,波兰天主教
Wąsosz,翁索什
Drobin,德羅賓
Czerniejewo,切爾涅耶沃
Mała Panew,小帕內夫河
Osobłoga,奧索布洛加河
Muzeum Papiernictwa w Dusznikach-Zdroju,杜什尼基-茲德魯伊造紙廠
Kościół św. Michała Archanioła i św. Stanisława Biskupa w Krakowie,圣弥额尔圣达尼老圣殿
Politechnika Śląska,西里西亞科技大學
Lublin Główny,盧布林車站
powiat łobeski,沃貝茲縣
Tramwaje w Łodzi,羅茲電車
Międzynarodowy Port Lotniczy Katowice w Pyrzowicach,卡托維治
Królikarnia,克羅利卡尼亞宮
Cmentarz żydowski w Warszawie (Wola),奧科波瓦街猶太公墓
Politechnika Warszawska,华沙理工大学
Uniwersytet Papieski Jana Pawła II w Krakowie,若望保祿二世宗座大學
Młynary,姆維納雷
Ogrodzieniec,奧格羅傑涅茨
Ordynariat Polowy Wojska Polskiego,天主教波蘭軍中教長區
Ostroróg,奧斯特羅魯格
Lwówek,勒武韋克
Brama Złota w Gdańsku,金门
Światowe Dni Młodzieży 1991,1991年世界青年日
Gwda,格夫達河
Stadion Miejski w Szczecinie,Florian Kryger體育場
Lotnisko Katowice-Muchowiec,卡托維兹-穆喬維奇機場
Czyże,奇热
Port lotniczy Rzeszów-Jasionka,热舒夫-亚西翁卡机场
Port lotniczy Szczecin-Goleniów,斯塞新機場
Port lotniczy Mazury,奧爾什丁-馬祖機場
Fordon,福顿
Reaktor Maria,瑪麗亞核反應爐
Liwiec,利維茨河
Narewka,納列夫卡河
Krajowa Rada Narodowa,家乡国家议会
powiat skarżyski,斯卡日斯科縣
Dąbie,棟別湖
dzielnica,区
Bazylika katedralna Wniebowzięcia Najświętszej Maryi Panny w Płocku,普沃茨克主教座堂
powiat kamieński,卡緬縣
Jutrosin,尤特羅辛
Jerzmanowa,傑茲諾曼瓦
Polskie Stronnictwo Ludowe „Wyzwolenie”,波兰人民党 "解放"
województwo konińskie,科寧省
województwo elbląskie,埃尔布隆格省
Województwo tarnobrzeskie,塔爾諾布熱格省
KS Polkowice,波爾科維采足球會
Stare Miasto,格但斯克老城
Kuślin,库希林
powiat krakowski,克拉科夫縣
powiat pabianicki,帕比亞尼采縣
Warszawska Jesień,華沙之秋
Mleczna,姆萊奇納河
Barcin,巴爾欽
Warta,瓦爾塔
Pasym,帕瑟姆
Sława,斯瓦瓦
Jednostka Wojskowa GROM,波蘭機動反應作戰部隊
Sępopol,森波波爾
powiat gdański,格但斯克縣
Darnków,達科夫
Ustrój polityczny Polski,波蘭政治
Piaski,皮亞斯基
Oliwa,奧利瓦
Działoszyn,賈沃申
Nowy Korczyn,新科爾琴
Warcino,瓦尔奇诺
Skarszewy,斯卡爾謝維
Piątnica Poduchowna,普永特尼察
Pałac Lubomirskich w Warszawie,盧博米爾斯基宮
Trybunał Stanu,国家法庭
Zamek Czocha,佐查城堡
Nowa Brzeźnica,新布熱伊尼察
Nysa Kłodzka,尼斯克沃茲卡河
Kościół Pokoju w Świdnicy,希維德尼察的和平教堂
Pierwszy rząd Donalda Tuska,唐纳德·图斯克第一内阁
Naczelny Sąd Administracyjny,波兰最高行政法院
Lutynia,洛伊滕
Muzeum Książąt Czartoryskich w Krakowie,恰尔托雷斯基博物馆
Brama Zielona,绿门
geografia Polski,波蘭地理
Zamek w Ciechanowie,切哈努夫城堡
Nowy Wiśnicz,新維希尼奇
Mistrzostwa Świata Juniorów w Lekkoatletyce 2008,2008年世界青年田徑錦標賽
Bazylika Świętego Krzyża w Warszawie,圣十字教堂
Krzemionki,科舍米翁奇
Port lotniczy Słupsk-Redzikowo,斯武普斯克-雷茲科沃機場
Nowa Huta,新胡塔
Port lotniczy Zielona Góra-Babimost,吉洛納格拉-巴比莫斯特機場
