François Hollande,フランソワ・オランド
Younès Belhanda,ユネス・ベランダ
Louis-Philippe d'Orléans (1725-1785),ルイ・フィリップ1世・(オルレアン公)
Charles Pic,シャルル・ピック
Pierre de Coubertin,ピエール・ド・クーベルタン
Jacques-Louis David,ジャック＝ルイ・ダヴィッド
György Cziffra,ジョルジュ・シフラ
Alain Maury (astronome),アラン・モーリー
Patricia Petibon,パトリシア・プティボン
Natalie Paley,ナタリー・パレ
Violette Szabo,ヴィオレット・サボー
Léon Mba,レオン・ムバ
Nicole Fontaine,ニコル・フォンテーヌ
Vincent Candela,ヴァンサン・カンデラ
Bakaye Traoré,バカイェ・トラオレ
Rémi Gaillard,レミ・ガイヤール
Louis Vierne,ルイ・ヴィエルヌ
Gaël Kakuta,ガエル・カクタ
Adam Philippe de Custine,アダム・フィリップ・ド・キュスティーヌ
Jean-Charles Peltier,ジャン＝シャルル・ペルティエ
Jean-Marie Leclair,ジャン＝マリー・ルクレール
Jean Cocteau,ジャン・コクトー
Jacques-Yves Cousteau,ジャック＝イヴ・クストー
Éric Boullier,エリック・ブーリエ
Marie Bashkirtseff,マリ・バシュキルツェフ
François Cevert,フランソワ・セベール
Pierre Weiss (physicien),ピエール・ワイス
Stéphane Lannoy,ステファヌ・ラノワ
István Nyers,ニエルシュ・イシュトヴァーン
Félicia Ballanger,フェリシア・バランジェ
Élisa Deroche,レモンド・ドラローシュ
Olympe Mancini,オリンピア・マンチーニ
Hélène Boucher,エレーヌ・ブーシェ
Joseph-Antoine Bell,ジョセフ＝アントワーヌ・ベル
Arnaud Clément,アルノー・クレマン
Thomas Robert Bugeaud,トマ・ロベール・ブジョー
Louis Ier d'Anjou,ルイ1世・ダンジュー
Étienne Ier de Sancerre,エティエンヌ1世・(サンセール伯)
Marc Ducret,マルク・デュクレ
Wes,ウエス・マディコ
Jacques Boyceau,ジャック・ボワソー
François Ravaillac,フランソワ・ラヴァイヤック
Louis de Broglie,ルイ・ド・ブロイ
Hervé Guibert,エルヴェ・ギベール
François Joseph Lefebvre,フランソワ・ジョゼフ・ルフェーヴル
Henryk Kasperczak,ヘンリク・カスペルチャク
Bertrand Gachot,ベルトラン・ガショー
Philippe Streiff,フィリップ・ストレイフ
Patrick Tambay,パトリック・タンベイ
Erik Comas,エリック・コマス
Jean Alesi,ジャン・アレジ
George Weah,ジョージ・ウェア
Simon IV de Montfort,シモン・ド・モンフォール・(第5代レスター伯爵)
César de Vendôme,セザール・ド・ブルボン・(ヴァンドーム公)
Audrey Tautou,オドレイ・トトゥ
Louis Niedermeyer,ルイ・ニデルメイエール
Madjid Bougherra,マジード・ブーゲッラ
Henry de Triqueti,アンリ・ド・トリケティ
Jean-Patrick Manchette,ジャン＝パトリック・マンシェット
Lolo Ferrari,ロロ・フェラーリ
Ismaël Bangoura,イスマエル・バングラ
Yann Clairay,ヤン・クラリー
Henri de La Tour d'Auvergne (1611-1675),アンリ・ド・ラ・トゥール・ドーヴェルニュ・(テュレンヌ子爵)
Henri d'Artois,アンリ・ダルトワ
Stefan Sagmeister,ステファン・サグマイスター
Louis-Marie Grignion de Montfort,ルイ・マリー・グリニョン・ド・モンフォール
Thérésa Tallien,テレーズ・カバリュス
Roger Lemerre,ロジェ・ルメール
Isabelle de France (1242-1271),イザベル・ド・フランス・(ナバラ王妃)
Émile Augier,エミール・オージエ
Bertrand Delanoë,ベルトラン・ドラノエ
François Hennebique,フランソワ・アンネビック
Inès de La Fressange,イネス・ド・ラ・フレサンジュ
Capucine (actrice),キャプシーヌ
Louis de Froment,ルイ・ド・フロマン
Ludovic Obraniak,ルドヴィク・オブラニアク
Lucien Tesnière,ルシアン・テニエール
Louis Chiron,ルイ・シロン
Franck Montagny,フランク・モンタニー
René Arnoux,ルネ・アルヌー
Franck Lagorce,フランク・ラゴルス
Richard Sainct,リシャール・サンク
Sol Bamba,スレイマン・バンバ
Nadir Belhadj,ナディル・ベルハジ
Dudu Aouate,ドゥドゥ・アワット
Alexandre Guilmant,アレクサンドル・ギルマン
Pascal Feindouno,パスカル・ファンドゥーノ
Adel Taarabt,アデル・ターラブト
Jules de Polignac (1780-1847),ジュール・ド・ポリニャック
Louis Trousselier,ルイ・トゥルスリエ
Bon-Adrien Jeannot de Moncey,ボン・アドリアン・ジャノー・ド・モンセー
Alain Boghossian,アラン・ボゴシアン
Houssine Kharja,フシン・カルジャ
Jacques Vallée,ジャック・ヴァレ
Yannick Dalmas,ヤニック・ダルマス
Philippe Alliot,フィリップ・アリオー
Olivier Grouillard,オリビエ・グルイヤール
Jean-Marc Gounon,ジャン＝マルク・グーノン
Jeanne de Penthièvre,ジャンヌ・ド・パンティエーヴル
Christine de Lorraine,クリスティーナ・ディ・ロレーナ
Anne de Pisseleu,アンヌ・ド・ピスルー・デイリー
Frédéric Mitterrand,フレデリック・ミッテラン
Bertrand Meyer,バートランド・メイヤー
Joseph Sifakis,ジョセフ・シファキス
Jean Ichbiah,ジャン・イシュビア
Nathalie Péchalat,ナタリー・ペシャラ
Sophie Calle,ソフィ・カル
Franck Dja Djédjé,フランク・ジャ・ジェジェ
Salif Diao,サリフ・ディアオ
Mansour Ojjeh,マンスール・オジェ
Stéphane Sarrazin,ステファン・サラザン
Loïc Bigois,ロイック・ビゴワ
Paul Frère,ポール・フレール
Jean-Christophe Boullion,ジャン＝クリストフ・ブイヨン
Caroline Garcia,キャロリン・ガルシア
Yvonne Prévost,エレーヌ・プレボー
Sofia Boutella,ソフィア・ブテラ
Jean Tirole,ジャン・ティロール
Gérard Ducarouge,ジェラール・ドゥカルージュ
Sandrine Testud,サンドリーヌ・テスチュ
André Danjon,アンドレ・ダンジョン
Abbé Pierre,アベ・ピエール
Abdelkader Ghezzal,アブデル・カデル・ゲザル
Louis Braille,ルイ・ブライユ
Milan Kundera,ミラン・クンデラ
Jérôme Valcke,ジェローム・バルク
Adam de Craponne,アダン・ド・クラポンヌ
Emmanuel Mounier,エマニュエル・ムーニエ
Adama Coulibaly (football),アダマ・クリバリ
Mathieu Ier de Montmorency,マチュー1世・ド・モンモランシー
Julio Cortázar,フリオ・コルタサル
Jean de Tournes (père),ジャン・ド・トゥルヌ
Charles IV le Bel,シャルル4世・(フランス王)
Fernand Pelez,フェルナン・ペレーズ
Théodore Dubois,テオドール・デュボワ
Corinne Cléry,コリンヌ・クレリー
Mathilda May,マチルダ・メイ
Louise d'Orléans (1716-1736),ルイーズ・ディアーヌ・ドルレアン
Isabelle Antena,アンテナ・(音楽グループ)
Amaury Vassili,アモリ・ヴァッシーリ
Abdellatif Kechiche,アブデラティフ・ケシシュ
Andrée Joly,アンドレ・ブリュネ
Abderrahmane Sissako,アブデラマン・シサコ
Abdoulay Konko,アブドゥレイ・コンコ
Mathieu II de Montmorency,マチュー2世・ド・モンモランシー
Nicolas Batum,ニコラ・バトゥーム
Léopold Eyharts,レオポルド・アイハーツ
Henri II de Bourbon-Condé,アンリ2世・(コンデ公)
Yassin Moutaouakil,ヤシン・ムタウアキル
Olivia de Havilland,オリヴィア・デ・ハヴィランド
Emir Kusturica,エミール・クストリッツァ
Hacine Cherifi,アッシン・シェリフィー
Marc Levy,マルク・レヴィ
Hélène d'Orléans,エレナ・ドルレアンス
Marie-Anne de Bourbon (1666-1739),マリー・アンヌ・ド・ブルボン
Roland Joffé,ローランド・ジョフィ
Robert Estienne,ロベール・エティエンヌ
Leconte de Lisle,シャルル＝マリ＝ルネ・ルコント・ド・リール
Gustave Garrigou,ギュスタヴ・ガリグー
Auguste Blanqui,ルイ・オーギュスト・ブランキ
Michel Butor,ミシェル・ビュトール
Valentina Vargas,ヴァレンティナ・ヴァルガス
Madeleine Renaud,マドレーヌ・ルノー
Charlotte-Marguerite de Montmorency,シャルロット＝マルグリット・ド・モンモランシー
Félix Guattari,フェリックス・ガタリ
Marc Chagall,マルク・シャガール
Jacques Boulenger,ジャック・ブーランジェ
Charles Frédéric Girard,シャルル・フレデリック・ジラール
Élisabeth de France (1545-1568),エリザベート・ド・ヴァロワ
Pierre Amoyal,ピエール・アモイヤル
Julie Billiart,ジュリー・ビリヤール
Valérie Lemercier,ヴァレリー・ルメルシェ
Gaël Givet,ガエル・ジヴェ
Alfred Sisley,アルフレッド・シスレー
Catherine de Valois-Courtenay,カトリーヌ・ド・ヴァロワ＝クルトネー
Adolphe Crémieux,アドルフ・クレミュー
Élisabeth de la Trinité,三位一体のエリザベト
Cécile Aubry,セシル・オーブリー
Jean Giraud,ジャン・ジロー
Alexandre Deschapelles,アレクサンドル・デシャペル
Ferdinand Cheval,フェルディナン・シュヴァル
Papiss Cissé,パピス・シセ
Alfred de Vigny,アルフレッド・ド・ヴィニー
François II de Bretagne,フランソワ2世・(ブルターニュ公)
Octave Lapize,オクタヴ・ラピーズ
Ange-Jacques Gabriel,アンジュ＝ジャック・ガブリエル
Wolfgang Döblin,ヴォルフガング・デーブリーン
Jérémy Chardy,ジェレミー・シャルディー
Simon de Vexin,シモン・ド・クレピー
Albert Wolff (journaliste),アルベール・ウォルフ・(ジャーナリスト)
Christophe Dugarry,クリストフ・デュガリー
Boris Spassky,ボリス・スパスキー
Jules Dassin,ジュールズ・ダッシン
Gabriel Ier de Montgommery,ガブリエル・ド・ロルジュ
Marie Duplessis,マリー・デュプレシ
Muriel Hurtis,ミュリエル・ユルティス
Isabelle d'Orléans (1878-1961),イザベル・ドルレアン・(1878-1961)
Isabelle d'Orléans-Bragance,イザベル・デ・オルレアンス・イ・ブラガンサ
Surya Bonaly,スルヤ・ボナリー
Nicolas Malebranche,ニコラ・ド・マルブランシュ
Jean-Louis Barrault,ジャン＝ルイ・バロー
Jean Giraudoux,ジャン・ジロドゥ
Paul Deschanel,ポール・デシャネル
François Göske,フランソワ・ゲシュケ
Timothée Kolodziejczak,ティモテー・コロジエチャク
Elena Poniatowska,エレナ・ポニアトウスカ
Sheila,シェイラ・(歌手)
Marie-Caroline de Bourbon-Siciles (1822-1869),マリー・カロリーヌ・ド・ブルボン＝シシレ・(1822-1869)
Karen Lancaume,カレン・ランコム
Delphine Seyrig,デルフィーヌ・セリッグ
Charlotte-Aglaé d'Orléans,カルロッタ・アグラエ・ドルレアンス
Hortense Mancini,オルタンス・マンチーニ
Jean Moréas,ジャン・モレアス
Eugène Fromentin,ウジェーヌ・フロマンタン
Benoît Mandelbrot,ブノワ・マンデルブロ
Sergueï Prokoudine-Gorski,セルゲイ・プロクジン＝ゴルスキー
Fénelon,フランソワ・フェヌロン
Théodore Rousseau,テオドール・ルソー
Adel Abdessemed,アデル・アブデスメッド
Helenio Herrera,エレニオ・エレーラ
Guillaume Budé,ギヨーム・ビュデ
Audrey Dana,オドレイ・ダナ
Henri Martin (peintre),アンリ・マルタン・(画家)
Hiam Abbass,ヒアム・アッバス
Marguerite Ire de Bourgogne,マルグリット1世・(ブルゴーニュ女伯)
Tsugouharu Foujita,藤田嗣治
Joseph Bernard (sculpteur),ジョゼフ・ベルナール
Betsy Jolas,ベッツィ・ジョラス
Robert II d'Artois,ロベール2世・(アルトワ伯)
François Fillon,フランソワ・フィヨン
Gabriel Lamé,ガブリエル・ラメ
László Bölöni,ラースロー・ベレニ
Mikaël Silvestre,ミカエル・シルヴェストル
Jean Giono,ジャン・ジオノ
Jean-Marie Balestre,ジャン＝マリー・バレストル
Mikhaïl Gromov,ミハイル・グロモフ
Teddy Riner,テディ・リネール
Francis Jammes,フランシス・ジャム
Alexandre Cabanel,アレクサンドル・カバネル
Henri Moissan,アンリ・モアッサン
Michel Houellebecq,ミシェル・ウエルベック
Charles Ier d'Orléans,シャルル・ド・ヴァロワ・(オルレアン公)
Antoine de Bourbon,アントワーヌ・(ヴァンドーム公)
Bernard Le Bouyer de Fontenelle,ベルナール・フォントネル
Paul-Henri Mathieu,ポール＝アンリ・マチュー
Jean Echenoz,ジャン・エシュノーズ
Remy de Gourmont,レミ・ド・グールモン
Jean-Andoche Junot,ジャン＝アンドシュ・ジュノー
Luc Montagnier,リュック・モンタニエ
Urbain Le Verrier,ユルバン・ルヴェリエ
Françoise Barré-Sinoussi,フランソワーズ・バレ＝シヌシ
Jean-Michel Jarre,ジャン・ミッシェル・ジャール
"Abdoulaye Diallo (football, 1992)",アブドゥライェ・ディアロ・(1992年3月生のサッカー選手)
Pierre-Montan Berton,ピエール・モンタン・ベルトン
Guillaume II de Nevers,ギヨーム2世・(ヌヴェール伯)
Paul Sabatier (chimiste),ポール・サバティエ
Sandrine Kiberlain,サンドリーヌ・キベルラン
Denise Perrier,デニス・ペリエ
Julie Dreyfus,ジュリー・ドレフュス
Françoise Dürr,フランソワーズ・デュール
Henri Ier (roi des Francs),アンリ1世・(フランス王)
Kanak,カナック
Camille Jordan (mathématicien),カミーユ・ジョルダン
Lazare Carnot,ラザール・カルノー
François Magendie,フランソワ・マジャンディー
Marie-Louise-Élisabeth d'Orléans,マリー・ルイーズ・エリザベート・ドルレアン
Jules Michelet,ジュール・ミシュレ
Michel Bastos,ミシェル・フェルナンデス・バストス
Christian Clavier,クリスチャン・クラヴィエ
Roland Barthes,ロラン・バルト
Alice Guy,アリス・ギイ
André Fabre (entraîneur),アンドレ・ファーブル
Henri de Lubac,アンリ・ドゥ・リュバック
Henri Fantin-Latour,アンリ・ファンタン＝ラトゥール
Victor Grignard,ヴィクトル・グリニャール
Louis Le Vau,ルイ・ル・ヴォー
Georges Dumézil,ジョルジュ・デュメジル
Monique Wittig,モニック・ウィティッグ
Jean Anouilh,ジャン・アヌイ
Henri Lemaire,アンリ・ルメール
Jean-Jacques Sempé,ジャン＝ジャック・サンペ
Ali Boumnijel,アリ・ブムニジェル
Philippe d'Orléans (1838-1894),フィリップ・(パリ伯)
Jean Mabillon,ジャン・マビヨン
Alexandre Kojève,アレクサンドル・コジェーヴ
Christophe Lambert,クリストファー・ランバート
Berthe Morisot,ベルト・モリゾ
Gabriel Fauré,ガブリエル・フォーレ
Ariane Mnouchkine,アリアーヌ・ムヌーシュキン
Marion Bartoli,マリオン・バルトリ
Jules Hoffmann,ジュール・ホフマン
Maurice Jarre,モーリス・ジャール
Dominique Sanda,ドミニク・サンダ
Louis II de Bourbon-Condé,ルイ2世・(コンデ公)
