Россия,俄罗斯
Бузулук (приток Самары),布祖盧克河·(薩馬拉河支流)
Шорцы,索尔人
Тимашёвск,季馬紹夫斯克
Тихорецк,季霍列茨克
Тогучин,托古欽
Томари (Россия),托马里
Торжок,托爾若克
Топки,托普基
Томмот,托莫特
Троицк (Челябинская область),特羅伊茨克·(車里雅賓斯克州)
Троицк (Москва),特羅伊茨克·(莫斯科)
Туапсе,圖阿普謝
Трубчевск,特魯布切夫斯克
Европейская часть России,歐洲俄羅斯
Исеть,伊谢季河
Тюкалинск,秋卡林斯克
Уварово,烏瓦羅沃
Углегорск (Сахалинская область),乌格列戈尔斯克
Углич,烏格利奇
Удачный,乌达奇内
Удомля,烏多姆利亞
Ужур,烏茹爾
Список крупнейших рек России,俄罗斯河流列表
Чемпионат Молодёжной хоккейной лиги,青年冰球联赛
Сибирь (автодорога),R255公路·(俄羅斯)
Усолье,乌索利耶
Усмань,烏斯曼·(利佩茨克州)
Епархия Святого Климента в Саратове,天主教薩拉托夫教區
Битюг (река),比秋格河
Епархия Святого Иосифа в Иркутске,天主教伊爾庫茨克教區
Преображенская епархия в Новосибирске,天主教新西伯利亞教區
Студия Артемия Лебедева,Art.·Lebedev·Studio
Нахабино,纳哈比诺
"Быково (рабочий посёлок, Раменский район)",贝科沃·(莫斯科州)
Вычегодский,维切戈茨基
Нижнеангарск,下安加爾斯克
Урус-Мартановский район,烏魯斯馬爾坦區
Большеречье (Омская область),大列奇耶·(鄂木斯克州)
Кадуй (рабочий посёлок),卡杜伊
Заводской (Северная Осетия),扎沃茨科伊·(北奥塞梯-阿兰共和国)
Уссурийск,双城子
Усолье-Сибирское,西伯利亚乌索利耶
Усть-Илимск,乌斯季伊利姆斯克
Усть-Джегута,烏斯季傑古塔
Нытвенский район,內特瓦區
Большесосновский район,大索斯諾瓦區
Усть-Катав,烏斯季-卡塔夫
Лиманский район (Астраханская область),利曼区·(俄罗斯)
Большая Уссурка,大烏蘇爾卡河
Иркут,伊爾庫特河
Бёрёлёх,比奧廖廖赫河
Благовещенка,布拉戈维申卡·(阿尔泰边疆区)
Медведево (Марий Эл),梅德韦杰沃·(马里埃尔共和国)
Навля (Брянская область),纳夫利亚·(布良斯克州)
Пушкинский Дом,普希金之家
Сеймчан (посёлок городского типа),谢伊姆昌
Эвенск,埃文斯克
Холмск,霍尔姆斯克
Хотьково,霍季科沃
Борзя (река),博爾賈河
Цивильск,齊維利斯克
"Бородино (деревня, Можайский городской округ)",博罗季诺·(莫斯科州)
Оханский район,奧漢斯克區
Бульварное кольцо,莫斯科林蔭環路
Пермский район,彼爾姆區
Главный ботанический сад имени Н. В. Цицина РАН,莫斯科科學院植物園
Красновишерский район,克拉斯諾維舍爾斯克區
Солнечное затмение 11 августа 2018 года,2018年8月11日日食
Уяр,烏亞爾
Учалы,烏恰雷
Харовск,哈羅夫斯克
Фурманов (город),富爾馬諾夫·(伊萬諾沃州)
Харабали,哈拉巴利
Соликамский район,索利卡姆斯克區
Сивинский район,錫溫斯科耶區
Фокино (Брянская область),福基諾·(布良斯克州)
Фатеж,法捷日
Фокино (Приморский край),福基諾·(濱海邊疆區)
Фролово,弗羅洛沃
Фрязино,弗里亞濟諾
Тулун,图伦·(俄罗斯)
Туймазы,圖伊馬濟
Туран (город),图兰·(图瓦共和国)
Туринск,圖林斯克
Усть-Омчуг,乌斯季奥姆丘格
Гражданская сила,公民力量·(俄罗斯)
Гражданская платформа (Россия),公民纲领·(俄罗斯)
Московский комсомолец,莫斯科共青团员报
Хилок (город),希洛克
Хвалынск,赫瓦倫斯克
Химки,希姆基
Североонежск,北奥涅日斯克
Жатай,扎泰
Наурский район,瑙爾斯基區
Шелковской район,舍爾科夫斯卡亞區
Ножай-Юртовский район,諾扎伊-尤爾特區
Холм (город),霍爾姆
Административно-территориальное деление Республики Коми,科米共和国行政区划
Хантайка,漢泰卡河
Тында,滕达
Тутаев,圖塔耶夫
Лучегорск,盧切戈爾斯克
Мыс Шмидта (посёлок городского типа),梅斯-施密特
Горный (Забайкальский край),戈尔内·(外贝加尔边疆区)
Тырныауз,特爾內奧茲
Бусэин-Гол,布塞因河
Зубова Поляна,祖博瓦波利亚纳
Кайеркан,凯耶尔坎
Урдома,乌尔多马·(列纳区)
Верхняя Ангара,上安加拉河
Домбай (курортный посёлок),棟巴伊·(卡拉恰伊-切爾克斯共和國)
Унеча,烏涅恰
Узловая,烏茲洛瓦亞
Чебаркуль,切巴爾庫爾
Чаплыгин (город),恰普雷金
Дюртюлинский район,久爾秋利區
Молома,莫洛馬河
Ординский район,奧爾達區
Денисова пещера,丹尼索瓦洞穴
Урай,烏拉伊·(俄羅斯)
Уржум,烏爾茹姆
Урень,烏連
Чегем (город),切格姆
Чекалин (город),切卡林
Усинск,烏辛斯克
Урус-Мартан,烏魯斯-馬爾坦
Цимлянск,齊姆良斯克
Чадан,恰丹
Большеохтинский мост,大奧赫塔橋
Болва,博爾瓦河
Большой Бегичев,大別吉切夫島
Большие Вязёмы,大维亚焦梅
Чапаевск,恰帕耶夫斯克
Чайковский (город),柴可夫斯基·(彼爾姆邊疆區)
Трасянка,俄白語
Сибур,西布尔
Национальный центр вертолётостроения имени М. Л. Миля и Н. И. Камова,米尔莫斯科直升机工厂
Братское водохранилище,布拉茨克水庫
Корицкий (мыс),克里茨基角
Научный (Крым),瑙奇內
Теча,捷恰河
Уралкалий,乌拉尔钾肥
Ханкайский район,興凱區
Анивский район,阿尼瓦區
Остров Танфильева,水晶島
Нерль (приток Клязьмы),涅爾利河·(克利亞濟馬河支流)
Квартет имени Бородина,鮑羅定四重奏團
Борисовка (Борисовский район),鲍里索夫卡
Мари-Турек,马里图列克
Остров Полонского,多樂島
Административно-территориальное деление Адыгеи,阿迪格共和国行政区划
Тучково,图奇科沃
Административно-территориальное деление Хакасии,哈卡斯共和國行政區劃
