"Достоевский, Фёдор Михайлович",フョードル・ドストエフスキー
"Тихонов, Андрей Валерьевич",アンドレイ・チーホノフ
"Бушков, Андрей Васильевич",アンドレイ・ブシュコフ
"Авдеев, Александр Алексеевич (дипломат)",アレクサンドル・アヴデーエフ
"Волков, Александр Александрович (волейболист)",アレクサンドル・ボルコフ・(バレーボール)
"Гранкин, Сергей Юрьевич",セルゲイ・グランキン
"Бережко, Юрий Викторович",ユーリー・ベレジュコ
"Петров, Александр Константинович",アレクサンドル・ペトロフ・(アニメーター)
"Маматов, Виктор Фёдорович",ヴィクトル・ママトフ
"Камболов, Руслан Александрович",ルスラン・カムボロフ
"Лунгин, Павел Семёнович",パーヴェル・ルンギン
"Чепчугов, Сергей Андреевич",セルゲイ・チェプチュゴフ
"Опалев, Максим Александрович",マクシム・オパレフ
"Грязев, Андрей Владимирович",アンドレイ・グリアゼフ
"Богданов, Андрей Владимирович",アンドレイ・ボグダーノフ
"Гаврилов, Андрей Владимирович",アンドレイ・ガヴリーロフ
"Коков, Валерий Мухамедович",ヴァレリー・ココフ
"Зурабов, Михаил Юрьевич",ミハイル・ズラボフ
"Протопопов, Олег Алексеевич",オレグ・プロトポポフ
"Сурганова, Светлана Яковлевна",スヴェトラーナ・スルガノヴァ
"Попов, Александр Владимирович (пловец)",アレクサンドル・ポポフ・(競泳選手)
"Дасаев, Ринат Файзрахманович",リナト・ダサエフ
"Степанова, Мария Александровна",マリア・ステパノワ
"Таймазов, Артур Борисович",アルトゥール・タイマゾフ
"Дмитриев, Денис Сергеевич",デニス・ドミトリエフ
"Усманов, Алишер Бурханович",アリシェル・ウスマノフ
"Козырев, Андрей Владимирович",アンドレイ・コズイレフ
"Лутай, Андрей Владимирович",アンドレイ・ルータイ
"Маркин, Виктор Фёдорович",ビクトル・マルキン
"Семичастный, Владимир Ефимович",ウラジーミル・セミチャストヌイ
"Мамлеев, Юрий Витальевич",ユーリー・マムレーエフ
"Байрамов, Владимир Караджаевич",ウラジミール・バイラモフ
"Торбинский, Дмитрий Евгеньевич",ドミートリー・トルビンスキー
"Кириленко, Андрей Геннадьевич",アンドレイ・キリレンコ
"Громов, Борис Всеволодович",ボリス・グロモフ
"Рощин, Михаил Михайлович",ミハイル・ロシチン
"Лебедь, Александр Иванович",アレクサンドル・レベジ
"Лимонов, Эдуард Вениаминович",エドワルド・リモノフ
"Андреев, Игорь Валерьевич",イーゴリ・アンドレエフ
"Бут, Владимир Владимирович",ウラジーミル・ブット
"Бодров, Сергей Владимирович",セルゲイ・ボドロフ
"Магомедов, Хаджимурад Сайгидмагомедович",ハジムラド・マゴメドフ
"Тихонов, Александр Иванович",アレクサンドル・チホノフ
"Чуров, Владимир Евгеньевич",ウラジーミル・チューロフ
"Николаева, Маргарита Николаевна",マルガリータ・ニコラエワ
"Брагинский, Эмиль Вениаминович",エミリ・ブラギンスキー
"Бурбулис, Геннадий Эдуардович",ゲンナジー・ブルブリス
"Карпенко, Виктор Александрович (футболист)",ヴィクトル・カルペンコ
"Юровский, Владимир Михайлович (дирижёр)",ウラディーミル・ユロフスキ
"Баранников, Виктор Павлович",ヴィクトル・バランニコフ
"Коржаков, Александр Васильевич",アレクサンドル・コルジャコフ
"Зорькин, Валерий Дмитриевич",ワレリー・ゾリキン
"Екимов, Вячеслав Владимирович",ヴィアチェスラフ・エキモフ
"Гурейро, Джонатан Францискович",ジョナサン・ゲレイロ
"Шенин, Олег Семёнович",オレグ・シェーニン
"Остапенко, Алексей Александрович",アレクセイ・オスタペンコ
"Чуркин, Виталий Иванович",ヴィタリー・チュルキン
"Милашина, Елена Валерьевна",エレナ・ミラシナ
"Калер, Илья Леонидович",イリヤ・カーラー
"Макашов, Альберт Михайлович",アリベルト・マカショフ
"Кадыров, Ахмат Абдулхамидович",アフマド・カディロフ
"Семшов, Игорь Петрович",イーゴリ・セムショフ
"Хадарцев, Махарбек Хазбиевич",マハルベク・ハダルツェフ
