François Hollande,弗朗索瓦·奥朗德
Jacques Lefèvre d'Étaples,雅克·勒菲弗·戴塔普勒
Sergueï Vinogradski,谢尔盖·尼古拉耶维奇·维诺格拉茨基
Max Aub,马克斯·奥夫
Joseph Kessel,約瑟夫·凱塞爾
Alphonse de Lamartine,阿方斯·德·拉马丁
Marjane Satrapi,瑪嘉·莎塔碧
Nicolas Boileau,尼古拉·布瓦洛
François Pierre de La Varenne,弗朗索瓦·皮埃爾·德拉瓦雷納
Alexandre Song,阿歷士·桑治
Alphonse Laveran,夏尔·路易·阿方斯·拉韦朗
Jean-Honoré Fragonard,让-奥诺雷·弗拉戈纳尔
Giacomo Perez-Dortona,賈科莫·佩雷斯-多托納
Maurice Perrin (cyclisme),莫里斯·佩兰
Gracchus Babeuf,弗朗索瓦-诺埃尔·巴贝夫
Bernard-Henri Lévy,伯纳德-亨利·列维
Henri Navier,克洛德-路易·纳维
Adolphe Adam,阿道夫·亚当
Jean Dujardin,让·杜雅尔丹
Émile Clapeyron,埃米尔·克拉佩龙
Mathieu Amalric,馬修·亞瑪希
Charles Dupuy,夏爾·迪皮伊
Pierre Teilhard de Chardin,德日进
Allison Pineau,阿莉松·皮诺
Michael Vartan,邁克·瓦爾坦
Dominique Blanc,多明妮克·布蘭
Georges Duby,乔治·杜比
Corinne Niogret,科琳娜·尼奥格雷
Jeanne de Valois-Saint-Rémy,让娜·德瓦卢瓦-圣雷米
François Mansart,弗朗索瓦·芒萨尔
Pierre Larousse,皮埃尔·拉鲁斯
Ilian Evtimov,伊利安·愛華提莫夫
Eugène-Henri Gravelotte,欧仁-亨利·格拉沃洛特
Seydou Keita (football),施度·基達
Coralie Balmy,科拉莉·巴尔米
Anaïs Bescond,阿奈·贝斯孔
Gaston Bachelard,加斯东·巴舍拉
Carloman Ier,卡洛曼一世
Adrien-Marie Legendre,阿德里安-马里·勒让德
Jan Ladislav Dussek,扬·拉迪斯拉夫·杜舍克
Omar Sy,歐馬·希
Claude-Adrien Helvétius,克洛德·阿德里安·愛爾維修
Claude Cohen-Tannoudji,克洛德·科恩-塔诺季
Claude Lévi-Strauss,克勞德·李維-史陀
Georges Couthon,乔治·库东
Siméon Denis Poisson,西梅翁·德尼·泊松
Jean Bodin,让·博丹
Barthélemy Joubert,巴泰勒米·卡特林·儒贝尔
Auguste Regnaud de Saint-Jean d'Angély,奥古斯特·雷尼奥·德·圣-让·当热利
Boniface de Castellane (1788-1862),埃斯普里·维克多·博尼费斯·德·卡斯特拉内
Henri Mouillefarine,亨利·穆耶法里纳
Gabriel Molitor,加布里埃尔·莫利托
Jean Fernandez,让·费尔南德斯
Pierre Bosquet,皮埃尔·博斯凯
Aimable Pélissier,艾马布勒·让·雅克·佩利西耶
Philippe Antoine d'Ornano,菲利普·安托萬·多爾納諾
Fabien Barthez,法比安·巴特茲
Frédéric Antonetti,弗雷德里克·安东内蒂
Jean Isidore Harispe,让·伊西多尔·阿里斯佩
Tzvetan Todorov,茨維坦·托多洛夫
Auguste Escoffier,奥古斯特·埃斯科菲耶
Anne Briand-Bouthiaux,安妮·白里安
Antoine Pinay,安托万·比内
Carlos Ghosn,卡洛斯·戈恩
François Christophe Kellermann,弗朗索瓦·克里斯托夫·克勒曼
André Campra,安德烈·坎普拉
Fromental Halévy,弗罗芒塔尔·阿莱维
François-Henri de Montmorency-Luxembourg,卢森堡公爵弗朗索瓦·亨利·德·蒙莫朗西
Guy Mollet,居伊·摩勒
Anne de Montmorency (1493-1567),安内·德·蒙莫朗西
Emmanuel Le Roy Ladurie,埃马纽埃尔·勒鲁瓦·拉迪里
Pierre Duhem,皮埃尔·迪昂
Eva Green,伊娃·格蓮
Gérard de Nerval,熱拉爾·德·內瓦爾
Francis Poulenc,弗朗西斯·普朗克
Charlotte de Montpensier,波旁-蒙龐西耶的夏洛特
Amira Casar,阿蜜拉·卡薩
Léon Chestov,列夫·舍斯托夫
Yann Arthus-Bertrand,亚恩·阿蒂斯-贝特朗
Marisa Pavan,玛丽萨·帕万
Claude Puel,克劳德·皮埃尔
Anthony Le Tallec,安東尼·拿泰歷
Christian Gourcuff,基斯頓·哥古夫
Charles Le Brun,夏尔·勒布伦
Michel-Eugène Chevreul,米歇尔·欧仁·谢弗勒尔
Pierre Augereau,皮埃尔·奥热罗
Kevin Gameiro,奇雲·甘美路
Ignace Joseph Pleyel,伊格纳茨·普莱耶尔
Tadeusz Kościuszko,塔德乌什·柯斯丘什科
Garra Dembélé,加拉·登贝莱
Pierre Joseph Bonnaterre,皮埃尔·约瑟夫·博纳泰尔
Raymond Poincaré,雷蒙·普恩加萊
Pierre Messmer,皮埃尔·梅斯梅尔
René Goscinny,勒内·戈西尼
Paul Ricœur,保罗·利科
Paul Chocque,保罗·肖克
Christophe Galtier,克里斯托夫·加尔蒂
Paul Pogba,保罗·博格巴
Louis Barthou,路易·巴尔杜
Auguste Charlois,奥古斯特·沙卢瓦
Pierre Mendès France,皮埃尔·孟戴斯-弗朗斯
Jean Chacornac,让·沙科纳克
Hamani Diori,哈马尼·迪奥里
Antoine Bourdelle,安托万·布德尔
Bernard Lama,賓納·林馬
Peter Luccin,彼得·盧辛
Henri Konan Bédié,亨利·科南·贝迪埃
Louis de Rohan (1635-1674),路易·德·罗昂
Rod Fanni,罗德·法尼
Michaëlle Jean,庄美楷
André Frédéric Cournand,安德烈·弗雷德里克·考南德
Georges Eugène Haussmann,喬治-歐仁·奧斯曼
Victoire Thivisol,薇朵儿·希维索
Sebastião Salgado,塞巴斯蒂昂·萨尔加多
Louis-Pierre Vieillot,路易·皮埃尔·维埃约
Diomansy Kamara,迪奥曼西·卡马拉
David Sintzheim,达维德·辛茨海姆
François de Malherbe,弗朗索瓦·德·马莱伯
Adlène Guedioura,艾連尼·古迪奧拿
Yves Hélory de Kermartin,圣伊华
Pierre Waldeck-Rousseau,皮埃尔·瓦尔德克-卢梭
Alexandre Ribot,亚历山大·里博
Just Fontaine,朱斯特·方丹
Jo-Wilfried Tsonga,若-威尔弗里德·特松加
Raymond Domenech,雷蒙·多梅内克
Salomé Zourabichvili,萨洛梅·祖拉比什维利
Jean Calas,让·卡拉斯
Albin Lermusiaux,阿尔班·莱米西奥
Martin Fourcade,马丁·富尔卡德
Hameur Bouazza,哈梅尔·博阿扎
Pierre Gassendi,皮埃尔·伽桑狄
Alexis Nikolaïevitch Tolstoï,阿列克谢·尼古拉耶维奇·托尔斯泰
Étienne Geoffroy Saint-Hilaire,艾蒂安·若弗鲁瓦·圣伊莱尔
Ferdinand Foch,費迪南·福煦
Étienne Bonnot de Condillac,艾蒂安·博诺·德·孔狄亚克
Ryad Boudebouz,利雅德·保迪保斯
Moussa Sow,莫沙·蘇禾
Guillaume Canet,吉约姆·卡内
Constantin Balmont,康斯坦丁·巴尔蒙特
Ettore Bugatti,埃托雷·布加蒂
Paul Scheuring,保羅·舒林
André Messager,安德烈·梅萨热
Marcel Desailly,馬塞爾·德塞利
Frantz Fanon,弗朗茨·法农
Henri Troyat,亨利·特罗亚
Eugène Viollet-le-Duc,歐仁·維奧萊-勒-杜克
Joe Dassin,喬·達辛
Perrine Pelen,佩里娜·珀朗
Jean Lannes,让·拉纳
Louis-Auguste de Bourbon (1670-1736),曼恩公爵路易-奥古斯特·德·波旁
Tony Parker,托尼·帕克
Jules Massenet,儒勒·马斯内
Clément Grenier,克萊門特·格萊尼爾
Jean-François Lyotard,让-弗朗索瓦·利奥塔
Goran Bregović,戈兰·布雷戈维奇
Vincent Cassel,文森·卡索
Sylviane Félix,西尔维亚娜·费利克斯
Christine Goitschel,克里斯蒂娜·古瓦切尔
Manuel Amoros,曼努埃尔·阿莫罗
Céline Lebrun,塞利娜·勒布伦
Emmanuelle Bercot,艾曼紐·貝考
Serge Lifar,謝爾蓋·里法
Fernando Botero,费尔南多·博特罗
Antoine Parmentier,安托万·帕尔芒捷
Younès El Aynaoui,尤尼斯·艾诺伊
Claude Chappe,克勞德·查普
Armand-Emmanuel du Plessis de Richelieu,阿尔芒-埃马纽埃尔·迪普莱西·德·黎塞留
Anne-Louis Girodet,安·路易·吉罗代·特里奥松
Fernand Bouisson,费尔南·布伊松
Ferdinand de Savoie,薩伏依的費迪南多
Pascal Fauvel,帕斯卡尔·福韦尔
Yvonne de Gaulle,伊冯娜·戴高乐
Ferdinand-Philippe d'Orléans,斐迪南·菲利普·德·奧爾良
Georges Piot,乔治·皮奥
Emil Cioran,埃米爾·蕭沆
Jacques-Henri Bernardin de Saint-Pierre,雅克-昂利·贝尔纳丹·德·圣皮埃尔
Raoul Ruiz,劳尔·鲁伊斯
Marie-Laure Delie,玛丽-洛尔·德利
André Bazin,安德烈·巴赞
André Glucksmann,安德烈·格鲁克斯曼
Dominique Rocheteau,多米尼克·罗歇托
Gustave Cabaret,古斯塔夫·卡巴雷
Aurélie Filippetti,奥雷莉·菲利佩蒂
Paul Bourget,保羅·布爾熱
Jules Rimet,朱尔·里梅
Ferdinand Buisson,费迪南·比松
Nicolas Chauvin,尼古拉·沙文
Ferdinand Hérold (compositeur),费迪南·埃罗尔德
Élisabeth de Bourgogne,勃艮第的伊莉莎白
François de La Rochefoucauld,弗朗索瓦·德·拉罗什富科
Louis Vernet,路易·韦尔内
Frédéric Bourdin,弗雷德里克·布尔丹
Mickaël Piétrus,迈克尔·皮特鲁斯
Auguste François,方苏雅
Mylène Jampanoï,米兰妮·让帕诺米
Georges Canguilhem,乔治·康吉莱姆
Jules Méline,朱尔·梅利纳
Georgette Leblanc,喬吉特·盧布朗
Abraham de Moivre,亞伯拉罕·棣莫弗
Dimitri Szarzewski,迪米特里·萨尔泽夫斯基
Guillaume de Machaut,纪尧姆·德·马肖
Louis Franchet d'Espèrey,路易·弗朗谢·德斯佩雷
Pascale Trinquet-Hachin,帕斯卡勒·特兰凯
Reynaldo Hahn,雷纳尔多·哈恩
Benoît Vermander,魏明德
Jean Goujon (cyclisme),让·古戎
Georges Maton,乔治·马东·(運動員)
André Marie Constant Duméril,安德烈·马里·康斯坦·迪梅里
Pierre Kœnig,马里-皮埃尔·柯尼希
Danijel Ljuboja,达尼耶尔·柳博亚
François Joseph Paul de Grasse,弗朗索瓦·约瑟夫·保罗·德格拉斯
Honoré Théodore Maxime Gazan,泰奥多尔·马克西姆·加赞
Hugues Duboscq,于格·迪博斯克
Catherine Colonna,卡特琳·科隆纳
Véronique Claudel,韦罗妮克·克洛代尔
Édouard-Gérard Balbiani,愛德華-傑拉德·巴比亞尼
André Le Nôtre,安德烈·勒诺特尔
Paul Valéry,保羅·瓦勒里
Maurice Garin,莫里斯·加兰
Raymond Oliver,雷蒙·奧利弗
Guillaume Bigourdan,纪尧姆·比古尔丹
Louis d'Orléans (1703-1752),路易·德·奧爾良·(1703年—1752年)
Raymond Stora,雷蒙·斯托拉
Micheline Ostermeyer,米舍利娜·奥斯特梅耶
Bernard Lyot,貝爾納·費迪南·李奧
Albert Sarraut,阿尔贝·萨罗
Eugénie Cotton,欧任尼·戈登
Natalia Cheremetievskaïa,娜塔莉娅·布拉索娃
Édouard Mortier,爱德华·莫尔捷
Anne de Bretagne,布列塔尼的安妮
Léon Brillouin,萊昂·布里淵
Gabriel Pierné,加布里埃尔·皮埃内
Nicolas de Condorcet,尼古拉·德·孔多塞
Jacques Attali,贾克·阿达利
Jean-Louis Tixier-Vignancour,让-路易·蒂克西埃-维尼扬古
Michel Serres,米榭·塞荷
Leslie Law,莱斯利·劳
Adolf Scherer,阿道夫·舍雷尔
Arnaud Boiteau,阿诺·布瓦托
Jean Teulère,让·特莱尔
Cédric Lyard,塞德里克·利亚尔
Napoléon-Jérôme Bonaparte,拿破崙-熱羅姆·波拿巴
Richard Cantillon,理查德·坎蒂隆
Henri Duparc (compositeur),亨利·迪帕克
Élie Decazes,埃利·德卡兹
Yves Chauvin,伊夫·肖万
Jean-Loup Chrétien,让-卢·克雷蒂安
Charlotte de Robespierre,夏洛特·罗伯斯庇尔
Gabriel Bonnot de Mably,加布里埃尔·博诺·马布利
Tran Nu Yên-Khê,陳女燕溪
Gail Sherriff,加伊·尚弗罗
Thibaut Pinot,蒂博·皮诺
Édouard Drouyn de Lhuys,德律安·德·吕
Alain Aspect,阿兰·阿斯佩
Édouard Branly,愛德華·布朗利
Nicolas-Louis de Lacaille,尼古拉-路易·德·拉卡伊
Édouard Cortès (peintre),爱德华·科尔特斯
Édouard Chavannes,沙畹
Auguste Haouisée,惠济良
Edmond Rostand,埃德蒙·罗斯丹
Max von Sydow,麥斯·馮·西度
Élisabeth Badinter,伊莉莎白·巴丹戴爾
Gaspard-Gustave Coriolis,加斯帕尔-古斯塔夫·科里奥利
Maïwenn,麥雯
Philippe Garrel,菲利普·卡黑
Nicole Garcia,妮可·賈西亞
Anaïs Demoustier,阿娜伊絲·德穆斯提耶
Amdy Faye,阿姆迪·法耶
Édouard Roche,愛德華·洛希
Jocelyn Angloma,若瑟林·安高馬
Maurice Perronnet,若阿尼·佩罗内
Jean-Luc Marion,讓-呂克·馬里翁
Édouard Biot,毕欧
Gabriel Ramanantsoa,加布里埃爾·拉馬南楚阿
Bernard Buffet,貝爾納·布菲
Félix Gaillard,费利克斯·加亚尔
Robert de Courtenay (empereur latin de Constantinople),庫特奈的羅貝爾
Niède Guidon,聂德·吉东
Marie de Lorraine,洛林的瑪麗
Esther Duflo,艾絲特·杜芙若
Henri Michel (football),亨利·米歇尔
Véra Clouzot,維拉·克魯佐
Philibert Ier,菲利貝托一世
Françoise Grossetête,弗朗索瓦茲·格羅塞特
Céline Sciamma,瑟琳·席安瑪
Guy Drut,居伊·德吕
Adolphe Bousquet,阿道夫·布斯凯
Catherine-Dominique de Pérignon,卡特林-多米尼克·德·佩里尼翁
Philippe Ariès,菲利普·阿里埃斯
François-André Danican Philidor,弗朗索瓦-安德烈·丹尼根·菲利多尔
Claudette Colbert,克劳黛·考尔白
Antoine Pesne,安托万·佩内
Adolphe Blanqui,热罗姆-阿道夫·布朗基
Xavier Bertrand,格扎维埃·贝特朗
Gustave Moreau,古斯塔夫·莫罗
Charles Ier d'Anjou,安茹的查理
Adolphe Kégresse,阿道夫·凯格雷斯
Adolphe Pégoud,阿道夫·佩古德
Arsène Lupin,亚森·罗宾
Catalina Denis,卡塔利娜·丹尼斯
Marie-Victoire de Noailles,瑪麗-維克圖瓦·德·諾瓦耶
Pierre Monteux,皮埃尔·蒙特
Albert de Broglie,阿尔贝·德·布罗伊
Philippe Douste-Blazy,菲利普·杜斯特-布拉齊
Bérenger de Tours,貝倫加爾
Philippe Troussier,菲利普·特鲁西埃
Charles Adolphe Wurtz,夏尔-阿道夫·武尔茨
Claude de Lorraine,吉斯公爵克洛德
André Ayew,安德雷·阿尤
André Bauchant,安卓·龐象
Alain Mimoun,阿兰·米蒙
Patrice Chéreau,巴提斯·謝侯
Luc Dagobert,呂克-西梅翁-奧古斯特·達戈貝爾
Toussaint Louverture,杜桑·盧維杜爾
André Auffray,安德烈·奥弗雷
Tino Costa,天奴·哥斯達
Jean-Pierre Blanchard,让-皮埃尔·布朗夏尔
Charles Friedel,夏尔·弗里德尔
Isaac Casaubon,伊萨克·卡索邦
Roger Vailland,罗歇·瓦扬
Jacques Amyot (évêque),雅克·阿米欧
Stéphane Dion,斯特凡·迪翁
Christian Jacq,克里斯提昂·賈克
Mustapha Zitouni,穆斯塔法·兹图尼
Patrick Battiston,柏德烈·巴迪斯頓
Julie Gayet,茱莉·嘉葉
Auguste de Villiers de l'Isle-Adam,維利耶·德·利爾-亞當
Claude Dagens,克劳德·达让
André-Louis Cholesky,安德烈-路易·科列斯基
Alain de Benoist,阿兰·德·伯努瓦
Florence Arthaud,弗洛倫斯·阿爾托
Françoise Bettencourt Meyers,馮斯瓦絲·麥爾斯
Zinovi Pechkoff,貝志高
Maurice Emmanuel,莫里斯·埃马努埃尔
Zino Francescatti,齊諾·弗朗切斯卡悌
Jean Frédéric Frenet,让·弗雷德里克·弗勒内
Guillaume Farel,威廉·法雷尔
Frédéric Bazille,弗雷德里克·巴齐耶
Georges Bataille,喬治·巴代伊
Annabella,安娜貝拉·(演員)
David Ospina,戴维·奥斯皮纳
Léon Bloy,莱昂·布卢瓦
Roger Veyron,罗歇·韦龙
Bernard Kouchner,贝尔纳·库什内
Paul-Émile Lecoq de Boisbaudran,保罗·埃米尔·勒科克·德布瓦博德兰
Henri Breuil,亨利·步日耶
Waléran II de Luxembourg-Ligny,瓦勒良二世·(盧森堡-利尼)
George Albert Boulenger,乔治·阿尔贝·布兰洁
Guy Roux,居伊·鲁
Jules Dumont d'Urville,儒勒·迪蒙·迪維爾
Mathieu Flamini,马蒂厄·弗拉米尼
Gaspard II de Coligny,加斯帕尔·德科利尼
Éric Srecki,埃里克·斯雷基
François II de Lorraine,洛林公爵法蘭索瓦二世
Henri-Léon Lebesgue,亨利·勒貝格
André Chorda,安德烈·喬達
Victor Segalen,谢阁兰
André Cluytens,安德烈·克鲁伊滕斯
Gaspard Monge,加斯帕尔·蒙日
Albert Uderzo,阿尔贝·乌代尔佐
Olympe de Gouges,奥兰普·德古热
Jordan Ayew,乔丹·阿尤
Yazid Mansouri,耶齊德·曼蘇里
Gauthier Grumier,戈捷·格吕米耶
Arman,阿爾曼
Catherine Martin (décoratrice),凯瑟琳·马丁
Marie-Anne Mancini,玛丽·安妮·曼奇尼
Jérémy Morel,傑雷米·格雷爾
Numa Denis Fustel de Coulanges,努马·德尼·甫斯特尔·德·库朗日
Raymond Loewy,雷蒙德·洛威
Suzanne Duchamp,苏珊·杜尚
Claudine Guérin de Tencin,克劳汀·盖因·德·唐森
Anouk Grinberg,阿努克·格兰贝格
André Castanet,安德烈·卡斯塔内
André Caplet,安德烈·卡普莱
André Cardinal Destouches,安德烈·卡迪纳·德图什
Paul Hazard,保罗·阿扎尔
André Couder,安德烈·库代
Mohammed Dib,穆罕默德·狄布
André Devaux,安德烈·德沃
Thierry Rey,蒂埃里·雷伊
Armand Guillaumin,阿尔芒德·基约曼
Guillaume Dufay,纪尧姆·迪费
Louis Durey,路易·迪雷
Joseph Joffre,約瑟夫·霞飛
Léo Delibes,莱奥·德利布
Marc Gicquel,馬克·吉克爾
Pascal Vahirua,帕斯卡·瓦希魯阿
Jonathan Biabiany,乔纳森·比亚比亚尼
Frédérick Bousquet,弗雷德里克·布斯凯
Paul Gégauff,保羅·傑高夫
Priscilla Betti,普莉西拉·贝蒂
Jeanne Barret,珍妮·芭蕾
Raymond de Poitiers,普瓦捷的雷蒙
Bob Denard,鲍勃·德纳尔
Hervé Renard,埃尔韦·勒纳尔
Pierre Clastres,皮耶·克拉斯特
André Lhote,安德烈·洛特
André Gobert,安德烈·戈贝尔
Jean Siméon Chardin,让·巴蒂斯特·西梅翁·夏尔丹
Alfred Binet,阿爾弗雷德·比奈
Laetitia Casta,利蒂希娅·卡斯塔
Antoine Chrysostome Quatremère de Quincy,卡特勒梅尔·德·坎西
Sébastien Ogier,塞巴斯蒂安·奥吉尔
Paul Pelliot,伯希和
Claude Joseph Rouget de Lisle,克洛德·约瑟夫·鲁日·德·李尔
Roland Garros,罗兰·加洛斯
Annie Famose,安妮·法莫斯
Wendie Renard,溫迪·荷娜
Emmanuelle Riva,艾曼紐·麗娃
Isabelle Mir,伊莎贝尔·米尔
Patricia Girard,帕特里夏·吉拉尔
Mehdi Benatia,迈赫迪·贝纳蒂亚
Kristin Scott Thomas,克莉斯汀·史考特·湯瑪斯
Thibaud III de Blois,蒂博三世·(布卢瓦)
Daniel Narcisse,达尼埃尔·纳西斯
Morgan Amalfitano,摩根·艾馬菲達奴
Paul Pau,保羅·包
Ferdinand de Lesseps,斐迪南·德·雷赛布
Richard Gasquet,里夏爾·加斯凱
Mary Pierce,玛丽·皮尔斯
Nicolas Joseph Cugnot,尼古拉·约瑟夫·屈尼奥
Thiago Silva,蒂亚戈·席尔瓦
Sergio Ortega,塞尔吉奥·奥尔特加·阿爾瓦拉多
Louis de Rouvroy de Saint-Simon,路易·德·鲁弗鲁瓦
Pierre Charron,皮埃尔·沙朗
Vahid Halilhodžić,瓦希德·哈利霍季奇
Claude Bernard,克洛德·贝尔纳
André Jousseaume,安德烈·茹索姆
Charles II de Bourbon,夏尔二世·德·波旁
Jean-Baptiste Charcot,让-巴蒂斯特·沙尔科
Wenceslas Lauret,文塞斯拉斯·洛雷
Yael Naim,娅埃勒·纳伊姆
Émile Gaboriau,埃米爾·加博里歐
Théodule-Armand Ribot,泰奥蒂勒-阿尔芒·里博
Jacques-René Hébert,雅克-勒内·埃贝尔
Alain de Boissieu,阿兰·德·波瓦西厄
Marama Vahirua,華希·路亞
André François-Poncet,安德烈·弗朗索瓦-龐賽
François de Bourbon-Vendôme,法蘭索瓦·德·波旁-旺多姆
Teddy Tamgho,特迪·塔姆戈
Jean-Marc Fontaine,让-马克·方丹
Georges Gilles de La Tourette,乔治·吉勒·德拉图雷特
Albert Calmette,阿尔贝·卡尔梅特
Charles-Alexandre de Calonne,夏尔·亚历山大·德·卡洛纳
Jacques-Alain Miller,雅克-阿兰·米勒
Claude Ménard,克洛德·梅纳尔
Jesús-Rafael Soto,赫苏斯·拉斐尔·索托
Gérard Debreu,傑拉德·德布魯
Kurt Zouma,葛特·蘇馬
Salomon Olembé,萨洛蒙·奥莱姆贝
Joris-Karl Huysmans,若利斯·卡尔·于斯曼
Jean-Joseph Cassanéa de Mondonville,让-约瑟夫·卡萨内亚·德·蒙东维尔
Marie de Rohan,玛丽·德·罗昂
Louis Paul Cailletet,路易·保罗·卡耶泰
Mapou Yanga-Mbiwa,馬普·恩加-麥比華
Justin Ahomadegbé,朱斯坦·阿奧馬德貝-托莫坦
Ariane Labed,阿麗安·拉蓓
Pierre Cauchon,皮埃爾·科雄
Louis-Michel Letort de Lorville,路易-米歇爾·勒托爾
Maryse Condé,玛丽斯·孔戴
André Lagache,安德烈·拉加什
Adrian Mannarino,阿德里安·曼納里諾
Jean-Christophe Péraud,让-克里斯托夫·佩罗
Juliette Drouet,朱丽叶·德鲁埃
Gilles Simon,吉爾·西蒙
Maurice Merleau-Ponty,莫里斯·梅洛-龐蒂
André Le Troquer,安德烈·勒·特罗克尔
Pierre Ier (roi de Serbie),彼得一世·(塞尔维亚)
Jean-Pierre Olivier de Sardan,让-皮埃尔·奥利维尔·萨丹
Désirée Clary,德茜蕾·克拉里
"Damien Perquis (football, 1984)",達米恩·佩爾基
Louisa Necib,路易莎·内奇布
Henri Cochet,亨利·科歇
William Kennedy Laurie Dickson,威廉·肯尼迪·迪克森
Jean Longuet,让·龙格
André Navarra,安德列·納瓦拉
Johnny Hallyday,约翰尼·阿利代
Serge Lang,塞尔日·兰
Jean Dieudonné,讓·迪厄多內
René Baire,勒内-路易·贝尔
Rudy Gestede,鲁迪·格斯特德
Luc Illusie,吕克·伊吕西
Antoine d'Abbadie,安托万·达巴迪
France Gall,法蘭絲·蓋兒
Maxime Kontsevitch,马克西姆·孔采维奇
Jean-Christophe Yoccoz,讓-克里斯托夫·約科茲
Arturo Rodas,阿尔图罗·罗达斯
Marie-José Nat,玛丽-若泽·纳特
Céline Deville,塞利娜·德维尔
Henry Darcy,亨利·達西
Michel Barnier,米歇爾·巴尼耶
Frédérique Brion,弗里德里克·布里翁
Marie-George Buffet,玛丽-乔治·比费
Philippe de Commynes,菲利普·德·科米纳
Laurent Schwartz (mathématicien),洛朗·施瓦茨
Jean-Pierre Serre,讓-皮埃爾·塞爾
André Hercule de Fleury,弗勒里
