Joachim Heinrich Wilhelm Wagener,勒夫海因里希·威廉·瓦格納
Ole Scheeren,奧雷·舍人
Lena Schöneborn,莱纳·舍内博恩
Kurt Sanderling,库尔特·桑德林
Hans Baur,漢斯·包爾
Katharina Wagner,卡塔琳娜·瓦格纳
Bernd Heynemann,伯恩德·韓勒曼
Paul Carell,保罗·卡雷尔
Heinrich Vollmer,海因里希·沃爾默
Natalia Wörner,娜塔丽雅·沃尔娜
Erich Köhler,埃里希·克勒
Friedelind Wagner,弗林德里德·瓦格纳
Gerd Schönfelder,格尔德·舍恩菲尔德
Robert Mertens,羅伯特·梅爾滕斯
Joseph Berchtold,约瑟夫·柏赫托德
Wolfgang Wagner,沃尔夫冈·瓦格纳
Matthias Habich,马蒂亚斯·哈比希
Frank Beyer,弗兰克·拜耳
Georg Giese,格奥尔格·吉塞
Thomas Florschütz,托马斯·弗洛许茨
Daniel Fridman,丹尼尔·弗里德曼
Barthold Heinrich Brockes,巴特霍尔德·海因里希·布洛克斯
Adalbert Bezzenberger,阿達爾伯特·貝岑貝格爾
Thomas Luckmann,湯瑪斯·盧克曼
Benjamin Buchloh,本杰明·H·D·布赫洛
Arthur Hoffmann,阿图尔·霍夫曼
Otto Becker,奥托·贝克尔
Burkhard von Hornhausen,布尔哈尔德·冯·霍尔恩豪森
Ernst Ulrich von Weizsäcker,恩斯特·烏爾利希·馮·魏茨澤克
Rudolf Havenstein,魯道夫·哈芬史坦
Karl Otto Götz,戈茲
Johannes Frießner,約翰內斯·弗里斯納
Hermann Lang,赫尔曼·朗
Siegfried Lowitz,西格弗里德·洛威茨
Rex Gildo,雷克斯·吉尔多
Frank Rommel,弗兰克·隆梅尔
Wolfgang von Hessen,沃尔夫冈·莫里茨
Viktor Brack,維克特·布拉克
Volker Weidler,沃爾克·威德勒
Wieland Wagner,维兰德·瓦格纳
Heinrich Liebe,海因里希·利贝
Frank Rennicke,弗蘭克·雷尼克
Otto-Heinrich Drechsler,奧托-海因里希·德萊斯勒
Dieter Hoeneß,迪打·漢尼斯
Dieter Müller,迪特·穆勒
Tilly Fleischer,奧蒂莉·費萊雪
Hugo Borchardt,雨果·博查特
Wilfried Gröbner,维尔弗里德·格勒布纳
Maria Kliegel,玛丽亚·克利格尔
Kevin Kuske,凯文·库斯克
André Lange,安德烈·朗厄
Simon Greul,西蒙·格魯爾
Johann Philipp Palm,約翰·菲利普·帕爾姆
Volker Kauder,福尔克尔·考德
Menahem Pressler,梅內海姆·普萊斯勒
Marc Ziegler,马克·齐格勒
Bruno Loerzer,布鲁诺·勒尔策
Günter Guillaume,君特·纪尧姆
Andreas Deja,安德鲁斯·德加
Gil Ofarim,吉尔·奥法里姆
Wolfgang Zimmerer,沃尔夫冈·齐默勒
Franz Ritter von Epp,弗朗茨·馮·埃普
Bettina Zimmermann,貝緹娜·齊摩曼
Franz Pfemfert,弗朗茨·普费姆费尔特
Maximilian Fretter-Pico,馬克西米利安·弗雷特-皮科
Walter Hohmann,沃尔特·霍曼
Johann Adolf II.,約翰·阿道夫二世
Hedwig Elisabeth Amalia von der Pfalz,海德薇希·伊莉莎白
Benedicta Henriette von der Pfalz,貝內迪塔·亨麗埃特
Joseph Süß Oppenheimer,约瑟夫·苏斯·奥本海默
Margit Carstensen,玛吉特·卡斯滕森
Daniela Schreiber,达妮埃拉·施莱伯
Markus Stenz,马库斯·斯坦兹
Hanna Maron,漢娜·馬容
Ernst Schäfer,恩斯特·塞弗尔
Albrecht V.,阿爾布雷希特五世
Veit Harlan,法伊特·哈尔兰
Wolfgang Schmieder,沃夫岡·史密德
Robert Ochsenfeld,羅伯特·奧克森菲爾德
Rudolf Buchheim,魯道夫·布克海姆
Gottfried Arnold,葛腓烈·阿諾
Manfred Schnelldorfer,曼弗雷德·施內爾多費爾
Paul Kahle,保羅·卡勒
Paul Moritz Warburg,保羅.M.瓦爾堡
Erich Hamann,埃里希·哈曼
Edzard Ernst,埃得·扎德
Konrad Morgen,格奥尔格·康拉德·摩根
Otto I.,奧托一世
Maik Bullmann,迈克·布尔曼
Werner Tübke,维尔纳·塔布克
Hermann Paul Müller,赫尔曼·保罗·米勒
Ludwig Knorr,路德维希·克诺尔
Sabine Schmitz,萨宾·施密茨
Siegfried Palm,謝格孚黎德·波姆
Frida Leider,弗里达·莱德尔
Hans Ulrich Klintzsch,汉斯·乌尔里希·克林奇
Klaus Hildebrand,克劳斯·希尔德布兰特
Johann Georg von Brandenburg-Jägerndorf,約翰·格奧爾格
Conny Pohlers,科妮·波勒斯
Ernst I. von Baden-Durlach,恩斯特
Augustus Quirinus Rivinus,奥古斯都·奎里努斯·里维努斯
Nina Schenk Gräfin von Stauffenberg,妮娜·申克·格雷芬·馮·施陶芬貝格
Hans Baumgartner,汉斯·鲍姆加特纳
Georg Gänswein,喬治·根斯凡
Hanns Seidel,漢斯·塞德爾
Wolfgang Iser,沃爾夫岡·伊瑟爾
Artur Jussupow,阿图尔·尤苏波夫
Conrad Celtis,康拉德·策尔蒂斯
Franz Schwechten,弗朗茨·施韦希滕
Karl Del’Haye,卡尔·德尔哈耶
August Wilhelm,奧古斯特·威廉
Michael Spindler,迈克尔·斯平德勒
Georg Marggraf,格奧爾格·馬奇拉夫
Karl Gero von Urach,第三代烏拉赫公爵卡爾·格洛
Maria von Geldern,海爾德的瑪麗
René Rast,勒内·拉斯特
Luise Danz,路易斯·丹茨
Ernst von Weizsäcker,恩斯特·馮·魏茨澤克
Herbert Rosendorfer,赫伯特·罗斯多弗
Jutta Rüdiger,尤塔·吕迪格
Heino Ferch,海诺·费尔希
Eva Wagner-Pasquier,埃娃·瓦格纳-帕斯屈耶
Georg-Hans Reinhardt,喬爾格-漢斯·萊因哈特
Oksana Chusovitina,奥克萨娜·丘索维金娜
Herbert Quandt,赫伯特·匡特
Theodor Bergmann,西奧多‧貝格曼
Gerhard Roßbach,格哈德·羅斯巴赫
René Hoppe,勒内·霍佩
Elisabeth Volkenrath,伊丽莎白·福尔肯拉特
Ken Adam,肯·亚当
Walter Dornberger,瓦尔特·罗伯特·多恩伯格
Bettina Wulff,贝蒂娜·武尔夫
Philippine Welser,菲律宾·韦尔瑟
Friedrich Wilhelm II.,腓特烈·威廉二世 (薩克森-阿爾滕堡)
Charlotte von Hanau-Lichtenberg,夏洛特女伯爵
Wolfgang Leonhard,沃爾夫岡·萊昂哈德
Josef Bachmann,約瑟夫·巴赫曼
Kim Dotcom,金·達康
Oka Nikolov,奧卡·尼科洛夫
Walter Giller,沃尔特·吉勒
Johann von Posilge,約翰·馮·普茨格
Christian Ludwig Herzog zu Mecklenburg,克里斯蒂安·路德维希
Annika Mehlhorn,安妮卡·梅勒霍恩
Moritz Wilhelm,莫里茲·威廉
Karl-Otto Alberty,卡爾·奧托·歐博蒂
Helene zu Mecklenburg,梅克倫堡-施特雷利茨的海倫
Rolf Singer,洛夫·辛格
Hugo Häring,黑林
Winrich Behr,溫里希·貝爾
Jens Kruppa,延斯·克鲁帕
Bogdan Musiol,波格丹·穆肖乌
Ludwig Hassenpflug,路德維希·哈森弗魯格
Ruth Leuwerik,露絲·羅伊維麗克
Daniel Küblböck,丹尼尔·屈伯克
"Herzogin Mathilde Ludovika, Grafin zu Trani",巴伐利亚的玛蒂尔德
Karl Bartos,卡尔·巴托斯
Theodor Busse,特奥多尔·布塞
Richard Riemerschmid,理查德·里馬施德
Wilhelm von Thoma,威廉·里特·馮·托馬
Artur Axmann,阿图瑟·艾克曼
Margaretha von Staufen,西西里的瑪格麗塔
Ludwig Kögl,路德维希·克格尔
Georg Kaiser,乔治·凯泽
Franz Etzel,弗朗茨·埃策尔
Otto IV.,奧托一世
Magnus von Braun,马格努斯·冯·布劳恩
Adolf Johann I.,阿道夫·約翰一世
Adam von Württemberg,符騰堡的亞當
Philipp Wilhelm August von der Pfalz,菲利普·威廉·奧古斯特
Stephan Schröck,斯特凡·施洛克
Eugen Leviné,尤金·莱维
August Lösch,奥古斯特·勒施
Hermann Lietz,赫尔曼·利茨
Paul Oppenheim,保罗·奥本海姆
Heiner Geißler,海纳·盖斯勒
Hugo Kraas,胡戈·克拉斯
Magdalena Sibylla von Sachsen-Weißenfels,马格达莱纳·西比勒郡主
Ignaz Döllinger,伊格納茲·德林格
Georg Wilhelm,格奧爾格·威廉
Albert Bassermann,艾尔伯特·贝瑟曼
Ernst August II.,恩斯特·奧古斯特二世 (薩克森-魏瑪-艾森納赫)
Lothar Koch,羅特·寇赫
Ernst Zinner,安斯特·秦諾
Ingrid Caven,英格丽·卡文
David Vostell,大卫·沃斯特尔
Christian Petzold,克利斯蒂安·佩措尔德
Enrico Kühn,恩里科·屈恩
Marc Rothemund,马克·罗特蒙德
Mark Benecke,马克·贝内克
Albrecht Mayer,阿爾布雷希特·梅爾
Christine Magdalena von Pfalz-Zweibrücken-Kleeburg,普法爾茨的克莉絲汀娜·瑪格達列娜
Karl Angerer,卡尔·安格雷尔
Erwin Madelung,埃尔文·马德隆
Benno Fürmann,賓奴·費曼
Max von Hausen,马克斯·冯·豪森
Oskar Hergt,奧斯卡·赫格特
Thomas Strunz,托马斯·施特伦茨
Horst Buchholz,霍斯特·布赫霍尔茨
Sebastian Fitzek,塞巴斯蒂安·菲策克
Norbert Haug,罗伯特·豪格
Charles P. Steinmetz,查爾斯·普羅透斯·斯泰因梅茨
Herbert Runge,赫伯特·伦格
Robert Alexy,阿列克西
Wolfgang Becker,禾夫靳·碧嘉
Astrid Kumbernuss,阿斯特丽德·昆贝尔努斯
Oliver Hirschbiegel,奥利弗·希施比格尔
Alexander Kluge,亚历山大·克卢格
Ruprecht von der Pfalz,弗萊辛主教魯普雷希特
Friedrich Freiherr v. Eberstein,卡爾·馮·艾柏斯坦
Romuald Karmakar,罗穆阿德·卡马克
Ute Lemper,鄔蒂·蘭普
Johann I.,約翰一世 (普法爾茨-錫門)
Martina Hellmann,玛蒂娜·赫尔曼
Alfred Junge,阿尔弗雷德·琼格
Richard Kauffmann,理查德·考夫曼
Dieter Kindlmann,迪特尔·金德尔曼
Jens Knippschild,延斯·克尼普席尔德
Gordon M. Gollob,戈登·葛洛布
Sonja Ziemann,桑娅·齐曼
Hans Krüger,汉斯·克吕格
Adolf Friedrich zu Mecklenburg,阿道夫·弗里德里希
Ludwig Klages,路德維格·克拉格斯
Christa Schroeder,克莉絲塔·施羅德
Richardis von Schwerin,施威林的理察迪絲
Hermann Graf Keyserling,盖沙令
Helmut Rahn,赫爾穆特·拉恩
Evi Sachenbacher-Stehle,埃维·扎亨巴赫-施特勒
Günter Behnisch,京特·贝尼施
Günter Rexrodt,雷斯洛特
Fritz Paneth,弗里德里希·阿道夫·帕内特
Matthias Goerne,马提亚斯·葛纳
Walther Hewel,瓦尔特·黑韦尔
Axel Honneth,阿克塞尔·霍耐特
Denis Gremelmayr,丹尼斯·格雷梅邁爾
François de Cuvilliés der Ältere,弗兰索瓦·德·屈维利埃
Felix Loch,菲利克斯·羅克
George Henschel,乔治·亨舍尔
Max Knoll,馬克斯·諾爾
Doris Schröder-Köpf,多麗絲·施羅德-科普夫
Oswald Mathias Ungers,溫格斯
Hendrik Dreekmann,亨德里克·德里克曼
Käthe Haack,凯绥·哈克
Anagarika Govinda,高文达喇嘛
Heinrich von Lüttwitz,海因里希·冯·吕特维茨
Marquard Bohm,瑪卡·波姆
Robert Gernhardt,罗伯特·格恩哈特
Torsten Kracht,托斯滕·克拉希特
Chris Roberts,克里斯·羅伯茨
Jürgen Marcus,於爾根·馬庫斯
Evelyn Hamann,伊夫林·哈曼
Marlene Weingärtner,玛琳·魏因加特纳
Konrad von Feuchtwangen,康拉德·馮·費希特旺根
Ludwig VII.,路易七世 (巴伐利亞)
Willi Weber,威利·韦伯
Mathias Gey,马蒂亚斯·盖
Rudolf Goclenius der Ältere,鲁道夫·郭克兰纽
Frank Giering,弗兰克·捷林
Eva Pfaff,伊娃·法芙
Elena Gerhardt,埃列娜·格哈特
Wilhelm Gliese,威廉·格利澤
Wolfgang Böhmer,沃爾夫岡·波姆
Otto IV.,奥托四世 (巴伐利亞)
Anton Koberger,安东·科伯格
Berthold Schwarz,貝爾特盧特
Gerhard Tersteegen,捷合·特斯特金
Johann Elias Schlegel,J.E. 施莱格尔
Anni Steuer,安妮·施托伊尔
Marcus Élieser Bloch,馬庫斯·埃利澤·布洛赫
Wilhelm Mohnke,威廉·蒙克
Kurt Zeitzler,库尔特·蔡茨勒
Peter Högl,彼得·赫格尔
Hans Mommsen,漢斯·莫姆森
August Conrady,孔好古
Kurt Biedenkopf,庫特·比登科普夫
Boris Dlugosch,鮑里斯·德魯戈施
Cornelia Froboess,科奈莉亚·弗洛波伊斯
Friedrich Wilhelm I.,腓特烈·威廉一世 (薩克森-威瑪)
Franz Wilhelm Prinz von Preußen,弗朗茨·威廉王子
Emil Maurice,埃米爾·莫里斯
Eberhard IV.,埃伯哈德四世
Dagmar Lurz,达格玛·卢尔茨
Martin Kaymer,馬丁·凱默爾
Philipp von Hessen,菲利普
Georg,巴伐利亚公爵乔治
Ursula von der Leyen,乌尔苏拉·冯德莱恩
Steffen Blochwitz,斯特芬·布洛赫维茨
Ferdinand Alexander Porsche,費迪南·亞歷山大·保時捷
Daniel Brands,丹尼爾·布蘭德斯
Hyazinth Graf Strachwitz,海津特·施特拉赫维茨伯爵
Rolf Carls,洛爾夫·卡爾斯
Julius Friedrich,尤利烏斯·腓特烈
Hermann Reinecke,赫爾曼·雷內克
Hermann Gröhe,赫爾曼·格羅赫
Heinz G. Konsalik,孔萨利克
Ellen Allien,埃朗·阿连
Matthias Freihof,馬夏斯·弗萊霍夫
Sabine Everts,扎比内·埃弗茨
Irmingard von Bayern,巴伐利亞的伊爾明加德
Johann Wilhelm,約翰·威廉
Wilhelm Fahrmbacher,威廉·法姆巴赫
Albrecht II.,阿爾伯特二世
Albrecht VI.,阿爾布雷希特六世
Arthur Rudolph,阿瑟·魯道夫
Emil Hirschfeld,埃米尔·希施费尔德
Andreas Beck,安德烈亞斯·貝克
Viktoria Adelheid von Schleswig-Holstein-Sonderburg-Glücksburg,什勒斯維希-霍爾斯坦郡主維多利亞·阿德萊德
Hans-Jürgen Syberberg,漢斯-于爾根·西貝爾貝格
Dieter Baumann,迪特尔·鲍曼
Anton Ulrich von Braunschweig-Wolfenbüttel,安東尼·烏爾里希
Wolfgang Koeppen,沃尔夫冈·科彭
Heinrich III.,海因里希三世
Ludwig Suthaus,路德维希·苏特豪斯
Muriel Baumeister,穆里尔·鲍迈斯特
Günther Victor,京特·维克托
Alfred Kerr,阿尔弗雷德·克尔
Harald Vogel,哈拉尔德·沃格尔
Shere Hite,雪儿·海特
Karl Fiehler,卡爾·費赫勒
Manfred Wörner,曼弗雷德·溫納爾
Holger Meins,霍尔格·梅恩斯
Helene zu Waldeck und Pyrmont,海伦娜公主 (奥尔巴尼公爵夫人)
Edward Lasker,爱德华·拉斯克
Johannes Fust,約翰尼斯·福斯特
Edgar Reitz,爱德嘉·莱兹
Ernst Jacobi,恩斯特·雅各比
Johann Georg von Hohenzollern,约翰·格奥尔格
Ludwig Karl Maria von Bayern,路德維希王子
Bernhard Lehmann,伯恩哈德·莱曼
Hermann Otto Solms,索姆斯
Stephanie Beckert,施特凡妮·贝克特
Hans Fruhstorfer,漢斯·弗魯斯多福
Joachim Camerarius der Ältere,姚基姆·卡梅拉留斯
Franz Kaiser,弗朗茲·凱撒
Otto Schily,奥托·席利
Michael Westphal,麦克·韦斯特法
Hermann Ehrhardt,赫尔曼·艾尔哈特
Christian Thielemann,克里斯蒂安·蒂勒曼
Christoph Eschenbach,克里斯托弗·埃申巴赫
Friedrich Karl Ferdinand,腓特烈·卡爾·斐迪南
Armin Falk,阿明·法爾克
Friedrich Ludwig von Württemberg-Winnental,腓特烈·路德維希
Johann Christoph Altnikol,J.C. 阿尔特尼科尔
Georg Lassen,格奥尔格·拉森
Kurt Feldt,庫特·費爾特
Edgar Feuchtinger,埃德加·福伊希廷格
Ludwig III.,路易三世 (巴伐利亞)
Irmgard Seefried,伊姆加德·席芙瑞德
Marie Karoline von Battenberg,巴滕貝格的瑪麗
Assani Lukimya,阿薩尼·盧基米亞
August I.,奧古斯特一世
Ludwig Heilmann,路德維希·海爾曼
Wolf Kahler,沃尔夫·卡勒
Horst Söhnlein,霍斯特·索恩莱恩
Hans Källner,漢斯·卡爾納
Ursula Krechel,乌尔苏拉·克莱谢尔
Carlo Ljubek,卡罗·柳别克
Max Otte,马克斯·奥特
Harry Meyen,哈里·梅恩
Günter Kunert,昆特·库纳特
Michael Hamburger,迈克尔·汉伯格
Clueso,Clueso
Theodor Hoffmann,特奥多尔·霍夫曼
Rudolf Veiel,魯道夫·維爾
Max Littmann,马克斯·利特曼
Rolf Gölz,罗尔夫·格尔茨
Gertrud Scholtz-Klink,杰特鲁德·萧尔茨·克林克
Johannes Mühlenkamp,約翰內斯-魯道夫·穆倫坎普
Philipp Freiherr von Boeselager,菲力普·馮·波塞拉格
Mehmet Ekici,梅赫梅特·埃基奇
Gerhard Schröder,格哈特·施罗德
Kurt Symanzik,庫爾特·希門奇克
Gustav Scheel,古斯塔夫·阿道夫·希爾
Frei Otto,費伊·奧托
Charlotte Auerbach,夏洛特·奥尔巴克
Dennis Gansel,丹尼斯·甘塞爾
Gustav Andreas Tammann,古斯塔夫·安德列斯·塔曼
Michael Grzimek,迈克尔·格日梅克
Emmy Göring,埃米·戈林
Freimut Börngen,佛蒙特·伯根
Angelika Schrobsdorff,安熱莉卡·施羅布森多福
Ernst Feßmann,恩斯特·費斯曼
Otto Beisheim,奥托·拜斯海姆
Werner Janensch,韋爾納·亞南施
Otto von Bülow,奥托·冯·比洛
Heinz Nixdorf,海因斯·利多富
Georg Volkert,格奥尔格·福克尔特
Christina Schwanitz,克里斯蒂娜·施瓦尼茨
Elisabeth Noelle-Neumann,伊丽莎白·诺艾尔-诺依曼
Ernst Zündel,恩斯特·曾德尔
Hans Lenk,汉斯·伦克
James Kwast,詹姆斯·夸斯特
Ludwig Anton von der Pfalz,路德維希·安東
Eric Johannesen,埃里克·约翰内森
Andreas Kuffner,安德烈亚斯·库夫纳
Peter Stein,彼得·施泰因
Ludwig VI.,巴伐利亚公爵路易六世
Walter Model,瓦尔特·莫德尔
Fabian von Schlabrendorff,法比安·冯·施拉布伦多夫
Ricarda Huch,理卡达·胡赫
C. W. Ceram,C·W·策拉姆
Rolf Hochhuth,羅爾夫·霍赫胡特
Roger Kluge,罗格·克卢格
Georg Niedermeier,格奥格·尼德迈尔
Tunay Torun,图纳伊·托伦
Gerd von Rundstedt,格特·馮·倫德施泰特
Fedor von Bock,费多尔·冯·博克
Manuela Schwesig,曼努埃拉·施韦西希
Helmut Lemke,赫爾穆特·萊姆克
Friedrich Josias Prinz von Sachsen-Coburg und Gotha,弗里德里希·约西亚斯
Friedrich August Freiherr von der Heydte,弗里德里希·奥古斯特·冯·德海特
Christian Mayer,克里斯蒂安·邁爾 (天文學家)
Wilhelm Herrmann,威爾漢·赫爾曼
Markus Beyer,马库斯·拜尔
Friedrich Christian Delius,弗里德里希·克里斯蒂安·德利乌斯
Hugo von Seeliger,雨果·漢斯·里特·馮·澤利格
Konrad I. von Wittelsbach,康拉德·馮·維特爾斯巴赫
Kristina Schröder,克里斯蒂娜·施洛德
Bruno Apitz,布鲁诺·阿皮茨
Kristof Wilke,克里斯托夫·维尔克
Anni Friesinger-Postma,安妮·弗里辛格-波斯特马
Hartwig Gauder,哈特维希·高德
Heinz Rühmann,海因茨·鲁曼
Carlo Schmid,卡洛·施密特
Martin Mutschmann,馬丁·穆切曼
Franz Eilhard Schulze,弗朗茨·舒爾茨
Wyn Hoop,溫·霍普
Paul Kretschmer,保羅·克爾茨曼
Stefan Schumacher,斯特凡·舒马赫
Alfred Andersch,阿尔弗雷德·安德施
Eberhard von Mackensen,埃伯哈德·馮·馬肯森
Wilhelm Ritter von Leeb,威廉·馮·里布
Fritz Straßmann,F.斯特拉斯曼
Hellmuth Becker,海爾穆特·貝克爾
Per Mertesacker,佩尔·默特萨克
Robin Szolkowy,羅賓·索爾科維
Ole Bischof,奥勒·比朔夫
Grit Breuer,格丽特·布罗伊尔
Peter Scheerer,彼得·舍勒
Otto Geßler,奧托·格斯勒
Inge Helten,英格·黑尔滕
Hans Dreier,漢斯·德雷爾
August Heisenberg,卡斯帕·恩斯特·奥古斯特·海森堡
Patrik Sinkewitz,帕特里克·辛克维茨
Nadja Uhl,纳嘉·乌尔
Costa Cordalis,科斯塔·科达利斯
Hans Georg Dehmelt,汉斯·德默尔特
Henrich Focke,亨里希·福克
Wolfgang Windgassen,沃尔夫冈·温德加森
Hans-Jürgen Wischnewski,漢斯·于爾根·維什涅夫斯基
Marcus Hahnemann,馬克斯·哈內曼
Gottfried Münzenberg,哥特佛萊德·明岑貝格
Adam Bousdoukos,亚当·布斯多柯斯
Julius Schiller,朱利叶斯·席勒
Tomasz Wylenzek,托马什·维伦热克
Peter Kretschmer,彼得·克雷奇默
Friedrich Schulz,弗里德里希·舒尔茨
Stefan Schwarzmann,史特凡·舒瓦茲曼
Günter Litfin,君特·列芬
Nikolaus Schneider,尼克劳斯·施耐德
Günter Eich,金特·艾希
Anton Flettner,安通·費拿
Friedrich Christiansen,弗里德里希·克里斯蒂安森
Georg Milbradt,格奥尔格·米尔布兰特
Peter Berling,彼得·柏林
Brigitte Zypries,布麗吉特·齊普里斯
Jakob Kaiser,雅各布·凯瑟
Edda Moser,艾達·莫瑟
Werner Kempf,沃爾納·肯夫
Peter Ramsauer,彼得·拉姆绍尔
Harry von Bülow-Bothkamp,哈利·馮·比洛夫-博特坎普
Paul Pietsch,保羅·皮希
Martin Schwarzschild,馬丁·史瓦西
Albrecht II. Alcibiades,阿爾布雷希特·阿爾西比亞德斯
Christoph von Oldenburg,克里斯托弗
Ludwig III.,路易斯三世
Hermann Kretzschmar,赫尔曼·克雷茨施马尔
Ulrich Greifelt,烏爾里希·格萊菲爾特
Peter Lindbergh,彼得·林德伯格
Carl Raddatz,卡尔·拉达茨
Heinrich Eberbach,海因里希·埃伯巴赫
Julius Dorpmüller,尤利乌斯·德浦弥勒
Ludger Beerbaum,卢德格尔·贝尔鲍姆
Gerhard Mitter,格哈德·米勒
Günther Anders,君特·安德斯
Hugo Schmeisser,雨果-施梅瑟 Hugo Schmeisser
Roland Koch,罗兰·科赫
Theodor Oberländer,西奧多·奧柏蘭德
Julius Curtius,尤利乌斯·柯蒂斯
Eduard David,爱德华·大卫
Friedrich II.,腓特烈二世
Walter Elsasser,瓦爾特·埃爾紹澤
Daniel Domscheit-Berg,丹尼尔·多姆沙伊特·伯格
Heinrich I.,海因里希一世
Jakob Friedrich von Abel,雅各布·弗里德里希·馮·阿貝爾
Christian IV.,克里斯蒂安四世
Thanos Petsos,阿薩納西奧斯‧佩措斯
Hans-Werner Sinn,汉斯-沃纳·辛
Herbert Schultze,赫伯特·舒尔策
Camilla Horn,卡米拉·霍恩
Hellmuth Felmy,海爾穆勒·費爾麥
Uzi Gal,烏茲·蓋爾
Klaus Löwitsch,克劳斯·洛维奇
Kim Petras,金·彼特拉斯
Heinrich III.,亨利三世
Anne Poleska,安妮·波莱斯卡
Botho Strauß,博托·施特劳斯
Werner Kohlmeyer,維爾納·科爾邁耶
Lilli Palmer,莉莉·巴露瑪
Günther Schumacher,金特·舒马赫
Heinz Guderian,海因茨·古德里安
Matthias Schweighöfer,马提亚斯·施维赫夫
Eberhard Diepgen,艾伯哈·迪根
Heinrich von Brentano,海因里希·冯·布伦塔诺
Munkhbayar Dorjsuren,道尔吉苏伦·蒙赫巴亚尔
Hans Leip,漢斯·萊普
Rudolf Diels,鲁道夫·迪尔斯
Albrecht IV.,巴伐利亞公爵阿爾伯特四世
Christian Tetzlaff,克里斯蒂安·特茨拉夫
Franz Engstler,弗兰茨·恩格斯特勒
