"Гройс, Борис Ефимович",鮑里斯·格羅伊斯
Андрей Пионтковский,安德烈·皮翁特科夫斯基
"Назаренко, Леонид Васильевич",列奥尼德·纳扎连科
Игорь Сергеевич Иванов,伊戈尔·伊万诺夫
Никита Владимирович Богословский,尼基塔·博戈斯洛夫斯基
Тамара Миансарова,塔玛拉·米安萨罗娃
Владимир Сергеевич Школьник,弗拉基米爾·什科爾尼克
"Садовый, Евгений Викторович",叶夫根尼·萨多夫伊
Вера Звонарёва,薇拉·兹沃纳列娃
"Маслов, Виктор Павлович",維克多·帕夫洛維奇·馬斯洛夫
Сергей Николаевич Караулов,謝爾蓋·卡勞洛夫
"Сафронов, Виктор Сергеевич",維克托·薩夫羅諾夫
Владимир Евгеньевич Фортов,弗拉基米尔·福尔托夫
"Соколов, Владимир Евгеньевич",弗拉基米尔·索科洛夫
Владимир Николаевич Чекасин,弗拉基米拉斯·切卡西納斯
"Казакова, Римма Фёдоровна",麗瑪・費奧多羅芙娜・卡扎科娃
Наталия Гусева,娜塔莎.古谢娃
Евгений Иванович Чазов,叶夫根尼·伊万诺维奇·恰佐夫
Иван Герасимович Лапиков,伊万·拉皮科夫
Берл Лазар,贝雷尔·拉扎尔
Владимир Сергеевич Груздев,弗拉基米尔·谢尔盖耶维奇·格鲁兹杰夫
"Леонов, Николай Сергеевич",尼古拉·谢尔盖耶维奇·列昂诺夫
Александр Львович Эфрос,亚历山大·埃夫罗斯
Александр Викторович Логинов,亞歷山大·洛吉諾夫
Александр Семёнович Холево,亞歷山大·霍爾沃
Алексей Геннадьевич Смертин,阿列克謝·斯梅爾金
Алексей Юрьевич Немов,阿列克谢·涅莫夫
Анатолий Петрович Бугорский,阿纳托利·布戈尔斯基
"Горшкова, Кристина Валерьевна",克里斯蒂娜·格什科娃
Кирилл Серебренников,基里尔·谢列布连尼科夫
Игорь Николаев,伊戈尔·尼古拉耶夫
"Парамонов, Константин Валентинович",康斯坦丁‧帕拉莫諾夫
Михаил Васильевич Зимянин,米哈伊尔·瓦西里耶维奇·齐米亚宁
"Самсонов, Самсон Иосифович",杉森·杉森諾夫
Николай Иванович Носков,尼古拉·諾斯科夫
Чилингаров Артур Николаевич,阿尔图尔·奇林加罗夫
Александр Маркунцев,亚历山大·马坤特索夫
Александр Меркурьев,亚历山大·麦克尔耶夫
"Улюкаев, Алексей Валентинович",阿列克謝·瓦連京諾維奇·烏柳卡耶夫
Владимир Артёмович Пасечник,弗拉基米尔·帕谢奇尼克
Михаил Александрович Ульянов,米哈伊尔·亚历山德罗维奇·乌里扬诺夫
Геворк Андреевич Вартанян,格沃尔克·瓦尔塔尼扬
"Яковенко, Александр Владимирович",亞歷山大·弗拉基米羅維奇·雅科文科
Ролан Антонович Быков,罗兰·贝科夫
Александр Фёдорович Андреев,亚历山大·F·安德烈耶夫
"Емелин, Алексей Вячеславович",阿列克謝·埃梅林
Евгений Петров,叶甫根尼·彼得罗夫
Алексей Александрович Алипов,阿列克谢·阿利波夫
Александр Николаевич Ткачёв,亚历山大·尼古拉耶维奇·特卡乔夫
Оксана Александровна Почепа,奥克萨娜·波奇帕
Роман Валентинович Копин,罗曼·科平
"Погосян, Михаил Асланович",伊爾·波戈相
Альбина Борисовна Джанабаева,奧賓娜·桑娜貝瓦
Анатолий Николаевич Хрулёв,阿纳托利·赫鲁廖夫
Никита Борисович Джигурда,尼基塔·吉古尔达
"Песьяков, Сергей Александрович",柏耶高夫
Екатерина Сергеевна Андреева,葉卡捷琳娜·安德烈耶娃
Виталий Юрьевич Бутиков,维塔利·布提科夫
Николай Фоменко,尼古拉·弗门科
Эмиль Лотяну,埃米爾·洛泰納
Александр Сергеевич Баландин,大衛·貝里亞夫斯奇
Роланд Львович Добрушин,羅蘭·多布魯申
Павел Валерьевич Дацюк,帕維爾·達祖克
Иннокентий Михайлович Смоктуновский,因諾肯季·米哈伊洛維奇·斯莫克圖諾夫斯基
Юрий Шатунов,尤里·沙图诺夫
Алимжан Турсунович Тохтахунов,阿里木江·吐尔逊诺维奇·托合塔洪诺夫
Георгий Николаевич Данелия,格奥尔基·达涅利亚
Андрей Макин,安德烈·馬金尼
Александр Цекало,亚历山大·茨卡洛
Иосиф Давыдович Кобзон,约瑟芬·卡布松
Валентин Лаврентьевич Янин,瓦连京·亚宁
Алексей Станиславович Елисеев,阿列克谢·斯坦尼斯拉沃维奇·叶利谢耶夫
Владимир Евгеньевич Захаров,弗拉基米爾·扎哈羅夫
"Фрадкин, Ефим Самойлович",福拉德金
Владимир,肯塔列努
"Штоколов, Борис Тимофеевич",鲍里斯·施托科洛夫
Пётр Чернышёв,彼得·车尔尼雪夫
Николай Владимирович Левичев,尼克拉·列维切夫
"Виноградов, Олег Михайлович",奥列格·米哈伊洛维奇·维诺格拉多夫
"Хлевнюк, Олег Витальевич",奥列格·维塔里耶维奇·赫列夫努克
Олег Валерьевич Соколов,奧列格·索科洛夫
Владимир Васильевич Сальдо,弗拉基米尔·萨尔多
Мэджик,秘客
"Паршин, Алексей Николаевич",阿列克謝·帕辛
"Володин, Алексей Сергеевич",阿列克谢·瓦洛金
"Курсанов, Андрей Львович",安德烈·库尔萨诺夫
"Мезенцев, Дмитрий Фёдорович",德米特里·梅津采夫
"Канайкин, Владимир Алексеевич",弗拉基米尔·卡奈金
"Дудинская, Наталия Михайловна",娜塔莉亚·杜丁斯卡娅
Александр Александрович Мисуркин,亞歷山大·米蘇爾金
Александр Михайлович Гацкан,亞歷山德魯·加茨坎
Олег Валерианович Басилашвили,O. 巴西拉什维里
Сергей Юрьевич Юрский,谢尔盖·尤里耶维奇·优勒斯基
"Масленников, Алексей Дмитриевич",阿列克謝·馬斯列尼科夫
Алексей Китаев,阿列克谢·基塔耶夫
Лев Николаевич Власенко,列夫·弗拉先科
Ансар Максутович Аюпов,安萨尔·马克苏托维奇·阿尤波夫
"Энберт, Александр Юрьевич",亞歷山大·恩伯特
Юрий Владимирович Усачёв,尤里·乌萨乔夫
Олег Иванович Бетин,奥列格·伊万诺维奇·贝京
Иван Александрович Скобрев,伊万·斯科布列夫
Эльдар Александрович Рязанов,埃尔达尔·梁赞诺夫
Николай Лебедев,尼古拉·列别杰夫
"Орлов, Николай Люцианович",尼古拉·柳恰诺维奇·奥尔洛夫
Сергей Вячеславович Лазарев,賽奇·拉查列夫
"Колесников, Михаил Петрович",米哈伊尔·科列斯尼科夫
Алексей Александрович Старобинский,阿列克谢·斯塔罗宾斯基
Вадим Николаевич Красносельский,瓦迪姆·克拉斯諾謝利斯基
"Эрмлер, Марк Фридрихович",马克·埃姆勒
"Коэн, Моррис Генрихович",莫里斯·科恩（間諜）
"Евсеев, Алексей Витальевич",阿列克谢·耶夫塞耶夫
Катя Лель,卡佳·列丽
Сергей Владимирович Антуфьев,谢尔盖·弗拉基米罗维奇·安图菲耶夫
Нонна Гришаева,诺娜·格里沙耶娃
Митя Фомин,米蒂亚·福明
"Мишарин, Александр Сергеевич",亚历山大·谢尔盖耶维奇·米沙林
Кэри-Хироюки Тагава,田川洋行
Сергей Николаевич Юран,沙治·約蘭
Александр Генрихович Бородюк,亞歷山大·根里霍維奇·波羅久克
Леон Петросян,莱昂·彼得罗相
"Стрелков, Игорь Сергеевич",伊戈尔·斯特雷尔科夫
Владимир Иванович Королёв,弗拉基米尔·伊万诺维奇·科罗廖夫
"Мартюшева, Анастасия Васильевна",安娜斯塔希娅·马尔蒂乌舍娃
Михаил Вартанов,米哈伊爾·瓦爾坦諾夫
"Крюков, Никита Валерьевич",尼基塔·克留科夫
"Мугу, Айдамир Хизирович",艾达米尔·穆古
Асаф Кутдусович Абдрахманов,阿萨夫·阿布德拉赫曼诺夫
"Рогонов, Алексей Александрович",阿列克谢·洛格诺夫
"Кузнецов, Михаил Владимирович",米哈伊尔·库兹涅佐夫
Сергей Владимирович Ястржембский,謝爾蓋·亞斯特列任布斯基
Александр Сергеевич Дзасохов,亚历山大·谢尔盖耶维奇·扎索霍夫
