код игры Riot Pixels,Riot Pixels遊戲識別碼
Азовский немецкий национальный район,阿佐夫斯基涅梅茨基民族區
Черлакский район,切爾拉克斯基區
Центральный административный округ Москвы,中央行政區 (莫斯科)
Конституция Российской Федерации,俄罗斯联邦宪法
Флаг Краснодарского края,克拉斯諾達爾邊疆區區旗
Ахвахский язык,阿克瓦克語
Агинский Бурятский автономный округ,阿金布里亞特自治區
Центральное Черноземье,中央黑土區
Центральная избирательная комиссия Российской Федерации,俄罗斯中央选举委员会
гунзибский язык,洪兹布语
Серов,谢罗夫
коми-пермяцкий язык,彼尔姆科米语
северноюкагирский язык,冻原尤卡吉尔语
Транссибирская магистраль,西伯利亞鐵路
Борулах,博魯拉赫河
Аргументы недели,一周论据
Аргун,阿爾貢河
Оймякон,奥伊米亚康
Коломенское,科罗缅斯克
Битва за Кавказ,高加索戰役
Литературный музей,克拉斯諾亞爾斯克人文博物館
Герой Российской Федерации,俄罗斯联邦英雄
Аллаиховский улус,阿爾萊霍夫斯基區
калмыки,卡尔梅克人
Восточно-Европейская равнина,东欧平原
Орловский централ,奧廖爾監獄
Центральный институт авиационного моторостроения,航空發動機發展巴拉諾夫中央學院
Северодвинск,北德文斯克
Эвенки,鄂温克族
Ленин,列寧號
Охотск,鄂霍次克
Алдан,阿爾丹河
Центральный стадион профсоюзов,中央工会球场
Северский Донец,顿涅茨河
Федеральная служба безопасности Российской Федерации,俄羅斯聯邦安全局
Сибирские траппы,西伯利亞暗色岩
Российско-кипрские отношения,俄罗斯－塞浦路斯关系
Болгаро-российские отношения,保加利亚 – 俄罗斯关系
Сухобузимский район,蘇霍布茲姆斯基區
Илья Муромец,伊利亚穆罗梅茨瀑布
Уфа,烏法
Короча,科羅恰
Новый Оскол,新奧斯科爾
Центральный стадион,中央體育場
Центральный,中央球場（喀山）
Центральный федеральный округ,中央聯邦管區
Центральный стадион,伏尔加格勒中央体育场
Роскосмос,俄罗斯航天国家集团
Беленджер,巴兰札尔
Оборона Волоколамска,沃洛科拉姆斯克保卫战 (1612年)
Раменский район,拉緬斯科耶區
Красноярск-Пассажирский,克拉斯诺亚尔斯克客运站
Нижнеколымский район,尼日涅科雷姆斯基區
Иультинский район,伊烏利京斯基區
Волга-Днепр,伏爾加-第聶伯航空
Кавказский район,卡夫卡茲斯基區
Новоиерусалимский монастырь,新耶路撒冷修道院
Ильинский,伊利因斯基_(莫斯科州)
Вильва,維利瓦河
Золотые ворота,金門
Ржев,勒熱夫
Ишим,伊希姆河
Мавзолей Ленина,列宁墓
россияне,俄國公民
Валдайский Иверский монастырь,瓦爾代伊弗斯基修道院
Военно-воздушная академия имени Ю. А. Гагарина,加加林空军学院
Чамзинка,恰姆津卡_(恰姆津卡区)
Благовещенский мост,圣母领报桥
Самара,薩馬拉河
Российско-монгольская граница,蒙古国-俄罗斯边界
Метро-2,莫斯科2号地铁
Третья Падь,特列季亚巴德站
Первая Падь,佩尔瓦亚巴德站
Джимара,吉马拉山
Питкярантский район,皮特基亞蘭特斯基區
Тульский кремль,圖拉克里姆林
Прусская Ромува,洛姆瓦
Курчалоевский район,庫查諾沃夫州
Земетчинский район,澤梅特欽斯基區
Шемуршинский район,舍穆爾申斯基區
Пролив Екатерины,國後水道
Азиатский максимум,西伯利亞高壓
Очёрский район,奧喬爾斯基區
Кормиловский район,科爾米洛夫斯基區
Нововаршавский район,新瓦爾沙夫斯基區
Тамань,塔曼
Лаборатория Касперского,卡巴斯基實驗室
Успенский собор,聖母安息主教座堂
Саратовский мост,薩拉托夫大橋
Императорский Царскосельский лицей,皇村中学
Гайнский район,加因斯基區
Собор Непорочного Зачатия Пресвятой Девы Марии,聖母無原罪主教座堂 (莫斯科)
Гудермесский район,古傑爾梅斯州
Звезда,斯域斯達球場
Тында,滕達
премия имени Н. И. Лобачевского,罗巴切夫斯基奖
Башня Россия,俄罗斯塔
Банк Москвы,莫斯科銀行
Кочёвский район,科喬夫斯基區
Нязепетровск,尼亞澤彼得羅夫斯克
Меркурий Сити Тауэр,水银城市大厦
Российско-боснийские отношения,波斯尼亞和黑塞哥維那－俄羅斯關係
Российско-сирийские отношения,俄羅斯—敘利亞關係
Флаг Мордовии,莫爾多瓦國旗
Кудымкарский район,庫德姆卡爾斯基區
нивхи,尼夫赫人
Веденский район,凡迪諾州
Белая река,別拉亞河
Кубок мира по шахматам 2005,2005年國際象棋世界盃
Красные Крылья,薩馬拉紅翼
Мазурское сражение,第一次馬蘇里安湖戰役
Шебекино,舍別基諾
Строитель,斯特羅伊捷利
Зеленогорск,泽列诺戈尔斯克
Юрты,尤尔特_(伊尔库茨克州)
Чернышевское,車爾尼雪夫斯科耶
тофалары,图法人
Неро,涅羅湖
Ульяновский автомобильный завод,乌里扬诺夫斯克汽车厂
Вятка,維亞特卡河
Карелия,卡累利阿
Дуга Струве,斯特鲁维测地弧
Русская православная церковь,俄罗斯正教会
Внутренние войска МВД России,俄罗斯内卫部队
Золотое кольцо России,俄羅斯金環
Лапландия,拉普兰
Анаун,阿納溫火山
Тихорецкий район,季霍列茨基區
Косьва,科西瓦河
Усьва,烏西瓦河
Герб Республики Алтай,阿尔泰共和国国徽
Tinkoff,京科夫车队
Сыктывкар,瑟克特夫卡爾機場
Российско-британские отношения,英俄關係
Татарский государственный гуманитарно-педагогический университет,鞑靼国立人文教育大学
Острова Арктического института,北極研究所群島
Шуя,舒亞河
Алтайский государственный педагогический университет,阿尔泰国立师范学院
Бурлинский район,布爾林斯基區
Ольский городской округ,奧利斯基區
Президентские выборы в России (2012),2012年俄罗斯总统选举
Северная Земля,北地群岛
Западно-Сибирская равнина,西西伯利亚平原
Кальчик,卡利奇克河
Архангельский район,阿爾漢格爾斯科耶區
Глобус,格羅巴斯航空
Пражская,布拉格站
Архипелаг императрицы Евгении,歐仁尼群島
Сасовский район,薩索夫斯基區
Нижегородский государственный университет,下諾夫哥羅德羅巴切夫斯基國立大學
Азиатский маршрут AH6,亞洲公路6號線
Бирилюсский район,比里柳斯基區
Ардатовский район,阿爾達托夫斯基區
Ямал,亚马尔半岛
Лобань,洛巴尼河
Коммунистическая партия Российской Федерации,俄罗斯联邦共产党
