Douglas Adams,道格拉斯·亚当斯
"Princess Alexandra, The Honourable Lady Ogilvy",雅麗珊郡主·(歐國偉爵士夫人)
Thandiwe Newton,譚蒂·紐頓
P. L. Travers,P·L·卓華斯
Richey Edwards,里奇·爱德华兹
Jo Durie,乔·迪里
Michelle Scutt,米歇尔·斯卡特
"Daisy Greville, Countess of Warwick",沃里克伯爵夫人黛西·格雷维尔
Kim Little,金·利特尔
Timothy Grubb,蒂莫西·格拉布
Sam Claflin,山姆·克拉弗林
Mary King (equestrian),玛丽·金
Joslyn Hoyte-Smith,乔斯琳·霍伊特-史密斯
Keith Johnstone,基思·约翰斯通
"Prince Richard, Duke of Gloucester",告羅士打公爵理察王子
Tadeusz Bór-Komorowski,塔德乌什·科莫罗夫斯基
Helena Bonham Carter,海伦娜·博纳姆·卡特
Ian McKellen,伊恩·麦凯伦
Anna Popplewell,安娜·帕波维尔
Lily Collins,莉莉·柯林斯
Sophia Myles,索菲亚·迈尔斯
Peter Ebdon,彼得·艾伯頓
Brian Ferneyhough,布莱恩·芬尼豪赫
Jackie McNamara,杰基·麦克纳马拉
Naomi Broady,娜奧米·布羅迪
Valerie Hobson,瓦莱丽·霍布森
"Gary Johnson (footballer, born 1955)",加利·莊遜
Kate Haywood,凯特·海伍德
Taylor Wane,泰勒·韋恩
Cyril Scott,西里爾·斯科特
Michael Bingham,迈克尔·宾厄姆
Twiggy,崔姬
Tony Brooks (racing driver),托尼·布鲁克斯
Jim Gillespie (director),吉姆·基雷斯
Alan Walker (anthropologist),艾伦·C·沃克
Joe Orton,乔·奥顿
Tonia Couch,托妮亚·考奇
Geraldine Beamish,杰拉尔丁·比米什
T. E. Lawrence,托马斯·爱德华·劳伦斯
Miranda Richardson,米兰达·理查森
Anthony Davidson,安東尼·戴維森
Eddie Irvine,艾迪·厄文
Ioan James,约安·詹姆斯
Charles Villiers Stanford,查尔斯·维利尔斯·斯坦福
Finn Jones,芬恩·瓊斯
Vera Lynn,薇拉·琳恩
Shirley Strong,雪莉·斯特朗
Danny Higginbotham,丹尼·希堅保咸
Sarah Burton,莎拉·伯顿
Simon Curtis (filmmaker),西蒙·柯蒂斯
Richard Ashcroft,李察·艾希克羅
Owen Hargreaves,欧文·哈格里夫斯
Dennis Viollet,丹尼斯·维奥勒
Brian McClair,布莱恩·麦克莱尔
Bill Foulkes,比尔·福尔克斯
Peter Collins (racing driver),彼得·柯林斯
Peter Atkins,彼得·阿特金斯
Steven Caldwell,史提芬·卡達維
Margaret Kennedy,玛格丽特·肯尼迪
Tony Craig,托尼·克萊格
Walter Bagehot,沃尔特·白芝浩
Mark Blundell,马克·布伦德尔
Justin Wilson (racing driver),賈斯汀·威爾森·(賽車手)
G. E. M. Anscombe,伊莉莎白·安斯康姆
Emily Watson,艾蜜莉·華森
Kaya Scodelario,卡雅·斯考达里奥
Lulu (singer),露露·肯尼迪·凯恩斯
Steve Coppell,斯蒂夫·科贝尔
Jack Cork,杰克·科克
Rita Ora,瑞塔·奥拉
Connie Talbot,康妮·塔波特
Cher Lloyd,雪兒·洛薇
Imogen Heap,伊莫珍·希普
Audrey Brown (athlete),奥德丽·布朗
Violet Olney,维奥莱特·奥尔尼
Bobby Charlton,博比·查尔顿
John Stewart Bell,约翰·斯图尔特·贝尔
Eileen Hiscock,艾琳·希斯科克
Katherine Grainger,凯瑟琳·格兰杰
Donna Hartley,唐娜·哈特利
Vasili Mitrokhin,瓦西里·米特罗欣
Neil Webb,尼爾·韋伯
Cliff Allison,克利夫·艾利森
Daphne Arden,达夫妮·阿登
Graham Swift,格雷厄姆·斯威夫特
Neil Lennon,尼爾·連儂
Julia Annas,朱莉娅·安纳斯
Kelly Macdonald,凱莉·麥當勞
Febian Brandy,费比安·布兰迪
Margaret E. Barber,和受恩
Joan Plowright,琼·普洛赖特
Jeremy Irons,傑瑞米·艾恩斯
Margaret Rutherford,瑪格麗特·魯斯福德
Samantha Morton,薩曼莎·摩頓
Emily Mortimer,艾蜜莉·摩提默
Rob Knox,勞勃·諾克斯
Margery Sharp,瑪潔麗·夏普
Sarah Storey,萨拉·斯托里
Tommy Forecast,托米·福雷卡斯特
Kenneth Clark,肯尼斯·克拉克·(艺术史学家)
George Romney (painter),喬治·羅姆尼·(畫家)
Katy Gallagher,琪緹·加拉格
Brian Cox (physicist),布萊恩·考克斯·(物理學家)
Nick Leeson,尼克·李森
Edward Craven Walker,爱德华·克雷文·沃克
Heather Armitage,希瑟·阿米蒂奇
Brenda Blethyn,布蘭達·布蕾辛
Patsy Kensit,派西·肯塞特
Rhona Mitra,蘿娜·米莎
Iain Glen,伊恩·格雷
"John Bingham, 7th Earl of Lucan",第七代盧肯伯爵理察·約翰·賓厄姆
John Williams (guitarist),约翰·威廉斯·(吉他演奏家)
Graham Hancock,葛瑞姆·汉卡克
Rosamund Pike,裴淳华
Joe Ledley,乔·莱德利
James Nesbitt,詹姆斯·内斯比特
Becky Downie,贝姬·唐尼
"Maud Carnegie, Countess of Southesk",索瑟斯克伯爵夫人莫德郡主
Indira Varma,英迪拉·瓦爾瑪
Wayne Routledge,韋恩·魯迪治
Jo Walton,舟·沃頓
Jancis Robinson,杰西斯·罗宾逊
Henry Scott Tuke,亨里·斯戈特·图克
Gabriella Wilde,加布瑞拉·王爾德
Matthew Festing,马修·费斯汀
Ross Davenport,羅斯·達文波特
Chaim Weizmann,哈伊姆·魏茨曼
KT Tunstall,凱蒂·彤絲朵
Wendy Hiller,溫蒂·希勒
Estelle (musician),艾絲黛兒
Mike Parkes,迈克·帕克斯
Rebecca Hall,丽贝卡·豪尔
Chris Brunt,克里斯·布鲁恩特
Arthur Harris,第一代从男爵亚瑟·哈里斯爵士
Mark Clattenburg,麥克·卡頓保
Peter Lorimer,彼得·羅利馬
Samantha Fox,萨曼莎·福克斯
Alan Cunningham,亞倫·根寧咸
"Jack Robinson (footballer, born 1993)",傑克·羅賓遜·(足球運動員)
Tommy Bowe,托米·博維
Annie Besant,安妮·贝赞特
Andrew Castle,安德鲁·卡斯尔
Daniel McKenzie (racing driver),丹尼爾·麥克肯澤·(賽車手)
Monica Ali,莫尼加·阿里
Noor Inayat Khan,努尔·艾娜雅特·汗
David Weir (Scottish footballer),大衛·華亞
Thomas Derrick,德瑞克·(劊子手)
Colin Dowdeswell,科林·多德斯韦尔
David Cox (statistician),戴维·科克斯
Anna Wintour,安娜·溫特
Lady Sovereign,女暴君
"Ernest Augustus, Elector of Hanover",恩斯特·奧古斯特·(漢諾威選侯)
Paul Dickov,保羅·迪哥夫
Ian Stewart (mathematician),艾恩·史都華
Peggy Ashcroft,佩吉·阿什克羅福特
Kelly Holmes,凯莉·霍姆斯
Boaz Myhill,博阿兹·米希尔
Andrew Mango,安德鲁·曼戈
Roger Johnson (footballer),羅渣·莊臣
Catherine Bell (actress),凯瑟琳·贝尔
Martin McDonagh,馬丁·麥多納
Victoria Pendleton,維多利亞·彭德爾頓
Nicole Cooke,妮科尔·库克
Merle Oberon,梅尔·奥勃朗
Jonathan Nolan,乔纳森·诺兰
Adrian Boult,阿德里安·博尔特
Adrian Carton de Wiart,魏亞特
Layla El,蕾拉·埃爾
Hannah Murray,汉娜·穆雷
Ray Stevenson,雷·史蒂文森
Thomas Adès,托马斯·阿德斯
Ophelia Lovibond,奧菲利亞·拉維邦德
Henry Royce,亨利·萊斯
Colin Ferguson,科林·弗格森
Jessica Clarke (footballer),杰茜卡·克拉克
Frances Cuka,法蘭西絲·喬嘉
Jhumpa Lahiri,鍾芭·拉希莉
Kelly Osbourne,凱莉·奧斯本
Olivia Williams,奥利维娅·威廉斯
Adrian Goldsworthy,阿德里安·戈兹沃西
Mary Leakey,瑪麗·李奇
Sarah Kane,莎拉·肯恩
Adrian Lyne,阿德里安·莱恩
Adrian Lester,阿德里安·莱斯特
Nigel Winterburn,尼祖·溫特本
Heather Sears,希瑟·西尔斯
Nigel Murray,奈杰尔·默里
Charlotte Church,夏洛蒂·澈奇
Karen Gillan,凯伦·吉兰
Edgar Adrian,第一代阿德里安男爵埃德加·阿德里安
Helen McCrory,海伦·麦克洛瑞
Dorothy Holman,多萝西·霍尔曼
Adrian Metcalfe,阿德里安·梅特卡夫
Patrick Bowes-Lyon,帕特里克·鲍斯-莱昂
William Kennedy Dickson,威廉·肯尼迪·迪克森
Duncan Ferguson,鄧肯·費格遜
Jodie Kidd,裘蒂·潔德
Steven Naismith,史堤芬·尼史密夫
Adrian Bird,阿德里安·伯德
Hugh Edwards (rower),休·爱德华兹
Elizabeth Thompson,伊丽莎白·汤普森
Leon Taylor,利昂·泰勒
Robert Hamer,罗伯特·哈默
Samantha Eggar,薩曼莎·艾加
Mary Douglas,瑪麗·道格拉斯
Samantha Barks,薩曼莎·巴克斯
Gwendoline Christie,關朵琳·克莉絲蒂
Adrian Moorhouse,阿德里安·穆尔豪斯
Rebecca Mader,丽贝卡·马德尔
Adrian Mitchell,阿德里安·米切尔
Hilary Mantel,希拉里·曼特尔
Isaac Deutscher,艾萨克·多伊彻
Quentin Skinner,昆廷·斯金纳
Olave Baden-Powell,奧莉芙·貝登堡
Corinne Bailey Rae,肯妮·貝兒
Margot Fonteyn,瑪格·芳登
E. Nesbit,E·內斯比特
Asma al-Assad,阿斯玛·阿萨德
Leon Jackson,萊昂·傑克遜
Calum Davenport,卡鲁姆·达文波特
Hilary Spurling,希拉里·斯珀林
Olgierd Zienkiewicz,奥尔吉耶德·监凯维奇
Tim Peake,提姆·皮克
James Callis,詹姆士·卡里
Geraldine James,杰拉丁妮·詹姆斯
Ms. Dynamite,Ms.·Dynamite
Colin Baker,科林·貝克
Nigel Havers,尼格爾·哈維斯
Harold Lowe,哈羅德·洛
Emily Beecham,埃米莉·比彻姆
John Macleod (physiologist),約翰·麥克勞德·(生理學家)
Alex Kingston,阿莉克丝·金斯顿
Tracy Chevalier,特蕾西·舍瓦利耶
Natalia Tena,娜塔莉·提娜
Janet McTeer,珍妮特·麦克蒂尔
Ruth Rendell,露丝·伦德尔
Beatrice Armstrong,比阿特丽斯·阿姆斯特朗
Andrew Considine,安德魯·康斯戴恩
Richard Wright (footballer),理查德·赖特·(足球运动员)
Kenneth Tynan,肯尼思·泰南
John Kendrew,约翰·肯德鲁
Bev Bevan,貝夫·貝文
H. L. A. Hart,賀伯特·賴尼爾·阿道弗斯·哈特
Lynne Reid Banks,琳妮·雷德·班克斯
Edward Arthur Milne,愛德華·亞瑟·米爾恩
Perri Shakes-Drayton,佩丽·沙克斯-德雷顿
Prince Arthur of Connaught,亚瑟王子·(康诺特)
David Sylvian,大衛·西爾維安
Anthony Berkeley Cox,安东尼·伯克莱·考克斯
Alex Cuthbert,阿歷克斯·卡斯伯特
Mike Phillips (rugby union),麥克·菲利普斯
A. S. Byatt,A·S·拜厄特
Saffron Burrows,莎佛朗·布洛斯
Helen Fielding,海伦·菲尔丁
Paul Ginsborg,保罗·金斯伯格
Mark Lewis-Francis,马克·刘易斯-弗朗西斯
Chris Baird,克里斯·拜尔德
Fraser Stoddart,弗雷澤·斯托達特
Nicola Wilson,妮古拉·威尔逊
Nicola Adams,尼古拉·亚当斯
Norman Davies,诺曼·戴维斯
Tom Croft,湯姆·克羅夫特
Beverley Goddard,贝弗莉·卡伦德
Wendy Sly,温迪·斯莱
Nigel Marven,奈吉爾·馬文
Karina Bryant,卡琳娜·布赖恩特
Kelly Sotherton,凯莉·萨瑟顿
Atticus Ross,阿提克斯·羅斯
Clare Sheridan,克莱尔·谢里登
Jennifer Nicks,珍妮弗·尼克斯
Julie Fowlis,朱莉·弗利斯
"David Murphy (footballer, born 1984)",大卫·墨菲
Sam Riley,山姆·萊利
"Chris Martin (footballer, born 1988)",克里斯·马丁·(足球运动员)
Pippa Middleton,皮帕·米德爾頓
Jacqueline Bisset,杰奎琳·比塞特
Leila Lopes,萊拉·洛佩斯
Matt Derbyshire,马修·德比夏尔
Steve Smith (British high jumper),史蒂夫·史密斯·(田径运动员)
Mike Blair,麥克·布萊爾
Margaret Beckett,玛格丽特·贝克特
Robin Reid (boxer),罗宾·里德·(拳击运动员)
Vicky Ford,维琪·福特
Steve Perryman,史提夫·佩文
Stella McCartney,史黛拉·麥卡尼
Alice Eve,爱丽丝·伊芙
Susanna Clarke,苏珊娜·克拉克
Richard Peto,理查德·佩托
Carlo Nash,卡路·拿殊
Anthony Daniels,安東尼·丹尼爾斯
Lee McCulloch,李爾·麥古洛治
Ray Parlour,雷·柏奴亞
Herbert Wilberforce,赫伯特·威尔伯福斯
Joseph Barcroft,约瑟夫·巴克罗夫特
Diana Rigg,戴安娜·瑞格
Alfred Fowler,艾尔弗雷德·福勒
Nigel Adkins,尼祖·艾堅斯
James Gillray,詹姆斯·吉尔雷
Honor Blackman,霍纳尔·布莱克曼
Ewen Bremner,艾文·布莱纳
Virginia Wade,弗吉尼娅·韦德
Nicholas Hooper,尼古拉斯·霍珀
Matt Ryan (actor),麥特·萊恩
Crew Stoneley,克鲁·斯通利
Peter Sutcliffe,彼得·薩特克利夫
Christopher Reid (writer),克里斯托弗·里德
Donald Maclean (spy),唐納德·麥克林
Peter Firth,彼得·佛斯
Nicola Sturgeon,妮古拉·斯特金
Barbara Burke,芭芭拉·伯克
Mary Lou McDonald,瑪麗·盧·麥當勞
Niall Ferguson,尼爾·弗格森
Bill Browder,比尔·布劳德
Adrienne Corri,阿德琳妮·柯瑞
John Gray (philosopher),约翰·格雷·(哲学家)
Steve Woolgar,史蒂夫·伍爾加
Margaret Morton,玛格丽特·莫顿
Jeeves,雷金納德·吉夫斯·(角色)
Edgar Wright,埃德加·赖特
Leonora Carrington,利奥诺拉·卡林顿
Elsa Lanchester,埃尔莎·兰彻斯特
Divina Galica,迪维纳·玛丽·加里卡
Edwin Lutyens,埃德溫·魯琴斯
J. H. C. Whitehead,J·H·C·怀特海德
Jermaine Beckford,謝美伊·碧福特
Jon Pertwee,乔恩·珀特维
Stephen Graham,史提芬·格拉漢姆
Simon Singh,西蒙·辛格
Phyllis Covell,菲莉丝·科维尔
Ruth Ellis,魯思·埃利斯
Yvonne McGregor,伊冯娜·麦格雷戈
Robert Conquest,羅伯特·康奎斯特
"Louise, Princess Royal",路易絲長公主
Harry Lloyd,哈里·勞埃德
Harold Jeffreys,哈罗德·杰弗里斯
Barry Bannan,巴利·班倫
Carole Quinton,卡萝尔·昆顿
Andrzej Panufnik,安德热·帕努夫尼克
Teddy Thompson,泰迪·湯普森
Jenny Wallwork,珍妮·沃尔沃克
Roy Bhaskar,罗伊·巴斯卡
Sandrine Holt,何家蓓
Jemima Goldsmith,杰迈玛·汗
Nora Perry (badminton),諾拉·佩里
Helen Troke,海倫·卓克
Brian Jacques,布萊恩·傑克斯
Linus Roache,萊納斯·羅徹
Peter Mensah,彼得·门萨
Robert Browning,羅勃特·白朗寧
Jim Fox (pentathlete),吉姆·福克斯·(现代五项运动员)
Steve Clarke,史蒂夫·克拉克·(足球运动员)
Simon West,西蒙·韦斯特
Eve Muirhead,伊芙·缪尔黑德
John Muir,约翰·缪尔
Jose Baxter,荷西·巴斯達
Winifred McNair,威妮弗雷德·麦克奈尔
Alex Archer,亚历克斯·阿彻
Isaiah Osbourne,伊塞亞·奧斯邦尼
Ruth Belville,露丝·贝尔维尔
Ali Smith,艾莉·史密斯
Selita Ebanks,瑟丽塔·伊班克斯
Charlotte Cooper (tennis),夏洛特·库珀
Michelle Ryan,米歇尔·雷恩
"Mary, Princess Royal and Countess of Harewood",玛丽长公主·(哈伍德伯爵夫人)
Richard Parkes Bonington,理查·帕克斯·波寧頓
Kevin Warwick,凱文·沃威克
Edward B. Titchener,愛德華·鐵欽納
Hermann Bondi,赫爾曼·邦迪
Gary Pallister,加里·帕莱斯特
Michael Winterbottom,麦克·温特伯顿
June Foulds,琼·福尔兹
Paul W. S. Anderson,保罗·W·S·安德森
Murray Walker,穆雷·沃克
Jamie O'Hara (footballer),占美·奧哈拉
Emeli Sandé,艾蜜莉·珊黛
Sally Hawkins,莎莉·霍金斯
Jack Hobbs (footballer),傑克·霍布斯
John Simm,約翰·西姆
Jocelyn Bell Burnell,约瑟琳·贝尔·伯奈尔
Elaine Paige,伊蓮·佩姬
John Pople,約翰·波普·(化學家)
Tyrone Mears,泰龙·米尔斯
Andy Goode (badminton),安迪·古德
Paula Radcliffe,寶拉·拉德克利夫
Denis Law,丹尼斯·劳
Jeanette Winterson,珍妮特·温特森
Andrew Ellis (badminton),安德鲁·埃利斯
Hannah Miley,汉娜·米利
"Martin Taylor (footballer, born 1979)",馬田·泰萊
Chris Gunter,基斯·根達
Beryl Markham,柏瑞尔·马卡姆
Alan Curbishley,阿兰·柯比什利
Mark Randall (footballer),麥克·蘭度
Paul McGrath (footballer),保罗·麦格拉斯
Gavin Hoyte,加雲·賀迪
Alex Stepney,阿历克斯·斯特普尼
Antony Beevor,安東尼·畢沃爾
Norman Whiteside,诺曼·怀特塞德
Tim Payne (rugby union),提姆·佩恩
Isobel Black,伊泽贝尔·布莱克
Pat Rice,柏·賴斯
George Renwick (athlete),乔治·伦威克
Andy Griffin,安迪·格芬
Ken Annakin,肯·安納金
Nicky Hunt,尼基·亨特
Shane Williams,肖恩·威廉姆斯·(橄欖球)
Harold Laski,哈罗德·拉斯基
Kristina Cook,克里斯蒂娜·库克·(马术运动员)
Kerrea Gilbert,克里亚·吉尔伯特
Rory McIlroy,羅伊·麥克羅伊
Frederick Gowland Hopkins,弗雷德里克·霍普金斯
Amir Khan (boxer),阿米爾·汗·(拳擊手)
Tracey Hallam,特蕾西·哈勒姆
Richard E. Grant,理查·E·格蘭特
Richard Hooker,理察·胡克
David Frost,大卫·弗罗斯特
Joan Littlewood,琼·利特尔伍德
Steve Simonsen,斯蒂文·西蒙森
Daniel Harding,丹尼尔·哈丁
Jonathan Lynn,乔纳森·林恩
Ricky Walden,域奇·禾頓
Martin Kemp (art historian),马丁·坎普·(艺术史家)
Pattie Boyd,贝蒂·伯伊德
Louise Brown,露薏絲·布朗
Barbara Hepworth,芭芭拉·赫普沃斯
Harold Abrahams,哈罗德·亚伯拉罕斯
David Carry,大衛·加里
Neil Aspinall,尼尔·阿斯皮纳尔
Kathy Burke,凯茜·伯克
Jeremy Northam,傑瑞米·諾森
Joe Calzaghe,乔·卡尔扎合
"Andy King (footballer, born 1988)",安迪·金·(足球运动员)
John Masefield,約翰·麥斯菲爾
John D. Barrow,约翰·D·巴罗
Richard Naylor,李察·尼萊
Wilfred Bion,威尔弗雷德·鲁普莱希特·比昂
Ian McShane,伊恩·麥克夏恩
Gemma Jones,珍瑪·鍾斯
Marina Diamandis,瑪琳娜·藍布里尼·戴曼迪斯
Rebekah Brooks,利百加·布鲁克斯
Harriet Harman,夏雅雯
Nell Gwyn,奈爾·圭恩
Miriam Margolyes,米瑞安·玛格莱斯
Alice Liddell,爱丽丝·李道尔
Rosemary Harris,罗斯玛丽·哈里斯
Billy Meredith,比利·梅瑞迪斯
David Crystal,大卫·克里斯托
Frederic Bartlett,弗雷德里克·巴特莱特
R. M. Hare,理查德·莫汶·黑尔
Max Beerbohm,麥克斯·畢爾邦
Radu Lupu,拉杜·鲁普
Rachel Hurd-Wood,瑞秋·哈伍德
Kathryn Prescott,凯瑟琳·普雷斯科特
Olivia Hussey,奧莉花·荷西
Maisie Williams,麦茜·威廉姆斯
Angela Carter,安潔拉·卡特
Baroness Orczy,艾瑪·奧希茲
Elisabeth Sladen,伊麗莎白·斯萊登
"Princess Lilian, Duchess of Halland",莉莲·梅·戴维斯
George Stubbs,喬治·史德布思
Chris Coleman (footballer),基斯·高文·(足球員)
Peter Banks,彼得·班克斯
Stephen Mulhern,斯蒂芬·穆爾漢
Gareth Gates,葛瑞·蓋斯
Patrick Geddes,帕特里克·格迪斯
James Whale,詹姆斯·惠尔
Debbie Knox,黛比·诺克斯
Vincent Regan,文生·雷根
Lesley Manville,莱斯莉·曼维尔
Andy Powell (rugby),安迪·鮑威爾
John Berger,约翰·伯格
Herbert Baker,赫伯特·貝克
David Olive,大衛·奧利夫
A. E. W. Mason,阿佛列·愛德華·伍德利·麥森
David Lucas (footballer),大衛·盧卡斯
"Elizabeth, Lady Hope",伊丽莎白·科腾
Evelyn Colyer,伊夫琳·科利尔
Mary Hayley Bell,玛丽·海利·贝尔
Dorothy Hyman,多萝西·海曼
Keri-anne Payne,克丽-安妮·佩恩
Sheila Lerwill,希拉·勒威尔
Rupert Graves,魯珀特·格雷夫斯
Sydney Brenner,西德尼·布伦纳
Simon Schama,西蒙·沙玛
Liam Boyce,利亞姆·博伊斯
Sam Edwards (physicist),萨姆·爱德华兹
Bobby Evans (footballer),博比·埃文斯
Jason Flemyng,傑森·弗萊明
Ted Grant,泰德·格兰特
Freema Agyeman,弗莉瑪·阿吉曼
Juno Temple,朱诺·谭波儿
Felicity Jones,菲丽希缇·琼斯
Ninette de Valois,妮内特·德瓦卢瓦
Princess Victoria of the United Kingdom,维多利亚公主·(爱德华七世之女)
Romola Garai,蕾夢娜·葛瑞
Teddy Sheringham,泰迪·舒寧咸
Andy Nyman,安迪·尼曼
Jimmy Bullard,吉米·布拉德
Barry Sheerman,巴里·希爾曼
Harry Price,哈利·普萊斯
Matthew Carter,馬修·卡特
Colin Clive,科林·克莱夫
Dorothy Shirley,多萝西·雪利
Gladys Aylward,格拉蒂丝·艾伟德
William Jackson Hooker,威廉·杰克逊·胡克
Jane Lapotaire,简·拉波泰尔
Roger Scruton,罗杰·斯克鲁顿
Humphrey Trevelyan,杜維廉
Lesslie Newbigin,萊斯利·紐比金
Rajiv Ouseph,拉吉夫·欧斯夫
"Cyril Radcliffe, 1st Viscount Radcliffe",第一代拉德克利夫子爵西里爾·拉德克利夫
Stephen Toulmin,史蒂芬·托尔明
"Allan Brown (footballer, born 1926)",艾伦·布朗
Oliver Parker,奥利弗·帕克
Anthony Caro,安东尼·卡洛
Millvina Dean,米爾維娜·迪恩
Dakota Blue Richards,達可塔·布·李察絲
Shirley Bassey,雪莉·貝西
Charlotte Rampling,夏綠蒂·蘭普琳
Joanne Harris,乔安娜·哈里斯
Professor Green,史提芬·保罗·曼德尔森
Joan Greenwood,琼·格林伍德
Jay Simpson,積·森遜
David Hanson (politician),大衛·漢森·(政治人物)
Luke Freeman,盧基·費利文
Greg Hands,格雷格·汉兹
Mark Harper,马克·哈珀
Matt Hancock,马特·汉考克
"Kevin McDonald (footballer, born 1988)",凱文·麥克唐納·(足球運動員)
Guy Henry (actor),蓋·亨利
Andy Wilkinson,安迪·威爾金森
Kaikhosru Shapurji Sorabji,凯克豪斯鲁·沙帕吉·索拉布吉
Shirley Robertson,雪莉·罗伯逊
Grant Shapps,格蘭·夏普斯
"Alan Haselhurst, Baron Haselhurst",阿倫·哈瑟赫斯特
"Richard Harrington, Baron Harrington of Watford",理查·哈靈頓
Nick Harvey,尼克·哈維
Alok Sharma,阿洛克·夏尔马
Tom Harris (British politician),湯姆·哈里斯
