Figueras,菲格拉斯
Metrocentro,Metrocentro (塞維亞)
Cózar,科萨尔
Villacañas,比利亚卡尼亚斯
Magaz de Pisuerga,马加斯德皮苏埃尔加
Santa Margarita y Monjós,圣马尔加里代埃尔斯蒙霍斯
catedral de Sevilla,塞维利亚主教座堂
Talamanca,塔拉曼卡
Estadio Reino de León,莱昂王国球场
Barrio Gótico,哥特区
Deyá,德阿
Segunda batalla de Cape Finisterre,第二次芬尼斯特雷海角戰役
Tibidabo,蒂比達博山
Buenavista del Norte,布埃纳维斯塔-德尔诺尔特
Las Navas de la Concepción,拉斯纳瓦斯德拉孔塞普西翁
Países Catalanes,加泰羅尼亞語地區
Club Deportivo Logroñés,洛格羅尼奧
Dima,迪马
Estadio de O'Donnell,O'Donnell球場
Herradón de Pinares,埃拉东德皮纳雷斯
Cotobad,科托瓦德
Azofra,阿索夫拉
Real Oviedo Rugby,皇家奥维耶多橄榄球俱乐部
Toques,托克斯
Navaleno,纳瓦莱诺
Villanueva de Oscos,奥斯科斯新镇
Rubiana,鲁维亚
Ciudad de las Artes y las Ciencias,藝術科學城
Segunda División de España 2001/02,2001年至2002年西班牙足球乙级联赛
Olesa de Bonesvalls,奥莱萨德沃内斯瓦利斯
Primera División de España 1944/45,1944年至1945年西班牙足球甲级联赛
Guadix,瓜迪斯
elecciones al Parlamento Europeo de 1999 en España,1999年歐洲議會選舉
Pallaresos,埃尔斯帕利亚雷索斯
Alcolea del Río,阿尔科莱亚德尔里奥
La Estrella,莱斯特雷利亚
Castilforte,卡斯蒂尔福尔特
Las Omañas,拉索马尼亚斯
río Tinto,廷托河
Plasencia,普拉森西亞
Estadio de La Romareda,罗马雷达体育场
Juslapeña,胡斯拉佩尼亚
Palamós Club de Futbol,帕拉莫斯足球俱乐部
Alcudia de Monteagud,阿尔库迪亚德蒙特亚古德
Lorca Deportiva Club de Fútbol,洛卡競技
Segunda División de España 1955/56,1955年至1956年西班牙足球乙级联赛
Panoramio,Panoramio
Primera División de España 1975/76,1975年至1976年西班牙足球甲级联赛
Segunda División de España 1935/36,1935年至1936年西班牙足球乙级联赛
Guadarrama,瓜达拉马
El Mirón,埃尔米龙
Consejo General del Poder Judicial,司法權總委員會
Algarra,阿尔加拉
Club de Fútbol Damm,CF达姆
Batalla de Munda,蒙达战役
Abajas,阿瓦哈斯
Alós de Balaguer,阿洛斯德瓦拉格尔
Villamayor de Monjardín,蒙哈尔丁大镇
Polanco,波兰科
Muro,穆罗
Autovía de Málaga,马拉加高速公路（西班牙）
Barcheta,巴尔克塞塔
Palacio Güell,桂尔宫
Ampurdán,恩波達
Camarzana de Tera,卡马尔萨纳德特拉
Masters de Madrid 2012,2012年馬德里公開賽
El Catllar,埃尔卡特利亚尔
La Encina,莱恩西纳
Cantimpalos,坎廷帕洛斯
Segunda División de España 1944/45,1944年至1945年西班牙足球乙级联赛
Valdepiélago,巴尔德彼拉戈
Segunda División de España 1990/91,1990年至1991年西班牙足球乙级联赛
Ikurriña,巴斯克旗幟
Metro de Barcelona,巴塞罗那地铁
La Puebla de Almoradiel,拉普埃夫拉德亚尔莫拉迭尔
Primera División de España 2008/09,2008年至2009年西班牙足球甲級聯賽
Batalla de Alba de Tormes,托尔梅斯河畔阿尔瓦之战
Batalla de Medina de Rioseco,里奧塞科城戰役
Bembézar,本贝萨尔河
Guadalete,瓜達萊特河
Guadiaro,瓜迪亞羅河
Bahía de Cádiz,加的斯湾 (小)
Güeñes,圭涅斯
matrimonio entre personas del mismo sexo en España,西班牙同性婚姻
Trofeo Joan Gamper,甘伯盃
Villademor de la Vega,比利亚德莫尔德拉韦加
Acueducto de Segovia,塞哥维亚输水道
selección de fútbol de Cataluña,加泰罗尼亚联队
Ares,阿雷斯 (拉科鲁尼亚省)
Trienio Liberal,西班牙立憲革命
Segunda División de España 1997/98,1997年至1998年西班牙足球乙级联赛
Magaluf,馬格里夫
Genil,赫尼爾河
Odiel,奥迭尔河
Guadiana Menor,瓜迪亞納梅諾爾河
Guadajoz,瓜达霍斯河
Sarroca de Bellera,萨罗卡德韦列拉
Área Metropolitana de Barcelona,大巴塞隆納
Tremedal de Tormes,特雷梅达尔德托尔梅斯
Club Deportivo Santurtzi,聖圖智足球會
Torre Cepsa,馬德里水晶大廈
Salás de Pallars,萨拉斯德帕利亚尔斯
Sant Esteve de la Sarga,桑特斯特韦德拉萨尔加
Águilas,阿吉拉斯
Torrejoncillo,托雷洪西略
Villanueva de Gómez,戈麦斯新镇
Salou,萨洛
Alcántara de Júcar,阿尔坎特拉德克苏克尔
Torrehermosa,托雷埃尔莫萨
Hoyo de Manzanares,奥约德曼萨纳雷斯
Múgica,穆希卡
Casbas de Huesca,卡斯瓦斯德韦斯卡
Clasificación de AFC y OFC para la Copa Mundial de Fútbol de 1982,1982年世界盃外圍賽 (亞大區)
Torneo Conde de Godó 1994,1994年巴塞罗那网球公开赛
Irijo,奥伊里克索
La Morera,拉莫雷拉
Dévanos,德瓦诺斯
Olvera,奥尔维拉
Santibáñez el Bajo,桑蒂瓦涅塞尔瓦霍
Fiscal,菲斯卡尔
Yurreta,尤雷塔
Puerto de Santa Cruz de Tenerife,圣克鲁斯-德特内里费港
Donamaría,唐娜玛丽亚
Teulada,特乌拉达
Conca de Dalt,孔卡德达尔特
Gavet de la Conca,加韦特德拉孔卡
Tudela,图德拉
Primera División de España 2007/08,2007年至2008年西班牙足球甲级联赛
Estadio de San Mamés (1913),圣马梅斯体育场
Corral de Almaguer,科拉尔德亚尔马格尔
Aeropuerto de Bilbao,畢爾包機場
Segunda División de España 1998/99,1998年至1999年西班牙足球乙级联赛
Álora,阿洛拉
Gimenells i el Pla de la Font,希梅内利斯和埃尔普拉德拉丰特
plaza de toros de La Malagueta,马拉加斗牛场
Los Santos,洛桑托斯
Castell de Mur,卡斯特利德穆尔
Selección de rugby de España,西班牙國家橄欖球隊
Sant Martí,聖馬提區
Segunda División de España 1930/31,1930年至1931年西班牙足球乙级联赛
Alanís,阿拉尼斯
Air Comet,彗星航空
Andarax,安達拉斯河
Abella de la Conca,阿韦利亚德拉孔卡
Torre de Hércules,海格力斯塔
Panda Security,熊貓安全公司
Universidad de Vigo,維戈大學
Itero del Castillo,伊特罗德尔卡斯蒂略
Carabaña,卡拉瓦尼亚
Segura,塞古拉河
Medellín,梅德林
Tremp,特伦普
Villava,比利亚瓦
Brieva de Cameros,布列瓦德卡梅罗斯
Gran Premio de la Comunidad Valenciana,瓦倫西亞大獎賽
Fútbol Club Barcelona,巴塞隆納女子足球俱樂部
Biscarrués,比斯卡鲁埃斯
Ventas de Huelma,本塔斯德韦尔马
Cordillera Prelitoral,加泰羅尼亞前海岸山脈
Santa Eufemia del Barco,圣埃乌费米亚德尔瓦尔科
Orusco de Tajuña,奥鲁斯科德塔胡尼亚
La Torre de Cabdella,拉托雷德卡夫德利亚
Línea de alta velocidad Madrid-Segovia-Valladolid,馬德里－華拉度列高速鐵路
Malpica de Bergantiños,马尔皮卡德韦尔甘蒂尼奥斯
Lozoya,洛索亚
Ceutí,塞乌蒂
georgianos,喬治亞人
Senterada,森特拉达
Talarn,塔拉尔恩
Alhama,阿拉马河
río Jalón,哈隆河
Isona y Conca Dellá,伊索奈孔卡德利亚
Llimiana,利米亚纳
Valdenuño Fernández,巴尔德努尼奥费尔南德斯
Pedernales,佩德纳莱斯
Real Instituto Elcano,埃尔卡诺皇家学院
Racing Club de Madrid,馬德里競賽會
Segunda División de España 1971/72,1971年至1972年西班牙足球乙级联赛
El Acebrón,埃拉塞夫龙
Guadalhorce,瓜達洛塞河
Guadalmedina,瓜達爾麥迪娜河
Guadalfeo,瓜達爾費奧河
Villamediana,比利亚梅迪亚纳
gastronomía del País Vasco,巴斯克飲食
Bardenas Reales,巴德納斯雷爾勒斯
Pollensa,波连萨
Serie 490 de Renfe,西班牙國鐵490型電聯車
Baides,拜德斯
Campotéjar,坎波特哈尔
Castrojeriz,卡斯特罗赫里斯
cruz procesional,遊行十字架
Anexo:Piragüismo en los Juegos Olímpicos de Barcelona 1992,1992年夏季奧林匹克運動會輕艇比賽
Villar de Torre,托雷村
Garganta la Olla,加尔甘塔劳利亚
Taifa de Denia,德尼亞泰法
Estadio Ganzábal,甘萨瓦尔球场
Autovía de la Barranca,巴兰卡高速公路（西班牙）
Torres de Segre,托雷斯德塞格雷
Alberuela de Tubo,阿尔韦鲁埃拉德图沃
Campeonato Mundial de Bádminton de 2006 - Dobles masculino,2006年世界羽毛球錦標賽男子雙打項目
historia del Real Madrid,皇家马德里足球俱乐部历史
Diócesis de Gerona,天主教赫罗纳教区
Camponaraya,坎波纳赖阿
Oreja,奥雷哈
Cosuenda,科孙达
Segunda División de España 1977/78,1977年至1978年西班牙足球乙级联赛
Monte Caro,卡羅山
Fuente Álamo,丰特-阿拉莫
Arga,阿爾加河
San Adrián,圣阿德里安
La Bola,阿沃拉
Fanlo,凡洛
río Cidacos,錫達科斯河
río Aragón,阿拉贡河
Serie 276 de Renfe,西班牙国铁276型电力机车
Foyos,福伊奥斯
Alcanadre,阿爾卡納德雷河
Crisis de las Carolinas,加罗林问题
Supercopa de Europa 1997,1997年欧洲超级杯
lista de monarcas de Asturias,阿斯图里亚斯君主列表
San Esteban del Valle,圣埃斯特万德尔瓦列
Beceite,贝塞特
río Turia,圖里亞河
Torrico,托里科
Ituero de Azaba,伊图埃罗德亚萨瓦
Canals,卡纳尔斯
Fornelos de Montes,福尔内洛斯德蒙特斯
iglesia Matriz de la Concepción,无玷始胎堂
Palau de la Generalitat,加泰罗尼亚政府宫
Derbi sevillano,塞維利亞德比
Serós,塞罗斯
Primera División de España 1976/77,1976年至1977年西班牙足球甲级联赛
Valcarlos,巴尔卡洛斯
Villalbilla de Burgos,比利亚尔维利亚德武尔戈斯
Diócesis de Ciudad Real,天主教雷阿爾城教區
Castejón de Monegros,卡斯特洪德莫内格罗斯
plaza de toros de Valencia,巴伦西亚斗牛场
Torquemada,托尔克马达
Valhermoso de la Fuente,巴尔埃尔莫索德拉丰特
Frumales,弗鲁马莱斯
Cualedro,夸莱德罗
Club Deportivo Eldense,埃登斯
Zorraquín,索拉金
Estación de Chamartín,馬德里查馬丁車站
estación de Atocha,马德里阿托查车站
Ibdes,伊夫德斯
río Mundo,蒙多河
Guadalentín,瓜達倫廷河
Tramacastiel,特拉马卡斯铁尔
Dosbarrios,多斯瓦里奥斯
Peñafiel,佩尼亚菲耶尔
Estación de Valdecarros,巴爾德卡羅斯站
El Masroig,埃尔马斯罗伊格
Sitio de Zaragoza (1809),第二次薩拉戈薩圍城戰
Primera División de España 1950/51,1950年至1951年西班牙足球甲级联赛
Santa Pola,圣波拉
Club Gimnàstic de Tarragona,塔拉戈納體操
Fasnia,法斯尼亚
Llosa de Ranes,拉略萨德拉内斯
Vitigudino,比蒂古迪诺
Generalife,赫内拉利费宫
Cabriel,卡夫列爾河
Zotes del Páramo,索特斯德尔帕拉莫
Sierra de los Filabres,菲拉布雷斯山脈
Supercopa de Europa 1989,1989年欧洲超级杯
Castillo Club de Fútbol,卡斯蒂略足球俱乐部
Santa Coloma de Queralt,圣科洛马德克拉尔特
Primera División de España 2010/11,2010–11賽季西班牙足球甲級聯賽
Tribunal Supremo,西班牙最高法院
ISO 3166-2:ES,ISO 3166-2:ES
Estadio de Abanca Riazor,里亞索球場
Benetúser,贝内图塞尔
Ésera,埃塞拉河
Noguera Ribagorzana,諾格拉里瓦戈薩納河
Noguera Pallaresa,諾格拉帕利亞雷薩河
Oimbra,奥因夫拉
Alfoz de Bricia,阿尔福斯德夫里西亚
Atarazanas Reales de Barcelona,巴塞隆納皇家造船廠
Atienza,阿蒂恩萨
Valdilecha,巴尔迪莱查
Inmigración china en España,西班牙華人
comarca de Ferrol,费罗尔县
nombre español,西班牙人名
Nuevo Román Suárez Puerta,拉蒙·苏亚雷斯·普埃尔塔球场
Lebrija,莱夫里哈
Gran Vía de las Cortes Catalanas,加泰罗尼亚议会大道
Palazuelos de Eresma,帕拉苏埃洛斯德埃雷斯马
Fines,菲内斯
María de la Salud,马里亚德拉萨卢特
Real Club Deportivo Carabanchel,RCD卡拉班切
Navia,纳维亚
Rodoñá,罗多尼亚
Partido Obrero de Unificación Marxista,馬克思主義統一工人黨
Bujaraloz,布哈拉洛斯
Ribarroja del Turia,里瓦-罗哈德图里亚
bien de interés cultural,西班牙文化財產
Archidiócesis de Madrid,天主教马德里总教区
Castillo de Bellver,贝利韦尔城堡
Segunda División de España 1982/83,1982年至1983年西班牙足球乙级联赛
Literatura española del Barroco,西班牙巴洛克文學
Puzol,普斯索尔
Paterna,帕特尔纳
Coirós,科伊罗斯
Betanzos,贝坦索斯
Reinosa,雷诺萨
Ega,埃加河
Observatorio de Sierra Nevada,内华达山脉天文台
Udías,乌迪亚斯
Pla de Santa María,埃尔普拉德圣马里亚
Villanueva de Bogas,博加斯新镇
Batalla de Ocaña,奧卡尼亞戰役
elecciones al Parlamento Europeo de 2009 en España,2009年歐洲議會選舉
río Mijares,米哈雷斯河
Najerilla,納赫里利亞河
río Jiloca,希洛卡河
Huerva,韋爾瓦河
Gállego,加列戈河
Carral,卡拉尔
Bandera de Castilla-La Mancha,卡斯提爾-拉曼查旗幟
Torneo Internacional de Ajedrez Ciudad de Linares,利纳雷斯国际象棋超级大赛
Lucena del Cid,卢塞纳德尔西德
TVE Internacional,西班牙廣播電視公司國際頻道
Marinaleda,马里纳莱达
Gran Premio de Cataluña de Motociclismo de 2006,加泰隆尼亞
Nuevo Estadio Castalia,新卡斯塔利亚球场
Unió Esportiva Vilajuïga,比拉茹伊加体育联盟
Santana Motor,桑塔納汽車
hórreo,霍雷奧
Fuentes de Rubielos,丰特斯德鲁维耶洛斯
Cañizo,卡尼索
Cinca,辛卡河
El Cubo de Don Sancho,埃尔库沃德东桑乔
Estadio Heliodoro Rodríguez López,埃利奥多罗·罗德里格斯·洛佩斯球场
Primera División de España 1966/67,1966年至1967年西班牙足球甲级联赛
Mirandilla,米兰迪利亚
Bularros,布拉罗斯
estación de Joaquín Vilumbrales,華金·比倫布拉萊斯站
Soto del Barco,索托德尔瓦尔科
Llombay,利翁瓦伊
Liria,利里亚
Entrena,恩特雷纳
Guadalope,瓜達洛佩河
Segre,塞格雷河
Matarraña,馬塔拉尼亞河
Negrilla de Palencia,内格里利亚德帕伦西亚
Abogacía General del Estado,西班牙副檢察長
Milicia Nacional,西班牙全國民兵
Palacio Real de Aranjuez,阿蘭胡埃斯王宮
Real Academia de Bellas Artes de Santa Isabel de Hungría,匈牙利圣伊莎贝尔皇家美术学院
Arrancudiaga,阿兰库迪亚加
Petín,佩廷
Estado Mallorca Son Moix,辛莫爾斯球場
Eurocuerpo,歐洲軍團
Real Oviedo,皇家奥维耶多
Écija,埃西哈
Estadio Ramón Sánchez Pizjuán,拉蒙·桑切斯·皮斯胡安球場
Pedralba,佩德拉尔瓦
Universidad Politécnica de Madrid,馬德里理工大學
Cabañas Raras,卡瓦尼亚斯拉拉斯
Aranda de Moncayo,阿兰达德蒙凯奥
Macastre,马卡斯特雷
Yátova,亚托瓦
Lejona,莱霍纳
Siglo de Oro,西班牙黃金時代
Democracia Nacional,全國民主 (西班牙)
Bárig,巴尔斯
Talarrubias,塔拉鲁维亚斯
Estación de Plaza España,西班牙廣場車站
Alcublas,阿尔库夫拉斯
Primera División de España 2002/03,2002年至2003年西班牙足球甲级联赛
guerra de Devolución,遗产战争
El Rosal,埃尔罗萨尔
Horta de San Juan,奥尔塔德桑特霍安
Umbrete,温夫雷特
Vuelta a España 2012,2012年环西自行车赛
Quintanilla del Molar,金塔尼利亚德尔莫拉尔
Carrasqueta,卡拉斯克塔山脈
Serie 252 de Renfe,西班牙国铁252型电力机车
Rally Dakar de 2007,2007年達喀爾拉力賽
Seo de Urgel,拉塞乌杜尔赫利
Pitillas,皮蒂利亚斯
Pozo de Guadalajara,波索德瓜达拉哈拉
Primera División de España 1980/81,1980年至1981年西班牙足球甲级联赛
Universidad de La Coruña,拉科魯尼亞大學
Estadio Olímpico Lluís Companys,孔帕尼斯奧林匹克體育場
Batalla de Vitoria,维多利亚战役
Écija Balompié,埃西哈足球俱乐部
Club Baloncesto Breogán,布雷奥干
Yélamos de Arriba,耶拉莫斯德亚里瓦
Alicante Club de Fútbol,阿利根迪
Alcalá de Gurrea,阿尔卡拉德古雷亚
Centenera de Andaluz,森特内拉德亚恩达卢斯
Aeropuerto de La Gomera,戈梅拉机场
Barbens,巴尔文斯
Vertavillo,贝尔塔维略
Villabona,比利亚沃纳
Valira,瓦利拉河
Estación Espacial Internacional,国际空间站
Andújar,安杜哈尔
Valdelarco,巴尔德拉尔科
Ibi,伊维
Perafort,佩拉福尔特
Segura,塞古拉
Izquierda-Ezkerra,左翼 (纳瓦拉)
Letux,莱图斯
Vicién,比先
Primera División de España 1986/87,1986年至1987年西班牙足球甲级联赛
Villafranca de Ordizia,奥尔迪西亚自由镇
Primera División de España 1964/65,1964年至1965年西班牙足球甲级联赛
Fombuena,丰武埃纳
Telemadrid,馬德里電視台
Los Villares,洛斯维利亚雷斯
Nívar,尼瓦尔
Otívar,奥蒂瓦尔
Ardón,阿尔东
Algadefe,阿尔加德费
Brazuelo,布拉苏埃洛
Universidad Pompeu Fabra,龐培法布拉大學
Universidad Ramon Llull,拉曼大學 (西班牙)
Acebedo,阿塞韦多
Pozo-Lorente,波索-洛伦特
Liñola,利尼奥拉
Pétrola,佩特罗拉
Riópar,里奥帕尔
Pomer,波梅尔
Villardiegua de la Ribera,比利亚尔迭瓜德拉里韦拉
La Riba,拉里瓦
Izquierda Unida de Navarra,纳瓦拉联合左翼
Segunda División de España 1991/92,1991年至1992年西班牙足球乙级联赛
Chiclana de la Frontera,奇克拉纳-德拉弗龙特拉
ED Moratalaz,埃德莫拉塔拉茲
Izagre,伊萨格雷
Calpe,卡尔佩
Erro,埃罗
idiomas de España,西班牙语言
España en el Festival de la Canción de Eurovisión,西班牙在欧洲歌唱大赛之历年表现
Los Barrios de Luna,卢纳河畔洛斯巴里奥斯
Fresno de la Vega,夫雷斯诺德拉韦加
Mandayona,曼代奥纳
Pozuelo,波苏埃洛
Olías del Rey,奥利亚斯德尔雷
Ramales de la Victoria,拉马莱斯德拉维克托里亚
Primera División de España 1945/46,1945年至1946年西班牙足球甲级联赛
Ramiro,拉米罗
Irurzun,伊鲁尔孙
Maspujols,马斯普霍尔斯
Liga Europea de la UEFA 2013-14,2013–14年歐霸盃
Oliete,奥列特
Anexo:Estadios de fútbol de España,西班牙体育场列表
Bidegoyan,比德戈扬
Valdecasa,巴尔德卡萨
Arcaya,阿爾凱亞
Monserrat,蒙塞拉特
La Galera,拉加莱拉
Pozo Cañada,波索卡尼亚达
Povedilla,波韦迪利亚
Tour de Francia 1963,1963年環法自由車賽
Jete,赫特
La Antigua,兰蒂瓜
Almanza,阿尔曼萨
Vuelta a Andalucía,環安達盧西亞自行車賽
La Masó,拉马索
Bustillo del Páramo,布斯蒂略德尔帕拉莫
Huerta de Valdecarábanos,韦尔塔德瓦尔德卡拉瓦诺斯
El Busto,埃尔武斯托
Villalazán,比利亚拉桑
Priaranza del Bierzo,普里亚兰萨德尔维耶尔索
El Burgo Ranero,埃尔武尔戈拉内罗
Boca de Huérgano,博卡德韦尔加诺
Codorníu,考迪葡萄酒厂
Retuerta del Bullaque,雷图埃尔塔德尔武利亚克
Club Deportivo Constancia,康斯坦西亞
Llíber,利韦尔
Arenales de San Gregorio,阿雷纳莱斯德圣格雷戈里奥
Bercianos del Páramo,贝尔西亚诺斯德尔帕拉莫
Boñar,博尼亚尔
Alija del Infantado,阿利哈德林凡塔多
Berlanga del Bierzo,贝尔兰加德尔维耶尔索
Cabreros del Río,卡夫雷罗斯德尔里奥
Marquina-Jeméin,马尔基纳-赫门
Bercianos del Real Camino,贝尔西亚诺斯德尔雷亚尔卡米诺
Burón,布龙
Bienvenida,比恩韦尼达
Hombrados,翁夫拉多斯
Ramiranes,拉米拉斯
Primera División de España 1971/72,1971年至1972年西班牙足球甲级联赛
Palacio de la Zarzuela,薩爾蘇埃拉宮
Nogueruelas,诺格鲁埃拉斯
Humanes de Madrid,乌马内斯德马德里德
Serie 120 de Renfe,西班牙國鐵120型電動列車
asturiano,阿斯图里亚斯语
Campeonato Mundial de Balonmano Masculino de 2013,2013年世界男子手球錦標賽
mancomunidad,市際共同體
Almonaster la Real,阿尔莫纳斯特尔拉雷亚尔
Villanueva del Rebollar de la Sierra,雷沃利亚尔德拉谢拉新镇
Hontanaya,翁塔奈阿
Espejo,埃斯佩霍
Valdearenas,巴尔德亚雷纳斯
Pampaneira,潘潘埃拉
