Kazimierz III Wielki,卡齐米日三世
Łukasz Lewandowski,卢卡斯·莱万多夫斯基
Łukasz Płoszajski,卢卡斯·普洛萨伊斯基
Zbigniew Rau,兹比格涅夫·拉乌
Łukasz Perłowski,盧卡斯·佩羅夫斯基
Łukasz Palkowski,卢卡斯·帕勒科斯基
Ilona Kuśmierska,伊洛娜·库希梅尔斯卡
Ilona Kucińska,伊洛娜·库钦斯卡
Damian Bartyla,达米安·巴尔蒂拉
Zbigniew Szczepkowski,兹比格涅夫·什切普科夫斯基
Zbigniew Suszyński,比涅尤·苏辛斯基
Łukasz Witt-Michałowski,卢卡斯·威特-米查罗斯基
Władysław Smoleński,瓦迪斯瓦夫·斯莫伦斯基
Daniel Górak,丹尼爾·格拉克
Ireneusz Dudek,伊雷內伍什·杜德克
DJ Feel-X,DJ Feel-X
Damian Wojtaszek,達米安·沃伊塔謝克
Maria Wasiak,瑪麗亞·瓦斯亞克
Ireneusz Sekuła,史庫瓦
Ireneusz Machnicki,伊雷内乌兹·马赫尼基
Zbigniew Ślusarski,兹比格涅夫·希卢萨尔斯基
Magdalena Fręch,瑪格達蓮娜·佛雷克
Jan-Krzysztof Duda,扬-克日什托夫·杜达
Popek,波普克
Iwona Fornalczyk,伊沃纳·福纳尔科齐克
Izabela Dąbrowska,伊莎贝拉·东布罗夫斯卡
Dorota Horzonkówna,多萝塔·霍尔佐内克-约凯尔
Iwona Wszołkówna,伊沃娜·维索科沃娜
Dominika Sell,多米尼卡·塞尔
Włodzimierz Czarzasty,弗沃齊米日·沙扎斯蒂
Izabela Kuna,伊莎贝拉·库纳
Albert Stankowski,阿尔伯特·斯坦科夫斯基
Izabella Teleżyńska,伊莎貝拉·德蕾欣絲卡
Paweł Potoroczyn,帕维尔·波托罗钦
Marek Zub,马历克·祖布
Jerzy Browkin,耶日·布羅夫金
Jacek Borcuch,雅泽克·鲍勒祖赫
Zdzisław Kuźniar,濟斯瓦夫·庫茲尼亞爾
Jan Gadomski,扬·加多姆斯基
Edward Sturlis,愛德華·斯圖利斯
Jacek Bończyk,亚采克·邦奇克
Jacek Braciak,杰克·布雷西亚克
Marcin Różalski,马尔辛·罗扎尔斯基
Jacek Kaspszyk,雅切克·卡斯普契克
Jacek Czaputowicz,亚采克·恰普托维奇
Jacek Karnowski,亞採·卡洛韋斯奇
Adam Kamień,亚当·卡米恩
Jacek Król,亚采克·克洛尔
Jadwiga Piłsudska,雅德維加·比瑟斯加
Emil Haecker,埃米爾·海克
Adam Baumann,亚当·鲍曼
Agnieszka Różańska,阿格奈斯卡·罗萨斯卡
Agnieszka Matysiak,阿格奈斯卡·马蒂萨克
Agnieszka Paszkowska,阿格涅希卡·帕斯科夫斯卡
Jacek Kopczyński,亚采克·科普琴斯基
Jacek Koprowicz,亚采克·科普若瓦兹
Jagna Janicka,亚格娜·亚尼茨卡
Jakub Szydłowski,雅库布·塞德洛斯基
Jan Antoniszczak,扬·安东尼什扎克
Jacek Lusiński,亚采克·卢森斯基
Jakub Popiwczak,雅各布·波皮夫恰克
Jacek Mikołajczak,亚采克·米考拉扎克
Jacek Purchla,亞賽克·佩夏拉
Jan Aleksandrowicz-Krasko,让·克拉斯科
Jakub Kamieński,雅库布·卡缅斯基
Jacek Sasin,亚采克·萨辛
Ewa Złotowska,伊娃·兹沃托夫斯卡
Zenon Wasilewski,澤農·瓦西萊夫斯基
Aleksander Mikołajczak,亚历山大·米考拉扎克
Zeus,泽乌斯
Filip Starzyński,菲利普·斯塔辛斯基
Zofia Dybowska-Aleksandrowicz,佐菲亚·戴博斯卡·亚历克桑德罗奇斯
Aleksandra Górska,亚历山德拉·戈斯卡
Filip Garbacz,菲利普·加巴兹
Jan Falkowski,扬·法尔科夫斯基
Aleksandra Kluś,亚历山德拉·克卢希
Zofia Kruszyńska-Gust,索菲娅·克鲁申斯卡-古斯特
Jan Holoubek,簡·霍盧貝克
Jan Grabiec,扬·格拉别茨
Andrzej Blumenfeld,安傑伊·布盧曼菲爾德
Jerzy Borowczak,耶日·博罗夫恰克
Andrzej Gałła,安德烈·加拉
Jan Szymański,扬·希曼斯基
Jerzy Dominik,耶日·多米尼克
Joanna Trzepiecińska,乔安娜·特热比辛斯卡
Jolanta Dylewska,祖娜·戴莉斯卡
Jan Wieczorkowski,扬·维科佐科夫斯基
Jan Tesarz,扬·特萨利兹
Jan Tombiński,扬·托姆宾斯基
Jan Zalasiewicz,揚·扎拉謝維奇
Jolanta Fraszyńska,约兰塔·弗拉申斯卡
Gerard Mach,傑洛·馬克
Jolanta Ogar,约兰塔·奥加尔-希尔
Frumka Płotnicka,弗鲁穆卡·普沃特尼卡
Jolanta Umecka,約蘭塔·烏梅卡
Jan Komasa,扬·科马萨
Jerzy Greszkiewicz,耶日·格雷什凯维奇
Jowita Budnik,約威塔·布德尼克
Jolanta Wołłejko,约兰塔·沃乌莱科
Jolanta Żółkowska,约兰达·佐尔科夫斯卡
Julia Pogrebińska,朱莉娅·波格瑞宾斯卡
Jan Krzysztof Ardanowski,扬·克日什托夫·阿达诺夫斯基
Jerzy Kalina,傑日·卡琳娜
Jan Kulczycki,扬·库尔奇奇
Kajetan Lewandowski,卡杰坦·莱万多夫斯基
Jan Kurczab,扬·库尔查布
Janusz Anderman,亚努斯·安德曼
Kacper Majchrzak,卡斯柏·馬伊赫沙克
January Brunov,January Brunov
Janusz Cisek,雅努茲·奇塞克
Juliusz Kydryński,朱利叶斯·基德林斯基
Kamil Durczok,卡米尔·杜尔佐克
Karina Lipiarska,卡琳娜·利皮阿爾斯卡-帕烏卡
Jerzy Kucia,葉茲庫夏
Justyna Kozdryk,贾斯蒂娜·科兹德里克
Justyna Święty-Ersetic,尤斯蒂娜·希温蒂-埃尔塞蒂克
Jan Mulak,扬·穆拉克
Kamila Boruta,卡米拉·博鲁塔
Józef Baryła,约瑟夫·巴里瓦
Kamilla Baar,卡米拉·巴尔
Karol Maleczyński,Maleczyński K.
Jan Prochyra,扬·普罗奇拉
Karolina Chapko,卡罗琳娜·查普科
Karolina Dafne Porcari,卡罗利娜·达芙妮·波尔卡里
Józef Duriasz,约瑟夫·杜里亚斯
Jerzy Rubach,叶尔兹·茹巴奇
Józef Goldszmit,约瑟夫·戈尔兹米特
Janusz Reykowski,雷伊科夫斯基
Karolina Pęk,卡罗利娜·佩克
Jerzy Płażewski,耶日·普拉澤夫斯基
Karolina Gorczyca,卡罗琳娜·戈奇卡
Karolina Kominek,卡罗琳娜·科米尼克
Janusz Nowicki,雅努什·诺维茨基
Klaudiusz Kaufmann,克劳迪斯·考夫曼
Katarzyna Groniec,卡塔日娜·格罗涅茨
Katarzyna Grzybowska,卡塔芝娜·葛茲波絲卡
Jerzy Tomaszewski,耶日·托马谢夫斯基
Janusz Zadura,雅努斯·扎杜拉
Konrad Krajewski,康拉德·克拉耶夫斯基
Jerzy Słupecki,耶日·斯盧佩奇
Katarzyna Gniewkowska,卡塔兹娜·格尼夫克斯加
Janusz Wituch,贾努斯·威图奇
Katarzyna Wajda,卡塔基娜·瓦杰达
Katarzyna Jungowska,卡塔日娜·琼戈斯卡
Katarzyna Paskuda,卡塔日娜·帕斯库达
Katarzyna Pełczyńska-Nałęcz,卡塔日娜·佩乌琴斯卡-纳文奇
Katarzyna Skolimowska,卡塔日娜·斯克利莫夫斯卡
Krystian Zalewski,克里斯提安·薩魯斯基
Jerzy Zalewski,耶兹·扎莱夫斯基
Katarzyna Łaska,卡塔芝娜·莱丝卡
Jerzy Zass,杰西·扎斯
Krystyna Kofta,克里斯蒂娜·科夫塔
Jerzy Zitzman,耶日·茲茨曼
Jarosław Mika,雅罗斯瓦夫·米卡
Joanna Jeżewska,乔安娜·耶韦斯卡
Joanna Domańska,乔安娜·多曼斯卡
Joanna Fabicka,乔安娜·法比卡
Krzysztof Banaszyk,克齐斯茨托夫·巴纳什日科
Stanisław Jamrozek,達黎·亞姆羅澤克
Jechiel Rajchman,希尔·拉伊赫曼
Krystyna Tkacz,克里斯蒂娜·特卡兹
Joanna Linkiewicz,约安娜·林凯维奇
Joanna Orleańska,乔安娜·奥尔良斯卡
Jarosław Żamojda,雅罗斯瓦夫·扎莫伊达
Joanna Kreft-Baka,乔安娜·克雷夫特
Joanna Kudelska,乔安娜·库德斯卡
Kazimierz Kostanecki,卡齐米日·科斯坦涅斯基
Kazimierz Kwiatkowski,卡齐米日·科维亚特科夫斯基
Magdalena Turczeniewicz,马格达莱娜·图尔岑涅维奇
Magdalena Stużyńska-Brauer,玛格达莱娜·斯图津斯卡
Leon Tochowicz,莱昂·托霍维茨
Magdalena Popławska,马格达莱纳·珀拉斯佳
Magdalena Wołłejko,玛格达莱娜·沃乌韦科
Krzysztof Gierat,克日施托夫·傑拉特
Krzysztof Dracz,克尔兹斯托夫·德拉克兹
Krzysztof Dzierma,克日什托夫·齊爾瑪
Krzysztof Hetman,克日什托夫·海特曼
Krzysztof Jaroszyński,克齐斯茨托夫·雅罗辛斯基
Maria Góralczyk,玛丽亚·格洛茨克
Krzysztof Kiwerski,克日什托夫·基維爾斯基
Maria Maciejowska,玛丽亚·麦克西乔斯卡
Maria Mamona,玛丽亚·马莫纳
Malwina Kopron,玛尔维娜·科普隆
Malwina Smarzek,马尔维纳·斯马泽克
Marceli Godlewski,马切利·戈德列夫斯基
Maria Pakulnis,玛利亚·帕库尔尼斯
Marcin Chochlew,马辛·乔克赫威
Maria Orłowska,歐爾窩夫斯卡
Krzysztof Kościelniak,柯惜年
Marcin Budkowski,馬辛·布德科夫斯基
Marcin Czarnik,马尔桑·恰尼克
Leszek Zduń,莱瑟克·兹登
Krzysztof Lang,克日什托夫·郎
Marcin Dorociński,马辛·多洛辛斯基
Marcin Daniec,马辛·达涅克
Maria Wiłkomirska,玛丽亚·维科米尔斯卡
Marcin Bosak,马辛·博萨克
Małgorzata Rożniatowska,玛乌戈扎塔·罗日尼亚托夫斯卡
Marcin Hycnar,马尔辛·海纳尔
Lidia Ciołkosz,莉迪娅·乔乌科什
Marian Auerbach,玛丽安·奥尔巴赫
Marcin Krukowski,馬爾辛·庫克沃斯基
Marcin Janusz,马尔钦·雅努什
Krzysztof Skonieczny,克尔兹斯托夫·斯科涅奇尼
Marcin Kowalczyk,马尔钦·科瓦尔奇克
Lidia Szczerbińska,利迪娅·什切尔宾斯卡
Krzysztof Siemion,克日什托夫·谢米翁
Marcin Kydryński,马尔辛·基德林斯基
Krzysztof Wakuliński,克日斯托夫·瓦库林斯基
Marcin Masecki,馬丁·馬塞茨基
Marcin Perchuć,马尔钦·佩丘奇
Marcin Najman,马尔辛· 奈曼
Michał Englert,米歇尔·恩格勒
Krzysztof Zimnoch,克尔兹斯托夫·齐姆诺赫
Marcin Sitek,马辛·斯泰克
Marcin Stec,马辛·斯特克
Marian Orzechowski,马里安·奥热霍夫斯基
Marcin Przybyłek,马尔钦·普日贝韦克
Marcin Troński,马尔钦·特隆斯基
Laco Adamík,拉佐·阿达米克
Laura Łącz,劳拉·洛茲
Ludwik Perski,路德維克·帕斯基
Marian Piechal,马里安·皮哈尔
Lech Dyblik,莱赫·德布里克
Marcin Wroński,马尔钦·罗恩斯基
Michał Kwieciński,迈克·文辛斯基
Michał Kruk,米哈尔·克鲁克
Ludwik Wertenstein,路德维克·佩韦尔滕斯泰恩
Marek Barański,Barański M. K.
Marek Barbasiewicz,马雷克·巴尔巴谢维奇
Michał Milowicz,米哈乌·米洛维茨
Maciej Berek,马切伊·贝雷克
Marek Bocianiak,马雷克·博恰尼亚克
Lechosław Marszałek,萊霍斯拉夫·馬爾薩雷克
Maciej Karpiński,马切伊·卡尔平斯基
Maciej Damięcki,马切·达米克基
Maciej Dutkiewicz,马切伊·杜特科维奇
Michał Piela,米切尔·皮埃拉
Michał Rogalski,米乔·洛加尔斯基
Marek Dyjak,Marek Dyjak
Michał Rolnicki,米哈尔·罗尼基
Marina Łuczenko-Szczęsna,玛丽娜·卢申科
Marian Łącz,玛丽安·洛茲
Leon Andrzejewski,萊昂·安傑耶夫斯基
Marek Frąckowiak,马雷克·弗莱克维亚科
Michał Szyba,米哈乌·希巴
Michał Szymański,米哈爾·斯曼斯基
Michał Sieczkowski,米哈乌·谢奇科夫斯基
Miłogost Reczek,米沃戈斯特·雷切克
Marek Karbarz,马雷克·卡尔巴日
Marek Kasprzyk,马雷克·卡斯普日克
Marek Kalita,马克·卡利塔
Mariusz Grzegorzek,马里斯斯·格泽戈泽克
Mariusz Jakus,马里斯兹·贾库斯
Maciej Molęda,马切伊·莫伦达
Maciej Kowalewski,马切伊·科瓦莱夫斯基
Maciej Orłoś,馬西耶·奧羅什
Maciej Pieprzyca,马赛·皮耶普莱兹卡
Mojżesz Merin,莫舍·梅林
Modest Ruciński,莫迪斯特·鲁辛斯基
Monika Pikuła,莫妮卡·皮库拉
Mariusz Saniternik,马里乌斯·萨尼特尼克
Monika Dryl,莫妮卡·德里尔
Monika Kwiatkowska,莫妮卡·克维亚特科夫斯卡
Monika Muskała,莫妮卡·穆斯卡拉
Monika Kuszyńska,莫妮卡·库兹涅斯卡
Marek Michalak,马莱克·米哈拉克
Monika Krzywkowska,莫妮卡·克日夫科斯卡
Natan Gross,纳坦·格罗斯
Marta Bitner,玛塔·比特纳
Maciej Szumowski,马切伊·舒莫夫斯基
Monique Stalens,莫妮克·斯泰伦斯
Natalia Aleksiun-Mądrzak,娜塔莉亚·阿列克逊
Marta Malikowska,马尔塔·马利克瓦思佳
Maciej Wilusz,馬齊·威盧斯
Natalia Kot-Wala,纳塔利娅·科特
Marta Bartel,玛尔塔·巴特尔
Magdalena Dandourian,玛格达莱娜·丹杜里安
Marek Seweryn,马雷克·塞韦伦
Marek Sierocki,馬雷克·謝羅基
Marta Nieradkiewicz,玛塔·涅拉德基耶维茨
Mieczysław Marzec,米契斯瓦夫·马热茨
Mieczysław Morański,米奇斯瓦夫·莫兰斯基
Olga Sawicka,奥尔加·萨威卡
Olga Frycz,奥加·法兰丝
Maryna Gąsienica-Daniel,玛琳娜·贡谢尼察-达涅尔
Mateusz Morawiecki,馬特烏什·莫拉維茨基
Mateusz Banasiuk,马太乌兹·巴纳斯乌克
Mateusz Michalski,马特乌什·米哈尔斯基
Magdalena Kuta,玛格达琳娜·库塔
Mateusz Mika,馬特烏什·米卡
Piotr Lisek,彼得·里萨科
Piotr Masłowski,彼得·马斯沃夫斯基
Małgorzata Boratyńska,马乌戈热塔·博拉蒂什卡
Marek Żuławski,马雷克·朱瓦夫斯基
Maria Ciunelis,玛丽亚·丘内利斯
Paulina Guba,宝琳娜·古巴
Piotr Musiał,皮奥特·穆西亚
Patryk Vega,帕特奇·维加
Piotr Osęka,彼得·奧盛嘉
Mikołaj Grabowski,米科莱·格拉博夫斯基
Piotr Mularuk,皮奥特·穆拉鲁克
Małgorzata Hołub-Kowalik,玛乌戈尔扎塔·霍武布-科瓦利克
Miriam Aleksandrowicz,米里亚姆·亚历山德罗维奇
Paweł Chochlew,帕维尔·乔克赫威
Milena Olszewska,米莱娜·奥尔谢夫斯卡
Piotr Roman,彼得·罗曼
Jarosław Pawluk,CTL物流
Piotr Skiba,皮奥特·斯基巴
Paweł Burczyk,帕维尔·布尔奇克
Mirosław Kijowicz,米羅斯瓦夫·基約維奇
Karolina Cicha,卡羅俐娜·槭哈
Mirosław Haniszewski,米洛斯拉夫·哈尼斯泽斯基
Piotr Szwedes,皮奥特·斯威德斯
Dawid Kownacki,大衛·考納茨基
Piotr Wojtowicz,皮特·沃伊托维奇
Paweł Galia,帕维尔·加利亚
Matylda Damięcka,玛蒂尔达·达明茨卡
Jakub Lasota,雅各布·拉索塔
Piotr Zychowicz,彼得·柴霍維茨
Piotr Łossowski,彼得·洛索夫斯基
Maria Trzcińska,玛丽亚·什钦斯卡
Piotr Żuchowski,茹霍夫斯基
Piotr Żurawski,玛塔·涅拉柯薇姿
Piotr Węgleński,魏格蘭斯基
Julian Chorążycki,尤利安·霍兰日茨基
Dominik W. Rettinger,多米尼克·维佐尔科夫斯基-瑞廷格
Paweł Nowisz,帕维尔·诺维什
Aleksandra Mirosław,亞歷山德拉·米羅斯洛
Przemysław Krajewski,普热梅斯瓦夫·克拉耶夫斯基
Przemysław Sadowski,普热米斯瓦夫·萨多夫斯基
Przemysław Karnowski,普熱澤梅克·卡諾夫斯基
Przemysław Wipler,普尔泽米斯瓦夫·维普勒
Juliusz Petry,尤利乌什·佩特里
Damian Bryl,達彌盎·布雷爾
Radosław Pyffel,瑞德兴
Paweł Wawrzecki,帕维尔·瓦茨凯基
Paweł Szałamacha,帕維爾·薩拉馬沙
Rafał Omelko,拉法烏·奧梅柯
Rafał Zawierucha,拉法·札維盧卡
Rafał Buszek,拉法爾·布斯澤克
Oktawia Nowacka,奥克塔维亚·诺瓦茨卡
Natalia Kaliszek-Wąsik,娜塔莉婭·卡里澤科
Jan Bednarek,揚·貝德納雷克
Paweł Szczesny,帕维尔·什切斯尼
Jacenty Jędrusik,亚岑蒂·延德鲁西克
Wojciech Brzeziński,沃伊切赫·布热津斯基
Paweł Wilczak,帕维尔·维尔恰克
Robert Kantereit,罗伯特·坎特莱特
Pezet,佩泽
Renata Zarębska,雷娜塔·萨雷布斯卡
Paweł Tomaszewski,帕维尔·托马谢夫斯基
Paulina Dudek,保琳娜·杜德克
Joanna Jędrzejczyk,乔安娜·耶德尔泽西克
Robert Bernatowicz,羅伯特·伯奈托維斯茲
Piotr Bajtlik,皮特·巴特利克
Michał Helik,麥可·赫利克
Piotr Bałtroczyk,皮特·巴特洛奇克
Filip Chajzer,菲利普·查泽尔
Ewa Pajor,艾娃·帕约尔
Aleksandra Król,亚历山德拉·克鲁尔
Katarzyna Klimkiewicz,卡塔芝娜·克里木克维茨
Piotr Bąk,皮特·巴克
Karolina Kowalkiewicz,卡罗琳娜·科瓦基维奇
Philippe Tłokiński,菲利普·特沃金斯基
Adrian Dziółko,阿德里安·齐奥尔科
Michał Daszek,米哈乌·达谢克
Piotr Dzięcioł,皮特·德兹索
Jan Kaczkowski,扬·卡茨科夫斯基
Tomasz Ziętek,托马斯·津泰克
Piotr Grabowski,皮特·格拉波夫斯基
Piotr Grabowski,皮特·格拉波夫斯基
Piotr Grabowski,皮特·格拉波夫斯基
Piotr Głowacki,皮奥特·格洛瓦茨基
Piotr Gliński,皮厄特勒·格林斯基
Jan Nowakowski,揚·諾瓦考斯基
Piotr Hofmański,彼得·霍夫曼斯基
Tadeusz Makarczyński,塔德烏什·馬卡爾欽斯基
Sławomir Orzechowski,斯莱沃米尔·奥奇斯基
Konrad Bukowiecki,康拉德·布科维茨基
Marcin Tybura,马辛·迪布拉
Katarzyna Kiedrzynek,凯瑟琳·基尔兹涅克
Ewa Swoboda,埃娃·斯沃博达
Joanna Dark,乔安娜·达克
Michał Kędzierski,米哈爾·克孜爾斯基
Marek Pyś,马雷克·皮斯
Michał Coganianu,米哈乌·科加尼亚努
Zbigniew Hołdys,兹比格涅夫·霍迪斯
Mirosław Nagielski,米罗斯瓦夫·纳吉尔斯基
Renata Knapik,蓮娜達·拿碧-美亞莎
Paweł Raczkowski,帕维尔·拉茨科夫斯基
Natalia Janoszek,娜塔莉·加诺塞克
Natalia Siwiec,娜塔莉亞·席維克
Anna Lewandowska,安娜·莱万多斯卡
Stefan Mateja,斯特凡·马泰亚
Adam Czerniaków,亚当·切尔尼雅库夫
Adam Kowalski,亞當·科沃斯基
Kamil Majchrzak,卡米尔·迈赫扎克
Sofia Ennaoui,索菲亚·恩纳奥伊
Kamil Barbarski,卡米爾巴巴爾斯基
Aleksander Milwiw-Baron,亚历山大·米尔维·巴伦
Michał Koj,米哈尔·科伊
Robert Iwaszkiewicz,罗伯特·伊瓦兹基维茨
Daniel Stefański,丹尼爾·斯特凡斯基
Załmen Gradowski,扎尔曼·格拉多夫斯基
Tomasz Wasilewski,湯瑪士·瓦西萊斯基
Ryszard Fischbach,里萨德·菲施巴赫
Józef Mayer,約瑟夫·梅耶
Łukasz Buzun,路加·布尊
Michał Tusk,米哈乌·图斯克
Katarzyna Tusk,卡塔日娜·图斯克
Anna Szymańczyk,安娜·希曼齐科
Przemysław Frankowski,普热梅斯瓦夫·弗兰科夫斯基
Wojciech Staroń,沃伊切赫·斯塔龍
Anna Narel,安娜·纳雷尔
Paweł Dawidowicz,帕維爾·達維多維茨
Zdzisław Sosnowski,茲齊斯拉夫·索斯諾夫斯基
Anna Próchniak,安娜·普羅奇尼亞克
Zofia Wichłacz,索非娅·维赫瓦奇
Krystian Bielik,克莱斯蒂安·别利克
Anna Smołowik,安娜·斯莫沃维克
Natalia Starr,娜塔莉亞·斯塔爾
Helena Dunicz-Niwińska,赫莉娜·杜尼兹-尼文斯卡
Zuzanna Grabowska,苏珊娜·格拉博夫斯卡
Karol Gruszecki,卡羅爾·格魯茨基
Stefan Pawłowski,斯特凡·帕沃夫斯基
Józef Pawłowski,乔瑟夫·帕夫洛夫斯基
Anna Plichta,安娜·珀莉絲塔
Zygmunt Karpiński,特罗和斯基
Katarzyna Niewiadoma,卡塔芝娜·涅维亚多玛
Sandra Kubicka,桑德拉·库比奇卡
Leon Pomirowski,莱昂·波米罗夫斯基
Paweł Jaroszyński,帕維爾·雅羅辛斯基
Bartosz Kapustka,巴爾托什·卡佩斯卡
Mateusz Grzesiak,马特乌什·格热西亚克
Paulina Sykut-Jeżyna,宝琳娜·塞库特-杰日娜
Jan Grabowski,杨·格拉博夫斯基
Magdalena Witek,马格达莱纳·维特克
Krzysztof Chorzelski,克里斯多夫·赫雪勒斯基
Paweł Pietryja,帕维尔·皮特里亚
Janina Zielińska,雅尼娜杰琳斯卡
Natalia Safran,娜塔莉亚·姗福瑞
Mateusz Wieteska,马特乌什·维特斯卡
Olga Kalicka,奧爾嘉·卡利茨卡
Wanda Zeman,万达·泽曼
Miłosz Bochat,米洛什·博哈特
Bartłomiej Drągowski,巴特羅密·德拉哥夫斯基
Beata Fido,贝娅塔·菲多
Mirosław Okniński,米罗斯拉夫·奥克宁斯基
Kamila Lićwinko,卡米拉·利奇温科
Babatunde Aiyegbusi,达巴·卡托
Karol Świderski,卡羅爾·斯維耶斯基
Teresa Prekerowa,特蕾莎·普列克罗娃
Jerzy Duszyński,耶日·杜辛斯基
Agata Trzebuchowska,阿伽塔·特泽布霍夫斯卡
Andrzej Zglejszewski,安德肋·喬治·茲格萊伊謝夫斯基
Beata Moskal-Słaniewska,Beata Moskal-Słaniewska
Katarzyna Kawa,卡塔芝娜·卡瓦
Łukasz Słonina,武卡什·斯沃尼纳
Bartosz Frankowski,巴爾托斯·弗蘭科夫斯基
Cleo,克萊奧
Artur Urbański,阿尔图尔·若班斯基
Andrzej Tkacz,安德烈·特卡兹
Piotr Stramowski,皮特·斯特拉莫夫斯基
Felicjan Sypniewski,斯賓尼維斯基
Aleksander Śliwka,亚历山大·希利夫卡
Igor Miecik,伊戈爾·梅奇克
Jonasz Stelmaszyk,喬納斯·施戴爾馬什克
Ludomir Skórewicz,卢多米尔·斯库热维奇
Bartosz Bednorz,巴尔托什·贝德诺尔兹
Adam Buksa,亞當·布克薩
Jarosław Kamiński,雅罗斯拉夫·卡明斯基
Adam Szyszkowski,亚当·斯兹科瓦斯基
Łukasz Żal,卢卡斯·扎尔
Barbara Nowacka,芭芭拉·諾瓦茨卡
Grzegorz Rossoliński-Liebe,格热戈日·罗索林斯基-利贝
Maria Sajdak,玛丽亚·萨伊达克
Natasha Starr,娜塔莎·斯塔爾
Magdalena Żernicka-Goetz,玛格达莱娜·泽尼克-格茨
Czesław Strumiłło,切斯瓦夫·斯特魯米洛
Aneta Wojtkowska,阿内塔·维特科夫斯卡
Maksym Spodyriew,馬克西姆·斯波迪雷維
Michał Marczak,米哈尔·马塞萨克
Piotr Turzyński,伯多祿·圖任斯基
Damian Szymański,達米安·席曼斯基
Jarosław Gonciarz,雅羅斯瓦夫·岡西亞茲
Jolanta Siwińska,约兰塔·西文斯卡
Maria Koc,玛丽亚·科克
Michał Cieślak,米切尔·西耶拉克
Waldemar Buda,瓦尔德马·布达
Jakub Kulesza,雅库布·库列萨
Jan Zieliński,扬·泽林斯基
Marcin Przybyłowicz,马尔钦·普日贝沃维奇
Michał Cieślak,米切尔·西耶拉克
Maciej Dąbrowski,马切伊·达布罗夫斯基
Hubert Hurkacz,休伯特·胡尔卡奇
Maciej Poulakowski,马切伊·保拉科夫斯基
Jerzy Karasiński,耶日·卡拉辛斯基
Mateusz Dubowski,马特乌什·杜博夫斯基
Łukasz Sekulski,卢卡斯·塞库尔斯基
Janusz Mastalski,若望·馬斯塔爾斯基
Jan Świtkowski,揚·斯威特科夫斯基
Władysław Wojtasik,瓦迪斯瓦夫·沃伊塔西克
Helena Sujecka,海伦娜·苏耶茨卡
Krzysztof Franieczek,克日什托夫·弗兰涅切克
Piotr Rosołowski,皮特·罗索洛夫斯基
Jarosław Niezgoda,雅羅斯拉夫·涅哥達
Aleksandra Staszko,亚历山德拉·斯塔斯科
Michał Haratyk,米哈乌·哈拉蒂克
Rafał Kurzawa,拉法爾·庫爾薩瓦
Mateusz Kus,马特乌什·库斯
Jadwiga Emilewicz,雅德维加·埃米莱维奇
Kajetan Duszyński,卡耶坦·杜申斯基
Michał Ginter,米哈乌·斯坦尼斯瓦夫·金特尔
Maria Andrejczyk,瑪麗亞·安德雷奇克
Arkadiusz Michalski,阿尔卡迪乌什·米哈尔斯基
Agnieszka Smoczyńska,阿格涅什卡·斯莫琴斯卡
Elżbieta Kurkowska,埃尔兹贝塔·库尔科夫斯卡
Przemysław Sadura,Przemysław Sadura
Robert Winnicki,罗伯特·温尼克
Erika Karkuszewska,艾麗嘉·考奇茲朱思
Maciek Szczerbowski,马克西恩·泽尔波基斯
Michał Grobelny,米哈尔·格罗贝尔尼
Tomasz Fornal,托马什·福纳尔
Lech Borowiec,Lech Borowiec
Arkadiusz Reca,阿尔卡迪乌什·雷卡
Jarosław Jach,雅羅斯拉夫·雅赫
Cyryl Kozaczewski,高則叡
Łukasz Kaczmarek,武卡什·卡奇马雷克
Mateusz Bieniek,马特乌什·比涅克
Marek Chrzanowski,赫札諾夫斯基
Radzimir Dębski,拉齐米尔·登布斯基
Jolanta Czaplińska,约兰达·乔兹洛斯瓦
Michalina Olszańska,米卡丽娜·欧赞思佳
Ilona Stawińska,伊洛娜·斯塔文斯卡
Justyna Wasilewska,贾斯蒂娜·瓦西勒斯加
Graza,格拉萨
Andrzej Buras,安杰伊·布拉斯
Jerzy Zajadło,耶日·扎贾杜
Przemysław Krompiec,普熱梅斯瓦夫·克羅姆貝克
Łukasz Piebiak,皮耶比亞克
Przemysław Czarnek,普热梅斯瓦夫·恰尔内克
Mateusz Rudyk,马特乌什·鲁德克
Szymon Sajnok,希蒙·萨伊诺克
Grzegorz Hedwig,格里高茲·海德維格
Łukasz Gierak,武卡什·盖拉克
Julia Przyłębska,朱莉娅·普兹列布斯卡
Małgorzata Kozaczuk,馬烏戈熱塔·科扎丘克
Jacek Góralski,亞采克·戈拉爾斯基
Wojciech Zaremba,沃伊切赫·薩倫巴
Katarzyna Jurkowska-Kowalska,卡塔知娜·尤科斯卡-克瓦爾斯卡
Oskar Zawada,奥斯卡·扎瓦达
Krzysztof Szpetmański,克日什托夫·斯佩特曼斯基
Hanna Żudziewicz,汉娜·苏德兹维奇
Wojciech Wojdak,沃伊切赫·亞采克·沃伊達克
Dawid Celt,戴维德·凯尔特
Paweł Prądziński,帕维尔·帕拉津斯基
Martyna Łukasik,马蒂娜·武卡西克
Mateusz Dopieralski,马特乌什·道普莱亚斯基
Matty Cash,馬迪·卡殊
Jan Rudziński,扬·鲁津斯基
Sebastian Szymański,塞巴斯蒂安·希曼斯基
Marta Mazurek,玛尔塔·马祖雷克
Kasia Moś,卡西亞·莫希
