Россия,ロシア
Шумшу,占守島
Корякская Сопка,コリャークスカヤ山
Сибирская АЭС,シビルスカヤ原子力発電所
Московский международный кинофестиваль,モスクワ国際映画祭
Успенский собор (Московский Кремль),生神女就寝大聖堂・(モスクワ)
Чулымцы,チュリム人
Урал (волейбольный клуб),ウラル・ウファ
Солнечное затмение 6 января 2019 года,2019年1月6日の日食
Крым (автодорога),ロシア連邦道路M2
Полесск,ポレッスク
Читинская область,チタ州
Эхо Москвы,モスクワのこだま
Байкальский заповедник,バイカル自然保護区
Ясная Поляна,ヤースナヤ・ポリャーナ
Екатеринбургский метрополитен,エカテリンブルク地下鉄
Выборы в Государственную думу (2007),2007年ロシア下院選挙
Российский университет дружбы народов,パトリス・ルムンバ名称民族友好大学
Северная верфь,セヴェルナヤ造船所
Остров Рудольфа,ルドルフ島
Сигнальный (остров),貝殻島
Рудная Пристань,ルドナヤプリスタニ
Цаган-Хаг,ツァガンハグ湖
Административно-территориальное деление Кабардино-Балкарии,カバルダ・バルカル共和国の行政区画
Московский Художественный театр,モスクワ芸術座
Верхняя Ангара,上アンガラ川
Порхов,ポルホフ
Почеп,ポーチェプ
Ростов (футбольный клуб),FCロストフ
Полярный,ポリャールヌイ
Сургут,スルグト
Поронайск,ポロナイスク
Починок (город),ポチノク
Пошехонье (город),ポシェホニエ
Известия,イズベスチヤ
Капустин Яр,カプースチン・ヤール
Московский вокзал (Нижний Новгород),モスコフスキー駅・(ニジニ・ノヴゴロド)
"ЦСКА (хоккейный клуб, Москва)",HC・CSKAモスクワ
Халха-монголы,ハルハ
Московское время,モスクワ時間
Московский международный фестиваль мира,モスクワ・ミュージック・ピース・フェスティバル
Хальмер-Ю,ハルミェール＝ユー
Горки Ленинские,ゴールキ・レーニンスキエ
Тымовское,ティモフスコエ
Мир — Шаттл,シャトル・ミール計画
Административно-территориальное деление Еврейской автономной области,ユダヤ自治州の行政区画
Чемпионат мира по лёгкой атлетике 2013,2013年世界陸上競技選手権大会
Правдинск,プラヴジンスク
Третьяковская галерея,トレチャコフ美術館
Битва на реке Сити,シチ川の戦い
Чусовая,チュソヴァヤ川
Председатель Правительства Российской Федерации,ロシアの首相
Чемпионат России по хоккею с шайбой,ロシア・スーパーリーグ
Дом правительства Российской Федерации,ベールイ・ドーム
Европейский маршрут E20,E20号線
Озерновский,オジョールナヤ基地
ЭР200,ソ連運輸省ER200形電車
Сокольники (Новомосковск),ソコーリニキ・(トゥーラ州)
Город федерального значения,ロシアの連邦市
Автономный округ (Россия),ロシアの自治管区
Прокопьевск,プロコピエフスク
