Marea Neagră,黑海
Dudeștii Noi,杜代什蒂諾伊鄉
Dumbrăvița,敦布勒維察鄉
Fibiș,菲比什鄉
Cârlibaba,克爾利巴巴鄉
Vârciorog,沃爾喬羅格鄉
Burla,布爾拉鄉
Calafindești,卡拉芬代什蒂鄉
Capu Câmpului,卡普肯普盧伊鄉
Ciocănești,丘克內什蒂鄉
Tulca,圖爾卡鄉
Cociuba Mare,大科丘巴鄉
Sârbi,瑟爾比鄉
Toboliu,托博利烏鄉
Voineasa,沃伊內亞薩鄉
Răsmirești,勒斯米雷什蒂鄉
Săceni,瑟切尼鄉
Scrioaștea,斯克里瓦什泰亞鄉
Segarcea-Vale,塞加爾恰-瓦萊鄉
Săliștea,瑟利什泰亞鄉
Șirineasa,希里內亞薩鄉
Șușani,舒沙尼鄉
Tetoiu,泰托尤鄉
Tomșani,托姆沙尼鄉
Ohaba,奧哈巴鄉
Poiana Vadului,波亞納瓦杜盧伊鄉
Ponor,波諾爾鄉
Victor Vlad Delamarina,維多利亞弗拉德代拉馬里納鄉
Daia Română,達亞羅馬訥鄉
Zătreni,澤特雷尼鄉
Bălești,伯萊什蒂鄉
Gologanu,戈洛加努鄉
Răstoaca,勒斯托阿卡鄉
Mașloc,馬什洛克鄉
Orțișoara,奧爾齊什瓦拉鄉
Pădureni,珀杜雷尼鄉
Racovița,拉科維察鄉
Trivalea-Moșteni,特里瓦萊亞-莫什泰尼鄉
Ciuruleasa,丘魯萊亞薩鄉
Crăciunelu de Jos,下克勒丘萊盧鄉
Cut,庫特鄉
Cherechiu,凱雷基烏鄉
Măldăeni,默爾德埃尼鄉
Țigănești,齊格內什蒂鄉
Daia,達亞鄉
Dângeni,登傑尼鄉
"Comuna Drânceni, Vaslui",德倫切尼鄉
Mileanca,米良卡鄉
Slătioara,斯勒蒂瓦拉鄉
Crețeni,克雷采尼鄉
Ghioroiu,吉奧羅尤鄉
Pesceana,佩斯恰納鄉
Pietrari,彼得拉里鄉
Aita Mare,大艾塔鄉
Caraula,卡拉烏拉鄉
Gighera,吉蓋拉鄉
Țuglui,楚格盧伊鄉
Divizia 2 Infanterie „GETICA”,第2步兵師「蓋提卡」
Șendriceni,申德里切尼鄉
Dognecea,多格內恰鄉
Zăvoi,澤沃伊鄉
Șpring,什普林鄉
Șugag,舒加格鄉
Unirea,烏尼雷亞鄉
Valea Lungă,長谷鄉
Mirăslău,米勒斯勒烏鄉
Mogoș,莫戈什鄉
Noșlac,諾什拉克鄉
Căzănești,克澤內什蒂鄉
Pădureni,珀杜雷尼鄉
Ocoliș,奧科利什鄉
Vidra,维德拉乡
Vințu de Jos,下溫楚鄉
Apateu,阿帕泰烏鄉
Nămoloasa,納莫羅阿薩
Oancea,萬恰鄉
Coroiești,科羅耶什蒂鄉
Delești,代萊什蒂鄉
Dumești,杜梅什蒂鄉
Gherghești,蓋爾蓋什蒂鄉
Grivița,格里維察鄉
Sântimbru,聖廷布魯鄉
Sohodol,索霍多爾鄉
Stremț,斯特雷姆茨鄉
Ighiu,伊吉烏鄉
Întregalde,恩特雷加爾代鄉
Jidvei,日德韋鄉
Oltenești,奧爾泰尼什蒂鄉
Pogonești,波戈內什蒂鄉
Puiești,普耶什蒂鄉
Pungești,蓬傑什蒂鄉
Dâmbovicioara,登博維奇瓦拉鄉
Vladimirescu,弗拉迪米雷斯庫鄉
Băbana,伯巴納鄉
Bârla,伯爾拉鄉
Căteasca,克泰亞斯卡鄉
Husasău de Tinca,胡薩瑟烏德廷卡鄉
Ineu,伊內烏鄉
Lăzăreni,勒澤雷尼鄉
Lunca,倫卡鄉
Livezile,利韋濟萊鄉
Săsciori,瑟斯喬里鄉
Scărișoara,斯克里什瓦拉鄉
Sâncel,聖切爾鄉
Bucerdea Grânoasă,布切爾迪亞格勒諾阿瑟鄉
Tarcea,塔爾恰鄉
Tărcaia,特爾卡亞鄉
Tăuteu,特烏泰烏鄉
Tileagd,蒂萊亞格德鄉
Gârbova,格爾博瓦鄉
Doștat,多什塔特鄉
Fărău,弗勒烏鄉
Galda de Jos,下加爾達鄉
Nojorid,諾若里德鄉
Olcea,奧爾恰鄉
Pietroasa,彼得羅阿薩鄉
Pocola,波科拉鄉
Sălacea,瑟拉恰鄉
Sălard,瑟拉爾德鄉
Sâmbăta,森伯塔鄉
Suplacu de Barcău,巴爾克烏河畔蘇普拉庫鄉
Lopadea Nouă,新洛帕迪亞鄉
Meteș,梅泰什鄉
Mihalț,米哈爾茨鄉
Criștioru de Jos,下克里什蒂奧魯鄉
Derna,代爾納鄉
Diosig,迪奧西格鄉
Holod,霍洛德鄉
Săcădat,瑟克達特鄉
Pomezeu,波梅澤烏鄉
Răbăgani,勒伯加尼鄉
Remetea,雷梅泰亞鄉
Rieni,列尼鄉
Știubieni,什蒂烏別尼鄉
Tazlău,塔茲勒烏鄉
Creaca,克雷亞卡鄉
Hereclean,海雷克良鄉
Iacobeni,雅各貝尼鄉
Laloșu,拉洛舒鄉
Hilișeu-Horia,希利謝烏-霍里亞鄉
Mitoc,米托克鄉
Nicșeni,尼克謝尼鄉
Păltiniș,珀爾蒂尼什鄉
Gioseni,吉奧塞尼鄉
Balc,巴爾克鄉
Ciumeghiu,丘梅吉烏鄉
Copăcel,科珀切爾鄉
Ilva Mică,小伊爾瓦鄉
Merișani,梅里沙尼鄉
Oarja,瓦里亞鄉
Poiana Lacului,波亞納拉庫盧伊
Rătești,勒泰什蒂鄉
Rimetea,里梅泰亞鄉
Mădăras,默德拉斯鄉
Sânnicolau Român,聖尼古拉羅門鄉
Fârliug,弗爾柳格鄉
Glimboca,格林博卡鄉
Lăpușnicu Mare,大勒普什尼庫鄉
Măureni,默烏雷尼鄉
Țigănași,齊格納希鄉
Ipotești,伊波泰什蒂鄉
Șimian,希米安鄉
Nicolae Titulescu,尼古拉蒂圖萊斯庫鄉
Benesat,貝內薩特鄉
Chieșd,基耶什德鄉
Tinca,廷卡鄉
Coșbuc,科什布克鄉
Poiana Ilvei,波亞納伊爾韋伊鄉
Rebra,雷布拉鄉
Stâlpu,斯特爾普鄉
Trușești,特魯謝什蒂鄉
Vlădeni,弗勒代尼鄉
Budila,布迪拉鄉
Glodeanu-Siliștea,格洛代亞努-錫利什泰亞鄉
Inundațiile din Europa de Sud-est,2014年欧洲东南部洪灾
Universitatea Craiova,克拉約瓦大學足球俱樂部
Sinagoga Mare din Constanța,大猶太會堂 (康斯坦察)
Institutul de Fizică Atomică,羅馬尼亞原子物理研究所
Șopotu Nou,新紹波圖鄉
Coșula,科舒拉鄉
Cristești,克里斯泰什蒂鄉
Cristinești,克里斯蒂內什蒂鄉
Durnești,杜爾內什蒂鄉
Căscioarele,克斯喬阿雷萊鄉
Chirnogi,基爾諾吉鄉
Chiselet,基塞萊特鄉
Ciocănești,喬克內什蒂
Crivăț,克里沃茨
Mehadia,梅哈迪亞鄉
Prigor,普里戈爾鄉
Sichevița,錫凱維察鄉
Strada Iuliu Maniu,尤利乌·马纽街
Izvoarele,伊茲瓦雷萊鄉
Rucăr,魯克爾鄉
Stoenești,斯托埃內什蒂鄉
Suseni,蘇塞尼鄉
Ungheni,溫蓋尼鄉
Marghita,马尔吉塔
Ciudanovița,丘達諾維察鄉
Cornea,科爾內亞鄉
Cornereva,科爾內雷瓦鄉
Coronini,科羅尼尼鄉
CFR Marfă,罗马尼亚铁路货运
Runcu Salvei,倫庫薩爾韋伊鄉
Salva,薩爾瓦鄉
Broscăuți,布羅斯克烏齊鄉
Corlăteni,科爾勒泰尼鄉
Corni,科爾尼鄉
Ulmeni,烏爾梅尼鄉
Apahida,阿帕希达
Lemnia,萊姆尼亞鄉
Micfalău,米克法勒烏鄉
Ozun,奧尊鄉
Ticvaniu Mare,大蒂克瓦紐鄉
Văliug,沃利烏格鄉
Vermeș,韋爾梅什鄉
Vrani,弗拉尼鄉
Feleacu,费莱阿库山
Barcani,巴爾卡尼鄉
Fundeni,豐代尼鄉
Gălbinași,格爾比納希鄉
Ileana,伊萊亞納鄉
Ștefan cel Mare,斯特凡大帝 (克勒拉希)
Ștefan Vodă,斯特凡大公鄉
Muzeul Olteniei,奥尔泰尼亚博物馆
Surani,蘇拉尼鄉
oraș,罗马尼亚的镇
Comandău,科曼德烏鄉
Dobârlău,多伯爾勒烏鄉
Estelnic,埃斯泰尼克鄉
Hăghig,赫吉格鄉
Murgași,穆爾加希鄉
Negoi,內戈伊鄉
Piscu Vechi,舊皮斯庫鄉
Poiana Mare,大波亞納鄉
Slobozia Moară,斯洛博齊亞莫阿勒鄉
Botoșești-Paia,博托謝什蒂-帕亞鄉
Braloștița,布拉洛什蒂察鄉
Breasta,布雷亞斯塔鄉
Poian,波揚鄉
Sânzieni,聖濟耶尼鄉
Turia,圖里亞鄉
Valea Mare,大谷鄉
Pogromul de la București,布加勒斯特大屠殺
Muzeul de Artă din Craiova,康斯坦丁·米哈伊尔宫
Moțăței,莫策采伊鄉
Lipovu,利波武鄉
Maglavit,馬格拉維特鄉
Melinești,梅利內什蒂鄉
Mischii,米斯基鄉
Daneți,達內茨鄉
Calopăr,卡洛珀爾鄉
Castranova,卡斯特拉諾瓦鄉
Catane,卡塔內鄉
Cerăt,切勒特鄉
Bilbor,比爾博爾鄉
Ciceu,奇切烏鄉
Ciucsângeorgiu,丘克聖喬治烏鄉
Corund,科倫德鄉
Rast,拉斯特鄉
Seaca de Câmp,塞亞卡德肯普鄉
Secu,塞庫鄉
Sopot,索波特鄉
Șimnicu de Sus,上希姆尼庫鄉
Leu,萊烏鄉
Ghercești,蓋爾切什蒂鄉
Ghidici,吉迪齊鄉
Gângiova,根吉奧瓦鄉
Goicea,戈伊恰鄉
Ocnița,奧克尼察鄉
Zagon,扎貢鄉
Zăbala,澤巴拉鄉
Cojasca,科亞斯卡鄉
Conțești,孔采什蒂鄉
Peștișani,佩什蒂沙尼鄉
Fărcășești,弗爾克謝什蒂鄉
Godinești,戈迪內什蒂鄉
Lelești,萊萊什蒂鄉
Negomir,內戈米爾鄉
Catalina,卡塔利納鄉
Naționalism românesc,罗马尼亚民族主义
Belin,貝林鄉
Bixad,比克薩德鄉
Brăduț,布勒杜茨鄉
Campionatul European de Baschet Masculin din 2017,2017年歐洲籃球錦標賽
Daciada,达契亚运动会
Vârvoru de Jos,下沃爾沃魯鄉
Terpezița,泰爾佩濟察鄉
Teslui,泰斯盧伊鄉
Valea Stanciului,斯坦丘盧伊鄉
Vârtop,沃爾托普鄉
Văgiulești,沃久萊什蒂鄉
Roșia de Amaradia,羅希亞德阿馬拉迪亞鄉
Runcu,倫庫鄉
Samarinești,薩馬里內什蒂鄉
Urdari,烏爾達里鄉
Gheorghe Lazăr,格奧爾基拉澤爾鄉
Giurgeni,久爾傑尼鄉
Grindu,格林杜鄉
Jilavele,日拉韋萊鄉
Voșlăbeni,沃什勒貝尼鄉
Cozmeni,科茲梅尼鄉
Mugeni,穆傑尼鄉
Secuieni,塞庫耶尼鄉
Sânsimion,聖西米翁鄉
Ariniș,阿里尼什鄉
Țibănești,齊伯內什蒂鄉
Copăceni,科珀切尼鄉
Dascălu,達斯克盧鄉
Dărăști-Ilfov,德勒什蒂-伊爾福夫鄉
Bălăcița,伯勒西察鄉
Bâcleș,伯克萊什鄉
Bâlvănești,伯爾沃內什蒂鄉
Butoiești,布托耶什蒂鄉
Devesel,代韋塞爾鄉
Cocora,科科拉鄉
Colelia,科萊利亞鄉
Dridu,德里杜鄉
Făcăeni,弗克埃尼鄉
Gheorghe Doja,蓋奧爾蓋多亞鄉
Alexeni,亞歷克塞尼鄉
Armășești,阿爾默謝什蒂鄉
Bărbulești,伯爾布勒什蒂鄉
Bucu,布庫鄉
Participarea României la Campionatul Mondial de Fotbal,世界杯足球赛罗马尼亚队
Bocicoiu Mare,大博西科尤鄉
Cicârlău,錫克爾勒烏鄉
Mireșu Mare,大米雷舒鄉
Oarța de Jos,下瓦爾察鄉
Schela,斯凱拉鄉
Iepurești,耶普雷什蒂鄉
Bărbătești,伯爾伯泰什蒂鄉
Ciuperceni,丘佩爾切尼鄉
Maia,馬亞鄉
Manasia,馬納西亞鄉
Miloșești,米洛謝什蒂鄉
Moldoveni,摩爾多韋尼鄉
Penitenciarul Gherla,盖尔拉监狱
CFR Clasa EA,罗马尼亚铁路060 EA型电力机车
Școala Japoneză din București,布加勒斯特日本人学校
Eparhia Sfântul Vasile cel Mare de București,希臘禮天主教布加勒斯特教區
Morunglav,莫倫格拉夫鄉
Pârșcoveni,珀爾什科韋尼鄉
Perieți,佩列齊鄉
Poboru,波博魯鄉
listă de țări în care româna este limbă oficială,羅馬尼亞語國家和地區列表
Târgu Cucului,特古库库
Catedrala „Coborârea Sfântului Spirit” din Lugoj,聖神降臨主教座堂
Isverna,伊斯韋爾納鄉
Dobrovăț,多布羅沃茨鄉
Dârvari,德爾瓦里鄉
Eșelnița,埃謝爾尼察鄉
Gogoșu,戈戈舒鄉
Greci,格雷奇鄉
Movila,莫維拉鄉
Ograda,奧格拉達鄉
Roșiori,羅肖里鄉
Vlădeni,弗勒代尼鄉
Revolta de la Pungești,2012-2014年羅馬尼亞的頁岩氣抗議活動
FC Fortuna Poiana Câmpina,波亞納布拉坎皮納足球俱樂部
1989 în România,1989年罗马尼亚
1990 în România,1990年羅馬尼亞
1991 în România,1991年羅馬尼亞
1999 în România,1999年羅馬尼亞
Aluniș,阿盧尼什鄉
Șerbănești,謝爾伯內什蒂鄉
Văleni,沃萊尼鄉
Radomirești,拉多米雷什蒂鄉
Redea,雷代亞鄉
Schitu,斯基圖鄉
Slătioara,斯勒蒂瓦拉鄉
România la Jocurile Olimpice de vară din 2016,2016年夏季奧林匹克運動會羅馬尼亞代表團
Grupul de la Craiova,克拉约瓦集团
Fălcoiu,弗爾科尤鄉
Găvănești,格沃內什蒂鄉
Giuvărăști,久沃勒什蒂鄉
Icoana,伊夸納鄉
Izvoarele,伊茲瓦雷萊鄉
Svinița,斯維尼察鄉
deputat al României,罗马尼亚众议员
Izvoru Bârzii,伊茲沃魯伯爾濟鄉
Livezile,利韋濟萊鄉
Prunișor,普魯尼紹爾鄉
Rogova,羅戈瓦鄉
Ministerul Afacerilor Externe,外交部長
Cetatea Alba Carolina,阿爾巴卡羅琳娜城堡
Frontul Național Democrat,罗马尼亚人民民主阵线
senator al României,罗马尼亚参议员
Glodeni,格洛代尼鄉
Râciu,勒丘鄉
Zănești,澤內什蒂鄉
Baldovinești,巴爾多維內什蒂鄉
Bălteni,伯爾泰尼鄉
Lespezi,萊斯佩濟鄉
Moșna,莫什納鄉
Șcheia,什凱亞鄉
Șipote,希波泰鄉
Alegeri pentru Parlamentul European în România,詳情
prim-ministru al României,罗马尼亚总理
Carastelec,卡拉斯泰萊克鄉
Cizer,錫澤爾鄉
Șopârlița,紹珀爾利察鄉
Tătulești,特圖萊什蒂鄉
Teslui,泰斯盧伊鄉
Tia Mare,大蒂亞鄉
Relațiile dintre România și Albania,阿爾巴尼亞－羅馬尼亞關係
Ariceștii Rahtivani,阿里切什蒂拉赫蒂瓦尼鄉
Ariceștii Zeletin,阿里切什蒂澤萊廷鄉
Balta Doamnei,巴爾塔多阿姆內鄉
Izvoarele,伊茲瓦雷萊鄉
Bălan,伯蘭鄉
Beltiug,貝爾蒂烏格鄉
Supur,蘇普爾鄉
Agrij,阿格里伊鄉
Băbeni,伯貝尼鄉
Șovarna,紹瓦爾納鄉
Vânători,沃訥托里鄉
Vrata,弗拉塔鄉
Acățari,阿克察里鄉
Bobota,博博塔鄉
Bocșa,博克沙鄉
Buciumi,布丘米鄉
România la Jocurile Olimpice de iarnă din 2018,2018年冬季奥林匹克运动会罗马尼亚代表团
Moldova,摩尔达维亚
Dobroteasa,多布羅泰亞薩鄉
Brastavățu,布拉斯塔沃楚鄉
Brebeni,布雷貝尼鄉
Dăneasa,德內亞薩鄉
Dobrosloveni,多布羅斯洛韋尼鄉
Partidul Puterii Umaniste,人文主义力量党（社会-自由派）
2017 în România,2017年羅馬尼亞
FC Hermannstadt,赫曼施塔特足球俱樂部
CS Șoimii Pâncota,潘克塔足球會
FC Voluntari,沃倫塔里足球俱樂部
doctor inginer,工学博士
2015 în România,2015年羅馬尼亞
Partidul Democrației Sociale din România,罗马尼亚社会民主党
CSU Phoenix Galați,加拉茨鳳凰籃球隊
incendiul din clubul Colectiv,2015年布加勒斯特夜總會爆炸事故
ministru al educației,罗马尼亚教育部长
1994 în România,1994年羅馬尼亞
1996 în România,1996年羅馬尼亞
2000 în România,2000年羅馬尼亞
2002 în România,2002年羅馬尼亞
2010 în România,2010年羅馬尼亞
2006 în România,2006年羅馬尼亞
1998 în România,1998年羅馬尼亞
ministru al finanțelor,罗马尼亚财政部长
ambasada Republicii Slovenia în România,斯洛文尼亚驻罗马尼亚大使馆
1992 în România,1992年羅馬尼亞
Partidul Alianța Liberalilor și Democraților,自由與民主聯盟黨 (羅馬尼亞)
Guvernul Dacian Cioloș,喬洛什內閣
ministru al Afacerilor Externe,罗马尼亚外交部长
ministru al apărării naționale,罗马尼亚国防部长
Ministru al Afacerilor Interne,罗马尼亚内政部长
2008 în România,2008年羅馬尼亞
Florin Roman,弗洛林·罗曼
Relațiile româno-taiwaneze,中華民國與羅馬尼亞關係
Autostrada A7,普洛耶什蒂-阿爾比察高速公路
Premiul Enescu,埃內斯庫獎
"alegeri parlamentare în România, 2020",2020年羅馬尼亞議會選舉
Protestele din România din 2017-2018,2017年羅馬尼亞抗議
Uniunea Salvați România,拯救羅馬尼亞聯盟
2016 în România,2016年羅馬尼亞
Cutremurul din 2014 (România),2014年弗朗恰地震
"alegeri prezidențiale în România, 2019",2019年羅馬尼亞總統選舉
România la Jocurile Olimpice de vară din 2020,2020年夏季奥林匹克运动会罗马尼亚代表团
Partidul PRO România,亲罗马尼亚
Global Records,全球唱片
Bulevardul Aviatorilor,阿韦亚托里洛尔大道
podul peste Dunăre de la Brăila,布勒伊拉大桥
gara Baia Mare,巴亞馬雷車站
România la Jocurile Olimpice de iarnă din 2022,2022年冬季奥林匹克运动会罗马尼亚代表团
2018 în România,2018年羅馬尼亞
USR PLUS,拯救罗马尼亚联盟党-自由统一和团结党联盟
1945 în România,1945年羅馬尼亞
2007 în România,2007年羅馬尼亞
Familia Regală Română,罗马尼亚王室
"Alegeri pentru Parlamentul European în România, 2019",2019年歐洲議會選舉
gara Constanța,康斯坦察車站
Cluj Napoca,克盧日-納波卡車站
Stadionul Steaua,布加勒斯特星體育場
"Partidul Libertății, Unității și Solidarității",自由、統一和團結黨
drumul european E85 în România,欧洲E85公路罗马尼亚段
deputat în Marea Adunare Națională,罗马尼亚大国民议会议员
"Ministerul Muncii, Solidarităţii Sociale şi Familiei",勞工、社會團結和家庭部長
2019 în România,2019年羅馬尼亞
primar al orașului Mioveni,苗韦尼市市长
Pandemia de coronaviroză (COVID-19) în Europa,2019冠状病毒病欧洲疫情
pandemia de coronaviroză (COVID-19) în România,2019冠狀病毒病羅馬尼亞疫情
ministru al educației și învățământului,罗马尼亚教育部长
ambasador al României în Finlanda,Category:罗马尼亚驻芬兰大使
2020 în România,2020年羅馬尼亞
primar al orașului Voluntari,沃伦塔里市长
primar al orașului Râșnov,勒什诺夫市长
Telekom Romania,罗马尼亚电信
"Alegeri pentru Parlamentul European, 2024",2024年歐洲議會選舉
Alianța pentru Unirea Românilor,罗马尼亚人团结联盟
Formatul București,布加勒斯特9国
"Alegeri locale în România, 2020",2020年罗马尼亚地方选举
pandemia de coronaviroză COVID-19,2019冠狀病毒病疫情
Metroul din Cluj,克卢日-纳波卡地铁
Campionatul European de Volei Feminin din 2021,2021年歐洲女子排球錦標賽
"Ambasada Chinei, București",中华人民共和国驻罗马尼亚大使馆
1993 în România,1993年羅馬尼亞
1995 în România,1995年羅馬尼亞
1997 în România,1997年羅馬尼亞
2001 în România,2001年罗马尼亚
Stadionul Rapid-Giulești,Superbet體育館
Guvernul Ludovic Orban,第一次奧爾班內閣
viceprim-ministru al României,罗马尼亚副总理
primar,罗马尼亚市长
români,罗马尼亚人
parc national,羅馬尼亞國家公園
Iași Open,雅西公开赛
Rapid București,布加勒斯特迅猛竞技俱乐部
Inundațiile din iulie 2021 din Europa,2021年歐洲洪災
Winners Open 2021,胜利者公开赛
SR Brașov,SR布拉索夫
Teatrul Maghiar de Stat din Cluj,克盧日匈牙利劇院
Monarhul României,羅馬尼亞君主
șef de stat al României,羅馬尼亞國家元首
Euronews România,欧洲新闻台罗马尼亚语频道
Partidul Alternativa Dreaptă,正確選擇
Guvernul Nicolae Ciucă,丘卡內閣
Volt România,Volt羅馬尼亞
"Criza politică din România, 2021",2021年羅馬尼亞政治危機
2023 în România,2023年羅馬尼亞
Guvernul Marcel Ciolacu,乔拉库内阁
Teatrul Național „Ion Luca Caragiale”,布加勒斯特國家劇院
2022 în România,2022年羅馬尼亞
Transylvania Open 2023,2023年特兰西瓦尼亚公开赛
Topuri muzicale românești,罗马尼亚百强单曲榜
Forța Dreptei,权力力量
Transylvania Open,特兰西瓦尼亚公开赛
2003 în România,2003年羅馬尼亞
Transylvania Open 2024,2024年特兰西瓦尼亚网球公开赛
Campionatul European de Fotbal Sub-21 2023,2023年欧足联U-21锦标赛
2021 în România,2021年羅馬尼亞
Guvernul Florin Cîțu,克楚內閣
