François Hollande,프랑수아 올랑드
"Jean Petit (football, 1949)",장 프티
Arnaud Ducret,아르노 뒤크레
Aymeline Valade,에믈린 발라드
Josuha Guilavogui,조쉬아 길라보기
Thievy Bifouma,티에비 비푸마
Arsène Heitz,아르센 하이츠
Berthe Sylva,베르트 실바
Benjamin Mendy,뱅자맹 멘디
Jean Decoux,장 드쿠
Audrey Bastien,오드리 바스티앙
Audrey Diwan,오드리 디완
Guy Savoy,기 사부아
Marie-Louise de France,프랑스의 마리 루이즈
Arthur Dupont (acteur),아르튀르 뒤퐁
Benjamin Toniutti,뱅자맹 토니위티
Audrey Marnay,오드레 마르네
Audrey Giacomini,오드리 자코미니
Blanche Gardin,블랑슈 가르댕
Blandine Bellavoir,블랑딘 벨라부아르
Blanchette Brunoy,블랑셰 브르누아
Ary Abittan,아리 아비탕
Assaâd Bouab,아사드 보우압
Paul Géraldy,폴 제랄디
Barbara Cabrita,바바라 카브리타
Barbara Schulz,바르바라 슐츠
Bernard Blancan,베르나르 블랑칸
Elisa Lynch,엘리사 린치
Alexandre Sterling,알렉상드르 스테를링
Jehnny Beth,제니 베스
Cabu,카뷔
Bernard Maris,베르나르 마리스
Michel Boujenah,미셸 부제나
Raoul Magrin-Vernerey,라울 마그랭베르느레
Camille Japy,카미유 자피
Charles Beigbeder,샤를 베그베데
Camille de Pazzis,카미유 드 파지
Brice Fournier,브라이스 푸르니에
Catherine Corsini,카트린 코르시니
Brontis Jodorowsky,브론티스 조도로브스키
Brigitte Sy,브리지트 시
Caroline Tillette,카롤린 틸레
Charles Ier de Montmorency,샤를 1세 드 몽모랑시 남작
Chems Dahmani,쳄즈 다마니
Catherine Wilkening,캐서린 윌케닝
Christopher Thompson,크리스토퍼 톰슨
Chloé Trespeuch,클로에 트레스푀슈
Chloé Lambert,클로에 랑베르
Catherine Ribeiro,카트린 리베이로
Chantal Lauby,샹탈 로비
Charles Lauth,샤를 로트
Charb,샤르브
Sílvia Munt,실비아 문트
Clarisse Agbégnénou,클라리스 아그베녜누
Charles Rigault de Genouilly,리고 드 주누이
Danièle Vidal,다니엘 비달
Dominique Frot,도미니크 프로
Charles Swann,샤를 스완
Claudio Beauvue,클라우디오 보뷔
Clopin Trouillefou,클로팽 트루유푸
Dominique Farrugia,도미니크 페루자
Edgar Stehli,에드가 스테리
Eddy Mitchell,에디 미첼
Darling Légitimus,다를링 레지티뮈
Déborah Grall,드보라 그랄
Clémence Bretécher,클레망스 브르테셰
Davy Sicard,다비 시카르
Earvin Ngapeth,에르뱅 은가페트
Dominique Loreau,도미니크 로로
Constantin Rozanoff,콘스탄틴 로자노프
Delphine Depardieu,델핀 드파르디외
Doria Tillier,도리아 틸리에
Dounia Coesens,두니아 코에상
Cora Vaucaire,코라 보케르
Denise Duval,드니즈 뒤발
Corentin Cariou,코랑탱 카리우
Corinne Masiero,코린 마시에로
Denis Dercourt,드니 데르쿠르
Déborah Heissler,데보라와 이슬러
Edmond van Daële,에드몽 반 다엘
Dennis Berry,데니스 베리
Walid Regragui,왈리드 레그라기
Daniel Rabel,다니엘 라벨
Fayçal Fajr,파이살 파즈르
Daniel Tilenus,다니엘 틸레누스
Didier Sandre,디디에 상드레
Esther Garrel,에스테르 가렐
Liina Brunelle,리나 브루넬레
Emmanuel Macron,에마뉘엘 마크롱
Ferry Pasté,페리 파스테
Jacques Duchesne (général),자크 뒤센
Florentin Pogba,플로렝탕 포그바
Enzo Enzo,엔조 엔조
François Civil,프랑수아 시빌
Florian Zeller,플로리앙 젤레르
Francis Lemarque,프랑시스 르마르크
François Ernest Fournier,프랑수아 에르네 푸르니에
Francis Heaulme,프랑시스 옴
Paul Guth,폴 귀트
Joachim Bouvet,조아킴 부베
Gabriel Gobin,가브리엘 고빈
Frédéric Chau,프레데리크 쇼
Georges Douking,조르주 두킹
Georges Corraface,조르주 코라파스
Frédéric Auburtin,프레데리크 오뷔르탱
"Frédéric Mendy (football, 1988)",프레데리크 멘디 (1988년)
Françoise Lepage,프랑수아즈 르파주
Georges Renavent,조르주 르나방
Marc Alexandre,마르크 알렉상드르
Émile Henriot (chimiste),에밀 앙리오트
Georges Jouvin,조르주 주뱅
Jean Gounot,장 구노
Gaston Glass,가스통 글래스
Griedge Mbock,그리주 음보크 바티
Séverine Vandenhende,세브린 반덴앵드
Guy Sorman,기 소르망
Geneviève Halévy,주느비에브 알레비
Thierry Neuvic,티에리 뇌비크
Gilles Paquet-Brenner,질 파케브레네르
Grégoire Pennes,그레구아르 펜
Laurence Ferrari,로랑스 페라리
Henri Coquand,앙리 코캉
Gustave Duchesne de Bellecourt,뒤센느 드 벨쿠르
Oliver Jackson-Cohen,올리버 잭슨코언
Henri Zuber,장 앙리 쥐베르
Henri Ducard,앙리 뒤카르
Gustave Émile Boissonade,귀스타브 에밀 보아소나드
Henry Greffulhe,앙리 그레퓔
Hélène Vincent,엘렌 뱅상
Izïa Higelin,이지아 이즐랭
Jacques Douai,자크 두에
Jacques Chastan,자크 샤스탕
Isnelle Amelin,이즐레 아멜린
Isabelle Nanty,이자벨 낭티
Jean-François Hernandez,장프랑수아 에르난데스
Jean-Baptiste Cécille,장바티스트 세실
Jean-Louis Loday,장루이 로데
Janine Sutto,제닌 슈토
Jean-Louis Scherrer,장 루이 셰레
Jean-Pierre Mader,장피에르 마데르
Jean-Antoine Marbot,장 앙투안 마르보
Jean-Charles Valladont,장샤를 발라동
Jean-Luc Reitzer,장뤽 레이제르
Jean-Pierre Saint-Ours,장-피에르 생투르
Jean-Pierre Sauvage (chimiste),장피에르 소바주
Jean-Vincent Placé,장뱅상 플라세
Jean-Pierre Dusséaux,장피에르 뒤서
Jean-Yves Tadié,장 이브 타디에
Jean-Michel Ribes,장 미셸 리브
Jean-Roger Caussimon,장로제 코시몽
Jean Claudio,진 클라우디오
Jo Prestia,조 프레스티아
Joseph Joanovici,조제프 조아노비치
Jean François Gauthier,장 프랑수아 고티에
Lætitia Sadier,레티샤 사디에
Joana Preiss,조아나 프레이스
Joan Duru,요안 두루
Jenia Grebennikov,제니아 그레베니코브
Jean Castex,장 카스텍스
Jonathan Cohen,조나단 코엔
Julia Piaton,쥘리아 피아통
Julie-Anne Roth,쥘리안 로트
Jean de Gaulle,장 드골
Joseph Lopy,조제프 로피
Julien Cétout,줄리앙 시투
Julien Courbey,줄리앙 코르비
Jean du Tillet (évêque),장 드 틸레
Jean d'Yd,장 디드
Joséphine Japy,조제핀 자피
Karine Lima,카린 리마
Karina Testa,카리나 테스타
Karine Ferri,카린 페리
Katell Quillévéré,카텔 킬레베레
Joy Esther,조이 에스더
Just de Bretenières,시몽 마리 앙투안 쥐스트 랑페르 드 브르트니에르
Julien Rassam,줄리안 라삼
Judith Henry,쥐디트 앙리
Judith Chemla,쥐디트 셰믈라
Jérémie Eloy,제레미 엘로이
Kévin Le Roux,케뱅 르 루
Kévin Tillie,케뱅 티유
Laure Calamy,로르 칼라미
Kalki Koechlin,칼키 코이클린
Laure de Chevigné,로르 드 셰비녜
Laure de Clermont-Tonnerre,로르 드 클레르몽-토네르
Laurence Arné,로랑스 아르네
Louis Florencie,루이 플로랑시
Laurent Lafitte,로랑 라피트
Kalidou Koulibaly,칼리두 쿨리발리
Laurent Giovanninelli,로랑 조바니넬리
Lola Dewaere,롤라 드웨르
Louis Ducruet,루이 듀크루엣
Laurent Petitgirard,로랑 프티지라르
Lucie Lucas,뤼시 뤼카
Louis Adolphe Bonard,루이 아돌프 보나르
Lucien Gallois,뤼시앵 갈루아
Laurent Stocker,로랑 스토케르
Louis-René des Forêts,루이르네 데 포레
Marc-Edmond Dominé,마크 에드몽 도미네
Louis Aliot,루이 알리오
Téji Savanier,테지 사바니에
Louis Pasteur Vallery-Radot,루이 파스퇴르 발레리라도
Marc Duret,마르크 뒤레
Marcel Amont,마르셀 아몽
Marcel Barbeault,마르셀 바르보
Léontine Lippmann,레옹틴 리프만
Louis Beaulieu,베르나르 루이 볼리외
Marthe Mellot,마르뜨 멜롯
Marthe Villalonga,마르트 빌랄롱가
Martin Luc Huin,마르탱 뤼크 위앵
Mallaury Nataf,말로리 나타프
Madeleine Lemaire,마들렌 르메르
Marie-Amélie Seigner,마리아멜리 세니에르
Lydie Denier,라이디 데니어
Marcel Marcilloux,마르셀 마르실루
Mati Diop,마티 디오프
Lyes Salem,리에스 살렘
Matthieu Boujenah,마티외 부제나
Marcelle Praince,마르셀 프레인세
Mathilde Comont,마틸드 코몽
Maurice Dorléac,모리스 도를레아크
Maurice Courant,모리스 쿠랑
Manu Payet,마뉘 파예트
Maurice Biraud,모리스 비로드
Maud Wyler,모드 와일러
Michel Roquejeoffre,미셸 로크주프레
Maurice Gastiger,모리스 가스티제
Mia Hansen-Løve,미아 한센뢰베
Melissa Mars,멜리사 마르스
Salomé Stévenin,살로메 스테베냉
Nadia Barentin,나디아 바렌틴
Naidra Ayadi,나이드라 아야디
Micheline Luccioni,미쉘린 루치오니
Michel Berto,미셸 베르토
Marie Drucker,마리 드뤼케르
Marine Vacth,마린 박트
Marilyne Canto,마릴린 캉토
Nampalys Mendy,남팔리스 멘디
Nancy Peña,낸시 페냐
Nathalie Richard,나탈리 리샤르
Natacha Lindinger,나타샤 린딘거
Mick Micheyl,미크 미셸
Nicolas Boukhrief,니콜라 부크리에프
Nils Tavernier,닐스 타베르니에
Mimie Mathy,미미 마티
Miguel Chevalier,미구엘 슈발리에
Noom Diawara,눔 디아와라
Michel Monet,미셸 모네
Mireille Perrier,미레유 페리에
Miss Ming,미스 밍
Nina Meurisse,니나 뫼리스
Noémie Merlant,노에미 메를랑
Oscar de Négrier,프랑수아 드 네그리에
Nicolas François Mollien,니콜라 프랑수아 몰리앵
Nicolas Mesnager,니콜라 메스나제르
Nicolas Philibert,니콜라 필리베르
Pape Diouf (football),파페 디우프
Pascal Rambert,파스칼 랑베르
Olivier Coipel,올리비에 쿠아펠
Pascal Cervo,파스칼 세르보
Pascal Aubier,파스칼 오비어
Paul Bonifas,폴 보니파스
Olivier Auriac,올리비에 오리아크
Nicolas Moreau (acteur),니콜라 모로 (배우)
Moussa Maaskri,무사 마스크리
Olivier Duhamel,올리비에 뒤아멜
Olivier Faure (homme politique),올리비에 포르
Henri Roussel de Courcy,앙리 루셀 드 쿠르시
Paul Claudon,폴 클로돈
Pauline Acquart,폴린 아카르
Philippe Pasqua,필립 파스쿠아
Oriane de Guermantes,오리안 드 게르망트
Olivier Perrier,올리비에 페리에
Patricia Lavila,파트리시아 라빌라
Pierre Cassignard,피에르 카시냐르
Philippe Bas (acteur),필립 바
Pia Colombo,피아 콜롬보
Pierre Coffin,피에르 코팽
Philippe Clay,필리프 클레
Paul Renaud,폴 르노
Pierre Du Moulin,피에르 드 물린
Philippe Castelli,필립 카스텔리
Pierre de Villiers (militaire),피에르 드 빌리에
Pierre-Loup Rajot,피에르루 라조
Pierre-Gustave Roze,피에르귀스타브 로즈
Philippe Heberlé,필리프 에베를레
Prosper Giquel,프로스 지켈
Pierre Niney,피에르 니네
Pom Klementieff,폼 클레멘티에프
Philippe Lacheau,필리프 라슈
Pierre Zimmer,피에르 짐머
Pierre Larquey,피에르 라르쿠이
Pierre Tornade,피에르 토르나드
Raphaëlle Agogué,라파엘 아고게
Raymond Aimos,레이몬드 에이모스
René Belbenoît,르네 벨브누아
Robert Desgabets,로베르 데가베
Romain Saïss,로맹 사이스
Samuel Theis,사뮈엘 타이스
Sara Giraudeau,사라 지로도
Souad Amidou,수어드 아미두
Serge Dupire,세르주 두피르
Sandra Lou,상드라 루
Samy Seghir,사미 세기르
Sandie Toletti,상디 톨레티
Rebecca Marder,레베카 마르데르
Robin Campillo,로뱅 캉피요
Rebecca Zlotowski,레베카 즐로토프스키
Reem Kherici,림 케리시
Sid Ahmed Rezala,시드 아메드 레잘라
Serge Weinberg,세르주 뱅베르
Rudy Gobert,뤼디 고베르
Stéphan Guérin-Tillié,스테판 게랭 틸리에
Renée Simonot,르네 시모노
Richard Ferrand,리샤르 페랑
Stomy Bugsy,스토미 벅시
Simon Gauzy,시몽 고지
Stéphane Collaro,스테판 콜라로
Simone Langlois,시몬 랑글루아
Simone Paris,시몬느 파리
Solène Durand,솔렌 뒤랑
Vincent Latorre,뱅상 라토르
Stéphane Rolland,스테판 롤랑
Tignous,티뉴스
Sébastien Lespès,세바스티앙 레스페
Vincent Desagnat,뱅상 데사냐
Vincent Dubois (organiste),뱅상 뒤부아
Théodoric (Nibelungide),테오도리크 (니벨룽기드)
Tom La Ruffa,실베스타 르포트
Vincent Macaigne,뱅상 마케뉴
Vincent Lacoste,뱅상 라코스트
Slimane Dazi,슬리만 다지
Swann Arlaud,스완 아를로
Vincent Gérard,뱅상 제라르
William Nadylam,윌리엄 나딜람
William Lebghil,윌리엄 레브길
Tewfik Jallab,튜피크 잘랍
Wladimir Yordanoff,블라디미르 요르다노프
Valérie Benguigui,발레리 방기기
Thierry Frémont,티에리 프레몽
Thierry Godard,티에리 고다르
Virginie Efira,비르지니 에피라
Valentine Tessier,발렌틴 테지어
Sylvie Joly,실비 졸리
Yann Le Cun,얀 르쿤
Yacine Louati,야신 루아티
Victor Haïm,빅토르 아임
Zahia Dehar,자히아 데하르
Yvette Giraud,이베트 지로
Ysabelle Lacamp,이자벨 라캉
Thomas Blanchard,토마 블랑샤르
Émile Joseph Taquet,에밀 타케
Yves Barsacq,이베스 바사크
Éric Besnard (réalisateur),에리크 베스나르
Vimala Pons,비말라 퐁스
Yoshua Bengio,요슈아 벤지오
Adolphe Klingelhoeffer,아돌프 클링겔외페
Anita Blaze,아니타 블라즈
Alexandre Letellier,알렉상드르 르텔리에
Édouard Philippe,에두아르 필리프
Alexia Barlier,알렉시아 바를리에
Houda Benyamina,우다 베니아미나
Zerocalcare,제로칼카레
Éric Vuillard,에리크 뷔야르
Élodie Fontan,엘로디 퐁탕
Charles-Théodore Millot,샤를 테오도르 밀로
Jordan Ferri,조르당 페리
Amédée Méreaux,아메데 메로
Élise Larnicol,엘리즈 라르니콜
Eugène Choisel,외젠 슈아셀
Armand Kaliz,아만드 캘리즈
Ivan Trevejo,이반 트레베호
Éric Kayser,에릭 케제르
Dennis Appiah,드니 아피아
Elizabeth Debicki,엘리자베스 데비키
Bouna Sarr,부나 사르
Charles Leroux (chef d'orchestre),샤를 르루
"Raphaël Guerreiro (football, 1993)",하파엘 게헤이루
Fabrice Martin,파브리스 마르탱
Jeanne Modigliani,잔 모딜리아니
Fanny Sidney,파니 시드네
Fouad Chafik,푸아드 샤피크
Indila,인딜라
Karim Boudiaf,카림 부디아프
Cedric Gervais,세드릭 제르베
François Pillon,프랑수아 토마스 필론
Aymeric Laporte,에므리크 라포르트
Gabriella Papadakis,가브리엘라 파파다키스
Ounie Lecomte,우니 르콩트
Cheyenne Brando,샤이엔 브란도
Antoine Conte,앙투안 콩테
Julian Jeanvier,줄리앙 장비에르
Claude-Charles Dallet,클로드샤를 달레
Jason Kouchak,제이슨 쿠착
Jean-Michel Capoue,장미셸 카푸에
Cyril Gardner,시럴 가드너
Lee Ungno,이응노
Jean De Briac,장 드 브리악
J. B. Blanc,J. B. 블랑크
Guillaume Cizeron,기욤 시즈롱
Kingsley Coman,킹슬레 코망
Gus Leonard,구스 레너드
Guillaume Du Buc,윌리엄 부카누스
Koffi Djidji,코피 지지
Léa Moutoussamy,레아 무투사미
Alice Pol,알리스 폴
Alassane Pléa,알라산 플레아
Monique Baudot,모니크 마리에 외젠 보도
Pierre Aumaître,피에르 오메트르
Yola d'Avril,욜라 다브릴
Stéphane Bahoken,스테판 바호켄
Magali Amadei,마갈리 아마데이
Nabil Ghilas,나빌 길라스
Benoît Bastien,브누아 바스티앵
Jonathan Nanizayamo,조나탕 나니자야모
Soualiho Meïté,수알리오 메이테
Sébastien Haller,세바스티앵 알레
Khalid Boutaïb,칼리드 부타이브
Verónika Mendoza,베로니카 멘도사
Pierre-Emile Højbjerg,피에르에밀 호이비에르
Mory Koné,모리 코네
Morgan Sanson,모르강 상송
Eye Haïdara,아이 하이다라
Julia Faure (actrice),쥘리아 포르
Florence Faivre,플로랑스 페브르
Bửu Lộc,응우옌푹브우록
Martine Sitbon,마르틴 싯봉
Félix-Clair Ridel,펠릭스클레르 리델
Juliette Morillot,쥘리에트 모리요
Riyad Mahrez,리야드 마레즈
Klingande,클링온드
Jordan Amavi,조르당 아마비
Jul' Maroh,쥘리 마로
Perrine Laffont,페린 라퐁
Tiémoué Bakayoko,티에무에 바카요코
Justine Triet,쥐스틴 트리에
India Hair,인디아 에르
Constance Rousseau,콩스탕스 루소
Jenna Thiam,제나 티암
Maxwel Cornet,막스웰 코르네
Saïd Benrahma,사이드 벤라흐마
Georges-Kévin Nkoudou,조르주케빈 은쿠두
Allan Saint-Maximin,알랑 생막시맹
Thomas Lemar,토마 르마르
Marie Harel,마리 아렐
Alma Jodorowsky,알마 호도로프스키
Marcel Tisserand,마르셀 티세랑
Stacy Martin,스테이시 마르탱
Yann Demange,얀 드망주
Nabil Bentaleb,나빌 벤탈렙
Abdoulaye Doucouré,압둘라예 두쿠레
Lucas Pouille,뤼카 푸유
Franck Honorat,프랑크 오노라
Moungi G. Bawendi,문지 바웬디
Jean-Charles Castelletto,장샤를 카스텔레토
Mouez Hassen,무에즈 하센
Bruno Peltre,브루노 팰트르
Jeanne Weil Proust,잔 베유 프루스트
Mai Lan,마일란
Christine and the Queens,크리스틴 앤 더 퀸스
Youssouf Sabaly,유수프 사발리
Mario Lemina,마리오 레미나
Flore Bonaventura,플로르 보나방투라
Lætitia Dosch,레티티아 도슈
Marco Ilaimaharitra,마르코 일라이마하리트라
Mathias Coureur,마티아스 쿠뢰르
Jean-Philippe Gbamin,장필리프 바맹
Steven Moreira,스테벵 모레이라
Evan Spiegel,에반 스피겔
Flora Coquerel,플로라 코크렐
Hervin Ongenda,에르뱅 옹장다
Claire Mathon,클레르 마통
Hugo Duminil-Copin,위고 뒤미닐코팽
Jean Del Val,장 델발
Pierre Deladonchamps,피에르 들라동샹
Marina Ginestà,마리나 기네스타
Moussa Dembélé (football),무사 뎀벨레 (1996년)
Corentin Tolisso,코랑탱 톨리소
Joel Embiid,조엘 엠비드
Lisa Angell,리자 앙젤
Émilie Andéol,에밀리 앙데올
Nabil Fekir,나빌 페키르
Jordan Ikoko,조르당 이코코
Arthur Masuaku,아르튀르 마쉬아퀴
Yohan Goutt Goncalves,요안 구트 공칼브
"Brice Samba (football, 1994)",브리스 삼바
Philippe Honoré,필리프 오노레
Amandine Buchard,아망딘 뷔샤르
Jérémy Cadot,제레미 카도
Louis-Constantin Boisselot,루이-콘스탄틴 보이슬롯
Jordan Adéoti,조르당 아데오티
Alice Isaaz,알리스 이사즈
DJ Snake,DJ 스네이크
Cyrille Maret,시릴 마레
Fabien Yoon,파비앙 코르비노
Abdoulaye Touré,압둘라예 투레
Clément Lenglet,클레망 랑글레
Gaia Weiss,가이아 베이스
Camille Delamarre,카미유 들라마르
Camille Cottin,카미유 코탱
Gustave Mutel,귀스타브샤를마리 뮈텔
Medi Sadoun,메디 사둔
Sabine Huynh,사빈 후인
Ele Keats,엘레 키츠
Nathalie Loiseau,나탈리 루아조
N'Golo Kanté,은골로 캉테
Solène Rigot,솔렌 리고
Amir (chanteur),아미르 하다드
Alexander Djiku,알렉산더 지쿠
Leroy Sané,리로이 자네
Hugo Descat,위고 데스카
Trévor Clévenot,트레보르 클레브노
Emmanuelle Charpentier,에마뉘엘 샤르팡티에
Mike Maignan,마이크 메냥
Cheikh Ndoye,셰이크 은도예
Samuel Gigot,사뮈엘 지고
Hassane Kamara,하산 카마라
Ibrahim Amadou,이브라힘 아마두
"Walter Benítez (football, 1993)",왈테르 다니엘 베니테스
Julien Mertine,쥘리앵 메르틴
Karl Toko-Ekambi,카를 토코 에캄비
Loan Chabanol,로안 샤바놀
Benjamin Bourigeaud,뱅자맹 부리조
Louise Grinberg,루이즈 그랭베르그
Arnaud Lusamba,아르노 루삼바
Quentin Halys,캉탱 알리스
Gaëtan Laborde,가에탕 라보르드
Pierre Marceau (catch),마커스 루이스
Aurore Broutin,오로르 브루탱
Haris Belkebla,하리스 벨케블라
Sofiane Boufal,소피안 부팔
Moussa Niakhaté,무사 니아카테
Bingourou Kamara,빙구루 카마라
Serhou Guirassy,세루 기라시
Aboubakar Kamara,아부바카르 카마라
Alice Tumler,알리체 툼러
Louane,루안 에메라
Abdou Diallo,압두 디알로
Ross McInnes,로스 매키니스
Ève Périsset,에브 페리세
Clarisse Le Bihan,클라리스 르 비앙
Elsa Cayat,엘사 카야
Nicolas Tournat,니콜라 투르나
Karidja Touré,카리자 투레
Mohamed Farès,모하메드 살림 파레스
Jonathan Bamba,조나탕 밤바
Presnel Kimpembe,프레스넬 킴펨베
Émile-Coriolan Guillemin,에밀 길레민
Camille Cerf (Miss France),카미유 세르프
Seko Fofana,세코 포파나
Anne Lacaton,안 라카통
Cindy Bruna,신디 브뤼나
Damien Chazelle,데이미언 셔젤
Lucas Hernandez,루카스 에르난데스
Marie-Castille Mention-Schaar,마리카스티유 망시옹샤르
Pauline Parigot,폴린 파리고
Benjamin Pavard,뱅자맹 파바르
Valentin Rongier,발렌틴 론지에
Omenuke Mfulu,오메누케 음풀루
Nadav Guedj,나다브 게즈
Olivier Guez,올리비에 게즈
Timothée Chalamet,티모시 샬라메
Lucie Debay,뤼시 드베
Camille Lou,카미유 루
Hélène Kuhn,엘렌 쿤
Stéphanie Frappart,스테파니 프라파르
Marcus Thuram,마르퀴스 튀람
Nader Ghandri,나데르 간드리
Jeremy Chabriel,제러미 샤브리엘
Lou Roy-Lecollinet,루 루아레콜리네
Feder (DJ),페더
Cédric Nicolas-Troyan,세드리크 니콜라트루아양
Jean Quiquampoix,장 키캉푸아
Élisabeth Borne,엘리자베트 보른
Odsonne Édouard,오드손 에두아르
Grejohn Kyei,리그 1 2022-23 경기 일정
Marina Kaye,마리나 케이
Renaud II de Trie,르노 2세 드 트리
Yohan Boli,요앙 볼리
Naïm Sliti,나임 슬리티
Lucas Tousart,뤼카 투사르
Ellyes Skhiri,엘리에스 스키리
Nicolas Pépé,니콜라 페페
Jean-Pierre Nsame,장피에르 은사메
Léo Dubois,레오 뒤부아
Jonathan Ikoné,조나탕 이코네
Jean-Kévin Augustin,장케뱅 오귀스탱
Lily-Rose Depp,릴리로즈 뎁
Jonas Bloquet,조나스 블로케
Dayot Upamecano,다요 우파메카노
Lola Bessis,롤라 베시스
Léonore Confino,레오노르 콩피노
Manon Brunet,마농 브뤼네
Luca Zidane,루카 지단
Jeff Reine-Adélaïde,제프 렌아델라이드
Ousmane Dembélé,우스만 뎀벨레
Ilian Bergala,일리앙 베르갈라
Lola Le Lann,롤라 르 랑
Nordi Mukiele,노르디 무키엘레
Deniz Gamze Ergüven,데니즈 감제 에르귀벤
Olivier Ntcham,올리비에 은참
Jérémie Boga,제레미 보가
Ludovic Fabregas,뤼도비크 파브레가스
Adam Ounas,아담 우나스
Jain (chanteuse),제인 (가수)
Pauline Hoarau,폴린 오아로
Lys Mousset,리스 무세
Steve Mounié,스티브 무니에
Yoan Cardinale,요안 카르디날레
Issa Diop,이사 디오프
Denis Bouanga,드니 부앙가
Alban Lafont,알반 라퐁
Romain Del Castillo,로맹 델 카스티요
Jérôme Onguéné,제롬 옹게네
Sonia Ben Ammar,소니아 벤 아마르
Aldo Kalulu,알도 칼룰루
Kylian Mbappé,킬리안 음바페
Brigitte Macron,브리지트 마크롱
Ismaël Omar Mostefaï,이스마엘 오마르 모스테파이
Mathilde Warnier,마틸드 와르니에
Salah Abdeslam,살라 압데슬람
Mehdi Tahrat,메흐디 타흐라트
Jean Jullien (dessinateur),장 줄리앙
Christopher Nkunku,크리스토페르 은쿤쿠
Ludovic Blas,루도빅 블라
Margot Bancilhon,마르고 방실롱
Olivier Kemen,올리비에 케멘
Finnegan Oldfield,피네건 올드필드
Nedim Remili,네딤 레밀리
Audrey Azoulay,오드레 아줄레
Madeleine Malonga,마들렌 말롱가
Sarah Suco,사라 수코
Jules Sagot,쥘 사고
Madeleine Pauliac,마들렌 폴리악
Zita Hanrot,지타 앙로
Iris Mittenaere,이리스 미테나르
Soria Zeroual,소리아 제루알
Diane Rouxel,디안 룩셀
Frank Ntilikina,프랑크 닐리키나
Benjamin Lavernhe,뱅자맹 라베른
Stephen Boyer,스테팡 부아예
Ferland Mendy,페를랑 멘디
Théo Hernandez,테오 에르난데스
Axel Disasi,악셀 디사시
Simon Banza,시몽 반자
Zelimkhan Khadjiev,젤림칸 카지에브
Yann Karamoh,얀 카라모
Galatéa Bellugi,갈라테아 벨루지
Geraldine Hakewill,제랄딘 호키윌
Jean-Michel Coulon,장 미셸 쿨롱
Claude Coffin,클로드 코팽
Alice Diop,알리스 디오프
Julia Ducournau,쥘리아 뒤쿠르노
Charles Traoré,샤를 트라오레
Robin Le Normand,로뱅 르 노르망
Aïssa Laïdouni,아이사 라이두니
Jacques Hamel,자크 아멜
Bassa Mawem,바사 마웸
Amine Harit,아민 하리트
Oulaya Amamra,울라야 아맘라
Manon Bresch,마농 브레슈
Mattéo Guendouzi,마테오 겐두지
Damien Bonnard,다미앵 보나르
Garance Marillier,가랑스 마릴리에
Pauline Cheviller,폴린 슈비에
Mouctar Diakhaby,무크타르 디아카비
Kilian Le Blouch,킬리안 르 블루슈
Houssem Aouar,우셈 아우아르
Tanguy Ndombele,탕기 은돔벨레
Ludovic Ajorque,뤼도비크 아조르크
Guessouma Fofana,게수마 포파나
Martin Terrier,마르탱 테리에
Édouard Mendy,에두아르 멘디
Yoane Wissa,요안 위사
Sœur André,뤼실 랑동
Camille Razat,카미유 라자트
Souleyman Doumbia,술레만 둠비아
Dylan Bronn,딜랑 브론
Musa Al-Taamari,무사 알타마리
Harold Moukoudi,아롤드 무쿠디
James Léa Siliki,제임스 레아 실리키
Dika Mem,디카 멤
Malang Sarr,말랑 사르
Dimitry Bertaud,디미트리 베르토
Enzo Ebosse,엔조 에보세
Déborah Lukumuena,데보라 루쿠무에나
Delphine O,델핀 오
Amine Gouiri,아민 구이리
Alma (chanteuse française),알마 (1988년)
Joachim Son-Forget,조아킴 손포르제
Evan Ndicka,에방 은디카
Gabriel Attal,가브리엘 아탈
Montassar Talbi,몬타사르 탈비
Ella Rumpf,엘라 룸프
Dan-Axel Zagadou,당악셀 자가두
José Évrard,조제 에브라르
M'Bala Nzola,음발라 은졸라
Ibrahima Konaté,이브라히마 코나테
Zoé Héran,조에 에랑
Houboulang Mendes,우불랑 멘드스
Ludovic Pajot,뤼도비크 파조
Typhanie Degois,티파니 드구아
Boubacar Kamara,부바카르 카마라
Antoine Brizard,앙투안 브리자르
Fodé Ballo-Touré,포데 발로투레
Cédric O,세드릭 오
Aya Nakamura,아야 나카무라
Antoine Reinartz,앙투안 라이나르츠
Fousseni Diabaté,푸세니 디아바테
Michaël Cuisance,미카엘 퀴장스
Jonathan Clauss,조나탕 클로스
Iliana Rupert,일리아나 뤼페르
Olivier Verdon,올리비에 베르동
Sikou Niakaté,시쿠 니아카테
Pomme (chanteuse),폼 (가수)
Louise Chevillotte,루이즈 쉐빌로트
Jean Patry,장 파트리
Barthélémy Chinenyeze,바르텔레미 시네니에즈
Romane Dicko,로만 디코
Oumar Solet,우마르 솔레
Clément Noël,클레망 노엘
Pape Gueye,파페 게예
Samuel Moutoussamy,사뮈엘 무투사미
Nicolas Cozza,니콜라 코자
Victoire Du Bois,빅투아르 뒤부아
Stanley Nsoki,스탠리 은소키
Noée Abita,노에이 아비타
Jules Koundé,쥘 쿤데
Aurélien Tchouaméni,오렐리앵 추아메니
Lyna Khoudri,리나 쿠드리
Modibo Sagnan,모디보 사냥
Bryan Mbeumo,브리앙 음뵈모
Moussa Diaby,무사 디아비
