André-Pierre Gignac,安德雷·皮埃爾·吉尼亞克
Lorenzo Hagerman,洛伦索·海格曼
Luis Romo,路易斯·羅莫
Vladímir Loroña,弗拉基米爾·洛羅尼亞
José Balleza,何塞·迭戈·巴列萨·伊萨亚斯
Juan Celaya,胡安·塞拉亚·费尔南德兹
Marco Polo Constandse,马科·波洛·康斯坦兹
Humberto Busto,温贝托·布斯托
Lorena Borjas,洛雷娜·博尔哈斯
Karina Gidi,卡里娜·吉迪
Jessica Vilchis,杰西卡·维尔彻斯
Christian Lanz,克里斯蒂安·兰兹
Ricardo Aguilar Castillo,里卡多·阿吉拉尔·卡斯蒂略
Kevin Berlín,凯文·柏林
Jaime Ruiz Sacristán,海姆·路易兹·薩克里斯坦
Ana Karina Guevara,安娜·卡里娜·格瓦拉
Columba Díaz,科伦巴·迪亚兹
Shanik Aspe,夏尼克·阿斯佩
Ariel Miramontes,阿里尔·米拉蒙特斯
Beng Zeng Wong,王朋曾
Kitzia Mitre,基兹娅·米特
Roby Checa,罗比·切卡
Fernanda Contreras,费尔南达·孔特雷拉斯
Julián Araujo,朱利安·阿勞霍
Yoshio,吉雄
Ariel Galvan,阿里尔·加尔万
Ricardo Diaz Mendoza,里卡多·迪亚兹·门多萨
Daniela Schmidt,丹妮拉·施密特
Juan Carlos Valdivia,胡安·卡洛斯·瓦迪维亚
Raul Torres,劳尔·托里斯
Beto Gómez,贝托·戈麦斯
Harding Junior,阿尔丹·儒尼奥尔
Mauricio Barrientos,毛里西奥·巴列安圖斯
Daniela Souza,达妮埃拉·索萨
Randy Arozarena,蘭迪·亞羅薩倫納
Eliana Sua,伊莲娜·苏阿
Gigi Saul Guerrero,吉吉·索尔·格雷罗
Veronica Falcón,维罗尼卡·法尔孔
Javier Hidalgo Ponce,哈维尔·伊达尔戈·庞塞
Santa RM,Santa RM
Angélica García Arrieta,安潔麗卡·加西亞·阿列塔
Esteban Roel,埃斯特万·罗尔
Monstruos de Ecatepec,埃卡提佩怪物
Daniel Lajud,丹尼尔·拉胡德
Adela Román Ocampo,阿德拉·罗曼·奥坎波
Arturo Castañeda,阿图罗·卡斯坦尼达
Oumar Gonzalez,奥马尔·冈萨雷斯
Karla Falcón,卡拉·法尔孔
Leyla Rangel,蕾拉·兰赫尔
José Gilberto Vilchis,何塞·吉尔伯托·维尔彻斯
Chumel Torres,丘梅尔·托雷斯
Roberta Lajous,罗伯塔·拉约斯
Ximena Martínez,希梅纳·马丁内斯
José Rafael Ojeda Durán,何塞·拉斐尔·奥赫达·杜兰
Alejandra Toussaint,亚历杭德拉·图森
Marina Huerta,玛丽娜·韦尔塔
Ernesto Lezama,埃内斯托·萊澤馬
Oswaldo Zárate,奥斯瓦尔多·萨拉特
Roberto Fiesco,罗伯托·菲斯科
Horacio Castelo,奥拉西奥·卡斯特罗
Arantza Ruiz,阿兰特萨·鲁伊斯
Lilia Ortega,莉利娅·奥尔特加
Juan Pablo Villaseñor,朱安·帕罗布·维拉塞纳
Mauricio T Valle,毛里西奥·T·瓦莱
Walter Doehner,沃尔特·多纳
Jordi Mariscal,霍尔迪·马里斯卡尔
Raúl Roma,劳尔·奥尔特加
Frida,芙烈達 (搜救犬)
Yalitza Aparicio,耶莉莎·阿帕里西奧
Diego Calva,迪亞哥·卡爾瓦
Reyna Reyes,蕾娜·雷耶斯
Juan J. Frausto,胡安·J·弗劳斯托
Juan Carlos Loera de la Rosa,胡安·卡洛斯·洛埃拉·德拉·罗萨
Ana Lilia Rivera Rivera,佩尔·莉利亚·里维拉
Luka Romero,卢卡·罗梅罗
Adrian Zurita,阿德里安·祖里塔
Ovidio Guzmán López,奥维迪奥·古斯曼·洛佩斯
Kevin Nahin Álvarez Campos,凯温·阿尔瓦雷斯
Carlos Higuera,卡洛斯·希盖拉
Omar Leyva,奥马尔·莱瓦
Salvador Chacon,萨尔瓦多·查康
Alex Midi,亚历克斯·米迪
Elyfer Torres,爱丽弗·托雷斯
Reyna Marlene de los Ángeles Catzín Cih,马莱内·卡琴·西奇
Jaime Romandía,海梅·罗曼迪亚
Diana Bovio,戴安娜·波维奥
Jimena Sánchez (periodista mexicana),納瓦拉的吉米娜·桑切斯
Betzabé García,贝扎贝·加西亚
David Zonana,大卫·佐纳纳
Dario Yazbek Bernal,达里奥·亚斯贝克·贝纳尔
Renata Vaca,雷纳塔·巴卡
Azul Guaita,奧姝·葛伊塔
Víctor González (beisbolista),維克多·岡薩雷茲
Bayardo De Murguia,巴亚尔多·德·穆古拉
Jhory Celaya,乔里·米萨尔·塞拉亚·塞拉亚
Josué Maychi,霍苏埃·梅基
Michelle Couttolenc,米歇尔·库托朗
Roberto Cañedo,罗伯托·坎里多
Leslie Soltero,莱斯莉·索尔特罗
Luis Alegre Salazar,路易斯·阿萊格雷·萨拉萨尔
Alejandro Kirk,亞歷杭德羅·柯克
Gabriela Ramos,加芙列拉·拉莫斯
Scarlett Camberos,史嘉蕾·坎貝羅斯
Giselle Montes,吉赛尔·蒙特斯
Kenia Os,科尼亚·奧斯
Jose Villarreal-Hernandez,何塞·魯道夫·比利亞雷亞爾-埃爾南德斯
Memo Dorantes,梅莫·多伦特
Alosian Vivancos,阿洛西安·维万科斯
Faruz Feet,Faruz Feet
Victoria del Rosal,维多利亚·德尔·罗萨尔
María Salud Ramírez Caballero,瑪麗亞·卡瓦列羅
Alex García (piloto),阿歷士·加西亞
Osmar Olvera,奥斯马尔·奥尔韦拉
Christian Burgos,克里斯蒂安·布爾戈斯
Pablo César López,巴勃罗·洛佩斯
Raquel Buenrostro Sánchez,拉奎尔·布恩罗斯特拉·桑切兹
Diego Cervantes,迭戈·塞万提斯
Carlo Ayhllón,卡罗·艾隆
Hiromi Kamata,博蒲田
Sombra,黑影
Susy Lukina Chacón Peña,萨西·卢
Sierra Hyland,席艾拉·海蘭
Victoria Vidales,維多利亞·維達萊斯
Darío T. Pie,达里奥·T·派
Griselda Guadalupe Guzmán López,格丽泽尔达·瓜达卢佩·古斯曼·洛佩斯
Sole Bovelli,索莱·博维利
Irma Miranda,伊尔玛·克里斯蒂娜·米兰达·瓦伦苏埃拉
Iván Archivaldo Guzmán Salazar,伊万·阿奇尔多·古兹曼·萨拉扎
Rosa Isela Guzmán Ortiz,罗莎·伊瑟拉·古斯曼·奥尔蒂斯
Stephanie Vaquer,斯蒂芬妮·瓦奎爾
Henry Jimenez Kerbox,亨利·希门尼斯·克尔博克斯
Brandon Moreno,布兰登·莫雷诺
Edsa Ramírez,埃莎·拉米雷斯
Enrique Cabrera,Enrique Cabrera
Santa Fe Klan,圣达·菲·克兰
Israel Reyes,以瑟雷·雷耶斯
Samuel Kim,Samuel
Neftali Martinez,Neftali Martinez
Monika Revilla,莫妮卡·雷维拉
Leydy Pech,雷迪·佩奇
Kerygma Flores,克里格玛·弗洛雷斯
Guillermo Zapata Pérez de Utrera,吉列尔莫·萨帕塔·佩雷斯·德·乌特雷拉
Francisco de la Reguera,弗朗西斯科·德·拉·雷格拉
Chelsea Gonzales,雀兒喜·岡薩雷斯
Suzy Brookshire,蘇珊娜·布魯克希爾
Stefanía Aradillas,史蒂芬妮婭·阿拉迪亞斯
Emali Guadalupe Guzmán Coronel,埃马利·瓜达卢佩·古兹曼·科罗内尔
Erando González,埃兰多·冈萨雷斯
Diego López Díaz,迪亞哥·羅培茲·迪亞茲
Jacobo Wong,雅各布·王
Rodrigo Pacheco Méndez,罗德里格·帕切科·门德斯
Rey Gallegos,雷伊·加里戈斯
Ligiah Villalobos,莉吉亚·维拉洛沃斯
Montserrat Caballero Ramírez,蒙特塞拉特·卡瓦列罗·拉米雷斯
Jesús Alejandro Venegas Vergara,赫苏斯·亚历杭德罗·维内加斯·维加拉
Iazua Larios,伊阿祖娅·拉里奥斯
Aranza Vázquez,阿兰萨·巴斯克斯
Vivir Quintana,薇薇爾·昆塔娜
Alejandro de Hoyos Parera,亚历杭德罗·德·霍约斯·帕雷拉
Dali Jr González,达利·小冈萨雷斯
María Fernanda Castro Maya,瑪麗亞·費爾南達·卡斯特羅·瑪雅
Raymundo Fulgencio,雷蒙多·富尔亨西奥
Juca Viapri,朱卡·维亚普里
Paulette Hernandez,波萊特·赫南德茲
Joshua Okamoto,喬舒亞·奧卡莫托
Carmen Toscano,卡門·托斯卡諾
Andrea Gómez,安德里亚·瑞贝卡·戈麦斯·阿里亚斯
Meli G,梅丽·G
Alma Delia Perez,阿尔玛·迪莉亚·佩雷斯
Habib Gedeón,哈比卜·盖德翁
Irasema Terrazas,伊拉塞马·特拉萨斯
Raúl Carballeda,劳尔·卡巴拉德
Eduardo del Ángel,爱德华多·德尔·安赫尔·雷森迪兹
Regina Tiscareño,里贾纳·蒂斯卡雷诺
Sadoc Vazkez,萨多克·瓦兹凯兹
Jonathan Kubben Quiñonez,乔纳森·库本·奎诺内斯
Luis Leonardo Suárez,路易斯·莱昂纳多·苏亚雷斯
Walterio Pesqueira,沃尔特里奥·佩斯奎拉
Leslie Gil,莱斯利·吉尔
Pepe Vilchis,佩佩·维尔奇斯
Quackity,Quackity
Patricia Rivera,帕特里夏·里维拉
Hernán Mendoza,埃尔南·门多萨
Hernán Del Riego,埃尔南·德尔里耶哥
Ruy Senderos,鲁伊·森德罗斯
Lefty Sm,左撇子
Yoss Bones,尤斯·伯恩斯
Toser One,托塞尔一号
Yuriy Khovanskiy,尤里·霍万斯基
Missa Sinfonia,Missa Sinfonia
José Ramón Amieva Gálvez,荷賽·拉蒙·阿米瓦
Dora Luz,多拉·鲁兹
Michelle Garza Cervera,蜜雪兒·加爾薩·塞爾維拉
José Antonio Macías,佩佩·托尼·马西亚斯
Alex Montiel,亚历克斯·蒙蒂尔
Iñaki Godoy,伊納基·高代
Rafael Villagómez,拉菲爾·維拉高美斯
Alejandro Salomon,亚历杭德罗·所罗门
Fede Vigevani,费德·维杰瓦尼
Juan Domingo Beckmann,胡安·多明哥·貝克曼
Roberto Mtz,罗伯托·阿德里安·马丁内斯·奥苏纳
Érick Ávalos,埃里克·阿瓦洛斯
Grecia Monroc,格雷西亚·门罗克
Mario Alberto Rodriguez Zamora,Mario Alberto Rodriguez Zamora
Ricardo Bours Castelo,里卡多·布尔斯·卡斯特洛
Bianca Coral Puente Valenzuela,比安卡·科拉尔·普恩特·巴伦苏埃拉
Pilar Padilla,皮拉尔·帕迪拉
Hector Kotsifakis,赫克托·科特思法基斯
Diego Lainez,迭戈·萊內斯
Nemesio Oseguera Cervantes,内梅西奥·奥塞格拉·塞万提斯
Yng Lvcas,扬·卢卡斯
Alex Verdugo,艾力克斯·韋杜戈
Luis Urías,路易斯·乌里亚斯
Giovanny Gallegos,吉奧凡尼·加勒戈斯
Hari Sama,哈里·萨马
Raúl Baillères Chávez,勞爾·貝勒雷斯·查韋斯
María Herrera Magdaleno,瑪麗亞·埃雷拉·馬格達萊諾
Cristo Fernández,克里斯托·费尔南德斯
Juan Pablo González,胡安·巴勃羅·岡薩雷斯
Irwin Daayán,欧文·达亚恩
Noel León,諾艾爾·萊昂
Peso Pluma,比索·普拉马
Gabriel Dawe,加布里埃尔·达维
Jesús Angulo,赫蘇斯·安古洛
Angel Garza,安格爾·加爾扎
Esteban Arrangoiz Julien,埃斯特万·朱利安
Ceci Patricia Flores,塞西·弗洛雷斯
José Godínez,荷西·戈迪內茲
Érick Sánchez,埃里克·桑切斯
Dharius,达里乌斯
María de Jesús Patricio Martínez,玛丽亚·德赫苏斯·帕特里西奥·马丁内斯
Carlos Felipe de Habsburgo,卡洛斯·費利佩·德·哈布斯堡
Marco de la O,馬爾科·德·拉·O
Brandon Vazquez,布兰登·巴斯克斯
Héctor Velázquez Aguilar,赫克特·韋拉斯奎茲
Aczino,阿齐诺
El Pinche Mara,埃尔·平切·马拉
Eme Malafe,埃梅·马拉菲
Christian Nodal,克里斯蒂安·诺达尔
