Klaus Ernst,클라우스 에른스트
Wolfgang Wodarg,볼프강 보다르크
Alexander Gottlieb Baumgarten,알렉산데르 바움가르텐
Bianca Kappler,비앙카 카플러
Jürgen Drews,위르겐 드류 스
Horst Janson,호르스트 얀손
Günter Verheugen,귄터 베어호이겐
Peter Fox,피터 폭스
Wilhelm Schuppe,빌헬름 슈페
Alfred Weber,알프레트 베버
Nicolai Hartmann,니콜라이 하르트만
Wolfgang Mattheuer,볼프강 마토이어
Johann Conrad Dannhauer,요한 콘라트 단하우어
Meister Eckhart,마이스터 에크하르트
Susanne Lothar,주자네 로타어
Karl Jaspers,카를 야스퍼스
Horst Mahler,호르스트 말러
Angelika Niebler,앙겔리카 니블러
Mark Pinger,마르크 핑거
Annette Groth,아네테 그로트
Berthold Maria Schenk Graf von Stauffenberg,베르톨트 마리아 솅크 그라프 폰 슈타우펜베르크
Kurt Student,쿠르트 슈투덴트
Hans Joachim Pabst von Ohain,한스 폰 오하인
Ulrike Meinhof,울리케 마인호프
Barbara Wirth,바르바라 비르트
Friede Springer,프리데 슈프링거
Suzanne von Borsody,수잔 본 보소디
Wolfgang Stammberger,볼프강 슈탐베르거
Erich Kästner,에리히 케스트너
Stefan Heym,슈테판 하임
Kurt Gerstein,쿠르트 게르슈타인
Mathias Herrmann,마티아스 헤르만
Ernst Friedrich Schumacher,에른스트 프리드리히 슈마허
Richard Dehmel,리하르트 데멜
Kurt Alder,쿠르트 알더
Theodor Steltzer,테오도어 슈텔처
Siegbert Tarrasch,지그베르트 타라슈
Widukind Lenz,비두킨트 렌츠
Irene Clarin,이레네 클라린
Nico Hülkenberg,니코 휠켄베르크
Karl-Heinz Hopp,카를하인츠 호프
Tobias Schneider,토비아스 슈나이더
Max Dessoir,막스 데소이어
Eugen Dühring,카를 뒤링
Gerhard Herzberg,게르하르트 헤르츠베르크
Konrad Raiser,콘라트 라이저
Hans Delbrück,한스 델브뤼크
Karl Mayr,카를 마이어
Karl Dedecius,카를 데데치우스
Ulrich Kapp,울리 카프
Falk Hoffmann,팔크 호프만
Heinrich Cornelius Agrippa von Nettesheim,하인리히 코르넬리우스 아그리파 폰 네테샤임
Karl Kautsky,카를 카우츠키
Tobias Schenke,토비아스 솅케
Hans Joachim Schellnhuber,한스 요하임 쉘은후버
Henning Schwarz,헤닝 슈바르츠
Manfred Eigen,만프레트 아이겐
Daniel Herberg,다니엘 헤르베르크
Heinrich Windelen,하인리히 빈델렌
Waldemar Fegelein,발데마르 페겔라인
Albrecht Alt,알브레크트 알트
Heinz Starke,하인츠 슈타르케
Otto Diels,오토 딜스
Rhea Harder,레아 하드 러
Alfred Naujocks,알프레트 나우요크스
Otto Strasser,오토 슈트라서
Hubertus Knabe,후베르투스 크나베
Johann Deisenhofer,요한 다이젠호퍼
Hans Karl August Simon von Euler-Chelpin,한스 폰 오일러켈핀
Bernhard Vogel,베른하르트 포겔
Karl Ziegler,카를 치글러
Friedrich Bergius,프리드리히 베르기우스
Johannes Volkelt,요하네스 폴켈트
Robert Huber,로베르트 후버
Eddi Arent,에디 아렌트
Hans Fischer,한스 피셔
Monika Sozanska,모니카 조찬스카
Anja Hajduk,아냐 하이두크
Florian David Fitz,플로리안 다비트 피츠
Laura Tonke,라우라 통케
Jo Weil,요 바일
Ossi Oswalda,오시 오스발다
Paul Henckels,파울 헹켈스
Egon Schultz,에곤 슐츠
Henny Porten,헤니 포르텐
Eva Padberg,에바 파트베르크
Andrea Philipp,안드레아 필리프
Carsta Löck,카르스타 뢰크
Melitta Bentz,멜리타 벤츠
Thomas Ulrich,토마스 울리히
Sascha Hehn,사샤 헨
Walter Georg Kühne,발터 게오르크 퀴네
Frank-Walter Steinmeier,프랑크발터 슈타인마이어
Josef Schwarz,요제프 슈바르츠
Sandra Gal,잔드라 갈
Thomas Fritsch,토마스 프리치
Paul Kleinert,파울 클라이네르트
Boris Reitschuster,보리스 라이트슈스터
Carl Froelich,카를 프뢸리히
Greta Schröder,그레타 슈뢰더
Heinrich Düntzer,하인리히 뒨처
Eberhard Jüngel,에베하르드 융엘
August Föppl,아우구스트 푀플
Johannes Herber,요하네스 헤르버
Andrea Berg,안드레아 베르크
Arabella Kiesbauer,아라벨라 키스바우어
Michael Zeitlein,미하일 체이틀린
Christoph Daum,크리스토프 다움
Ludwig Prandtl,루트비히 프란틀
Sergej Moya,세르게이 모야
Erich Waschneck,에리히 바슈네크
Antje Hagen,안제 하겐
Wolf Roth,볼프 로트
Helga Nowitzki,헬가 노비츠키
Franz-Josef Röder,프란츠요제프 뢰더
Nicola Tiggeler,니콜라 티글러
Nadja Auermann,나댜 아우어만
Hans-Hermann Hoppe,한스-헤르만 호페
Monika Dannemann,모니카 다네만
Michaela Schaffrath,미하엘라 샤프라트
Laura Berlin,라우라 베를린
Richard Kroner,리처드 크로너
Ursula Thiess,우르줄라 티스
Jawed Karim,조드 카림
Peter Kreuder,페터 크로이더
Albert Battel,알베르트 바텔
Bernhard Schlink,베른하르트 슐링크
Gabriele Renate Homey,이나라 아가 칸
Silke Meier,질케 마이어
Johannes Georg Bednorz,요하네스 게오르크 베드노르츠
Elisabeth Höngen,엘리자베트 횡겐
Emilia Schüle,에밀리아 슐레
Anton Raphael Mengs,안톤 라파엘 멩스
Timo Glock,티모 글록
Heinz Kühn,하인츠 퀸
Barbara Becker,바르바라 베커
Sebastian Edathy,세바스찬 에드시
Claudia Schiffer,클라우디아 시퍼
Fritz Lehmann,프리츠 레만
Werner Klumpp,베르너 클룸프
Simon Grynaeus,시몬 그래니우스
Carl-Ludwig Wagner,카를루트비히 바그너
Peter Behrens,페터 베렌스
Bernd Brunnhofer,베른트 브룬호퍼
Nastassja Kinski,나스타샤 킨스키
Ludger Lohmann,루트거 로만
Frieder Bernius,프리더 베르니우스
Max Wolf,막스 볼프
Franz Rosenzweig,프란츠 로젠츠바이크
Sönke Neitzel,죙케 나이첼
Karl Haushofer,카를 하우스호퍼
Edith Stein,에디트 슈타인
Moritz von Sachsen,모리스 드 삭스
Fritz Kater,프리츠 카터
Ernst Jünger,에른스트 윙거
Karl Lagerfeld,칼 라거펠트
Alexander Held,알렉산더 헬트
Adolf Dassler,아돌프 다슬러
Jenny Erpenbeck,예니 에르펜베크
Karl Richter,칼 리히터
Adam Schall von Bell,아담 샬 폰 벨
Peter Schmidt,페터 슈미트
Manuela Kay,마누엘라 카이
Kai Nürnberger,카이 뉘른베르거
Karl Ferdinand Becker,카를 페르디난트 베커
Erich Mendelsohn,에리히 멘델손
Tim Borowski,팀 보로프스키
Walther Schücking,발터 쉬킹
Wilhelm Boden,빌헬름 보덴
Willy Dörr,빌헬름 되어
Hermann Simon,헤르만 지몬
Peter Fechter,페터 페흐터
Beno Gutenberg,베노 구텐베르크
Rainer Schüttler,라이너 쉬틀러
Gerd Binnig,게르트 비니히
Edmund Meisel,에드문트 마이젤
Anna Thalbach,안나 탈바히
Axel von Ambesser,악셀 폰 암베서
Edith Schultze-Westrum,에디트 슐체베스트룸
Michael Buback,미하엘 부바크
Alfred Bucherer,알프레드 부헤러
Matthias Ettrich,마티아스 에트리히
Klaus Schwab,클라우스 슈밥
Ernst von Wolzogen,에른스트 폰 볼초겐
Alexander Wilkens,알렉산더 빌켄스
Floé Kühnert,플로에 퀴네르트
Harald Braun,하랄트 브라운
Julia Pfrengle,율리아 프렝글레
Martin Spahn,마르틴 슈판
Edmund Germer,에드문트 게르머
Klaus Zumwinkel,클라우스 춤빙켈
Dieter Thomas Heck,디터 토마스 헤크
Gottfried Böhm,고트프리드 뵘
Heinrich Prinz von Hannover,하노버 왕자 하인리히 줄리우스
Carl Zuckmayer,카를 추크마이어
Christoph Waltz,크리스토프 발츠
Lexi Alexander,렉시 알렉산더
Karl Mannheim,카를 만하임
Max Horkheimer,막스 호르크하이머
Nicolas Kiefer,니콜라스 키퍼
Mike Leon Grosch,미케 그로슈
Jürgen Neukirch,위르겐 노이키르히
Gerd Müller,게르트 뮐러
Richard Becker,리하르트 베커
Barbara Auer,바르바라 아우어
Max Delbrück,막스 델브뤽
Lothar Wolleh,로타르 볼레
Albert Osswald,알베르트 오스발트
Ralf Richter,랄프 리츠터
Mohamed Zidan,모하메드 지단
Andreas Baader,안드레아스 바더
Brigitte Helm,브리짓 헴
Marcel Nguyen,마르셀 응우옌
Richard Huelsenbeck,리하르트 휠젠베크
Johann Tetzel,요한 테첼
Baldur von Schirach,발두어 폰 시라흐
Katharina Schmid,카타리나 슈미트
Lena Goeßling,레나 괴슬링
Mathilde Ludendorff,마틸데 루덴도르프
Peter Liese,페터 리제
Thomas Kempe,토마스 켐페
Margit Nünke,마르기트 뉭케
Konrad Petzold,콘라트 페촐트
Jörg Schmidt-Reitwein,외르크 슈미트라이트바인
Maren Eggert,마렌 에거트
Torsten Amft,토르스텐 암프트
Josef Bierbichler,요제프 비어비흘러
Dieter Bohlen,디터 볼렌
Wilhelm Frick,빌헬름 프리크
August von Mackensen,아우구스트 폰 마켄젠
Daniel Cohn-Bendit,다니엘 콘벤디트
Thomas Jahn,토마스 얀
Claudia Schramm,클라우디아 슈람
Franz Boas,프란츠 보아스
Karl-Theodor zu Guttenberg,카를테오도어 추 구텐베르크
Lotte Neumann,로테 노이만
Leonard Steckel,레오나르트 슈테켈
Gert Fröbe,게르트 프뢰베
Hans Werner Henze,한스 베르너 헨체
Johann Georg Faust,요한 게오르크 파우스트
Karl-Wilhelm von Schlieben,카를-빌헬름 폰 슐리벤
Max Winkler,막스 빙클러
Hurl Beechum,헐 비첨
Heidelinde Weis,하이델린데 바이스
Hans Werner Richter,한스 베르너 리히터
W. G. Sebald,W. G. 제발트
Rudolf Martin,루돌프 마틴
Hugo Mann,후고 만
Julie Engelbrecht,줄리 엥겔브레히트
Heinrich Schmieder,하인리히 슈미더
Enne Heeren Dirksen,에노 디르크센
Ruth Werner,우르줄라 쿠친스키
Julius Streicher,율리우스 슈트라이허
Mayer Amschel Rothschild,마이어 암셸 로스차일드
Uwe Nettelbeck,우베 네텔베크
Viktor Hamburger,빅토어 함부르거
Robert Wichard Pohl,로베르트 폴
Moses Mendelssohn,모제스 멘델스존
Augusta von Sachsen-Gotha-Altenburg,작센고타의 아우구스타
Ralf Dahrendorf,랄프 다렌도르프
Fritz Wendhausen,프리츠 벤트하우젠
Rudolf Höß,루돌프 회스
Ben,벤
Hans Leo Kornberg,한스 콘버그
Sylvia Nasar,실비아 나사르
Briana Banks,브리애나 뱅크스
Jan Schütte,얀 슈테
Eva-Maria Fitze,에바마리아 피체
Kurt Redel,쿠르트 레델
Bahar Kizil,바하르 크즐
Alexander Fehling,알렉산더 페링
Gaby Dohm,가비 돔
Simon Stickl,지몬 슈티클
Alexander Dobrindt,알렉산더 도브린트
Heinrich Rickert,하인리히 리케르트
Martin Perscheid,마틴 포시시드
Matthäus Zell,마태우스 젤
Baki Davrak,바키 다브렉
Michael Cretu,마이클 크레투
Karl Wilhelm Reinmuth,칼 빌헬름 라인무트
Jakob Böhme,야콥 뵈메
Bruno Diekmann,브루노 디크만
Meryem Uzerli,메리엠 우제를리
Hugo Meurer,후고 모이러
Karl Weber,카를 베버
Walter Volle,발터 폴레
Hans Grimm,한스 그림
Anke Engelke,앙케 엥겔케
Wilhelm von Gloeden,빌헬름 폰 글뢰덴
Paul van Dyk,파울 반 디크
Boris Kerner,보리스 커너
İdil Üner,이딜 위네르
Christian Lindner,크리스티안 린트너
Selma Ergeç,셀마 에르게치
Richard Kruspe,리하르트 크루스페
Oceana,오세아나
ATB,ATB
Eva Löbau,에바 뢰바우
Lena Stolze,레나 스톨즈
Martin Günther,마르틴 귄터
Willi Birkelbach,빌리 비르켈바흐
Arnold Sommerfeld,아르놀트 조머펠트
Carina Vogt,카리나 포크트
Dorothee Stapelfeldt,도로시 스테펠 펠트
Meta Seinemeyer,메타 자이네마이어
Michael Krüger,마이클 크루거
Anna Lührmann,안나 뤼어만
Bert Sakmann,베르트 자크만
Robert Picht,로베르트 피히트
Udo Kier,우도 키어
Dietrich Fischer-Dieskau,디트리히 피셔디스카우
Fatih Akin,파티흐 아킨
Felix Wankel,펠릭스 방켈
Fritz Sauckel,프리츠 자우켈
Karl Brandt,카를 브란트
Julia Klöckner,율리아 클뢰크너
Nicolas Meitinger,니콜라스 마이팅거
Karl Brugmann,카를 브루크만
Cosma Shiva Hagen,코스마 시바 하겐
Klaus Barbie,클라우스 바르비
Herbert Wehner,헤르베르트 베너
Hans Richter-Haaser,한스 리히터하저
Hartmut Michel,하르트무트 미헬
Ludwig Stumpfegger,루트비히 슈툼페거
Max Schmeling,막스 슈멜링
Senna Gammour,세나 그무르
Christa Reinig,크리스타 라이니히
Wilhelm Maybach,빌헬름 마이바흐
Thomas Dold,토마스 돌트
Theobald von Bethmann Hollweg,테오발트 폰 베트만홀베크
Erwin Neher,에르빈 네어
Mary Wigman,마리 비그만
Alice Orlowski,알리체 오를로브슈키
Golo Mann,골로 만
Anni Albers,아니 알버스
August Everding,어거스트 에버딩
Kurt Lewin,쿠르트 레빈
Fritz Albert Lipmann,프리츠 앨버트 리프만
Ernst Heinkel,에른스트 하인켈
Adolf Windaus,아돌프 오토 라인홀트 빈다우스
Alfred Neumann,알프레트 노이만
Fons Matthias Hickmann,폰스 히크만
Klaus Steinbach,클라우스 슈타인바흐
Gerd Faltings,게르트 팔팅스
Kati Wilhelm,카티 빌헬름
Thomas Anders,토마스 앤더스
Christian Timm,크리스티안 팀
Otto Wernicke,오토 베르니케
Robert von Greim,로베르트 리터 폰 그라임
Leo Strauss,레오 스트라우스
Thomas Mauch,토마스 마우흐
Eberhard Hopf,에버하르트 호프
Sebastian Bieniek,세바스티안 비니에크
Jonas Plass,요나스 플라스
Heinrich Schröter,하인리히 슈뢰터
Mona Barthel,모나 바르텔
Philipp Kohlschreiber,필리프 콜슈라이버
Petra Dallmann,페트라 달만
Karl Ritter,칼 리터
Sepp Heckelmiller,제프 헤켈밀러
Dustin Brown,더스틴 브라운
Georges J. F. Köhler,게오르게스 J. F. 쾰러
Bernhard Korte,베른하르트 코르테
Oliver Axnick,올리버 악스니크
Volker Spengler,폴커 슈펭글러
Dieter Hegen,디터 헤겐
Dietmar Lorenz,디트마어 로렌츠
Günther Bornkamm,귄터 본캄
Marco Pezzaiuoli,마르코 페차이올리
Otto Loewi,오토 뢰비
Christiane Nüsslein-Volhard,크리스티아네 뉘슬라인폴하르트
Günther Kleiber,귄터 클라이버
Anke Kühn,앙케 퀸
Georg Grozer junior,죄르지 그로처
Florian Mayer,플로리안 마이어
Georg Wittig,게오르크 비티히
Carl Schmitt,카를 슈미트
Tobias Kamke,토비아스 캄케
Constantin Fehrenbach,콘스탄틴 페렌바흐
Annika Beck,아니카 베크
Benjamin Becker,베냐민 베커
Emil Jannings,에밀 야닝스
Hans Joachim Morgenthau,한스 모건소
Matthias Bachinger,마티아스 바힝거
Wilhelm Cuno,빌헬름 쿠노
Angelique Kerber,안젤리크 케르버
Marion Freisler,마리온 프라이슬러
Wolfgang Mieder,볼프강 미더
Bruno Simma,브루노 지마
Wilhelm Marx,빌헬름 마르크스
Heinrich Heppe,하인리히 헤페
Matthias Schloo,마티아스 슐 루오
Hans Adalbert Schlettow,한스 아달베르트 슐레토
Frank Appel,프랑크 아펠
Mike Krüger,마이크 크루거
Sahra Wagenknecht,자흐라 바겐크네흐트
Petra Pau,페트라 파우
Thomas Pähtz,토마스 페츠
Jens Spahn,옌스 스판
Necla Kelek,네질라 켈레크
Rani Khedira,라니 케디라
Heiko Schwartz,하이코 슈바르츠
Hans-Georg Pflaum,한스게오르크 플라움
Heinz Baumann,하인즈 바우만
Lothar III.,로타르 3세
Juliette Schoppmann,줄리엣 쇼팽
Curt Lowens,커트 로웬스
Joachim Kaiser,요아힘 카이저
Friedrich Domin,프리드리히 도민
Johannes Bugenhagen,요하네스 부겐하겐
Karl Löwith,카를 뢰비트
Claus Holm,클로스 홈즈
Ernst Deutsch,에른스트 도이치
Herbert Seifert,헤르베르트 자이페르트
Karl Arnold,카를 아르놀트
Max Strub,막스 슈트루프
Nico Rosberg,니코 로스베르크
Otto Grotewohl,오토 그로테볼
Stefan Pfeiffer,슈테판 파이퍼
Richard Sammel,리하르트 자멜
Wilhelm Wundt,빌헬름 분트
Manfred Zapatka,만프레드 자파트카
Janosch,야노쉬
Friedrich III.,프리드리히 3세
LaFee,라피 (가수)
C. C. Catch,C. C. 캐치
Rudolf Heß,루돌프 헤스
Nuri Şahin,누리 샤힌
Julia Fischer,율리아 피셔
Toni Eggert,토니 에게르트
Norbert Elias,노르베르트 엘리아스
Harald zur Hausen,하랄트 추어 하우젠
Clara Zetkin,클라라 체트킨
Thomas Thieme,토마스 티메
Christof Arnold,크리스토프 아놀드
Max Liedtke,막스 리트케
Julia Schruff,율리아 슈루프
Michael Kessler,미하엘 케슬러
Karl Liebknecht,카를 리프크네히트
Johanna Quandt,요한나 크반트
Rainer Zitelmann,라이너 지텔만
Felix Sturm,펠릭스 슈투름
Karl Fritzsch,카를 프리츠슈
Hardy Krüger,하르디 크뤼거
Sandra Borgmann,잔드라 보르크만
Hans Globke,한스 글롭케
Regina Prinzessin von Sachsen-Meiningen,레기나 폰 작센마이닝겐
Maria Josepha von Bayern,마리아 요제파 폰 바이에른 공녀
Johann Georg Elser,게오르그 엘저
Helmut Jahn,헬무트 얀
Carl Gottfried Neumann,카를 노이만
Carl Hermann,카를 헤르만
Jörg Immendorff,외르크 이멘도르프
Leopold von Wiese,레오폴트 폰 비제
Guido Buchwald,기도 부흐발트
Michael Roth,미하엘 로트
Martin Busse,마르틴 부세
Patrick Bussler,파트리크 부슬러
Pheline Roggan,펠리네 로간
Paul Hector Mair,파울루스 헥토르 마이어
Benjamin Kleibrink,베냐민 클라이브링크
Marcus Burghardt,마르쿠스 부르크하르트
Peter Joppich,페터 요피히
Helmut Schoeck,헬무트 쉐크
Julia Harting,율리아 하르팅
Otto Wiener,오토 비너
Reinhold Rüdenberg,라인홀트 뤼덴베르크
Franz Meyers,프란츠 마이어스
Paul Fürbringer,파울 퓌르브링거
Johann Liechtenauer,요하네스 리히테나워
Benno Sterzenbach,벤노 스테른바흐
Friedrich Wilhelm Lübke,프리드리히 빌헬름 륍케
Tilemann Hesshus,틸레만 헤수시우스
Richard Jaeger,리하르트 예거
Hanno Koffler,하노 코플러
Wolfgang Zeller,볼프강 첼러
Hans Wilhelmi,한스 빌헬미
Caio Koch-Weser,카이오 코흐베저
Bringfried Müller,브링프리트 뮐러
Rangin Dadfar Spanta,랑긴 다드파르 스판타
Abdul Ahad Momand,압둘 아하드 모만드
Carl Friedländer,카를 프리들란더
Adolf Arndt,아돌프 아른트
Johannes Brockmann,요하네스 브로크만
Werner Hinz,베르너 힌츠
Andrea Glass,안드레아 글라스
Elisabeth Trissenaar,엘리자베스 트리센나
Marianne Koch,마리안느 코흐
Hans Münch,한스 뮌히
Anton Storch,안톤 슈토르히
Martin Hohmann,마르틴 호만
Berndt Seite,베른트 자이테
Thomas Oppermann,토마스 오퍼만
Christine Lieberknecht,크리스티네 리베르크네히트
