код автора на ФантЛабе,ファントラブ 作者ID
Оборона Севастополя (1854—1855),セヴァストポリの戦い (クリミア戦争)
Белая река,ベラヤ川
Усть-Ордынский,ウスチオルディンスキー
Палатка,パラトカ
Остров Ратманова,ビッグダイオミード島
Большая Хета,ボリシャヤ・ヘタ川
Благовещенский собор Казанского кремля,生神女福音大聖堂
Nival,ニーバル
Марха,マルハ川
Юрумкувеем,ベラヤ川
Белая Холуница,ベラヤ・ホルニツァ川
Белая река,ベラヤ川
Союз ТМ-20,ソユーズTM-20
Союз ТМ-19,ソユーズTM-19
Союз ТМ-22,ソユーズTM-22
Великолукская наступательная операция,ヴェリーキエ・ルーキの戦い
Белорусская,ベラルースカヤ駅
Чёшская губа,チェシャ湾
Находка,ナホトカ港
Нагатинская,ナガチンスカヤ駅
Сражение при Тали-Ихантала,タリ＝イハンタラの戦い
Анабарский улус,アナバル地区
Анадырский район,アナディリスキー地区
Зелёные святки,緑のスヴャートキ
Воронежско-Ворошиловградская операция,ヴォロネジの戦い
Ингода,インゴダ川
Рыбачий полуостров,ルイバチー半島
Ноктундо,鹿屯島
Сахалинские корейцы,在樺コリアン
Арчеда,アルチェダ川
Ноглики,ノグリキ
Парад на Красной площади 9 мая 2010 года,2010年モスクワ勝利の日パレード
Аржан,アルジャン
Арсеньевка,アルセニエフカ川
Босфор Восточный,東ボスポラス海峡
полуостров Муравьёва-Амурского,ムラヴィヨフ＝アムールスキー半島
Сунгача,ソンガチャ川
марийский язык,マリ語
Сахалин — Хабаровск — Владивосток,サハリン・ハバロフスク・ウラジオストクパイプライン
Музей архитектуры имени А. В. Щусева,シューセフ建築博物館
Поронай,幌内川
Золотой Рог,金角湾
Моркока,モルコカ川
Тара,タラ
Ольга,オリガ
матрос,水兵
Керченский пролив,ケルチ海峡
Слак,スラク
Краснотурьинский трамвай,クラスノトゥリンスク市電
Синяя,シンヤヤ川
Совет Федерации,連邦院
Домодедово,ドモジェドヴォ空港
Шацк,シャーツク
Время в России,ロシア時間
Корё-сарам,高麗人
Таганрог-Южный,タガンログ南部空港
Транспортная система России,ロシアの交通
Пограничная служба Федеральной службы безопасности Российской Федерации,ロシア国境軍
Бердь,ベルジ川
Мамаев курган,ママエフ・クルガン
города России,ロシアの都市の一覧
Государственная дума,国家院
Кяхтинский договор,キャフタ条約
Хасан,ハサン湖
Конькобежный спорт на зимних Олимпийских играх 2014,2014年ソチオリンピックのスピードスケート競技
Меншиковский дворец,メンシコフ宮殿
Бытантай,ビタンタイ川
Спорт-Экспресс,スポルト・エクスプレス
Воздушно-десантные войска России,ロシア空挺軍
Новокузнецк-Спиченково,スピチェンコヴォ空港
Национал-социалистическое общество,国家社会主義協会
Чемпионат России по футболу 2003,ロシア・プレミアリーグ 2003
Оссора,オッソラ
Верхнебуреинский район,ヴェルフネブレインスク地区
район имени Полины Осипенко,イメニ・ポリヌ・オシペンコ地区
Парамушир,幌筵島
пастила,パスチラ
РИА Новости,RIAノーボスチ
Организованная преступность в России,ロシアン・マフィア
Остров Беннетта,ベネット島
Берёзово,ベリョゾヴォ
Берёзка (сеть магазинов),ベリョースカ
Берёзовка,ベレゾフカ川
Матч за звание чемпиона мира по шахматам 1966,世界チェス選手権1966
Гуцулы,フツル人
Интеркосмос,インターコスモス
Берутарубе,ベルタルベ山
Зенит,ゼニット
Яшкульский район,ヤシュクリスキー地区
Серов,セロフ
Сахалинский залив,サハリン湾
