Massachusetts,매사추세츠주
High-frequency Active Auroral Research Program,고주파 오로라 활동 연구 프로그램
International Bank for Reconstruction and Development,국제부흥개발은행
"Pierce County, Washington",피어스군 (워싱턴주)
"Abbeville, Georgia",애비빌 (조지아주)
Cessna,세스나
National Park Service,미국 국립공원관리청
"Boone County, Missouri",분군 (미주리주)
"Summit County, Utah",서밋군 (유타주)
Cooper Union,쿠퍼 유니언
Johnston Atoll,존스턴 환초
Professional wrestling,프로레슬링
Capital One Arena,캐피털 원 아레나
Coast Starlight,코스트 스타라이트
"Catoosa County, Georgia",카투사군
Colgan Air,콜간 항공
2009 World Series,2009년 월드 시리즈
"New Castle County, Delaware",뉴캐슬군
"Trinity County, California",트리니티군 (캘리포니아주)
BNSF Railway,BNSF 철도
Diving at the 1932 Summer Olympics,1932년 하계 올림픽 다이빙
Providence Park,프로비던스 파크
Bridgestone Arena,브리지스톤 아레나
"Skamania County, Washington",스카마니아군
Sprint Corporation,스프린트 (통신사)
"Clark County, Washington",클라크군 (워싱턴주)
"Lassen County, California",래슨군
American Locomotive Company,아메리칸 로코모티브 컴퍼니
American Cancer Society,미국 암협회
"Bibb County, Alabama",비브군 (앨라배마주)
United States Senate Committee on the Judiciary,미국 상원 사법위원회
Comedy Central,코미디 센트럴
Geographic Names Information System,지명 정보 시스템
HRG Group,자파타 코퍼레이션
James Clerk Maxwell Telescope,제임스 클러크 맥스웰 망원경
"Pueblo County, Colorado",푸에블로군
Toon Disney,툰 디즈니
Treaty of San Francisco,샌프란시스코 강화조약
"Tripp County, South Dakota",트립군
"Laurel Canyon, Los Angeles",로렐캐니언
Disneyland,디즈니랜드
Metro-Goldwyn-Mayer,메트로 골드윈 메이어
Raytheon,레이시온
Disney Junior,디즈니 주니어
"Chesterfield County, Virginia",체스터필드군 (버지니아주)
Trading with the Enemy Act of 1917,적성국교역법
"San Bernardino, California",샌버너디노
"South Bend, Indiana",사우스벤드
"Arapahoe County, Colorado",아라파호군 (콜로라도주)
"Cheyenne County, Colorado",샤이엔군 (콜로라도주)
American Meteorological Society,미국 기상 학회
American Radio Relay League,미국아마추어무선연맹
Lowell Observatory,로웰 천문대
"Miami-Dade County, Florida",마이애미데이드군
"Lexington, North Carolina",렉싱턴 (노스캐롤라이나주)
"Charlotte County, Florida",샬럿군 (플로리다주)
Abenaki,아베나키족
World Bank Group,세계은행 그룹
"Chino, California",치노 (캘리포니아주)
"Trigg County, Kentucky",트리그군
"Midland County, Texas",미들랜드군 (텍사스주)
United States Army Special Forces,미국 육군 특전부대
Niagara River,나이아가라강
Redwood National Park,레드우드 국립공원
"Brule County, South Dakota",브륄르군
"St. Clair County, Missouri",세인트클레어군 (미주리주)
"Gwinnett County, Georgia",그위닛군
"Huron County, Ohio",휴런군 (오하이오주)
Darwin Awards,다윈상
Guadalupe Mountains National Park,과들루프산맥 국립공원
"Dundy County, Nebraska",던디군
"Grant County, Oregon",그랜트군 (오리건주)
Detroit Red Wings,디트로이트 레드윙스
Mount Rainier,레이니어산
Olympic National Park,올림픽 국립공원
"Russell County, Kentucky",러셀군 (켄터키주)
"Bollinger County, Missouri",볼린저군
"Buffalo County, South Dakota",버펄로군 (사우스다코타주)
"Lincoln County, Missouri",링컨군 (미주리주)
Glacier National Park (U.S.),글레이셔 국립공원 (미국)
"Washington County, Kansas",워싱턴군 (캔자스주)
"Dent County, Missouri",덴트군
"Gilliam County, Oregon",길리엄군
Dark Horse Comics,다크 호스 코믹스
"Russell County, Kansas",러셀군 (캔자스주)
"Wichita County, Kansas",위치토군 (캔자스주)
Franklin Delano Roosevelt Memorial,프랭클린 델러노 루스벨트 기념관
"Highland Park, Texas",하일랜드파크 (텍사스주)
"Olathe, Kansas",올레이스
Pro Wrestling Guerrilla,프로레슬링 게릴라
"Dickinson County, Kansas",디킨슨군 (캔자스주)
Giants Stadium,자이언츠 스타디움
"Barry County, Missouri",배리군 (미주리주)
"Lauderdale County, Mississippi",로더데일군 (미시시피주)
"Mahoning County, Ohio",마호닝군
"Cherry County, Nebraska",체리군
"Kanabec County, Minnesota",카나벡군
"Power County, Idaho",파워군
Convair B-58 Hustler,컨베이어 B-58 허슬러
Council on Foreign Relations,외교협회
PPG Paints Arena,PPG 페인츠 아레나
Pulitzer Prize for History,퓰리처상 역사 부문
"Gasconade County, Missouri",개스커네이드군
"Grant County, Kentucky",그랜트군 (켄터키주)
"Darke County, Ohio",다크군
"Marshall County, Minnesota",마셜군 (미네소타주)
"Chippewa County, Michigan",치페와군 (미시간주)
"Claiborne County, Mississippi",클레이본군 (미시시피주)
"Troy, New York",트로이 (뉴욕주)
We Are the Fallen,위 아 더 폴른
"Marion County, Georgia",매리언군 (조지아주)
"Norman County, Minnesota",노먼군
"Gallatin County, Kentucky",갤러틴군 (켄터키주)
"Greene County, Pennsylvania",그린군 (펜실베이니아주)
"Clarke County, Virginia",클라크군 (버지니아주)
"Columbia County, Wisconsin",컬럼비아군 (위스콘신주)
"Kenosha County, Wisconsin",커노샤군
"Teton County, Montana",티턴군 (몬태나주)
"Toole County, Montana",툴군
"Aberdeen, Idaho",애버딘 (아이다호주)
"Palestine, Texas",팔레스타인 (텍사스주)
Stone Mountain,스톤마운틴
"Glynn County, Georgia",글린군
"Massac County, Illinois",마삭군
"Kenton County, Kentucky",켄턴군
"Keweenaw County, Michigan",키위노군
"Minot, North Dakota",마이놋 (노스다코타주)
"Valencia County, New Mexico",발렌시아군
"Gibson County, Indiana",깁슨군 (인디애나주)
"Granville County, North Carolina",그랜빌군
"Graves County, Kentucky",그레이브스군
"Thomas County, Georgia",토머스군 (조지아주)
"Tyler, Texas",타일러 (텍사스주)
"Cherokee County, Kansas",체로키군 (캔자스주)
"Greeley County, Kansas",그릴리군 (캔자스주)
"Woodson County, Kansas",우드슨군
"Montgomery County, Maryland",몽고메리군 (메릴랜드주)
"Montgomery County, New York",몽고메리군 (뉴욕주)
"Juneau County, Wisconsin",주노군
"Kanawha County, West Virginia",캐너와군
"Twiggs County, Georgia",트윅스군
"Baltimore County, Maryland",볼티모어군
"Lawrence County, South Dakota",로렌스군 (사우스다코타주)
"Daniels County, Montana",다니엘스군
Disney Cruise Line,디즈니 크루즈 라인
"Grant County, New Mexico",그랜트군 (뉴멕시코주)
"Love County, Oklahoma",러브군
"Luna County, New Mexico",루나군
"Minnehaha County, South Dakota",미네하하군
"Fountain County, Indiana",파운틴군
"Tazewell County, Virginia",테이즈웰군 (버지니아주)
Altera,알테라
"Charlotte County, Virginia",샬럿군 (버지니아주)
Shaw–Howard University station,쇼-하워드 대학교역
"Logan County, Nebraska",로건군 (네브래스카주)
"Wise County, Virginia",와이즈군 (버지니아주)
Counselor to the President,백악관 고문
Global Lives Project,글로벌 라이브 프로젝트
Key Tower,키 타워
Kingston Technology,킹스톤 테크놀로지
Konvict Muzik,컨빅 뮤직
Morningside Heights,모닝사이드하이츠
"Iowa County, Iowa",아이오와군 (아이오와주)
"Storey County, Nevada",스토리군 (네바다주)
Assyrian people,아시리아인
"Crawford County, Kansas",크로퍼드군 (캔자스주)
Bell 222/230,벨 222
Bronx High School of Science,브롱크스 과학고등학교
McDonnell Aircraft Corporation,맥도널 에어크래프트
"Pleasants County, West Virginia",플레전츠군
U.S. Route 2,국도 제2호선 (미국)
U.S. Route 8,국도 제8호선 (미국)
"Fulton County, Kentucky",풀턴군 (켄터키주)
"Hart County, Georgia",하트군 (조지아주)
"Evansville, Indiana",에번즈빌
"Forsyth County, Georgia",포사이스군 (조지아주)
Fox Life,폭스 라이프
"Fulton County, Pennsylvania",풀턴군 (펜실베이니아주)
"Cedar City, Utah",시더시티
"Hernando County, Florida",에르난도군
"Hughes County, South Dakota",휴스군 (사우스다코타주)
"Humboldt County, Nevada",험볼트군 (네바다주)
"Covington, Virginia",커빙턴 (버지니아주)
"Traill County, North Dakota",트레일군
Dr Pepper,닥터페퍼
"Conejos County, Colorado",코너조스군
70th Academy Awards,제70회 아카데미상
Pebble Beach Golf Links,페블비치 골프장
Special K,스페셜 K
American Airlines Flight 77,아메리칸 항공 77편 테러 사건
Atlanta Braves,애틀랜타 브레이브스
Upper East Side,어퍼이스트사이드
"Otero County, Colorado",오테로군 (콜로라도주)
"McPherson County, South Dakota",맥퍼슨군 (사우스다코타주)
American Basketball Association (2000–present),아메리칸 농구 협회 (2000년)
Alaska Aces (ECHL),알래스카 에이시즈
American League Division Series,아메리칸 리그 디비전 시리즈
American Recordings (record label),아메리칸 레코딩스
Amway,암웨이
"Adrian, Michigan",에이드리언 (미시간주)
"Auglaize County, Ohio",오글레이즈군
"Hayward, California",헤이워드 (캘리포니아주)
"Pontotoc County, Mississippi",폰토톡군 (미시시피주)
"American Society of Composers, Authors and Publishers",ASCAP
Fortune (magazine),포춘 (잡지)
Tennis at the 1904 Summer Olympics,1904년 하계 올림픽 테니스
"Anacortes, Washington",애나코티스
"Attala County, Mississippi",아탈라군
"Esmeralda County, Nevada",에스메랄다군
"Finney County, Kansas",피니군
"Phillips County, Kansas",필립스군 (캔자스주)
Boroughs of New York City,뉴욕의 자치구
New York City Department of Education,뉴욕 교육국
U.S. Route 10,국도 제10호선 (미국)
U.S. Route 16,국도 제16호선 (미국)
U.S. Route 26,국도 제26호선 (미국)
U.S. Route 70,국도 제70호선 (미국)
"Andalusia, Alabama",안달루시아 (앨라배마주)
"Newton County, Missouri",뉴턴군 (미주리주)
"Noble County, Ohio",노블군 (오하이오주)
"Lafayette County, Missouri",라피엣군 (미주리주)
"Madison County, Missouri",매디슨군 (미주리주)
U.S. Route 425,국도 제425호선 (미국)
U.S. Route 76,국도 제76호선 (미국)
"Carroll County, Ohio",캐럴군 (오하이오주)
"Holmes County, Mississippi",홈스군 (미시시피주)
Thomas J. Watson Research Center,IBM 왓슨 연구소
"Dawson County, Nebraska",도슨군 (네브래스카주)
"Door County, Wisconsin",도어군
Lone Star Funds,론스타 펀드
"Harrison County, Mississippi",해리슨군 (미시시피주)
ICANN,ICANN
"Lyon County, Minnesota",라이언군 (미네소타주)
"Ramsey County, Minnesota",램지군 (미네소타주)
"Harmon County, Oklahoma",하먼군
"Hennepin County, Minnesota",헤너핀군
"Lawrence County, Mississippi",로렌스군 (미시시피주)
"Monroe County, Mississippi",먼로군 (미시시피주)
"Roseau County, Minnesota",로조군
"Garfield County, Montana",가필드군 (몬태나주)
"Hooker County, Nebraska",후커군
Federal Trade Commission,연방거래위원회
Pro Bowl,프로볼
Fort Cavazos,포트 후드
29th Academy Awards,제29회 아카데미상
Charles River,찰스강
National Nuclear Security Administration,국가핵보안국
"Needles, California",니들스
New York University School of Law,뉴욕 대학교 법학대학원
"McMinn County, Tennessee",맥민군
"Mingo County, West Virginia",밍고군
Lassen Peak,래슨피크
Miami Fusion,마이애미 퓨전 FC
"Ellensburg, Washington",엘렌스버그
"Marshall County, Illinois",마셜군 (일리노이주)
"Mason County, Illinois",메이슨군 (일리노이주)
"Garfield County, Nebraska",가필드군 (네브래스카주)
"Fayette County, Georgia",페이엣군 (조지아주)
"Floyd County, Kentucky",플로이드군 (켄터키주)
"Powell County, Montana",파월군 (몬태나주)
MariaDB,MariaDB
"Baird, Texas",베어드 (텍사스주)
Barksdale Air Force Base,박스데일 공군기지
TC Energy Center,뱅크 오브 아메리카 센터 (휴스턴)
Drama Desk Award,드라마 데스크상
Episcopal Church (United States),미국 성공회
"Renton, Washington",렌턴
Civil Rights Act of 1875,1875년 시민권법
Hasbro,해즈브로
"Hickman County, Tennessee",히크먼군 (테네시주)
"Bremerton, Washington",브레머튼 (워싱턴주)
Law of the United States,미국의 법
United States Virgin Islands national soccer team,미국령 버진아일랜드 축구 국가대표팀
Baruch College,버룩 칼리지
Bausch %26 Lomb,바슈롬
Mount Griggs,그리그산
Rhode Island Route 2,로드아일랜드주도 제2호선
La Jolla,라호이아
Regal Cinemas,리걸 시네마스
EgyptAir Flight 990,이집트 항공 990편 추락 사고
"Petaluma, California",페탈루마
Unisphere,유니스피어
"Fayette County, Tennessee",페이엣군 (테네시주)
"Pulaski County, Indiana",펄래스키군 (인디애나주)
Nasdaq-100,나스닥 100
Florida Keys,플로리다키스
Graceland,그레이스랜드
"New Ulm, Minnesota",뉴얼름
Fannie Mae,패니 메이
"Gainesville, Georgia",게인즈빌 (조지아주)
Santa Monica Studio,샌타모니카 스튜디오
"Jefferson County, Washington",제퍼슨군 (워싱턴주)
Liberty Bell,자유의 종
"Washington County, Iowa",워싱턴군 (아이오와주)
"La Mirada, California",라미라다
Lionsgate,라이언스게이트
Arctic Council,북극 이사회
"Decatur, Texas",디케이터 (텍사스주)
United States Fish and Wildlife Service,미국 어류 및 야생동물관리국
"Queen Anne's County, Maryland",퀸앤스군
"Tyler County, West Virginia",타일러군 (웨스트버지니아주)
GameTrailers,게임트레일러스
Motion Picture Association,미국영화협회
AirPlay,에어플레이 (애플)
"Alturas, California",앨투러스
Brooklyn Navy Yard,브루클린 해군 공창
Daniel K. Inouye International Airport,대니얼 K. 이노우에 국제공항
"Dixville Notch, New Hampshire",딕스빌노치
"Eldora, Iowa",엘도라 (아이오와주)
Winger (band),윙거 (밴드)
"Luzerne County, Pennsylvania",루체른군
"Roanoke, Virginia",로어노크 (버지니아주)
"LaRue County, Kentucky",라루군
"Marquette County, Michigan",마켓군 (미시간주)
"DeKalb County, Indiana",디캘브군 (인디애나주)
Rutgers University,럿거스 대학교
"Knox County, Kentucky",녹스군 (켄터키주)
