España,スペイン
Anexo:Piragüismo en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのカヌー競技
Club Deportivo Eldense,CDエルデンセ
Palau de la Generalitat,ジャナラリター・デ・カタルーニャ宮殿
Talarrubias,タラルビアス
Estación de Plaza España,エスパーニャ駅
Calpe,カルペ
Monasterio de San Salvador de Leire,レイレ修道院
ISO 3166-2:ES,ISO 3166-2:ES
Estadio de Abanca Riazor,エスタディオ・デ・リアソール
Primera División de España 1945/46,リーガ・エスパニョーラ1945-1946
Campeonato Mundial de Bádminton de 2006 - Dobles masculino,2006年世界バドミントン選手権大会男子ダブルス
Fundación Montenmedio Arte Contemporáneo (NMAC),モンテンメディオ現代芸術財団
Bidegoyan,ビデゴイアン
Arrancudiaga,アランクディアガ
Petín,ペティン
Monte Caro,カロ山
Fuente Álamo,フエンテ＝アラーモ
Generalife,ヘネラリフェ
Magro,マグロ川
Río Valdemembra,バルデメンブラ川
río Turia,トゥリア川
Sierra de los Filabres,フィラブレス山地
Castillo de Bellver,ベルベル城
Segunda División de España 1982/83,翌1982-83シーズン
Arga,アルガ川
río Cidacos,シダコス川
río Aragón,アラゴン川
Selección femenina de waterpolo de España,水球女子スペイン代表
Villava,ビジャバ
Alhama,アラマ川 (エブロ川水系)
río Arba,アルバ川
río Jalón,ハロン川
río Mijares,ミハレス川
Zadorra,サドーラ川
Najerilla,ナヘリーリャ川
Ega,エガ川
Reinosa,レイノーサ
FlyAnt Cargo,Flyant
Betanzos,ベタンソス
Pitillas,ピティーリャス
Puzol,プソル
Paterna,パテルナ
Liria,リリア
Cinca,シンカ川
Canals,カナルス
Supercopa de Europa 1997,1997 UEFAスーパーカップ
Fasnia,ファスニア
Río Martín,マルティン川
Guadalope,グアダローペ川
Segre,セグラ川
Carral,カラル
Atienza,アティエンサ
Puerto de Palma de Mallorca,パルマ・デ・マヨルカ港
Lebrija,レブリハ
Villabona,ビリャボナ
Anexo:XIX edición de los Premios Goya,第19回ゴヤ賞
Villanueva de Bogas,ビジャヌエバ・デ・ボガス
Batalla de Ocaña,オカーニャの戦い
elecciones al Parlamento Europeo de 2009 en España,2009年欧州議会議員選挙
Superliga masculina de voleibol de España,スペイン男子スーパーリガ
Villafranca de Ordizia,オルディシア
Marinaleda,マリナレーダ
Irurzun,イルルツン
Vuelta al País Vasco 2011,バスク一周2011
Serie 252 de Renfe,レンフェ252形電気機関車
Rally Dakar de 2007,2007年ダカール・ラリー
Matarraña,マタラーニャ川
Entrena,エントレナ
Primera División de España 2010/11,リーガ・エスパニョーラ2010-2011
Tribunal Supremo,最高裁判所 (スペイン)
Cabriel,カブリエル川
Estación de Chamartín,チャマルティン駅
estación de Atocha,アトーチャ駅
Primera División de España 2002/03,リーガ・エスパニョーラ2002-2003
Club Gimnàstic de Tarragona,ジムナスティック・タラゴナ
El Busto,エル・ブスト
Desafío Español 2007,デサフィオ・エスパニョール 2007
Fornelos de Montes,フォルネーロス・デ・モンテス
Real Oviedo,レアル・オビエド
Écija,エシハ
Universidad Miguel Hernández de Elche,ミゲル・エルナンデス・デ・エルチェ大学
Valira,バリラ川
Lejona,レイオア
Queso de La Serena,ラ・セレナ・チーズ
Estación de Alcalá de Henares,アルカラ・デ・エナレス駅
España en los Juegos Olímpicos de Atenas 2004,2004年アテネオリンピックのスペイン選手団
Estación Espacial Internacional,国際宇宙ステーション
Gran Premio de Cataluña de Motociclismo de 2006,2006年のカタルーニャグランプリ
Nuevo Estadio Castalia,ノウ・エスタディ・カスタリア
hórreo,Horruまたはhorriu
Campeonato Mundial de Vela Olímpica 2003,2003年セーリング世界選手権
Torneo Internacional de Ajedrez Ciudad de Linares,リナーレス・チェス選手権
Ésera,エセラ川
Noguera Ribagorzana,リバゴルサーナ川
Noguera Pallaresa,ノゲーラ・パリャレサ川
Os Ancares,コマルカ・ドス・アンカーレス
El Rosal,オ・ロサル
Horta de San Juan,オルタデサンジョアン
Armada Española,スペイン海軍
Alcazaba de Badajoz,アルカサバ・デ・バダホス
Alicante Club de Fútbol,アリカンテCF
bien de interés cultural,スペイン文化遺産
Observatorio de Sierra Nevada,シエラ・ネバダ天文台
Coirós,コイロス
Torneo WTA de Marbella,アンダルシア・テニス・エクスペリエンス
Palacio Real de Aranjuez,アランフエス宮殿
Soto del Barco,ソト・デ・バルコ
Cualedro,クアレドロ
Selección de fútbol de la Comunidad Valenciana,サッカーバレンシア州代表
comarca de Ferrol,コマルカ・デ・フェロル
nombre español,スペインの命名習慣
Aeropuerto de Córdoba,コルドバ空港
Universidad Pompeu Fabra,ポンペウ・ファブラ大学
Universidad Ramon Llull,ラモン・リュイ大学
Andújar,アンドゥハル
Vuelta a España 1994,ブエルタ・ア・エスパーニャ1994
Vuelta a España 1996,ブエルタ・ア・エスパーニャ1996
Primera División de España 1986/87,リーガ・エスパニョーラ1986-1987
Castillo de Portillo,ポルティージョ城
Marquina-Jeméin,マルキナ
Copa Mundial Femenina de Rugby de 2002,女子ラグビーワールドカップ2002
Arco,アルコ
Gran Vía de las Cortes Catalanas,グラン･ビーア・ダ・ラス・コルツ・カタラーナス
Palazuelos de Eresma,パラスエーロス・デ・エレスマ
elecciones a las Cortes Valencianas de 1987,1987年バレンシア州議会選挙
Atarazanas Reales de Barcelona,王立造船所
Estadio Olímpico Lluís Companys,エスタディ・オリンピック・リュイス・コンパニス
Batalla de Vitoria,ビトリアの戦い
Vuelta a Andalucía,ブエルタ・ア・アンダルシア
Selección de hockey sobre hierba de España,ホッケー男子スペイン代表
Bujaraloz,ブハラロス
Erro,エロ (スペイン)
Telemadrid,テレマドリード
Anexo:Estadios de fútbol de España,スペインのサッカー競技場一覧
Ramales de la Victoria,ラマレス･デ･ラ･ビクトリア
La Antigua,ラ・アンティグア
Obrint Pas,オブリン・パス
Seo de Urgel,ラ・セウ・ドゥルジェイ
Aeropuerto de La Gomera,ラ・ゴメラ空港
Perafort,ペラフォート
Segura,セグラ (スペイン)
Orden de las Escuelas Pías,エスコラピオス修道会
Estadio Ramón Sánchez Pizjuán,エスタディオ・ラモン・サンチェス・ピスフアン
Écija Balompié,エシハ・バロンピエ
Club Baloncesto Breogán,CBブレオガン
Vuelta a España 1966,ブエルタ・ア・エスパーニャ1966
Llodio,ラウディオ/リョディオ
Campeonato Mundial de Esquí Alpino de 1996,1996年アルペンスキー世界選手権
Autopista Ocaña-La Roda,オカーニャ-ラ・ロダ高速道路（スペイン）
Vuelta a España 1973,ブエルタ・ア・エスパーニャ1973
Playa de las Américas,プラヤ・デ・ラス・アメリカス
Tour de Francia 1963,ツール・ド・フランス1963
Chiclana de la Frontera,チクラーナ・デ・ラ・フロンテーラ
ED Moratalaz,EDモラタラス
Los Barrios de Luna,ロス・バリオス・デ・ルナ
guerra de Devolución,ネーデルラント継承戦争
Siglo de Oro,スペイン黄金世紀
San Miguel de Abona,サン・ミゲル・デ・アボーナ
Primera División de España 2000/01,リーガ・エスパニョーラ2000-2001
La Gudiña,ア・グディーニャ
Codorníu,コドルニウ
río Jiloca,ヒロカ川
Huerva,ウエルバ川
Gállego,ガリェゴ川
Aguasvivas,アグアスビバス川
Arcentales,アルツェンタレス
Espejo,エスペホ
Ardón,アルドン
Acebedo,アセベド
Ramiranes,ラミラス
Palacio de la Zarzuela,サルスエラ宮殿
estación de Málaga-Centro-Alameda,マラガ・セントゥロアラメダ駅
ESCP Business School,ESCP EUROPE
Universidad Politécnica de Madrid,マドリード工科大学
Cabañas Raras,カバーニャス・ラーラス
carlismo,カルロス主義
Alcázar de San Juan,アルカサル・デ・サン・フアン
idiomas de España,スペインの言語
Estación de esquí de Sierra Nevada,シエラ・ネバダ・スキー場
España en el Festival de la Canción de Eurovisión,スペインのユーロビジョン・ソング・コンテスト
Primera División de España 1971/72,1971-72シーズン
Estación de Fontana,フォンターナ駅
Vuelta al País Vasco 2005,バスク一周2005
Almonaster la Real,アルモナステール・ラ・レアル
División de Honor de Rugby,ディビシオン・デ・オノール・デ・ラグビー
Campeonato Mundial de Balonmano Masculino de 2013,2013年世界男子ハンドボール選手権
Primera División de España 1980/81,リーガ・エスパニョーラ1980-1981
Universidad de La Coruña,ア・コルーニャ大学
Vuelta a España 2012,ブエルタ・ア・エスパーニャ2012
Boca de Huérgano,ボカ・デ・ウエルガノ
Vuelta a España 1957,ブエルタ・ア・エスパーニャ1957
La Riba,ラ・リーバ
Partido Popular de Aragón,アラゴン国民党
Partido Socialista de Navarra-PSOE,ナバーラ社会党
Izquierda Unida de Navarra,ナバーラ統一左翼
Pampaneira,パンパネイラ
Campeonato Mundial de Natación de 2013,2013年世界水泳選手権
Ibi,イビ
Campeonato Mundial de Baloncesto de 1986,1986年バスケットボール世界選手権
Ducado de Medina Sidonia,メディナ＝シドニア公
línea 7 del Metro de Barcelona,バルセロナ地下鉄7号線
Rioja Alavesa,リオハ・アラベサ
Comarca del Sar,コマルカ・ド・サール
Orce,オルセ
Arenales de San Gregorio,アレナーレス・デ・サン・グレゴリオ
Barcarrota,バルカロータ
Puebla de Guzmán,プエブラ・デ・グスマン
Santa Clara,サンタ・クララ島
Universidad CEU Cardenal Herrera,CEUカルデナル・エレーラ大学
elecciones municipales de España de 1991,1991年スペイン基礎自治体選挙
Real Monasterio de San Lorenzo de El Escorial,エル・エスコリアル修道院
Cerdido,セルディード
Riudoms,リウドムス
Sierra Nevada,シエラネバダ山脈
Cardeñosa,カルデニョーサ
Ballet Nacional de España,スペイン国立バレエ団
Estación de Universitat,ウニベルシタット駅
Maruri,マルリ＝ハタベ
Exposición Hispano-Francesa de 1908,スペイン＝フランス博覧会
Exposición Internacional de Barcelona,バルセロナ万国博覧会
IE Universidad,IE大学
Dos Aguas,ドス・アグアス
Sumbilla,スンビリャ
Valverde,バルベルデ
Puebla Larga,ラ・ポブラ・リャルガ
Berlanga del Bierzo,ベルランガ・デル・ビエルソ
Universidad Jaime I,ジャウメ1世大学
extremeño,エストレマドゥーラ語
Izquierda-Ezkerra,ナバーラ統一左翼
Olympic Broadcasting Services,オリンピック放送機構
Pico Posets,ポセッツ峰
Linares,リナーレス
Segunda División B de España 2007/08,セグンダ・ディビシオンB2007-08
Bélmez de la Moraleda,ベルメス・デ・ラ・モラレダ
Arrigorriaga,アリゴリアガ
Auditorio de Tenerife,アウディトリオ・デ・テネリフェ
Unión Deportiva Melilla,UDメリージャ
Estado Mallorca Son Moix,イベロスター・エスタディ
Eurocuerpo,欧州合同軍
asturiano,アストゥリアス語
Peñaranda de Bracamonte,ペニャランダ・デ・ブラカモンテ
Fútbol Club Barcelona Hockey sobre patines,FCバルセロナ
Primera División de España 1988/89,リーガ・エスパニョーラ1988-1989
Humanes de Madrid,ウマネス・デ・マドリード
Serie 120 de Renfe,レンフェ120系電車
Anexo:VIII edición de los Premios Goya,第8回ゴヤ賞
Chueca,チュエカ
Autovía del Noroeste,ノースウエストハイウェイ（スペイン）
Forúa,フォルア
Anexo:XXI edición de los Premios Goya,第21回ゴヤ賞
Pungín,プンシン
Padul,エル・パドゥル
Comarca de Loja,コマルカ・デ・ロハ
Gernika Rugby Taldea,ゲルニカRT
Altaria (Renfe),アルタリア (列車)
Tirgo,ティルゴ
Izurza,イスルツァ
Cantillana,カンティリャナ
Rojales,ロハレス
Vuelta a España 1955,ブエルタ・ア・エスパーニャ1955
Rosal de la Frontera,ロサル・デ・ラ・フロンテラ
Falset,ファルセット (スペイン)
elecciones generales de España de 1982,1982年スペイン議会総選挙
Llobregat,リョブレガート川
Cardener,カルデネール川
Tordera,トルデラ川
Irura,イルラ
Banco Popular Español,スペイン国民銀行
Muskiz,ムスキス
Añover de Tajo,アニョベル・デ・タホ
Mirasierra,ミラシエラ
Aluche,アルーチェ
Francolí,フランクリー川
Aeropuerto de Huesca-Pirineos,ウエスカ＝ピリネオス空港
La Puebla de Montalbán,ラ・プエブラ・デ・モンタルバン
Corgo,オ・コルゴ
Marquesado de Villena,ビジェーナ侯爵位
Hispano-Suiza,イスパノ・スイザ
Copa del Rey de Fútbol 1903,コパ・デル・レイ1903
Regimiento Suizo de Reding n.º 3,第3スイス連隊
Irimo,イリモ山
Hermandad de las Marismas,マリスマス兄弟会
Villanueva del Rebollar de la Sierra,ビジャヌエバ・デル・レボリャル・デ・ラ・シエラ
UCAM Murcia Club de Fútbol,UCAMムルシアCF
Real Club Deportivo Español "B",RCDエスパニョールB
Levante Unión Deportiva "B",アトレティコ・レバンテUD
Primera División de España 1990/91,リーガ・エスパニョーラ1990-1991
Rodil,ロディル川
Villanueva de Aézcoa,イリベリ/ビリャヌエバ・デ・アエスコア
Autopista del Atlántico,アトランティックハイウェイ（スペイン）
Vuelta a España 1979,ブエルタ・ア・エスパーニャ1979
Liga Europea de la UEFA 2013-14,UEFAヨーロッパリーグ 2013-14
Mediona,メディオナ
Carranza,カランツァ
Morón de la Frontera,モロン・デ・ラ・フロンテラ
Bolsas y Mercados Españoles,証券取引所協会
Oteiza,オテイサ (スペイン)
"Parque natural de las Marismas de Santoña, Victoria y Joyel",サントーニャ湾
Los Silos,ロス・シロス
línea 11 del Metro de Madrid,マドリード地下鉄11号線
Organismo autónomo,自治機構
Rentería,エレンテリア
Esade,ESADE
Firgas,フィルガス (ラス・パルマス)
