Margareta Kozuch,マルガレーテ・コズーフ
Alan Banaszek,アラン・バナシェク
Agata Kornhauser-Duda,コルンハウゼル・ドゥダ
Mateusz Bieniek,マテウシュ・ビエニエク
Rafał Kurzawa,ラファウ・クルザワ
Damian Gąska,ダミアン・ゴンスカ
Bartosz Frankowski,バルトシュ・フランコフスキー
Babatunde Aiyegbusi,ババテュンデ・アエグブシ
Jan Duda,ヤン・タデウシュ・ドゥダ
Ryszard Szadziewski,ルィシャルト・サジェフスキ
Wojciech Giłka,ヴォイチェフ・ギウカ
Wiesław Krzemiński,ヴィェスワフ・クシェミンスキ
Witold Wróblewski,ヴィトルト・ヴルブレフスキ
Łukasz Czepiela,ルーク・チェピエラ
Andrzej Kaźmierski,アンジェイ・カジミェルスキ
Ewa Krzemińska,エヴァ・クシェミンスカ
Piotr Węgrzynowicz,ピョトル・ヴェングジノヴィチ
Patrycja Dominiak,パトルィツィヤ・ドミニャク
Marta Zakrzewska,マルタ・ザクシェフスカ
Jerzy Kwieciński,イェジ・クフィェチンスキ
Stanisław Kowalski,スタニスワフ・コワルスキ
Paweł Franczak,パヴェウ・フランチャク
Jacek Góralski,ヤツェク・ゴラルスキ
Matty Cash,マティ・キャッシュ
Małgorzata Stpiczyńska,マウゴジャタ・ストピチンスカ
Jakub Kornhauser,ヤクブ・コルンハウザー
Alicja Alwin-Kownacka,アリツィア・アルヴィン＝コヴナツカ
Oskar Zawada,オスカル・ザワダ
Jerzy Michalak,イェジ・ミハラク
Ewa Piątkowska,エワ・ピアットコフスカ
Adam Majchrowicz,アダム・マイフロヴィチュ
Patryk Dziczek,パトリク・ジチェク
Kazimierz Albin,カジミエシュ・アルビン
Halina Piękoś-Mirek,ハリナ・ピェンコシ＝ミレク
Jakub Czerwiński,チェルビンスキ
Piotr Michalski,ピオトル・ミチャルスキ
Jan Pawlowski,Jan Pawlowski
Dawid Kudła,ダヴィド・クドワ
Zbigniew Mirek,ズビグニェフ・ミレク
Quiz,クイズ
Krzysztof Piątek,クシシュトフ・ピョンテク
Krzysztof Gawkowski,クシシュトフ・ガフコフスキ
Andrzej Stękała,アンジェイ・ステンカワ
Tadeusz Michalik,タデウシュ・ミハリク
Radosław Majecki,ラドスワフ・マイェツキ
Olga Lubecka-Helfgot,オルガ・ルベツカ=ヘルフゴット
Kasia Moś,カーシャ・モシュ
Maria Sajdak,マリア・シュプリンヴァルト
Kamil Jóźwiak,カミル・ヨズヴィアク
Agata Ozdoba,アガタ・オズドバ
Jacek Szwedo,ヤツェク・シュフェド
Jarosław Niezgoda,ヤロスワフ・ニェズゴダ
Adam Zając,アダム・ザヨンツ
Michał Cieślak,ミハル・チェスラック
Regina Safirsztajn,レジーナ・ザファーシュタイン
Piotr Żak,ピョートル・ジャック
Barbara Nowacka,バルバラ・ノヴァツカ
Natasha Starr,ナターシャ・スター
Paulina Hennig-Kloska,パウリナ・ヘニク＝クロスカ
Alina Scholtz,アリナ・ショルツ
Stefan Kazimierz Spiess,ステファン・スピース
Krzysztof Rak,クリストフ・ラク
Piotr Zioła,ピオトル・ジオワ
Françoise Frenkel,フランソワーズ・フレンケル
Stanisław Grzeszczuk,スタニスワフ・グジェシュチュク
Joanna Majdan,ヨアンナ・マイダン
Marek Pęk,マレク・ペンク
Kamil Wojtkowski,カミル・ヴォイトコフスキ
Adam Szłapka,アダム・シュワプカ
Katarzyna Lubnauer,カタジナ・ルブナウェル
Mateusz Lis,マテウシュ・リス
Iga Świątek,イガ・シフィオンテク
Damian Szymański,ダミアン・シマンスキ
Ewa Brodnicka,エワ・ブロトニチェカ
Cyryl Kozaczewski,ツィリル・コザチェフスキ
Robert Gumny,ロベルト・グムニー
Radosław Kamiński,ラドスラフ・カミンスキー
Jarosław Jach,ヤロスワフ・ヤッハ
Arkadiusz Reca,アルカジウス・レカ
Maciej Eder,マチェイ・エデル
Michał Czarnecki,ミハウ・チャルネツキ
Szymon Nehring,シモン・ネーリング
Agnieszka Smoczyńska,アグニェシュカ・スモチンスカ
Michalina Olszańska,ミハリーナ・オルシャンスカ
Ilona Stawińska,イロナ・スタウィンスカ
Michał Rachoń,ミハウ・ラホニュ
Anna Siedlecka,アンナ・シェドレツカ
Teresa Czerwińska,テレサ・チェルヴィンスカ
Przemysław Czarnek,プシェミスワフ・チャルネク
Janina Altman,ヤニナ・アルトマン
Samuel Pereira,サムエル・ペレイラ
Leszek Lejczyk,レシェク・レイチク
Martyna Łukasik,マルティナ・ウカシク
Kamil Semeniuk,カミル・セメニュク
Jan Skrzydlewski,ヤン・スクシドレフスキ
Elżbieta Sontag,エルジュビェタ・ソンタク
Krzysztof Książek,クシシュトフ・クションジェク
Andrzej Cichocki,アンジェイ・チホツキ
Wojciech Olszański,ヴォイチェチ・オルシャンスキ
Przemysław Szymiński,プジェミスワフ・シミンスキ
Łukasz Niedziałek,ウカシュ・ニエジャウェク
Tobiasz Bernat,トビアス・ベルナット
Bogusław Szmygin,ボグスワフ・シュミギン
Andrzej Dziembowski,アンジェイ・ジエンボウスキー
Andrzej Duda,アンジェイ・ドゥダ
Przemysław Płacheta,プシェミスワフ・プワヘタ
Małgorzata Moczydłowska,マウゴジャタ・モチドゥウォフスカ
Marcin Piwczyński,マルチン・ピフチンスキ
Sebastian Szymański,セバスティアン・シマンスキ
Stefan Dziembowski,シュテファン・ジエンボウスキー
Krzysztof Śmiszek,クシシュトフ・シュミシェク
Jakub Wieczorek,ヤクブ・ヴィチェク
Ryszard Orłowski,リチャード・オーロウスキ
Kamil Lemieszewski,カミル・レミエシュフスキ
Piotr Wlazło,ピオトル・ヴラズウォ
Vladimir Yaroshenko,ウラジーミル・ヤロシェンコ
Robert Kania,ロバート・カニア
Kazimierz Czarnecki,カジミェシュ・クザルネッキ
Rafał Czuper,ラファウ・チュペル
Magdalena Kita,マグダレーナ・キタ
Agnieszka Niedźwiedź,アグニシュカ・ニエズビッチ
Stanislaw Knapowski,スタニスワフ・ナポウスキー
Ralph Kaminski,ラルフ・カミンスキ
Maksym Radziwiłł,Radziwiłł
Wanda Wierzchleyska,ワンダ・ヴィエルツクレイスカ
Jadwiga Zaleska-Mazurowska,ヤドヴィガ・ザレスカ＝マズロフスカ
Filip Wichman,フィリップ・ウィフマン
Michał Kurtyka,ミハウ・クリティカ
Michał Walski,ミハウ・ヴァルスキ
Gromee,グロミー
Patryk Klimala,パトリク・クリマラ
Tymoteusz Puchacz,ティモテウシュ・プハチ
Jacek Popiel,ヤツェク・ポピエル
Alan Czerwiński,アラン・チェルヴィンスキ
Piotr Wawrzyk,ピョートル・ヴァウルツィク
Jacek Andrzejewski,ジャセク・アンドルゼエフスキ
Mateusz Żukowski,マテウシュ・ジュコフスキ
Sebastian Kłosiński,セバスチャン・クロシンスキ
Szymon Sajnok,シュモン・サイノク
Andrzej Józwowicz,アンジェイ・ユズヴォヴィチ
Mateusz Rudyk,マテウシュ・ルディク
Wojciech Zaremba,ヴォイチェフ・ザレンバ
Dorota Kobiela,ドロタ・コビエラ
Filip Maciejuk,フィリップ・マチュイユク
Jadwiga Szubartowicz,ヤドウィガ・スズバルトヴィチ
Hanna Żudziewicz,ハンナ・ウジェヴィチ
Krzysztof Ciebień,クシシュトフ・チェベン
Bartosz Bielenia,バルトシュ・ビィエレニア
Stanisław Tomaszewski,スタニスワフ・トマシェフスキ
Szymon Żurkowski,シモン・ジュルコフスキ
Anna Kamińska,アンナ・カミンスカ
Adrian Danek,アドリアン・ダネク
Maria Stenzel,マリア・ステンゼル
Kryscina Cimanouska,クリスツィナ・ツィマノウスカヤ
Mateusz Sochowicz,マテウシュ・ソホウィチュ
Tadeusz Żurowski,タデウシュ・ジュロフスキ
Mateusz Praszelik,マテウシュ・プラスゼリク
Zbigniew Szeląg,ズビグニェフ・シェロンク
Nela Mała Reporterka,張諾連
Aneta Wojewódzka,アネタ・ヴォイェヴツカ
Tekla Juniewicz,テクラ・ユニェヴィチ
Radosław Poleski,ラドスワフ・ポレスキ
Salomon Rosenblum,サロモン・ローゼンブルム
Adolf Kita,アドルフ・キタ
Piotr Müller,ピョートル・ミュラー
Krzysztof Spalik,クシシュトフ・スパリク
Julia Kowalczyk,ユリア・コバルチク
Beata Pacut,ベアタ・パツト
Katarzyna Ucherska,カタジナ・ウチェルスカ
Magdalena Kajrowicz,マグダレナ・カイロヴィッチ
Mariusz Wróblewski,マリウシュ・ワゥルブレフスキ
Bartosz Płachno,バルトシュ・ヤン・プワフノ
Igor Sikorski,イゴル・シコルスキ
Stefan Wojtas,ステファン・ヴォイタス
Olivia Różański,オリビア・ロジャンスキ
Julia Wieniawa,ジュリア・ウィエニアワ
Weronika Łukaszewska,ウェロニカ・ウカシェフスカ
Klaudia Alagierska,クラウディア・アラギェルスカ
Julia Nowicka,ユリア・ノビツカ
Barbara Enholc-Narzyńska,バルバラ・エンホルク＝ナルジニスカ
Witold Śmidowski,ヴィトルト・シミドフスキ
Tadeusz Kościński,タデウシュ・コシチンスキ
Leszek Daszkiewicz,レシェク・ダシュキェヴィチ
Czesław Bil,チェスワフ・ビル
Jakub Moder,ヤクブ・モデル
Michał Kołodziejski,ミハウ・コロジェイスキ
Zbigniew Gniatkowski,ズビグニェフ・ニャトコフスキ
Henryka Małdyk,ヘンリカ・マウディク
Karol Niemczycki,カロル・ニェムチツキ
Grzegorz Wolski,グジェゴシュ・ヤクプ・ヴォルスキ
Kamil Grabara,カミル・グラバラ
Gosia Rdest,ゴシア・ルデスト
Halina Słojewska,ハリナ・スロジェフスカ
Tomasz Ritter,トマシュ・リッター
Agnieszka Dziurda,アグニェシュカ・ジウルダ
Piotr Soszyński,ピオトル・ソシニスキ
Jekatierina Kurakowa,エカテリーナ・クラコワ
Filip Marchwiński,フィリプ・マルチヴィニスキ
Grzegorz Gajos,グジェゴシュ・ガヨス
Mateusz Młyński,マテウシュ・ムウィニスキ
Sebastian Walukiewicz,セバスティアン・ヴァルキエヴィツ
Józef Misiek,ヨーゼフ・ミシエク
Jacek Sutryk,ヤツェク・ストリク
Marlena Milwiw,マレーナ・ミルウィウ
Mateusz Bogusz,マテウシュ・ボグシュ
Agnieszka Dziemianowicz-Bąk,アグニェシュカ・ジェミャノヴィチュ＝ボンク
Teresa Głąbówna,テレサ・グワヴォウナ
Dagmara Kaźmierska,ダグマラ・カジミエルスカ
Sebastian Kowalczyk,セバスティアン・コヴァルチク
Kacper Tekieli,キャツペル・テキエリ
Magdalena Stysiak,マグダレナ・スティシャク
Roksana Węgiel,ロクサナ・ヴェンギエル
Jacek Izydorczyk,ヤツェク・イズィドルチク
Joanna Skoczek,ヨアンナ・スコチェク
Błażej Spychalski,ブワジョイ・スピハルスキ
Andrzej Szeptycki,アンジェイ・シェプティツキー
Aleksandra Dulkiewicz,アレクサンドラ・ドゥルキェヴィチ
Paweł Milewski,パヴェウ・ミレフスキ
Zuzanna Górecka,スザンナ・ゴレツカ
Magdalena Różańska,マグダレーナ・ローザンスカ
Serafin Szota,セラフィン・ショタ
Nicola Zalewski,ニコラ・ザレフスキ
Katarzyna Gajos,カタジナ・ガヨス
Jan Sobociński,ヤン・ソボチンスキ
Michał Skóraś,ミハウ・スコラシュ
Stefan Szymczykiewicz,ステファン・スィムズィクヴィチ
Jan Bohdan Gliński,ヤン・グリニスキ
Monika Chabel,モニカ・チャチュフ
Agnieszka Klonowiecka-Milart,アグニエシュカ・クロノヴィエツカ＝ミラート
Aleksander Buksa,アレクサンデル・ブクサ
Henryk Geringer de Oedenberg,ヘンリック・ゲーリンガー・デ・エーデンベルク
Bartosz Slisz,バルトシュ・スリシュ
Mateo Klimowicz,マテオ・クリモヴィッツ
Magdalena Biejat,マグダレナ・ビェヤト
Marcin Rybicki,マルツィン・リビツキ
Gabriela Morawska-Stanecka,ガブリエラ・モラフスカ＝スタネツカ
Katarzyna Kotula,カタジナ・コトゥラ
Jakub Kiwior,ヤクブ・キヴィオル
Kacper Kozłowski,カツペル・コズラフスキ
Teresa Nesteruk,テレサ・ネステルク
Jan Tandyrak,ヤン・タンディラク
Sławomir Siekierski,スワヴォミル・シエキエルスキ
Andrzej Budkiewicz,アンジェイ・ブドキエヴィッチ
Sławomir Mentzen,スワヴォミル・メンツェン
Kami,カミ
Bartosz Bokun,バルトシュ・ボクン
Marek Haltof,マレク ハルトフ
Olga Buława,オルガ・ブワワ
Martyna Wiankowska,マルティナ・ヴィアンコウスカ
Dariusz Wieczorek,ダリュシュ・ヴィェチョレク
Jakub Kamiński,ヤクブ・カミンスキ
Michał Karbownik,ミハエル・カルボニック
Kamil Piątkowski,カミル・ピョンツコフスキ
Izabela Kowalska-Leszczyńska,イザベラ・コヴァルスカ
Daniel Hoyo-Kowalski,ダニエル・オジョ＝コヴァルスキ
Adrian Meronk,エイドリアン・メロンク
Kacper Żuk,カツペル・ジュク
Agnieszka Łobacz,アグニェシュカ・ウォバチュ
Viki Gabor,ヴィキ・ガボール
Eliza Rycembel,エリーザ・リチェムブル
Gabriel Slonina,ガブリエル・スロリナ
Dorota Hartwich,"ハルトヴィヒ, ドロタ"
Krzysztof Belczyński,クシシュトフ・ベルチンスキ
Adam Neumann,アダム・ノイマン
Wojciech Jama,ヴォイチェフ・ヤマ
Angelika Szymańska,アンジェリカ・シマンスカ
Przemysław Glapiński,プシェミスワフ・グラピンスキー
Edward Mosberg,エドヴァルト・モズベルク
Romana Pachucka,ロマーナ・パフツカ
Małgorzata Mandola,マウゴルザタ マンドラ
Magdalena Socha,マグダレナ・ソハ
Łukasz Różański,ルカシュ・ロザンスキー
Bartosz Białek,バルトシュ・ビャウェク
Rafał Gajos,ラファウ・ガヨス
Małgorzata Ruszkiewicz-Michalska,マウゴジャタ・ルシュキェヴィチ＝ミハルスカ
Malwina Wędzikowska,マルウィナ・ヴェンジコフスカ
Tadeusz Robak,タデウシュ・ロバク
Agata Gajos,アガタ・ガヨス
Magdalena Dipont,マグダレナ・ディポン
Nikola Karczewska,ニコラ・カルチェフスカ
Bartłomiej Spisak,バルトウォミェイ・スピサク
Piotr Sławiński,ピョートル・スワヴィンスキ
Karolina Bielawska,カロリナ・ビエラフスカ
Marta Chyczewska,マルタ・チチェフスカ
Mieczysław Treter,ミェチスワフ・トレテル
Maciej Musiałowski,マチェイ・ムシャウォフスキ
Krzysztof Cybiński,クシシュトフ・シビンスキ
Rafał Trześniewski,Rafał Trześniewski
Kacper Smoliński,カツペル・スモリンスキ
Stefan Mieszalski,シュテファン・ミエザルスキー
Stefan H. Kaszyński,シュテファン・H・カスィンスキ
Andrzej Niemyt,アンジェイ・ニーミット
Karolina Muller,カロリナ・ミュラー
Sandra Drzymalska,サンドラ・ドルジマルスカ
Polska 2050,ポーランド2050
Jeremy Sochan,ジェレミー・ソーハン
Bart Voitila,バート・ボイティラ
Karol Kapciński,カロル・カプチンスキ
Jadwiga Waszkiewicz,ヤドヴィガ・ヴァシュキエヴィッツ
Magdalena Górka,マグダレナ・ゴルカ
Krystian Adam,クリスティアン・アダム
Szczepan Siekierka,シュチェパン・シエキエルカ
Bartosz M. Kowalski,バルトシュ・M・コワルスキー
Stanisław Frejlak,スタニスワフ・フレジラク
Bernard Jancewicz,ベルナルド・ヤンツェヴィッチ
Małgorzata Wierzbicka,マウゴジャタ・ヴィェジュビツカ
Marcel Lotka,マルセル・ロトカ
Kasia Lenhardt,カシア・レンハルト
Helena Krasowska,ヘレナ・クラソフスカ
Daniel Berlinski,Daniel Berlinski
Mateusz Dorożyński,マテウス・ドロジンスキー
Piotr Sierzputowski,ピオトル・シェルツプトウスキー
Mateusz Łasowski,マテウス・ラソウスキー
Natalia Jamróz,Natalia Jamróz
Sebastian Dela,セバスティアン・デラ
Zofia Kosturkiewicz,ゾフィア・コストゥルキエヴイッチ
Zdzisław Regulski,ズディスワフ・レグルスキー
Damian Kulec,ダミアン・クレック
Julia Słupecka,Julia Słupecka
Józef Jaroszyński,ヨゼフ・ヤロシンスキ
Ryszard Frąckiewicz,リシャルト・フロンツキエヴィチ
Maria Papa Rostkowska,マリア・パーパ・ロスコウスカ
Filip Majchrowicz,フィリップ・マイクロヴィチ
Katarzyna Wenerska,カタジナ・ベネルスカ
Oliwia Bieniuk,オリウィア・ビエニュク
Beata Jasińska,Beata Jasińska
Włodzimierz Wójcik,ヴウォジミェシュ・ヴォイチック
Krystian Ochman,クリスティアン・オフマン
Mateusz Łęgowski,マテウシュ・ウェンゴフスキ
Barbara Lem,バルバラ・レム
Daria,ダリア
Jakub Kuszlik,ヤクブ・クシュリック
Kamil Pacholec,カミル・パホレツ
Tadeusz Łysiak,タデウシュ・ウイッチャク
Wojciech Fuliński,ヴォイチェフ・フリンスキ
Martyna Byczkowska,マルティナ・ビシュコフスカ
Agnieszka Buczyńska,アグニェシュカ・ブチニスカ
Monika Frajczyk,モニカ・フラジク
Krzysztof Ostrowski,K. オストロフスキ
Karolina Żebrowska,カロリナ・ジェブロフスカ
Bartłomiej Gajos,バルトウォミェイ・ガヨス
Piotr Wiśnicki,ピョートル・ウィスニッキ
Patrycja Topajew,パトリチャ・トパジュ
Bożysław Bogdaniuk,ボジスワフ・イェジー・ボグダニウク
Marissa,マリッサ
Kamil Pruban,カミル・プルバン
Anna Ścigalska,アンナ・シガルスカ
Beata Bandurska,ベアタ・バンドゥルスカ
Trill Pem,トリル・ペム
Mateusz Wójcik,マテウシュ・ヴォイチック
Mateusz Wójcik,マテウシュ・ヴォイチック
Mateusz Wójcik,マテウシュ・ヴォイチック
Mateusz Wójcik,マテウシュ・ヤン・ヴォイチック
Magdalena Anna Hofmann,マグダレーナ・アンナ・ホフマン
Aleksander Leskowicz,アレクサンダー・レスコヴィッツ
Marzena Czarnecka,マジェナ・チャルネツカ
Andrzej Domański,アンドジェイ・ドマニスキ
Piotr Zemła,ピョトル・ゼムワ
Maher Ben Hlima,マヘル・ベン・フリマ
Kamila Urzędowska,カミラ・ウルゼドフスカ
Tomasz Sygut,トマシュ・スィグト
Joanna Dunikowska-Paź,ヨアンナ・ドゥニコフスカ＝パシュ
Marta Stalmierska,マルタ・スタルミエルスカ
Jan Cięciara,ヤン・シエンシアラ
