José Luis Panizo,ホセ・ルイス・パニーソ
Iker Muniain,イケル・ムニアイン
Juan de Borbón,フアン
Dani Pedrosa,ダニ・ペドロサ
Quique Rivero,エンリケ・リベロ
Sergi Enrich,セルジ・エンリク
Juan Bautista Topete,フアン・バティスタ・トペーテ
Manolo Caracol,マノロ・カラコール
David Tavaré,ダビ・タバレー
Nicolás Cabrera,ニコラス・カブレラ
Gaspar de Bracamonte Guzmán,ガスパール・デ・ブラカモンテ
Adrián López Álvarez,アドリアン・ロペス・アルバレス
Pablo Ibáñez,パブロ・イバニェス
Ariel Ibagaza,アリエル・イバガサ
Raúl Bravo Sanfélix,ラウール・ブラボ
Ricardo Penella Arias,リカルド・ペネージャ・アリアス
Rafael Gómez Ortega,ラファエル・ゴメス・オルテガ
Alexander García Düttmann,アレクサンドル・ガルシア・デュトマン
Américo Castro,アメリコ・カストロ
Juan del Encina,フアン・デル・エンシーナ
Verónica Boquete Giadáns,ベロニカ・ボケーテ
Ana Mariscal,アナ・マリスカル
Míchel Herrero,ミゲル・アルフォンソ・エレーロ
Rivaldo,リバウド
Joan Massià,ジュアン・マッシア
Gemma Mengual,ヘマ・メングアル
Álvaro de Orleans y Sajonia-Coburgo-Gotha,アルバロ・デ・オルレアンス
Rafael Gil,ラファエル・ギル
Ángel Pedraza,アンヘル・ペドラサ
Ribair Rodríguezzz,リバイル・ロドリゲス
Diego López Pacheco y Portugal,ディエゴ・ロペス・パチェコ・イ・ポルトガル
Diego Martín,ディエゴ・マルティン
Diego López Rodríguez,ディエゴ・ロペス・ロドリゲス
David Mateos,ダビド・マテオス
Sergio Ramos,セルヒオ・ラモス
Ana Wagener,アナ・ヴァジューネ
Paco Gento,フランシスコ・ヘント
Diego Ortiz,ディエゴ・オルティス
Luis José de Vendôme,ルイ・ジョゼフ・ド・ブルボン
Carlos Salinas de Gortari,カルロス・サリナス・デ・ゴルタリ
Eduard Fernández,エドゥアルド・フェルナンデス
Telesforo Aranzadi,テレフォーロ・アランサディ
Diego Mariño Villar,ディエゴ・マリーニョ
Alaska,アラスカ
Manuela Velasco,マヌエラ・ベラスコ
Antoni Peña Picó,アントニオ・ペーニャ
Jacinto Caamaño,ハシント・カーマニョ
Ana Galindo Santolaria,アナ・ガリンド・サントラリア
Ferenc Puskás,フェレンツ・プスカシュ
Diego Camacho Quesada,ディエゴ・カマーチョ
León Felipe,レオン・フェリペ
Andoni Agirregomezkorta,アンドニ・アギレゴメスコルタ
Diego Capel,ディエゴ・カペル
Marcel Granollers,マルセル・グラノリェルス
Enrique García Asensio,エンリケ・ガルシーア・アセンシオ
Julia Navarro,フリア・ナバーロ
John Carlin,ジョン・カーリン
Wellington Paulista,ヴェリントン・ペレイラ・ド・ナシメント
Lauren Bisan-Etame,ローレン・エタメ・マイヤー
Antonio Soler Ramos,アントニオ・ソレール
Juan Jose Francisco de Sámano y uribarri,フアン・ホセ・デ・サマノ・イ・ウリバリ
Asier Etxeandía,アシエル・エチェアンディア
Luis Fernández,ルイス・フェルナンデス
Gonzalo Torrente Ballester,ゴンサロ・トレンテ・バジェステール
Felipe Poey,フェリペ・ポエ
Carlos Velasco Carballo,カルロス・ベラスコ・カルバージョ
Pierre Webó,ピエール・ウェボ
Domingo de Soto,ドミンゴ・デ・ソト
Luis de Narváez,ルイス・デ・ナルバエス
Esperanza Aguirre,エスペランサ・アギーレ
José de Posada Herrera,ホセ・ポサーダ・エレーラ
Domingo Matheu,ドミンゴ・マテウ
Antonio Adán,アントニオ・アダン
Andréi Xepkin,アンドレイ・シェプキン
Nacho Fernández Iglesias,ナチョ
Sergio Asenjo,セルヒオ・アセンホ・アンドレス
Miguel Torres Gómez,ミゲル・トーレス
José Manuel Calderón,ホセ・カルデロン
Manuel Godoy,マヌエル・デ・ゴドイ
José López Domínguez,ホセ・ロペス・ドミンゲス
Alberto Ponce,アルベルト・ポンセ
Eduardo Martínez Somalo,エドゥアルド・マルティネス・ソマロ
José Luis Guerín,ホセ・ルイス・ゲリン
Luis Mariano,ルイス・マリアーノ
Ander Herrera,アンデル・エレーラ
Nicanor Zabaleta Zala,ニカノール・サバレタ
Juan Alonso Pérez de Guzmán y de Ribera,フアン・アロンソ・ペレス・デ・グスマン
Josefa Fernanda de Borbón,ホセフィーナ・フェルナンダ・デ・ボルボン
Luisa Teresa de Borbón,ルイサ・テレサ・デ・ボルボン
Javier Olaizola,ハビエル・オライソラ
Jesús Landáburu,ヘスス・ランダブル
Jordi Cervelló,ジョルディ・セルベリョ
Francisco Silvela,フランシスコ・シルヴェラ
Francisco Ceinos,フランシスコ・セイノス
Dionisio Alcalá Galiano,ディオニシオ・アルカラ・ガリアーノ
Diego de Rosales,ディエゴ・デ・ロサーレス
Francisco Suárez,フランシスコ・スアレス
Juan Luis Vives,フアン・ルイス・ビベス
César Sánchez Domínguez,セサル・サンチェス
Recesvinto,レケスウィント
Juan de Ribera,フアン・デ・リベラ
Pedro Mendinueta,ペドロ・メンディヌエタ
Juan Carlos Arteche,フアン・カルロス・アルテチェ
Javier Arenas Bocanegra,ハビエル・アレナス
Iván Campo,イバン・カンポ
Eneko Arieta,エネコ・アリエタ
José Santamaría,ホセ・サンタマリア
Julio Rey Pastor,フリオ・レイ・パストル
Íñigo Liceranzu,ヘスス・イニゴ・リセランス
Nicanor Sagarduy Gonzalo,ニカノル・サガルドゥイ・ゴンサロ
Imanol Etxeberria,イマノル・エトヘベリア
Olivier Martinez,オリヴィエ・マルティネス
Carlos Amigo,カルロス・アミーゴ・ファレホ
David Lombán,ダビド・ロンバン
José Rivero,ホセ・リベロ
Alberto Iñurrategi,アルベルト・イニュラテギ
Francisco Mancebo,フランシスコ・マンセボ
Mariano Pernía,マリアーノ・ペルニア
Iván de la Peña López,イバン・デ・ラ・ペーニャ
José de Anchieta,ジョゼ・デ・アンシエタ
Joaquín Sánchez de Toca Calvo,ホアキン・サンチェス・デ・トカ
Luis Sotelo,ルイス・ソテロ
Maxi Iglesias,マキシ・イグレシアス
Roberto Fresnedoso,ロベルト・フレスネドソ
Ricardo Bofill Leví,リカルド・ボフィル
Federico Roncali,フェデリコ・ロンカリ
Marcelo Azcárraga Palmero,マルセロ・アスカラガ・パルメロ
Universidad de Alcalá,アルカラ大学
Bernal Díaz del Castillo,ベルナル・ディアス・デル・カスティリョ
Andrés Gimeno,アンドレス・ヒメノ
Kiyoshi Uematsu,キヨシ・ウエマツ
Sugoi Uriarte,スゴイ・ウリアルテ
Francisco Sánchez de las Brozas,フランシスコ・サンチェス・デ・ラス・ブロッサス
Julio González,ジュリオ・ゴンザレス
Dídac Vilà,ディダク・ビラ
Víctor Sánchez Mata,ビクトール・サンチェス・マタ
Raúl García Escudero,ラウール・ガルシア
Albert Ferrer,アルベルト・フェレール
Alejandro O'Reilly,アレハンドロ・オレイリー
Juan Francisco Casas,フアン・フランシスコ・カサス
Francisco Galdós,フランシスコ・ガルドス
Óscar Vales,オスカル・バレス
Miguel de Andrés,ミゲル・デ・アンドレス
Jorge Garbajosa,ホルヘ・ガルバホサ
Mateo Alemán,マテオ・アレマン
José Miaja,ホセ・ミアジャ
Manuel Enrique Mejuto González,マヌエル・メフト・ゴンサレス
Andoni Iraola,アンドニ・イラオラ
Iosu Olalla,ヘスース・オラーリャ
Antonio Ugalde García,アントニオ・ウガルテ
Pilar Revuelta,ピラール・レベルタ
Pruden Sánchez,プルデン
Quino,ホアキン・ラバード
Samuel Sáiz,サムエル・サイス
Samuel Eto'o,サミュエル・エトー
Vicente Amigo,ビセンテ・アミーゴ
Rafael Sánchez Ferlosio,ラファエル・サンチェス・フェルロシオ
Javier Irureta,ハビエル・イルレタ
Antonio Carlos Ortega,アントニオ・カルロス・オルテガ
Jordi Núñez Carretero,ジョルディ・ヌニェス
Xavier O'Callaghan,シャビエル・オキャラハン
Eduardo Gómez Manzano,エドゥアルド・ゴメス
Denís Suárez,デニス・スアレス・フェルナンデス
Andoni Lakabeg,アンドニ・ラカベグ
Óscar Tabuenca,オスカル・タブエンカ
Vicente Iborra de la Fuente,ビセンテ・イボーラ
Thomas Christiansen,トーマス・クリスチャンセン
Francisco José Ayala,フランシスコ・アヤラ
Alfonso Pérez,アルフォンソ・ペレス
Fernando Savater,フェルナンド・サバテール
Iker Flores,イケール・フロレス
Jordi Savall,ジョルディ・サバール
Txiki Begiristain,アイトール・ベギリスタイン
Sete Gibernau,セテ・ジベルナウ
Juan Piquer Simón,ファン・ピケール・シモン
Sergio Gontán Gallardo,ケコ
Oriol Riera,オリオール・リエラ
Lupercio Leonardo de Argensola,ルペルシオ・レオナルド・デ・アルヘンソーラ
Francisco del Castillo y Fajardo,フランシスコ・カスティージョ・ファハルド
Santi Denia,サンティ・デニア
Paco Alcácer,フランシスコ・アルカセル
Lucas Alamán,ルカス・アラマン
Juan Domínguez Lamas,ファン・ドミンゲス・ラマス
Oriol Bohigas,ウリオル・ブイーガス
Nenê,アンデルソン・ルイス・デ・カルヴァーリョ
Manuel Vázquez Montalbán,マヌエル・バスケス・モンタルバン
Tote,ホルヘ・ロペス・マルコ
Rubén Suárez,ルベン・スアレス
Inocencio de la Inmaculada,メアリー・イマキュレートのインノセンシオ
Juan Carlos Gómez Díaz,フアン・カルロス・ゴメス
Ignacio Aldecoa,イグナシオ・アルデコア
Fernando de Baviera,フェルディナント・フォン・バイエルン
Agustín Sancho,サンチョ
Ramón Langa,ラモン・ランガ
Iñaki de Juana Chaos,イニャキ・デ・フアナ・チャオス
Dulcinea del Toboso,ドゥルシネア姫
Diego López de Cogolludo,ディエゴ・ロペス・デ・コゴジュード
José Luis Arilla,ホセ・ルイス・アリーラ
Antonio Betancort,アントニオ・ベタンコルト
Luis García Plaza,ルイス・ガルシア・プラサ
Antonio López García,アントニオ・ロペス・ガルシア
Nacho Vidal,ナチョ・ビダル
Abel Antón,アベル・アントン
Martín Chirino López,マルティン・チリノ
Ander Mirambell,アンデル・ミランベル
Alberto Toril,アルベルト・トリル
Albert Costa,アルベルト・コスタ
Lluís Domènech i Montaner,リュイス・ドメネク・イ・ムンタネー
Álvaro Brechner,アルバロ・ブレッヒナー
Antonio Nadal Homar,トニ・ナダル
Jesús Garay Vecino,ヘスス・ガライ
Javier Bonet-Manrique,ハビエル・ボネ
Francisco Javier Bosma,ハビエル・ボスマ
Joaquín Alonso,ホアキン・アロンソ
Quique Estebaranz,キケ・エステバランス
Roberto Dueñas,ロベルト・ドゥエニャス
Rafael Albaicín,ラファエル・アルバイシン
Juan Alfonso Baptista,フアン・アルフォンソ・バティスタ
Manuel Sanchís Hontiyuelo,マヌエル・サンチス・オンティジュエロ
Juan de Ávila,アビラの聖ヨハネ
Felipe González Ahedo,フェリペ・ゴンサーレス・アエード
David Rodríguez Sánchez,ダビド・ロドリゲス
Julio Anguita,フリオ・アンギータ
Álex Bergantiños,アレックス・ベルガンティニョス
Eduardo Ibáñez y García de Velasco,エドゥワルド・イバニェス・イ・ガルシア・デ・ベラスコ
Iñaki Bea,イニャキ・ビー
Manuel Orantes,マニュエル・オランテス
Gonzalo Fernández de Córdoba,ゴンサロ・フェルナンデス・デ・コルドバ
Diego de Torres Villarroel,ディエゴ・デ・トレス・ビジャロエル
Juan Manuel López Martínez,フアンマ (1969年生のサッカー選手)
Miguel Ángel Tena,ミゲル・アンヘル・テナ
Andrés Nin,アンドレウ・ニン
Joaquín Turina,ホアキン・トゥリーナ
Abelardo Fernández,アベラルド・フェルナンデス・アントゥーニャ
Abel Resino,アベル・レシーノ
Alfonso Caycedo Lozano,アルフォンソ・カイセド
Albert Miralles,アルベルト・ミラジェス
Juanjo Guarnido,フアンホ・ガルニド
Alfredo Evangelista,アルフレッド・エヴァンゲリスタ
José Pérez Francés,ホセ・ペレス・フランセス
Josep Terricabras,ジュゼップ・マリーア・タリカブラス
Carlos Semprún,カルロス・センプルン
Fernando Fernán Gómez,フェルナンド・フェルナン・ゴメス
Baltasar Garzón,バルタサール・ガルソン
Federico Baráibar,フェデリコ・バライバル
Russian Red,ロシアン・レッド
Rodrigo González de la Puebla,ロドリゴ・デ・プエブラ
Jordi Codina,ジョルディ・コディーナ
Francisco Ballesteros,フランシスコ・バリェステロス
Luis Vélez de Guevara,ルイス・ベレス・デ・ゲバラ
Miguel Ángel Blanco,ミゲル・アンヘル・ブランコ
Jacobo Fitz-James Stuart y Falcó,ハコボ・フィツ＝ハメス・ストゥアルト・イ・ファルコ
Toni Jiménez,トニ・ヒメネス
Rafael del Pino Moreno,ラファエル・デル・ピノ
Juan Hernández Saravia,フアン・エルナンデス・サラビア
Francisco Sobrino Ochoa,フランシスコ・ソブリノ
Diego de Estella,ディエゴ・エステラ
Juan Garaizabal,フアン・ガライサバル
Pablo Orbaiz,パブロ・オルバイス
Gerónimo Giménez,ヘロニモ・ヒメネス
José de Viera y Clavijo,ホセ・ビエラ・イ・クラビホ
Léo Baptistinho,レオナルド・カリーリョ・バティスタン
José Mari Bakero,ホセ・マリア・バケーロ
Pedro Uralde,ペドロ・ウラルデ
Unai Vergara,ウナイ・ベルガラ
Ricardo Sáenz de Ynestrillas Pérez,リカルド・サエンス・デ・イネストリーリャス・ペレス
Carlos de Aragón de Gurrea y de Borja,カルロス・デ・アラゴン・デ・グレア・イ・デ・ボルハ
Juan Bermúdez,フアン・ベルムデス
Isacio Calleja,イサシオ・カジェハ
Ventura Rodríguez,ベントゥーラ・ロドリゲス
Eduardo Manchón,マンチョン
José Antonio Nieves Conde,ホセ・アントニオ・ニーブス・コンデ
Gabriel Delgado López,ガビ・デルガド
Calixto Bieito,カリスト・ビエイト
Marcelino Martínez Cao,マルセリーノ・マルティネス
Narciso Heredia y Begines de los Ríos,ナルシソ・エレディア
Jesús Galíndez,ヘスス・ガリンデス
Juan Carlos Izagirre,フアン・カルロス・イサギーレ
Carles Coto,カルレス・コト
Rita de Acosta Lydig,リタ・デ・アコスタ
Joan Clos,ジョアン・クロス
Roberto Camardiel,ロベルト・カマルディエル
Eduard Toldrà,エドゥアルド・トルドラ
