ana de la reguera,アナ・デ・ラ・レゲラ,ana・de・ra・regera
germán valera,ヘルマン・バレラ,heruman・barera
maria branyas morera,マリア・ブラニャス・モレラ,maria・buranyasu・morera
javier lópez carballo,ハビエル・ロペス・カルバージョ,habieru・ropesu・karubājo
arnau tenas,アルナウ・テナス,arunau・tenasu
carlos alcaraz,カルロス・アルカラス,karurosu・arukarasu
unai vencedor,ウナイ・ベンセドール,unai・bensedōru
belén garcía,ベレン・ガルシア,beren・garushia
rafael gómez nieto,ラファエル・ゴメス・ニエト,rafaeru・gomesu・nieto
óscar clemente,オスカル・クレメンテ,osukaru・kuremente
kike saverio,キケ・サベリオ,kike・saberio
josé pinós i comes,ホセ・ピノス・イ・コメス,hose・pinosu・i・komesu
fer niño,フェルナンド・ニーニョ,ferunando・nīnyo
miguel gutiérrez ortega,ミゲル・グティエレス・オルテガ,migeru・gutieresu・orutega
saturnino de la fuente garcía,サトゥルニノ・デ・ラ・フエンテ・ガルシア,saturunino・de・ra・fuente・garushia
joan femenías,ホアン・フェメニアス,hoan・femeniasu
ismael saibari,イスマエル・サイバリ,isumaeru・saibari
jon pacheco,ジョン・パチェコ,jon・pacheko
ilia topuria,イリア・トプリア,iria・topuria
miguel baeza,ミゲル・バエサ,migeru・baesa
pilar palomero,ピラール・パロメロ,pirāru・paromero
diego fuoli,ディエゴ・フオーリ,diego・fuōri
martín calderón,マルティン・カルデロン,marutin・karuderon
marvin park,マルビン・パーク,marubin・pāku
joan monterde,ホアン・モンテルデ,hoan・monterude
raúl moro,ラウール・モロ,raūru・moro
diego conde,ディエゴ・コンデ,diego・konde
pep chavarría,ペップ・チャバリア,peppu・chabaria
jon morcillo,ホン・モルシージョ,hon・morushījo
óscar mingueza,オスカル・ミンゲサ,osukaru・mingesa
abel góngora,アベル・ゴンゴラ,aberu・gongora
jaume cuéllar,ジャウメ・クエジャル,jaume・kuejaru
guille rosas,ギジェ・ロサス,gije・rosasu
aitor paredes,アイトール・パレデス,aitōru・paredesu
rodrigo sánchez rodríguez,ロドリゴ・サンチェス・ロドリゲス,rodorigo・sanchesu・rodorigesu
álex millán,アレックス・ミジャン,arekkusu・mijan
nico williams,ニコ・ウィリアムズ,niko・wiriamuzu
eder gonzález,エデル・ゴンサレス,ederu・gonsaresu
sergio carreira,セルヒオ・カレイラ,seruhio・kareira
yéremi pino,ジェレミ・ピノ,jeremi・pino
gabri veiga,ガブリ・ベイガ,gaburi・beiga
iker pozo,イケル・ポソ,ikeru・poso
hugo novoa,ウーゴ・ノボア,ūgo・noboa
alejandro balde,アレックス・バルデ,arekkusu・barude
beñat prados,ベニャト・プラードス,benyato・purādosu
pedro acosta,ペドロ・アコスタ,pedoro・akosuta
julen lobete,フレン・ロベテ,furen・robete
julen agirrezabala,フレン・アギレサバラ,furen・agiresabara
taz skylar,タズ・スカイラー,tazu・sukairā
mario soriano,マリオ・ソリアーノ,mario・soriāno
pablo marín,パブロ・マリン,paburo・marin
ez abde,アブデ・エザルズリ,abude・ezaruzuri
raúl torrente,ラウール・トレンテ,raūru・torente
ferran jutglà,フェラン・ジュグラ,feran・jugura
carlos martín domínguez,カルロス・マルティン・ドミンゲス,karurosu・marutin・domingesu
adriana cerezo,アドリアーナ・セレソ,adoriāna・sereso
ana pérez box,アナ・ペレス・ボクス,ana・peresu・bokusu
arnau puigmal,アルナウ・ピグマル,arunau・pigumaru
xeber alkain,シェベル・アルカイン,sheberu・arukain
alberto moleiro,アルベルト・モレイロ,aruberuto・moreiro
alejandro cantero,アレハンドロ・カンテロ,arehandoro・kantero
nico serrano,ニコ・セラーノ,niko・serāno
imanol garcía de albéniz,イマノル・ガルシア・デ・アルベニス,imanoru・garushia・de・arubenisu
martín garcía garcía,マルティン・ガルシア・ガルシア,marutin・garushia・garushia
carlos domínguez cáceres,カルロス・ドミンゲス・カセレス,karurosu・domingesu・kaseresu
félix plasencia,フェリックス・プラセンシア,ferikkusu・purasenshia
jon magunazelaia,ジョン・マグナセライア,jon・magunaseraia
sergio santos,セルヒオ・サントス,seruhio・santosu
josep gayá,ジョゼップ・ガヤ,jozeppu・gaya
bryan zaragoza,ブライアン・サラゴサ,buraian・saragosa
álvaro fernández carreras,アルバロ・フェルナンデス・カレーラス,arubaro・ferunandesu・karērasu
juan luis sánchez velasco,フアン・ルイス・サンチェス・ベラスコ,fuan・ruisu・sanchesu・berasuko
rubén iranzo,ルベン・イランソ,ruben・iranso
mika mármol,ミカ・マルモル,mika・marumoru
josé ángel carmona,ホセ・アンヘル・カルモナ,hose・anheru・karumona
nico paz,ニコ・パス,niko・pasu
dean huijsen,ディーン・ハイセン,dīn・haisen
pablo torre,パブロ・トーレ,paburo・tōre
diego lópez noguerol,ディエゴ・ロペス・ノゲロル,diego・ropesu・nogeroru
joan gonzález,ジョアン・ゴンサレス,joan・gonsaresu
hugo bueno,ウーゴ・ブエノ,ūgo・bueno
hugo álvarez antúnez,ウーゴ・アルバレス・アントゥネス,ūgo・arubaresu・antunesu
iker bravo,イケル・ブラボ,ikeru・burabo
mario gila,マリオ・ヒラ,mario・hira
césar tárrega,セサル・タレガ,sesaru・tarega
beñat labaien,ベニャート・ラバイン,benyāto・rabain
carlos dotor,カルロス・ドトール,karurosu・dotōru
jorge herrando,ホルヘ・エランド,horuhe・erando
gerard yepes,ジェラール・イエペス,jerāru・iepesu
leo román,レオ・ロマン,reo・roman
alejandro garnacho,アレハンドロ・ガルナチョ,arehandoro・garunacho
stefan bajčetić,ステファン・バイチェティッチ,sutefan・baichetitchi
juan larios,フアン・ラリオス,fuan・rariosu
sergi altimira,セルジ・アルティミラ,seruji・arutimira
lamine yamal,ラミン・ヤマル,ramin・yamaru
ángel algobia,アンヘル・アルゴビア,anheru・arugobia
iván fresneda,イバン・フレスネダ,iban・furesuneda
marc jurado,マルク・フラド,maruku・furado
kike salas,キケ・サラス,kike・sarasu
víctor barberà,ビクトル・バルベラ,bikutoru・barubera
félix garreta,フェリックス・ガレタ,ferikkusu・gareta
gorka rivera,ゴルカ・リベラ,goruka・ribera
marc guiu,マルク・ギウ,maruku・giu
pau cubarsí,パウ・クバルシ,pau・kubarushi
gonzalo garcía torres,ゴンサロ・ガルシア・トーレス,gonsaro・garushia・tōresu
héctor fort,エクトル・フォルト,ekutoru・foruto
alberto marí,アルベルト・マリ,aruberuto・mari
álex valle,アレックス・バジェ,arekkusu・baje
assane diao,アサン・ディアオ,asan・diao
ángel alarcón,アンヘル・アラルコン,anheru・ararukon
ander astralaga,アンデル・アストララガ,anderu・asutoraraga
isaac romero,イサーク・ロメロ,isāku・romero
pablo busto,パブロ・ブスト,paburo・busuto
samuel omorodion,サムエル・オモロディオン,samueru・omorodion
méxico,メキシコ,mekishiko
zacatecas,サカテカス,sakatekasu
nuevo laredo,ヌエボ・ラレド,nuebo・raredo
coahuila,コアウイラシュウ,koauirashuu
hermosillo,エルモシージョ,erumoshījo
estadio azteca,エスタディオ・アステカ,esutadio・asuteka
peso mexicano,メキシコ・ペソ,mekishiko・peso
morelia,モレリア,moreria
espanglish,スパングリッシュ,supangurisshu
aguascalientes,アグアスカリエンテス,aguasukarientesu
academia de san carlos,アカデミア・デ・サン・カルロス,akademia・de・san・karurosu
chihuahua,チワワシュウ,chiwawashuu
televisa,テレビサ,terebisa
molokanes,モロカンハ,morokanha
las californias,ラス・カリフォルニアス,rasu・kariforuniasu
mexicali,メヒカリ,mehikari
kabah,カバー,kabā
saltillo,サルティーヨ,sarutīyo
chichén itzá,チチェン・イッツァ,chichen・ittsa
baja california,バハ・カリフォルニアシュウ,baha・kariforuniashuu
chiapas,チアパスシュウ,chiapasushuu
cuernavaca,クエルナバカ,kuerunabaka
niños héroes,ニーニョス・エロエス,nīnyosu・eroesu
zapopan,サポパン,sapopan
yucatán,ユカタンシュウ,yukatanshuu
san luis potosí,サン・ルイス・ポトシ,san・ruisu・potoshi
tuxtla gutiérrez,トゥストラ・グティエレス,tusutora・gutieresu
estadio de béisbol monterrey,エスタディオ・デ・ベイスボル・モンテレイ,esutadio・de・beisuboru・monterei
guadalajara,グアダラハラ,guadarahara
cancún,カンクン,kankun
jalisco,ハリスコシュウ,harisukoshuu
colima,コリマシュウ,korimashuu
guanajuato,グアナフアト,guanafuato
culiacán,クリアカン,kuriakan
villahermosa,ビヤエルモサ,biyaerumosa
morelos,モレロスシュウ,morerosushuu
chocolate caliente,ホット・チョコレート,hotto・chokorēto
tepic,テピク,tepiku
torreón,トレオン,toreon
aeroméxico,アエロメヒココウクウ,aeromehikokoukuu
aeroméxico connect,アエロメヒコ・コネクト,aeromehiko・konekuto
mesoamérica,メソアメリカ,mesoamerika
xalapaenríquez,ハラパ,harapa
querétaro,ケレタロシュウ,keretaroshuu
michoacán,ミチョアカンシュウ,michoakanshuu
mérida,メリダ,merida
vuelta a chihuahua,ブエルタ・チワワ・インテルナシオナル,bueruta・chiwawa・interunashionaru
uxmal,ウシュマル,ushumaru
durango,ドゥランゴシュウ,durangoshuu
teotihuacán,テオティワカン,teotiwakan
nuevo león,ヌエボ・レオンシュウ,nuebo・reonshuu
ciudad juárez,シウダー・フアレス,shiudā・fuaresu
puebla,プエブラシュウ,pueburashuu
nayarit,ナヤリットシュウ,nayarittoshuu
dzibilchaltún,ジビルチャルトゥン,jibirucharutun
autódromo hermanos rodríguez,エルマノス・ロドリゲス・サーキット,erumanosu・rodorigesu・sākitto
veracruz,ベラクルス,berakurusu
paricutín,パリクティンサン,parikutinsan
las estrellas,ラス・エストレージャス,rasu・esutorējasu
hospicio cabañas,オスピシオ・カバーニャス,osupishio・kabānyasu
quintana roo,キンタナ・ローシュウ,kintana・rōshuu
sinaloa,シナロアシュウ,shinaroashuu
tamaulipas,タマウリパスシュウ,tamauripasushuu
tlalpan,トラルパン,torarupan
tláhuac,トラウアック,torauakku
citlaltépetl,オリサバヤマ,orisabayama
álamos,アラモス,aramosu
los zetas,ロス・セタス,rosu・setasu
oaxaca,オアハカシュウ,oahakashuu
tabasco,タバスコシュウ,tabasukoshuu
campeche,カンペチェシュウ,kanpecheshuu
popocatépetl,ポポカテペトルサン,popokatepetorusan
tampico,タンピコ,tanpiko
calakmul,カラクムル,karakumuru
zona rosa,ソナ・ロサ,sona・rosa
volaris,ボラリス,borarisu
chetumal,チェトゥマル,chetumaru
club américa,クラブ・アメリカ,kurabu・amerika
monterrey,モンテレイ,monterei
escolapios,エスコラピオスシュウドウカイ,esukorapiosushuudoukai
tlaxcala,トラスカラシュウ,torasukarashuu
auditorio nacional,ナショナル・オーディトリアム,nashonaru・ōditoriamu
monte albán,モンテ・アルバン,monte・aruban
rambler classic,ランブラー・クラシック,ranburā・kurashikku
toniná,トニナ,tonina
el siglo de torreón,エル・シグロ・デ・トレオン,eru・shiguro・de・toreon
coatzacoalcos,コアツァコアルコス,koatsakoarukosu
mexcaltitán,メスカルティタン,mesukarutitan
algodoneros de guasave,アルゴドネロス・デ・グアサベ,arugodonerosu・de・guasabe
cemex,セメックス,semekkusu
cempoala,センポアラ,senpoara
mazatlán,マサトラン,masatoran
pulque,プルケ,puruke
tres zapotes,トレス・サポーテス,toresu・sapōtesu
chicha,チチャ,chicha
liga mexicana del pacífico,リーガ・メヒカーナ・デル・パシフィコ,rīga・mehikāna・deru・pashifiko
chapultepec,チャプルテペク,chapurutepeku
estadio cuauhtémoc,エスタディオ・クアウテモック,esutadio・kuautemokku
tequila,テキーラ,tekīra
sonora,ソノラシュウ,sonorashuu
baja california sur,バハ・カリフォルニア・スルシュウ,baha・kariforunia・surushuu
sisal,シサル,shisaru
tijuana,ティフアナ,tifuana
san cristóbal de las casas,サン・クリストバル・デ・ラス・カサス,san・kurisutobaru・de・rasu・kasasu
viesca,ビエスカ,biesuka
coatepec,コアテペク,koatepeku
cobá,コバー,kobā
club tijuana,クラブ・ティフアナ,kurabu・tifuana
club universidad nacional,クラブ・ウニベルシダ・ナシオナル,kurabu・uniberushida・nashionaru
interjet,インテルジェット,interujetto
comala,コマラ,komara
tlatlauquitepec,トゥラトゥラウキテペク,turaturaukitepeku
tajín,タヒン,tahin
huamantla,ウアマントゥラ,uamantura
mayapán,マヤパン,mayapan
celaya,セラヤ,seraya
cosalá,コサラ,kosara
kahlúa,カルーア,karūa
copa méxico,コパ・メヒコ,kopa・mehiko
estadio corona,エスタディオ・コロナ,esutadio・korona
colonia roma,コロニア・ローマ,koronia・rōma
cuicuilco,クィクィルコ,kwikwiruko
capulálpam de méndez,カプラルパム・デ・メンデス,kapurarupamu・de・mendesu
río rico,リオ・リコ,rio・riko
rito de los voladores,ダンサ・デ・ロス・ボラドーレス,dansa・de・rosu・boradōresu
macuilxóchitl,マクイルショチトル,makuirushochitoru
rally méxico,ラリー・メキシコ,rarī・mekishiko
san ángel,サン・アンヘル,san・anheru
tapijulapa,タピフラパ,tapifurapa
chiapa de corzo,チアパ・デ・コルソ,chiapa・de・koruso
bonampak,ボナンパク,bonanpaku
aridoamérica,アリドアメリカ,aridoamerika
la quemada,ラ・ケマーダ,ra・kemāda
municipio de el oro,ムニスィピオ・デ・エル・オロ,munisipio・de・eru・oro
interliga,インテルリーガ,interurīga
dorados de sinaloa,ドラドス・デ・シナロア,doradosu・de・shinaroa
la quebrada,ラ・ケブラーダ,ra・keburāda
aeromexpress,アエロメクスプレス,aeromekusupuresu
xtabentún,シュタベントゥン,shutabentun
magnicharters,マグニチャーターズ,magunichātāzu
grupo méxico,グルポ・メヒコ,gurupo・mehiko
ixil,イシルゾク,ishiruzoku
club necaxa,クルブ・ネカクサ,kurubu・nekakusa
club león,クラブ・レオン,kurabu・reon
kumiai,クミアイゾク,kumiaizoku
grupo lala,グルポ・ララ,gurupo・rara
