hebe camargo,ヘーペ・カマルゴ,hēpe・kamarugo
pará de minas,パラ・デ・ミナス,para・de・minasu
bradespar,ブラデスパル,buradesuparu
ibovespa,ボベスパシスウ,bobesupashisuu
triunfo,トリウンフォ,toriunfo
brasil telecom,ブラジル・テレコム,burajiru・terekomu
domingos martins,ドミンゴス・マルチンス,domingosu・maruchinsu
grupo globo,グルーポ・グローボ,gurūpo・gurōbo
caruaru,カルアル,karuaru
arapiraca,アラピラカ,arapiraka
araraquara,アララクアラ,ararakuara
itapagipe,イタパジペ,itapajipe
jequié,ジェキエー,jekiē
metrô do recife,メトロ・ド・レシフェ,metoro・do・reshife
nazaré,ナザレ,nazare
brumado,ブルマード,burumādo
picos,ピークス,pīkusu
carandaí,カランダイ,karandai
viçosa,ヴィソーザ,visōza
universo online,ウニヴェルソ・オンライン,univuェruso・onrain
agremiação sportiva arapiraquense,アグレミアソン・スポルチーヴァ・アラピラケンセ,aguremiason・suporuchīva・arapirakense
bumba meu boi,ブンバ・メウ・ボイ,bunba・meu・boi
banda black rio,バンダ・ブラック・リオ,banda・burakku・rio
anchieta,アンシエタ,anshieta
rede,レデカード,redekādo
marcopolo,マルコポーロ,marukopōro
fórmula truck,フォーミュラ・トラック,fōmyura・torakku
atlético roraima clube,アトレチコ・ロライマ・クルーベ,atorechiko・roraima・kurūbe
copa dos campeões,コパ・ドス・カンピオンイス,kopa・dosu・kanpionisu
copa joão havelange,コパ・ジョアン・アヴェランジェ,kopa・joan・avuェranje
bacamarte,バカマルテ,bakamarute
registro,レジストロ,rejisutoro
potiguar,ポティグアル,potiguaru
quinta da boa vista,キンタ・ダ・ボア・ヴィスタ,kinta・da・boa・visuta
habib's,ハビービス,habībisu
bola de prata,ボーラ・ジ・プラッタ,bōra・ji・puratta
associação chapecoense de futebol,アソシアソン・シャペコエンセ・ジ・フチボウ,asoshiason・shapekoense・ji・fuchibou
wta de florianópolis,ブラジル・テニス・カップ,burajiru・tenisu・kappu
clube do remo,クルーベ・ド・レモ,kurūbe・do・remo
associação sportiva sociedade unida,アソシアソン・スポルティーヴァ・ソシエダージ・ウニーダ,asoshiason・suporutīva・soshiedāji・unīda
catupiry,カトゥピリ,katupiri
global village telecom,グローバル・ヴィレッジ・テレコム,gurōbaru・virejji・terekomu
decasségui,デカセギ,dekasegi
shabono,シャボノ,shabono
novo basquete brasil,ノーヴォ・バスケット・ブラジル,nōvuォ・basuketto・burajiru
penalty,ペナルティ,penaruti
aberto de são paulo,プライム・カップ・オープン・サンパウロ,puraimu・kappu・ōpun・sanpauro
almah,アルマー,arumā
arquivo nacional,ナショナル・アーカイブ,nashonaru・ākaibu
taça independência,タッサ・インデペンデンシア,tassa・independenshia
maloca,マロカ,maroka
estádio aquático olímpico,エスタジオ・アクアティコ・オリンピコ,esutajio・akuatiko・orinpiko
brasil ecodiesel,ブラジル・エコディーゼル,burajiru・ekodīzeru
grêmio osasco audax,グレミオ・オザスコ・アウダックス,guremio・ozasuko・audakkusu
minuano,ミヌアノ,minuano
technos,テクノス,tekunosu
riocentro,リオセントロ,riosentoro
chute boxe,シュートボクセ・アカデミー,shūtobokuse・akademī
cielo,シエロ,shiero
aquidabã,アキダバン,akidaban
guampa,グアンパ,guanpa
taurus judge,トーラス・ジャッジ,tōrasu・jajji
cosan,コザン,kozan
copa união,コパ・ウニオン,kopa・union
lojas renner,ロジャス・レナー,rojasu・renā
gafisa,ガフィーザ,gafīza
rossi residencial,ロッシ・レジデンシャル,rosshi・rejidensharu
americanas,アメリカナス,amerikanasu
estádio bruno josé daniel,エスタジオ・ブルーノ・ジョゼ・ダニエウ,esutajio・burūno・joze・danieu
dexco,デュラテックス,dyuratekkusu
fritz dobbert,フリッツ・ドッベルト,furittsu・dobberuto
ambev,アンベブ,anbebu
natura,ナチュラ,nachura
atlético monte azul,アトレチコ・モンテ・アズル,atorechiko・monte・azuru
riachuelo,リアシュエロ,riashuero
guerra hispanoportuguesa,スペイン・ポルトガルセンソウ,supein・porutogarusensou
ipupiara,イプピアーラ,ipupiāra
grêmio esportivo novorizontino,グレミオ・エスポルチーヴォ・ノヴォリゾンチーノ,guremio・esuporuchīvuォ・novuォrizonchīno
tuna luso brasileira,トゥナ・ルーゾ・ブラジレイラ,tuna・rūzo・burajireira
auto esporte clube,アウト・エスポルテ・クルーベ,auto・esuporute・kurūbe
embratel,エンブラテル,enburateru
allianz parque,アリアンツ・パルケ,ariantsu・paruke
associação ferroviária de esportes,アソシアソン・フェロヴィアリア・ジ・エスポルテス,asoshiason・feroviaria・ji・esuporutesu
tamandaré,タマンダーレ,tamandāre
rio de janeiro,リオ・デ・ジャネイロ,rio・de・janeiro
barroso,バローゾ,barōzo
black house,ブラック・ハウス,burakku・hausu
grêmio catanduvense de futebol,グレミオ・カタンドゥヴェンセ・ジ・フチボウ,guremio・katanduvuェnse・ji・fuchibou
grêmio esportivo osasco,グレミオ・エスポルチーヴォ・オザスコ,guremio・esuporuchīvuォ・ozasuko
santa catarina,サンタ・カタリナ,santa・katarina
rio grande,リオ・グランデ,rio・gurande
kaleidoscópio,カレイド,kareido
mafersa,マフェルサ,maferusa
roma esporte apucarana,ローマ・エスポルチ・アプカラナ,rōma・esuporuchi・apukarana
paraná soccer technical center,パラナ・サッカー・テクニカル・センター,parana・sakkā・tekunikaru・sentā
estádio olímpico pedro ludovico teixeira,エスタディオ・オリンピコ・ペドロ・ルドヴィコ・テイシェイラ,esutadio・orinpiko・pedoro・rudoviko・teisheira
salonpas cup,サロンパスカップ・ジョシバレーボールコクサイタイカイ,saronpasukappu・joshibarēbōrukokusaitaikai
grêmio de esportes maringá,グレミオ・ジ・エスポルテス・マリンガ,guremio・ji・esuporutesu・maringa
morro do careca,モーホ・ド・カレッカ,mōho・do・karekka
campo de golfe olímpico,カンポ・オリンピコ・ジ・ゴウフィ,kanpo・orinpiko・ji・goufi
arena fonte nova,アレーナ・フォンチ・ノヴァ,arēna・fonchi・nova
união recreativa dos trabalhadores,ウニオン・レクレアチーヴァ・ドス・トラバリャドレス,union・rekureachīva・dosu・torabaryadoresu
huaska,フアスカ,fuasuka
grupo raça,グルーポ・ハーサ,gurūpo・hāsa
grêmio novorizontino,グレミオ・ノヴォリゾンチーノ,guremio・novuォrizonchīno
sagrado coração da terra,サグラド・コラソン・ダ・テッラ,sagurado・korason・da・terra
santo amaro,サント・アマロ,santo・amaro
só preto sem preconceito,ソー・プレート・セイム・プレコンスィート,sō・purēto・seimu・purekonsīto
caxirola,カシローラ,kashirōra
athleta,アスレタ,asureta
jungle fight,ジャングル・ファイト,janguru・faito
cenibra,セニブラ,senibura
belém,ベレン,beren
operação lava jato,オペレーション・カー・ウォッシュ,operēshon・kā・wosshu
luxemburgo leaks,ルクセンブルク・リークス,rukusenburuku・rīkusu
gioventù,ワカサ,wakasa
associação vôlei bauru,アソシアソン・ヴォレイ・バウル,asoshiason・vuォrei・bauru
tabatinga,タバチンガ,tabachinga
vitória da conquista,ヴィトリア・ダ・コンキスタ,vitoria・da・konkisuta
extinction rebellion,エクスティンクション・レベリオン,ekusutinkushon・reberion
brasil open,ブラジル・オープン,burajiru・ōpun
bolsonarismo,ボルソナリズム,borusonarizumu
portugal,ポルトガル,porutogaru
lisboa,リスボン,risubon
francesinha,フランセジーニャ,furansejīnya
euro,ユーロ,yūro
porto,ポルト,poruto
sporting clube de portugal,スポルティング・クルーベ・デ・ポルトゥガル,suporutingu・kurūbe・de・porutugaru
coimbra,コインブラ,koinbura
braga,ブラガ,buraga
alentejo,アレンテージョ,arentējo
funchal,フンシャル,funsharu
algarve,アルガルヴェ,arugaruvuェ
taça de portugal,タッサ・デ・ポルトガル,tassa・de・porutogaru
macaronésia,マカロネシア,makaroneshia
loulé,ローレ,rōre
peniche,ペニシェ,penishe
mértola,メルトラ,merutora
serpa,セルパ,serupa
armamar,アルママール,arumamāru
viseu,ヴィゼウ,vizeu
alandalus,アンダルス,andarusu
sacavém,サカヴェン,sakavuェn
chiado,シアード,shiādo
taça da liga,タッサ・ダ・リーガ,tassa・da・rīga
estádio municipal de aveiro,エスタディオ・ムニシパル・デ・アヴェイロ,esutadio・munishiparu・de・avuェiro
white airways,ホワイト・エアウェイズ,howaito・eaweizu
tomar,トマール,tomāru
portalegre,ポルタレグレ,porutaregure
alfama,アルファマ,arufama
estremoz,エストレモス,esutoremosu
mafra,マフラ,mafura
trofa,トロファ,torofa
faro,ファロ,faro
a portuguesa,ア・ポルトゥゲーザ,a・porutugēza
panteão nacional,サンタ・エングラシアキョウカイ,santa・engurashiakyoukai
estádio cidade de coimbra,エスタディオ・シダーデ・デ・コインブラ,esutadio・shidāde・de・koinbura
algarve cup,アルガルヴェ・カップ,arugaruvuェ・kappu
estádio algarve,エスタディオ・アルガルヴェ,esutadio・arugaruvuェ
alcobaça,アルコバサ,arukobasa
bairro alto,バイロ・アルト,bairo・aruto
merino,メリノシュ,merinoshu
cristãonovo,シンキリストキョウト,shinkirisutokyouto
setúbal,セトゥーバル,setūbaru
guimarães,ギマランイス,gimaranisu
supertaça cândido de oliveira,スーペルタッサ・カンディド・デ・オリベイラ,sūperutassa・kandido・de・oribeira
sesimbra,セジンブラ,sejinbura
amadora,アマドーラ,amadōra
évora,エヴォラ,evuォra
arroba,アローバ,arōba
primeira liga,プリメイラ・リーガ,purimeira・rīga
hispânia,ヒスパニア,hisupania
angra do heroísmo,アングラ・ド・エロイズモ,angura・do・eroizumo
sertã,セルタン,serutan
sintra,シントラ,shintora
fátima,ファティマ,fatima
vila nova de gaia,ヴィラ・ノヴァ・デ・ガイア,vira・nova・de・gaia
nisa,ニーザ,nīza
estoril,エストリル,esutoriru
estádio cidade de barcelos,エスタディオ・シダーデ・デ・バルセロス,esutadio・shidāde・de・baruserosu
silves,シルヴェス,shiruvuェsu
vila real de santo antónio,ヴィラ・レアル・デ・サント・アントニオ,vira・rearu・de・santo・antonio
guarda,グアルダ,guaruda
segunda liga,セグンダ・リーガ,segunda・rīga
atlético clube de portugal,アトレティコ・クルーベ・デ・ポルトゥガル,atoretiko・kurūbe・de・porutugaru
póvoa de varzim,ポボア・デ・バルジン,poboa・de・barujin
leiria,レイリア,reiria
vila do bispo,ヴィラ・ド・ビスポ,vira・do・bisupo
caldo verde,カルド・ヴェルデ,karudo・vuェrude
estádio do marítimo,エスタディオ・ド・マリティモ,esutadio・do・maritimo
ponta delgada,ポンタ・デルガダ,ponta・derugada
bragança,ブラガンサ,buragansa
fantasporto,ポルトコクサイエイガサイ,porutokokusaieigasai
viana do castelo,ヴィアナ・ド・カステロ,viana・do・kasutero
barcelos,バルセロス,baruserosu
beja,ベージャ,bēja
autódromo internacional do algarve,アウトードロモ・インテルナシオナル・ド・アルガルヴェ,autōdoromo・interunashionaru・do・arugaruvuェ
falcoaria,タカガリ,takagari
elvas,エルヴァス,eruvasu
carregal do sal,カレガル・ド・サル,karegaru・do・saru
barreiro,バレイロ,bareiro
mosteiro,モステイロ,mosuteiro
alfa pendular,アルファ・ペンドゥラール,arufa・pendurāru
estádio antónio coimbra da mota,エスタディオ・アントニオ・コインブラ・ダ・モタ,esutadio・antonio・koinbura・da・mota
fertagus,フェルタグス,ferutagusu
batalha,バターリャ,batārya
caldas da rainha,カルダス・ダ・ライーニャ,karudasu・da・raīnya
cascais,カスカイス,kasukaisu
estádio do dragão,エスタディオ・ド・ドラゴン,esutadio・do・doragon
estado novo,エスタド・ノヴォ,esutado・novuォ
volta ao algarve,ヴォルタ・アン・アルガルヴェ,vuォruta・an・arugaruvuェ
monstra festival,リスボン・アニメーションエイガサイ,risubon・animēshoneigasai
euronext,ユーロネクスト,yūronekusuto
estádio josé alvalade,エスタディオ・ジョゼ・アルヴァラーデ,esutadio・joze・aruvarāde
estádio municipal de braga,エスタディオ・ムニシパル・デ・ブラガ,esutadio・munishiparu・de・buraga
alcácer do sal,アルカセル・ド・サル,arukaseru・do・saru
palmela,パルメラ,parumera
santa comba dão,サンタ・コンバ・ダン,santa・konba・dan
castro daire,カストロ・ダイレ,kasutoro・daire
meo arena,アトランティコ・パビリオン,atorantiko・pabirion
gigantone,キョジントオオト,kyojintoooto
abrantes,アブランテス,aburantesu
almada,アルマダ,arumada
instituto camões,カモンイスゲンゴ・コクサイキョウリョクキコウ,kamonisugengo・kokusaikyouryokukikou
sines,シーネス,shīnesu
miranda do douro,ミランダ・ド・ドウロ,miranda・do・douro
tavira,タヴィラ,tavira
rali de portugal,ラリー・ド・ポルトガル,rarī・do・porutogaru
euronext lisboa,ユーロネクスト・リスボン,yūronekusuto・risubon
castelo branco,カステロ・ブランコ,kasutero・buranko
albufeira,アルブフェイラ,arubufeira
mercadona,メルカドーナ,merukadōna
novo cinema,ノヴォ・シネマ,novuォ・shinema
sagres,サグレス,saguresu
clube oriental de lisboa,クルーベ・オリエンタル・デ・リジュボア,kurūbe・orientaru・de・rijuboa
colégio militar,コレジオ・ミリタール,korejio・miritāru
escudo português,ポルトガル・エスクード,porutogaru・esukūdo
aveiro,アヴェイロ,avuェiro
vila real,ヴィラ・レアル,vira・rearu
dobrada,ドブラーダ,doburāda
cartaz,カルタス,karutasu
estádio carlos osório,エスタディオ・カルロス・オソーリオ,esutadio・karurosu・osōrio
estádio conde dias garcia,エスタディオ・コンデ・ディアス・ガルシア,esutadio・konde・diasu・garushia
asas de portugal,アサス・ド・ポルトガル,asasu・do・porutogaru
sound of kuduro,サウンド・オブ・クドゥル,saundo・obu・kuduru
taça ibérica,コパ・イベリカ,kopa・iberika
oratory,オラトリー,oratorī
estádio da luz,エスタディオ・ダ・ルス,esutadio・da・rusu
estádio de são miguel,エスタディオ・デ・サン・ミゲル,esutadio・de・san・migeru
