глюкоза,グリュコーザ,guryukōza
оксана фёдорова,オクサナ・フェドローワ,okusana・fedorōwa
светлана подобедова,スベトラーナ・ポドベドワ,subetorāna・podobedowa
раиса сметанина,ライサ・スメタニナ,raisa・sumetanina
владимир колокольцев,ウラジーミル・コロコリツェフ,urajīmiru・korokoritsefu
евгений евстигнеев,エフゲニ・エフスチグネーフ,efugeni・efusuchigunēfu
михаил гуцериев,ミハイル・グツェリエフ,mihairu・gutseriefu
ирина белова,イリーナ・ベロワ,irīna・berowa
марат бикмаев,マラト・ビクマエフ,marato・bikumaefu
николай рукавишников,ニコライ・ルカビシュニコフ,nikorai・rukabishunikofu
филипп янковский,フィリップ・ヤンコフスキー,firippu・yankofusukī
герман греф,ゲルマン・グレフ,geruman・gurefu
юрий глазков,ユーリ・グラズコフ,yūri・gurazukofu
михаил абрамов,ミハイル・アブラモフ,mihairu・aburamofu
леонид филатов,レオニード・フィラトフ,reonīdo・firatofu
олег кассини,オレグ・カッシーニ,oregu・kasshīni
леонид жаботинский,レオニード・ジャボチンスキー,reonīdo・jabochinsukī
анатолий березовой,アナトリー・ベレゾボイ,anatorī・berezoboi
алексей губарев,アレクセイ・グバレフ,arekusei・gubarefu
константин лавроненко,コンスタンチン・ラヴロネンコ,konsutanchin・ravuronenko
павел чухрай,パーヴェル・チュフライ,pāvuェru・chufurai
владимир бесчастных,ウラジーミル・ベスチャツニフ,urajīmiru・besuchatsunifu
ирина калентьева,イリナ・カレンティエヴァ,irina・karentieva
ольга забелинская,オルガ・ザベリンスカヤ,oruga・zaberinsukaya
александр бессмертных,アレクサンドル・ベススメルトヌイフ,arekusandoru・besusumerutonuifu
михаил воронин,ミハイル・ボローニン,mihairu・borōnin
иван ярыгин,イヴァン・ヤリギン,ivan・yarigin
константин понамарёв,コンスタンチン・ポノマレフ,konsutanchin・ponomarefu
юрий яковлев,ユーリー・ヤコヴレフ,yūrī・yakovurefu
олег табаков,オレグ・タバコフ,oregu・tabakofu
жанна прохоренко,ズハナ・プロコーレンコ,zuhana・purokōrenko
григорий чухрай,グリゴーリ・チュフライ,gurigōri・chufurai
елена яковлева,エレナ・ヤコヴェレワ,erena・yakovuェrewa
александр метревели,アレックス・メトレベリ,arekkusu・metoreberi
анна бирюкова,アンナ・ビリュコワ,anna・biryukowa
татьяна тарасова,タチアナ・タラソワ,tachiana・tarasowa
светлана гладышева,スヴェトラーナ・グラディシェワ,suvuェtorāna・guradishewa
борис рыбаков,ボリス・ルイバコフ,borisu・ruibakofu
игорь колыванов,イーゴリ・コリヴァノフ,īgori・korivanofu
владимир котенёв,ウラジーミル・コテネフ,urajīmiru・kotenefu
владимир шаманов,ヴラジーミル・シャマノフ,vurajīmiru・shamanofu
владимир гусинский,ウラジーミル・グシンスキー,urajīmiru・gushinsukī
юлия савичева,ユーリヤ・サーヴィチェヴァ,yūriya・sāvicheva
игнатий вишневецкий,イグナティ・ヴィシュネヴェツキー,igunati・vishunevuェtsukī
михаил швыдкой,ミハイル・シュヴィドコイ,mihairu・shuvidokoi
сергей шахрай,セルゲイ・シャクライ,serugei・shakurai
виктор канке,ヴィクトル・カンケ,vikutoru・kanke
александр фадеев,アレクサンドル・ファデーエフ,arekusandoru・fadēefu
владимир джанибеков,ウラジーミル・ジャニベコフ,urajīmiru・janibekofu
людмила зыкина,リュドミラ・ズィキナ,ryudomira・zikina
владимир петров,ヴラジーミル・ペトロフ,vurajīmiru・petorofu
татьяна буланова,タチヤーナ・ブラーノヴァ,tachiyāna・burānova
борис андреев,ボリス・アンドレーエフ,borisu・andorēefu
борис васильев,ボリス・ワシーリエフ,borisu・washīriefu
вячеслав овчинников,ヴァチェスラフ・オフチンニコフ,vachesurafu・ofuchinnikofu
зураб церетели,ズラブ・ツェレテリ,zurabu・tsereteri
сергей дарькин,セルゲイ・ダルキン,serugei・darukin
борис шпилевский,ボリス・シュピレフスキー,borisu・shupirefusukī
софья великая,ソフィヤ・ヴェリカヤ,sofiya・vuェrikaya
татьяна лиознова,タチアナ・リオズノワ,tachiana・riozunowa
павел виноградов,パーヴェル・ヴィノグラードフ,pāvuェru・vinogurādofu
илья яшин,イリヤ・ヤシン,iriya・yashin
надежда писарева,ナゼヤ・ピサラワ,nazeya・pisarawa
светлана журова,スヴェトラーナ・ジューロワ,suvuェtorāna・jūrowa
елена соколова,エレーナ・ソコロワ,erēna・sokorowa
мария бутырская,マリア・ブッテルスカヤ,maria・butterusukaya
юлия меркулова,ユリア・メルクロワ,yuria・merukurowa
наталья рудакова,ナタリア・ルダコーワ,nataria・rudakōwa
валентина толкунова,ヴァレンティナ・トルクノーワ,varentina・torukunōwa
исаак шварц,イサーク・シュワルツ,isāku・shuwarutsu
егор мехонцев,エゴー・メコンチェフ,egō・mekonchefu
вячеслав артёмов,ヴャチェスラフ・アルチョーモフ,vuャchesurafu・aruchōmofu
олег макаров,オレグ・マカロフ,oregu・makarofu
алексей миллер,アレクセイ・ミレル,arekusei・mireru
яна батыршина,ヤナ・バテリシナ,yana・baterishina
игорь солопов,イゴール・ソロポフ,igōru・soropofu
тимур зульфикаров,ティムール・ズルフィカーロフ,timūru・zurufikārofu
оксана грищук,オクサナ・グリシュク,okusana・gurishuku
татьяна самойлова,タチアナ・サモイロワ,tachiana・samoirowa
андрей синявский,アンドレイ・シニャフスキー,andorei・shinyafusukī
светлана бубненкова,スヴェトラナ・ブブネコヴァ,suvuェtorana・bubunekova
инна гомес,イナ・ゴメス,ina・gomesu
анися кирдяпкина,アニシャ・キルディアプキナ,anisha・kirudiapukina
евгений примаков,エフゲニー・プリマコフ,efugenī・purimakofu
наталья рагозина,ナターシャ・ラゴシーナ,natāsha・ragoshīna
валерия сорокина,バレリー・ソロキナ,barerī・sorokina
алексей орлов,アレクセイ・オルロフ,arekusei・orurofu
сергей воронов,セルゲイ・ボロノフ,serugei・boronofu
валерий золотухин,ヴァレリー・ゾロトキン,varerī・zorotokin
виталий манский,ヴィタリー・マンスキー,vitarī・mansukī
сергей фирсанов,セルゲイ・フィルサノフ,serugei・firusanofu
александр дюков,アレクサンドル・デュコフ,arekusandoru・dyukofu
борис фейгин,ボリス・フェイギン,borisu・feigin
галина брежнева,ガリーナ・ブレジネヴァ,garīna・burejineva
тамара макарова,タマラ・マカロワ,tamara・makarowa
армен джигарханян,アルメン・ジガルハンヤン,arumen・jigaruhanyan
семён могилевич,セミオン・モギレヴィッチ,semion・mogirevitchi
леонид волошин,レオニード・ボロシン,reonīdo・boroshin
анна достоевская,アンナ・スニートキナ,anna・sunītokina
елена николаева,エレーナ・ニコラエワ,erēna・nikoraewa
ирина кириллова,イリーナ・キリロワ,irīna・kirirowa
владимир габулов,ウラジーミル・ガブロフ,urajīmiru・gaburofu
зинаида амосова,ジナイダ・アモソワ,jinaida・amosowa
юрий темирканов,ユーリ・テミルカーノフ,yūri・temirukānofu
спартак гогниев,スパルタク・ゴニエフ,suparutaku・goniefu
илона броневицкая,イローナ・ブロンヴィッツカヤ,irōna・buronvittsukaya
илья рашковский,イリヤ・ラシュコフスキー,iriya・rashukofusukī
георгий свиридов,ゲオルギー・スヴィリードフ,georugī・suvirīdofu
владимир аксёнов,ウラジーミル・アクショーノフ,urajīmiru・akushōnofu
муса манаров,ムサ・マナロフ,musa・manarofu
ирина аллегрова,イリーナ・アレグロワ,irīna・aregurowa
