andrzej wajda,アンジェイ・ワイダ,anjei・waida
robert warzycha,ロベルト・ヴァジハ,roberuto・vajiha
wojciech smarzowski,ロベルト・ヴィエンツキェヴィチ,roberuto・vientsukiェvichi
adam ledwoń,アダム・レドヴォン,adamu・redovuォn
ludwik mierosławski,ルドヴィク・ミエロスワフスキ,rudoviku・mierosuwafusuki
jan nowicki,ヤン・ノヴィツキ,yan・novitsuki
adam kszczot,アダム・クチョット,adamu・kuchotto
adam holender,アダム・ホールダー,adamu・hōrudā
bartłomiej nizioł,バルトウォミェイ・ニジョウ,barutowomiェi・nijou
bartosz konopko,バルトシュ・コノプコ,barutoshu・konopuko
bartosz huzarski,バルトシュ・フザルスキ,barutoshu・fuzarusuki
adam nawałka,アダム・ナヴァウカ,adamu・navauka
małgorzata sobańska,マルゴザタ・ソバンスカ,marugozata・sobansuka
paulina buziak,パウリナ・ブジアク,paurina・bujiaku
sebastian druszkiewicz,セバスチャン・ドゥルシュキエビチ,sebasuchan・durushukiebichi
zbigniew robert promiński,ズビグニェフ・ロバート・プロミンスキー,zubiguniェfu・robāto・purominsukī
max weber,マックス・ウェーバー,makkusu・wēbā
anzia yezierska,アンジア・イージアスカ,anjia・ījiasuka
adam rutkowski,アダム・ルトコヴスキ,adamu・rutokovusuki
marcin baszczyński,マルチン・バシュチンスキ,maruchin・bashuchinsuki
łukasz podolski,ルーカス・ポドルスキ,rūkasu・podorusuki
edward kłosiński,エドヴァルト・クウォシンスキ,edovaruto・kuwoshinsuki
rudolf modrzejewski,ラルフ・モジェスキー,rarufu・mojesukī
małgorzata gebel,マルゴーシュ・ガベル,marugōshu・gaberu
mateusz taciak,マテウシュ・タチアク,mateushu・tachiaku
marta sosińskajanczewska,マルタ・ソシンスカ,maruta・soshinsuka
kazimierz piechowski,カジミェシュ・ピエホフスキー,kajimiェshu・piehofusukī
ewa kupiec,エヴァ・クピエック,eva・kupiekku
grzegorz proksa,グジェゴシ・プロクサ,gujegoshi・purokusa
ignacy porecki,イグナス・ポレツキー,igunasu・poretsukī
antoni chruściel,アントニ・フルスチェル,antoni・furusucheru
jerzy bielecki,イェジ・ビェレツキ,yeji・biェretsuki
daniel stabrawa,ダニエル・シュタブラーヴァ,danieru・shutaburāva
władysław sheybal,ヴラデク・シェイバル,vuradeku・sheibaru
tomasz kulawik,トマシュ・クラヴィク,tomashu・kuraviku
agnieszka dygacz,アニエスカ・ディガチュ,aniesuka・digachu
wojciech kętrzyński,ヴォイチェフ・ケントシンスキ,vuォichefu・kentoshinsuki
janusz kulig,ヤヌシュ・クーリグ,yanushu・kūrigu
adam wadecki,アダム・ワデッキ,adamu・wadekki
janusz olejniczak,ヤーヌシュ・オレイニチャク,yānushu・oreinichaku
stanisław gołąb,スタニスラフ・ゴウォンブ,sutanisurafu・gowonbu
mirosław szymkowiak,ミロスワフ・シムコビアク,mirosuwafu・shimukobiaku
waldemar świerzy,ヴァルディマル・シヴェジ,varudimaru・shivuェji
arnold walfisz,アーノルド・ウォルフィッツ,ānorudo・worufittsu
teodor axentowicz,テオドル・アクセントヴィチ,teodoru・akusentovichi
sławomir skrzypek,スワヴォミル・スクシペク,suwavuォmiru・sukushipeku
maciej kurowski,マチェイ・クロフスキ,machei・kurofusuki
alfred wieruszkowalski,アルフレッド・コワルスキー,arufureddo・kowarusukī
leszek cichy,レシェック・チヒ,reshekku・chihi
gil vermouth,ギル・ヴェルムート,giru・vuェrumūto
tadeusz buk,タデウシュ・ブク,tadeushu・buku
róża robota,ロージャ・ロボタ,rōja・robota
ryszard wójcik,リシャルト・ヴォイチック,risharuto・vuォichikku
łukasz simlat,ウカシュ・シムラト,ukashu・shimurato
janusz kurtyka,ヤヌシュ・クルティカ,yanushu・kurutika
zbigniew ziobro,ズビグニェフ・ジョブロ,zubiguniェfu・joburo
stanisław masłowski,スタニスワフ・マスウォフスキー,sutanisuwafu・masuwofusukī
tomasz arciszewski,トマシュ・アルチシェフスキ,tomashu・aruchishefusuki
leszek engelking,レシェック・エンゲルキング,reshekku・engerukingu
grzegorz dolniak,グジェゴシュ・ドルニャク,gujegoshu・dorunyaku
bogdan borusewicz,ボグダン・ボルセヴィチ,bogudan・borusevichi
janusz palikot,ヤヌシュ・パリコト,yanushu・parikoto
michael schudrich,マイケル・シュドリッチ,maikeru・shudoritchi
savielly tartakower,サベリ・タルタコワ,saberi・tarutakowa
janusz piekałkiewicz,ヤヌツ・ピカルキヴィッツ,yanutsu・pikarukivittsu
bolesław wieniawadługoszowski,ヴワディスワフ・ラチュキェヴィチ,vuwadisuwafu・rachukiェvichi
adam michnik,アダム・ミフニク,adamu・mifuniku
markus brzenska,マルクス・ブルツェンスカ,marukusu・burutsensuka
edward ochab,エドワルド・オハブ,edowarudo・ohabu
jerzy łoś,イェジー・ウォジ,yejī・woji
adolf chybiński,アドルフ・フビヌスキ,adorufu・fubinusuki
zbigniew herbert,ズビグニェフ・ヘルベルト,zubiguniェfu・heruberuto
leopold kozłowskikleinman,レオポルト・コツロフスキ,reoporuto・kotsurofusuki
siemomysł,シェモムィスウ,shemomuィsuu
andrzej lepper,アンジェイ・レッペル,anjei・repperu
józef wittlin,ヨーゼフ・ヴィットリン,yōzefu・vittorin
maciej paterski,マツィエイ・パテルスキ,matsiei・paterusuki
jerzy petersburski,イェジィ・ペテルスブルスキ,yejiィ・peterusuburusuki
jerzy hoffman,イェジ・ホフマン,yeji・hofuman
grzegorz schetyna,グジェゴシュ・スヘティナ,gujegoshu・suhetina
józef glemp,ユゼフ・グレムプ,yuzefu・guremupu
wojciech łobodziński,ヴォイチェフ・ロボジンスキ,vuォichefu・robojinsuki
wincenty kadłubek,ヴィンツェンティ・カドゥウベック,vintsenti・kaduubekku
bolesław leśmian,ボレスワフ・レシミャン,boresuwafu・reshimyan
bolesław woytowicz,ボレスワフ・ヴォイトヴィチ,boresuwafu・vuォitovichi
kornel morawiecki,コルネル・モラヴィエツキ,koruneru・moravietsuki
daniel schultz,ダニエル・シュルツ,danieru・shurutsu
hipolit cegielski,ヒポリト・ツェギェルスキ,hiporito・tsegiェrusuki
kazimierz żorawski,カジュミェシュ・ゾラフスキ,kajumiェshu・zorafusuki
jerzy radziwiłowicz,イエジー・ラジヴィオヴィッチ,iejī・rajiviovitchi
andrzej trzaskowski,アンジェイ・トシャスコフスキ,anjei・toshasukofusuki
wincenty lutosławski,ヴィンツェンティ・ルトスワフスキ,vintsenti・rutosuwafusuki
stanisław zaremba,スタニスワフ・ザレンバ,sutanisuwafu・zarenba
michał chałbiński,ミハル・ハルビンスキ,miharu・harubinsuki
adrian zieliński,アドリアン・ジェリンスキ,adorian・jerinsuki
zbigniew bujak,ズビグニェフ・ブヤク,zubiguniェfu・buyaku
stanisław jerzy lec,スタニスワフ・イェジ・レック,sutanisuwafu・yeji・rekku
małgorzata foremniak,マウゴジャタ・フォレムニャク,maugojata・foremunyaku
piotr słonimski,ピオトル・スウォニムスキ,piotoru・suwonimusuki
karol olszewski,カオル・オルシェフスキ,kaoru・orushefusuki
jakub kosecki,ヤクブ・コセツキ,yakubu・kosetsuki
karol modzelewski,カロル・モゼレフスキ,karoru・mozerefusuki
leonard piątek,レオナルト・ピョンテク,reonaruto・pyonteku
anna badora,アンナ・バドラ,anna・badora
marcin mięciel,マルチン・ミェンチェル,maruchin・miェncheru
michał listkiewicz,ミハウ・リストキエヴィチ,mihau・risutokievichi
olgierd łukaszewicz,オルギエルド・フカシェヴィチ,orugierudo・fukashevichi
kazimierz brandys,カジミェシュ・ブランディス,kajimiェshu・burandisu
grzegorz napieralski,グジェゴシュ・ナピェラルスキ,gujegoshu・napiェrarusuki
paweł wypych,パヴェウ・ヴィプィフ,pavuェu・vipuィfu
zbigniew zapasiewicz,ズビグニエフ・ザパシエヴィッツ,zubiguniefu・zapashievittsu
meir vilner,メイル・ヴィルナー,meiru・virunā
marcin zaleski,マルチン・ザレスキー,maruchin・zaresukī
julian tuwim,ユリアン・トゥヴィム,yurian・tuvimu
izrael jehoszua singer,イズラエル・ジョシュア・シンガー,izuraeru・joshua・shingā
tadeusz płoski,タデウシュ・プウォスキ,tadeushu・puwosuki
władysław stasiak,ヴワディスワフ・スタシャク,vuwadisuwafu・sutashaku
zbyszko cyganiewicz,スタニスラウス・ズビスコ,sutanisurausu・zubisuko
paul slowinski,ポール・スロウィンスキー,pōru・surowinsukī
jerzy adamski,イェジ・アダムスキ,yeji・adamusuki
zbigniew pietrzykowski,ズビグニェフ・ピトロシュコスキー,zubiguniェfu・pitoroshukosukī
krzysztof janus,クシシュトフ・ヤヌス,kushishutofu・yanusu
jacques bergier,ジャック・ベルジェ,jakku・beruje
bogdan lis,ボグダン・リス,bogudan・risu
paweł golański,パヴェウ・グラインスキ,pavuェu・gurainsuki
wilhelm sasnal,ヴィルヘルム・サスナル,viruherumu・sasunaru
mieczysław rakowski,ミェチスワフ・ラコフスキ,miェchisuwafu・rakofusuki
krzysztof warlikowski,クシシュトフ・ワリコフスキ,kushishutofu・warikofusuki
michał heller,ミハウ・ヘラー,mihau・herā
jacek ziober,ヤツェク・ジオベール,yatseku・jiobēru
zbigniew religa,ズビグニェフ・レリガ,zubiguniェfu・reriga
leopold okulicki,レオポルト・オクリツキ,reoporuto・okuritsuki
piotr murdzia,ピョトル・ムルヂャ,pyotoru・murudjiャ
radosław sobolewski,ラドスワフ・ソボレフスキ,radosuwafu・soborefusuki
piotr giza,ピオトル・ギザ,piotoru・giza
seweryn gancarczyk,セヴェリン・ガンチャルチク,sevuェrin・gancharuchiku
izrael szahak,イスラエル・シャハク,isuraeru・shahaku
marian kamil dziewanowski,マリアン・カミル・ジエヴァノフスキ,marian・kamiru・jievanofusuki
stefan hula,ステファン・フラ,sutefan・fura
zbigniew wassermann,ズビグニェフ・ヴァセルマン,zubiguniェfu・vaseruman
grzegorz peradze,グリゴール・ペラッツェ,gurigōru・perattse
włodzimierz kotoński,ヴウォジミェシュ・コトンスキ,vuwojimiェshu・kotonsuki
leszek błażyński,レセック・ブラシンスキ,resekku・burashinsuki
szymon kołecki,シモン・コレツキ,shimon・koretsuki
zyndram z maszkowic,ジンダム・ス・マシュコヴィツ,jindamu・su・mashukovitsu
zdzisław krzyszkowiak,ズジスワフ・クシシュコヴィアク,zujisuwafu・kushishukoviaku
zdzisław jachimecki,ズジスワフ・ヤヒメツキ,zujisuwafu・yahimetsuki
sławomir rawicz,スラヴォミール・ラウイッツ,suravuォmīru・rauittsu
józef szajna,ユゼフ・シャイナ,yuzefu・shaina
kosma złotowski,コスマ・ズロトフスキー,kosuma・zurotofusukī
robert biedroń,ロベルト・ビェドロニュ,roberuto・biェdoronyu
mykoła pławiuk,ミコラ・プラヴィク,mikora・puraviku
borys sawinkow,ボリス・サヴィンコフ,borisu・savinkofu
allan starski,アラン・スタルスキ,aran・sutarusuki
wilhelm brasse,ヴィルヘルム・ブラッセ,viruherumu・burasse
bronisław dembowski,ブロニスワフ・デンボフスキ,buronisuwafu・denbofusuki
marian goliński,マリアン・ゴーリンスキ,marian・gōrinsuki
jerzy urban,イェジー・ウルバン,yejī・uruban
marek bajor,マレク・バヨル,mareku・bayoru
włodzimierz potasiński,ヴウォジミェシュ・ポタジンスキ,vuwojimiェshu・potajinsuki
kazimierz górski,カジミエシュ・グルスキー,kajimieshu・gurusukī
bronko nagurski,ブロンコ・ナグルスキー,buronko・nagurusukī
morris hirshfield,モーリス・ハーシュフィールド,mōrisu・hāshufīrudo
andrzej dzięga,アンドレイ・ジェンガ,andorei・jenga
tadeusz makowski,タデウシュ・マコフスキ,tadeushu・makofusuki
mariusz handzlik,マリウシュ・ハンズリク,mariushu・hanzuriku
agata wróbel,アガタ・ウロベル,agata・uroberu
katarzyna nosowska,カタジーナ・ノソフスカ,katajīna・nosofusuka
maciej nalepa,マチェイ・ナレパ,machei・narepa
maciej frankiewicz,マツィエイ・フランキエヴィッツ,matsiei・furankievittsu
mariusz kwiecień,マリウシュ・クヴィエチェン,mariushu・kuviechen
žydrūnas savickas,ズルーネス・ザビッカス,zurūnesu・zabikkasu
rudolf weigl,ルドルフ・ヴァイグル,rudorufu・vaiguru
józef czapski,ユゼフ・チャプスキ,yuzefu・chapusuki
krzysztof kolberger,クシシュトフ・コルベルゲル,kushishutofu・koruberugeru
aga mikolaj,アガ・ミコライ,aga・mikorai
kinga ilgner,キンガ・イルグナー,kinga・irugunā
żaneta glanc,ザネータ・グランツ,zanēta・gurantsu
jonatan eibeschütz,ヨーナタン・アイベシュッツ,yōnatan・aibeshuttsu
zenon grocholewski,ゼノン・グロコルゥスキー,zenon・gurokoruゥsukī
marek kuchciński,マレク・クフチンスキ,mareku・kufuchinsuki
feliks jasieński,フェリクス・ヤシェンスキ,ferikusu・yashensuki
marcin lewandowski,マルチン・レヴァンドフスキ,maruchin・revandofusuki
agnieszka rylik,アニエシュカ・リリック,anieshuka・ririkku
napoleon cybulski,ナポレオン・キブルスキー,naporeon・kiburusukī
agnieszka grochowska,アグニエシュカ・グロホウスカ,agunieshuka・gurohousuka
lucjan rydel,ルシアン・リーデル,rushian・rīderu
anton grot,アントン・グロット,anton・gurotto
jan franciszek czartoryski,ヤン・フランチシェク・チャルトリスキ,yan・furanchisheku・charutorisuki
agnieszka graffosser,アニエスカ・グラフ,aniesuka・gurafu
ryszard rumianek,ルィシャルト・ルミャネク,ruィsharuto・rumyaneku
wilhelmina iwanowska,ヴィルヘルミナ・イヴァノフスカ,viruherumina・ivanofusuka
nazım hikmet,ナーズム・ヒクメット,nāzumu・hikumetto
michał drzymała,ミハウ・ドゥジマワ,mihau・dujimawa
filip jan rymsza,フィリップ・ジャン・リムサ,firippu・jan・rimusa
ryszard staniek,リシャルト・スタニエク,risharuto・sutanieku
andrzej kobylański,アンジェイ・コビランスキ,anjei・kobiransuki
krzysztof pawlak,クシシュトフ・パヴラク,kushishutofu・pavuraku
józef epstein,ジョセフ・エプスタイン,josefu・epusutain
jerzy brzęczek,イェジー・ブジェンチェク,yejī・bujencheku
anna fotyga,アンナ・フォティガ,anna・fotiga
feliks rybicki,フェリクス・リビツキ,ferikusu・ribitsuki
oskar kolberg,オスカル・コルベルク,osukaru・koruberuku
wojciech kowalczyk,ヴォイチェフ・コヴァルチク,vuォichefu・kovaruchiku
piotr nowak,ピョートル・ノヴァク,pyōtoru・novaku
henryk kowalczyk,ヘンリク・コヴァルチク,henriku・kovaruchiku
dorota rabczewska,ドロタ・ラプチェフスカ,dorota・rapuchefusuka
franciszek starowieyski,フランチシェク・スタロヴィエイスキ,furanchisheku・sutarovieisuki
mikołaj kamieniecki,ミコワイ・カミェニェツキ,mikowai・kamiェniェtsuki
ryszard bugajski,リーズザード・ブガージスキー,rīzuzādo・bugājisukī
antoni macierewicz,アントニ・マチェレヴィチ,antoni・macherevichi
leon wyczółkowski,レオン・ヴィチュウコフスキ,reon・vichuukofusuki
władysław orkan,ヴワディスワフ・オルカン,vuwadisuwafu・orukan
gerard cieślik,ゲラルド・チェスリク,gerarudo・chesuriku
kazimierz fajans,カジミール・ファヤンス,kajimīru・fayansu
kayah,カヤー,kayā
andrzej gołota,アンドリュー・ゴロタ,andoryū・gorota
marta fernández,マルタ・フェルナンデス,maruta・ferunandesu
konrad tom,コンラッド・トム,konraddo・tomu
piotr pustelnik,ピョトル・プステルニク,pyotoru・pusuteruniku
sławomir nitras,スワヴォミル・ニトラス,suwavuォmiru・nitorasu
piotr szulkin,ピオトル・シュルキン,piotoru・shurukin
tadeusz banachiewicz,タデウシュ・バナヒェヴィッチ,tadeushu・banahiェvitchi
andrzej stelmachowski,アンジェイ・ステルマホフスキ,anjei・suterumahofusuki
