кирилл,基里尔,jī lǐ ěr
рамасуха,拉马苏哈,lā mǎ sū hā
любохна,柳博赫纳,liǔ bó hè nà
залегощь,扎列戈希,zhā liè gē xī
радицакрыловка,拉季察克雷洛夫卡,lā jì chá kè léi luò fū kǎ
терней,捷尔涅伊,jié ěr niè yī
сукко,苏科,sū kē
кузьмоловский,库兹莫洛夫斯基,kù zī mò luò fū sī jī
гусевский,古谢夫斯基,gǔ xiè fū sī jī
центросоюз,苏联消费合作社,sū lián xiāo fèi hé zuò shè
вейделевка,韦伊杰列夫卡,wéi yī jié liè fū kǎ
черлак,切尔拉克,qiè ěr lā kè
кульдур,库利杜尔,kù lì dù ěr
алмазный,阿尔马兹内,ā ěr mǎ zī nèi
ленинградская,莫斯科列宁格勒希尔顿酒店,mò sī kē liè níng gé lè xī ěr dùn jiǔ diàn
семендер,谢缅杰尔,xiè miǎn jié ěr
альбурикент,阿利布里肯特,ā lì bù lǐ kěn tè
циолковский,齐奥尔科夫斯基,qí ào ěr kē fū sī jī
оренбург,奥伦堡足球俱乐部,ào lún bǎo zú qiú jù lè bù
пильна,皮利纳,pí lì nà
шексна,舍克斯纳,shè kè sī nà
васильсурск,瓦西里苏尔斯克,wǎ xī lǐ sū ěr sī kè
прево,普雷沃峰,pǔ léi wò fēng
погиби,波吉比,bō jí bǐ
шкотово,什科托沃,shén kē tuō wò
вохтога,沃赫托加,wò hè tuō jiā
чагода,恰戈达,qià gē dá
лазарев,拉扎列夫,lā zhā liè fū
порбажын,博尔巴任,bó ěr bā rèn
белиджи,别利吉,bié lì jí
приамурский,普里阿穆尔斯基,pǔ lǐ ā mù ěr sī jī
грэсовский,格雷索夫斯基,gé léi suǒ fū sī jī
красносельский,克拉斯诺谢利斯基,kè lā sī nuò xiè lì sī jī
приволжский,普里沃尔日斯基,pǔ lǐ wò ěr rì sī jī
серышево,谢雷舍沃,xiè léi shè wò
чукотавиа,楚科奇航空,chǔ kē qí háng kōng
старотимошкино,旧季莫什基诺,jiù jì mò shén jī nuò
рублёвка,卢布廖夫卡,lú bù liào fū kǎ
пышма,佩什马,pèi shén mǎ
рощино,罗希诺,luó xī nuò
сиваки,锡瓦基,xī wǎ jī
синявино,锡尼亚维诺,xī ní yà wéi nuò
шушенское,舒申斯科耶,shū shēn sī kē yē
уренгой,乌连戈伊,wū lián gē yī
кашлык,喀什里克,kā shén lǐ kè
транснефть,俄罗斯国家石油管道运输公司,é luó sī guó jiā shí yóu guǎn dào yùn shū gōng sī
тазы,塔兹族,tǎ zī zú
пронск,普龙斯克,pǔ lóng sī kè
инской,因斯科伊,yīn sī kē yī
мурино,穆里诺,mù lǐ nuò
уралмашзавод,乌拉尔重型机器制造厂,wū lā ěr zhòng xíng jī qì zhì zào chǎng
маньпупунёр,曼普普纳岩石群,màn pǔ pǔ nà yán shí qún
солнечный,索尔涅奇内,suǒ ěr niè qí nèi
мелодия,旋律唱片公司,xuán lǜ chàng piàn gōng sī
ростсельмаш,罗斯托夫农业机械制造厂,luó sī tuō fū nóng yè jī xiè zhì zào chǎng
борисоглебский,鲍里索格列布斯基,bào lǐ suǒ gé liè bù sī jī
верхнетуломский,上图洛姆斯基,shàng tú luò mǔ sī jī
кильдинстрой,基利金斯特罗伊,jī lì jīn sī tè luó yī
эволюция,进化塔,jìn huà tǎ
витим,维季姆,wéi jì mǔ
умба,温巴,wēn bā
туманный,图曼内,tú màn nèi
эбеко,埃别科火山,āi bié kē huǒ shān
чокурдах,乔库尔达赫,qiáo kù ěr dá hè
синарка,锡纳尔卡火山,xī nà ěr kǎ huǒ shān
джангитау,占吉山,zhàn jí shān
башкирия,巴什噶尔国家公园,bā shén gá ěr guó jiā gōng yuán
мяунджа,米亚温贾,mǐ yà wēn jiǎ
николаевка,尼古拉耶夫卡,ní gǔ lā yē fū kǎ
англетер,安格雷特里酒店,ān gé léi tè lǐ jiǔ diàn
быстрый,贝斯特雷,bèi sī tè léi
ярсале,亚尔萨列,yà ěr sà liè
нижнеянск,下扬斯克,xià yáng sī kè
воротынец,沃罗特涅茨,wò luó tè niè cí
степное,斯捷普诺耶,sī jié pǔ nuò yē
хангар,汉加尔火山,hàn jiā ěr huǒ shān
толмачёво,托尔马乔沃,tuō ěr mǎ qiáo wò
черёмушки,切廖穆什基,qiè liào mù shén jī
черусти,切鲁斯季,qiè lǔ sī jì
чердаклы,切尔达克雷,qiè ěr dá kè léi
вымпел,信号旗特种部队,xìn hào qí tè zhǒng bù duì
удельная,乌杰利纳亚,wū jié lì nà yà
азовское,亚速斯凯,yà sù sī kǎi
сабантуй,萨班推节,sà bān tuī jié
жиганск,日甘斯克,rì gān sī kè
жигалово,日加洛沃,rì jiā luò wò
таганай,塔加奈,tǎ jiā nài
заокский,扎奥克斯基,zhā ào kè sī jī
декастри,德卡斯特里,dé kǎ sī tè lǐ
улькан,乌利坎,wū lì kǎn
багерово,巴格罗沃空军基地,bā gé luó wò kōng jūn jī dì
русскоязычные,东欧文化圈,dōng ōu wén huà quān
паанаярви,帕纳耶尔维国家公园,pà nà yē ěr wéi guó jiā gōng yuán
устьмая,乌斯季马亚,wū sī jì mǎ yà
саскылах,萨斯克拉赫,sà sī kè lā hè
устьщугер,乌斯季休格尔,wū sī jì xiū gé ěr
хаджитархан,哈吉塔尔汉,hā jí tǎ ěr hàn
лоухи,洛乌希,luò wū xī
усогорск,乌索戈尔斯克,wū suǒ gē ěr sī kè
хвойная,赫沃伊纳亚,hè wò yī nà yà
пролетарий,普罗列塔里,pǔ luó liè tǎ lǐ
эльдикан,埃利季坎,āi lì jì kǎn
устькуйга,乌斯季库伊加,wū sī jì kù yī jiā
кача,卡恰,kǎ qià
нижнегорский,下戈尔斯基,xià gē ěr sī jī
батагай,巴塔盖,bā tǎ gài
усвяты,乌斯维亚特,wū sī wéi yà tè
вершинодарасунский,上达拉孙斯基,shàng dá lā sūn sī jī
добролёт,善飞货运航空,shàn fēi huò yùn háng kōng
суходол,苏霍多尔,sū huò duō ěr
апастово,阿帕斯托沃,ā pà sī tuō wò
пассаж,帕萨兹拱廊街,pà sà zī gǒng láng jiē
агириш,阿吉里什,ā jí lǐ shén
лезгистан,列兹金斯坦,liè zī jīn sī tǎn
басеги,巴谢吉山脉,bā xiè jí shān mài
новоспасское,新斯帕斯科耶,xīn sī pà sī kē yē
ушумун,乌舒蒙,wū shū méng
устьабакан,乌斯季阿巴坎,wū sī jì ā bā kǎn
устьдонецкий,乌斯季顿涅茨基,wū sī jì dùn niè cí jī
санки,雪橇运动中心,xuě qiāo yùn dòng zhōng xīn
погар,波加尔,bō jiā ěr
никита,尼基塔,ní jī tǎ
зеленоборский,泽列诺博尔斯基,zé liè nuò bó ěr sī jī
лотошино,洛托希诺,luò tuō xī nuò
чатырдаг,恰特尔山,qià tè ěr shān
рогнедино,罗格涅季诺,luó gé niè jì nuò
старь,斯塔里,sī tǎ lǐ
хелюля,赫柳利亚,hè liǔ lì yà
локоть,洛科季,luò kē jì
стрижи,雨燕飞行表演队,yǔ yàn fēi xíng biǎo yǎn duì
архангельское,阿尔汉格尔斯克庄园,ā ěr hàn gé ěr sī kè zhuāng yuán
беркакит,别尔卡基特,bié ěr kǎ jī tè
шуйские,叔伊斯基家族,shū yī sī jī jiā zú
шимск,希姆斯克,xī mǔ sī kè
сангар,桑加尔,sāng jiā ěr
чёрный,乔尔内火山,qiáo ěr nèi huǒ shān
хандыга,汉德加,hàn dé jiā
куженер,库热涅尔,kù rè niè ěr
молочный,莫洛奇内,mò luò qí nèi
выгоничи,维戈尼奇,wéi gē ní qí
пеледуй,佩列杜伊,pèi liè dù yī
кресты,克雷斯蒂监狱,kè léi sī dì jiān yù
пряжа,普里亚扎,pǔ lǐ yà zhā
кадыкчан,卡德克昌,kǎ dé kè chāng
ульяновка,乌里扬诺夫卡,wū lǐ yáng nuò fū kǎ
парфино,帕尔菲诺,pà ěr fēi nuò
экарма,越渴磨海峡,yuè kě mó hǎi xiá
кадом,卡多姆,kǎ duō mǔ
крестцы,克列斯齐,kè liè sī qí
угловка,乌格洛夫卡,wū gé luò fū kǎ
вышков,维什科夫,wéi shén kē fū
тлюстенхабль,特柳斯坚哈布利,tè liǔ sī jiān hā bù lì
вожега,沃热加,wò rè jiā
джубга,朱布加,zhū bù jiā
албазино,雅克萨,yǎ kè sà
редкино,列德基诺,liè dé jī nuò
ксудач,克苏达奇火山,kè sū dá qí huǒ shān
лужники,卢日尼基奥林匹克体育中心,lú rì ní jī ào lín pǐ kè tǐ yù zhōng xīn
суавъярви,苏阿夫湖撞击坑,sū ā fū hú zhuàng jī kēng
кадый,卡德,kǎ dé
поназырево,波纳济列沃,bō nà jì liè wò
сусанино,苏萨尼诺,sū sà ní nuò
урмары,乌尔马雷,wū ěr mǎ léi
токсово,托克索沃,tuō kè suǒ wò
астория,阿斯托里亚酒店,ā sī tuō lǐ yà jiǔ diàn
троицкопечорск,特罗伊茨科伯朝拉斯克,tè luó yī cí kē bǎi cháo lā sī kè
мохсоголлох,莫赫索戈洛赫,mò hè suǒ gē luò hè
гирей,吉列伊,jí liè yī
кузнечное,库兹涅奇诺耶,kù zī niè qí nuò yē
солнечнодольск,索尔涅奇诺多利斯克,suǒ ěr niè qí nuò duō lì sī kè
маджар,马加尔,mǎ jiā ěr
холодильник,霍洛季利尼克山,huò luò jì lì ní kè shān
повенец,波韦涅茨,bō wéi niè cí
варгаши,瓦尔加希,wǎ ěr jiā xī
вурнары,武尔纳雷,wǔ ěr nà léi
золотинка,佐洛京卡,zuǒ luò jīng kǎ
кысылсыр,克孜勒瑟尔,kè zī lè sè ěr
дацан,扎仓,zhā cāng
кильмезь,基利梅济,jī lì méi jì
кикнур,基克努尔,jī kè nǔ ěr
бердигестях,别尔季格斯佳赫,bié ěr jì gé sī jiā hè
ветлужский,韦特卢日斯基,wéi tè lú rì sī jī
фишт,菲什特山,fēi shén tè shān
лялятюльпан,拉拉郁金香大清真寺,lā lā yù jīn xiāng dà qīng zhēn sì
гвардейское,近卫军村,jìn wèi jūn cūn
мильна,米利纳火山,mǐ lì nà huǒ shān
ныроб,内罗布,nèi luó bù
пяозерский,皮亚奥泽尔斯基,pí yà ào zé ěr sī jī
муезерский,穆耶泽尔斯基,mù yē zé ěr sī jī
таврическое,塔夫里切斯科耶,tǎ fū lǐ qiè sī kē yē
пиндуши,平杜希,píng dù xī
горноуральский,戈尔诺乌拉尔斯基,gē ěr nuò wū lā ěr sī jī
тээли,泰利,tài lì
бурханизм,布尔罕教,bù ěr hǎn jiào
карсун,卡尔孙,kǎ ěr sūn
шамилькала,沙米利卡拉,shā mǐ lì kǎ lā
аграрное,阿格拉尔诺耶,ā gé lā ěr nuò yē
сандармох,桑达莫赫,sāng dá mò hè
зуя,祖亚,zǔ yà
уратман,乌拉塔曼火山,wū lā tǎ màn huǒ shān
долгое,多尔戈耶,duō ěr gē yē
арбаж,阿尔巴日,ā ěr bā rì
андреевка,安德烈耶夫卡,ān dé liè yē fū kǎ
барсово,巴尔索沃,bā ěr suǒ wò
рощинский,罗辛斯基,luó xīn sī jī
углеуральский,乌格列乌拉尔斯基,wū gé liè wū lā ěr sī jī
широковский,希罗科夫斯基,xī luó kē fū sī jī
сараны,萨拉内,sà lā nèi
аймак,艾马克,ài mǎ kè
рябово,里亚博沃,lǐ yà bó wò
афанасьево,阿法纳西耶沃,ā fǎ nà xī yē wò
култук,库尔图克,kù ěr tú kè
дергачи,杰尔加奇,jié ěr jiā qí
вишневогорск,维什涅沃戈尔斯克,wéi shén niè wò gē ěr sī kè
арсеньево,阿尔谢尼耶沃,ā ěr xiè ní yē wò
павловка,巴甫洛夫卡,bā fǔ luò fū kǎ
зауральский,外乌拉尔斯基,wài wū lā ěr sī jī
екатериновка,叶卡捷琳诺夫卡,yè kǎ jié lín nuò fū kǎ
ишеевка,伊舍耶夫卡,yī shè yē fū kǎ
сайлюгем,赛柳格姆山脉,sài liǔ gé mǔ shān mài
эггелла,埃格拉火山,āi gé lā huǒ shān
чирип,北散布山,běi sàn bù shān
гамчен,加姆琴火山,jiā mǔ qín huǒ shān
воямпольский,沃亚姆波利斯基火山,wò yà mǔ bō lì sī jī huǒ shān
близнец,布利兹涅茨火山,bù lì zī niè cí huǒ shān
еловский,叶洛夫斯基火山,yè luò fū sī jī huǒ shān
лукино,卢基诺,lú jī nuò
выездное,维耶兹德诺耶,wéi yē zī dé nuò yē
гидроторф,吉德罗托尔夫,jí dé luó tuō ěr fū
мухтолово,穆赫托洛沃,mù hè tuō luò wò
ходутка,霍杜特卡火山,huò dù tè kǎ huǒ shān
кэбеней,凯别涅伊火山,kǎi bié niè yī huǒ shān
устьцильма,乌斯季齐利马,wū sī jì qí lì mǎ
крильон,西能登吕岬,xī néng dēng lǚ jiǎ
аркуль,阿尔库尔,ā ěr kù ěr
юргамыш,尤尔加梅什,yóu ěr jiā méi shén
депутатский,杰普塔茨基,jié pǔ tǎ cí jī
джебарикихая,杰巴里基哈亚,jié bā lǐ jī hā yà
чуфарово,丘法罗沃,qiū fǎ luó wò
ашукино,阿舒基诺,ā shū jī nuò
балахнинский,巴拉赫宁斯基,bā lā hè níng sī jī
атагай,阿塔盖,ā tǎ gài
титила,蒂蒂拉火山,dì dì lā huǒ shān
леутонгей,列乌通格伊火山,liè wū tōng gé yī huǒ shān
алексеевск,阿列克谢耶夫斯克,ā liè kè xiè yē fū sī kè
иттифак,伊蒂法克,yī dì fǎ kè
быково,贝科沃,bèi kē wò
белоомут,别洛奥穆特,bié luò ào mù tè
белореченский,别洛列琴斯基,bié luò liè qín sī jī
богородское,博戈罗茨科耶,bó gē luó cí kē yē
опала,奥帕拉火山,ào pà lā huǒ shān
мамедкала,马梅德卡拉,mǎ méi dé kǎ lā
мама,马马,mǎ mǎ
встречный,弗斯特列奇内,fú sī tè liè qí nèi
халаца,克劳斯萨山,kè láo sī sà shān
тауншиц,塔温希茨火山,tǎ wēn xī cí huǒ shān
хохлово,霍赫洛沃,huò hè luò wò
отдельный,奥特杰利内火山,ào tè jié lì nèi huǒ shān
даниловка,丹尼洛夫卡,dān ní luò fū kǎ
демьяново,杰米扬诺沃,jié mǐ yáng nuò wò
даровской,达罗夫斯科伊,dá luó fū sī kē yī
духовницкое,杜霍夫尼茨科耶,dù huò fū ní cí kē yē
форносово,福尔诺索沃,fú ěr nuò suǒ wò
дмитриевка,德米特里耶夫卡,dé mǐ tè lǐ yē fū kǎ
демон,神威岳,shén wēi yuè
мокроус,莫克罗乌斯,mò kè luó wū sī
новатор,革新家设计局,gé xīn jiā shè jì jú
итатский,伊塔茨基,yī tǎ cí jī
валькумей,瓦利库梅,wǎ lì kù méi
яковлево,雅科夫列沃,yǎ kē fū liè wò
янталь,扬塔利,yáng tǎ lì
ишня,伊什尼亚,yī shén ní yà
ижморский,伊日莫尔斯基,yī rì mò ěr sī jī
юрья,尤里亚,yóu lǐ yà
кратово,克拉托沃,kè lā tuō wò
краснозатонский,克拉斯诺扎顿斯基,kè lā sī nuò zhā dùn sī jī
каменка,卡缅卡,kǎ miǎn kǎ
кантемировка,坎捷米罗夫卡,kǎn jié mǐ luó fū kǎ
каз,卡兹,kǎ zī
колобово,科洛博沃,kē luò bó wò
константиновский,康斯坦丁诺夫斯基,kāng sī tǎn dīng nuò fū sī jī
квиток,克维托克,kè wéi tuō kè
куркино,库尔基诺,kù ěr jī nuò
кузино,库济诺,kù jì nuò
крапивинский,克拉皮温斯基,kè lā pí wēn sī jī
лесогорск,列索戈尔斯克,liè suǒ gē ěr sī kè
лух,卢赫,lú hè
луговский,卢戈夫斯基,lú gē fū sī jī
нема,涅马,niè mǎ
нерль,涅尔利,niè ěr lì
демиркапу,杰米尔卡普山,jié mǐ ěr kǎ pǔ shān
малино,马利诺,mǎ lì nuò
краснокаменка,克拉斯诺卡姆扬卡,kè lā sī nuò kǎ mǔ yáng kǎ
мамакан,马马坎,mǎ mǎ kǎn
ленинское,列宁斯科耶,liè níng sī kē yē
медведицкий,梅德韦季茨基,méi dé wéi jì cí jī
мелехово,梅列霍沃,méi liè huò wò
мишеронский,米舍龙斯基,mǐ shè lóng sī jī
мишелёвка,米舍廖夫卡,mǐ shè liào fū kǎ
молодёжный,莫洛焦日内,mò luò jiāo rì nèi
никологоры,尼科洛戈雷,ní kē luò gē léi
почтовое,波什托韦,bō shén tuō wéi
понизовка,波尼济夫卡,bō ní jì fū kǎ
виноградное,维诺赫拉德内,wéi nuò hè lā dé nèi
новофёдоровка,新费多里夫卡,xīn fèi duō lǐ fū kǎ
