マツモトユキヒロ,松本行弘,sōng běn háng hóng,matsumotoyukihiro
フジバヤシ,藤林,MODIFIED,téng lín,fujibayashi
ヒデマロ,秀麿,MODIFIED,xiù mí,hidemaro
ミズヌマ,水沼,MODIFIED,shuǐ zhǎo,mizunuma
ホシ,保志,MODIFIED,bǎo zhì,hoshi
リョウキケン,良木健,MODIFIED,liáng mù jiàn,ryoukiken
サワダ,泽田,MODIFIED,zé tián,sawada
ウチモト,内基,MODIFIED,nèi jī,uchimoto
ボクデン,卜传,MODIFIED,bǔ chuán,bokuden
ヒラデ,平出,MODIFIED,píng chū,hirade
ホサカ,保坂,MODIFIED,bǎo bǎn,hosaka
ゴキ,御木,MODIFIED,yù mù,goki
モトコウキチ,本幸吉,MODIFIED,běn xìng jí,motokoukichi
イワタニ,岩谷,MODIFIED,yán gǔ,iwatani
ニイナ,新名,MODIFIED,xīn míng,niina
アヤノ,彩乃,MODIFIED,cǎi nǎi,ayano
シンペイ,晋平,MODIFIED,jìn píng,shinpei
カズトシ,和寿,MODIFIED,hé shòu,kazutoshi
ハヤシラ,林罗,MODIFIED,lín luó,hayashira
コウトク,幸德,MODIFIED,xìng dé,koutoku
シュウスイ,秋水,MODIFIED,qiū shuǐ,shuusui
ツボイ,坪井,MODIFIED,píng jǐng,tsuboi
ケイカイ,庆介,MODIFIED,qìng jiè,keikai
フナダニ,船谷,MODIFIED,chuán gǔ,funadani
ケイユウ,圭祐,MODIFIED,guī yòu,keiyuu
コジマ,小嶋,MODIFIED,xiǎo dǎo,kojima
ヒサイ,阳菜,MODIFIED,yáng cài,hisai
カミ,神,MODIFIED,shén,kami
タダシススム,祯丞,MODIFIED,zhēn chéng,tadashisusumu
ヒロシテル,浩辉,MODIFIED,hào huī,hiroshiteru
ハヤシバラ,林原,MODIFIED,lín yuán,hayashibara
ヤスアキ,安明,MODIFIED,ān míng,yasuaki
ギスケ,义介,MODIFIED,yì jiè,gisuke
アイチ,爱知,MODIFIED,ài zhī,aichi
イノ,伊野,MODIFIED,yī yě,ino
ナミマサヒコ,波雅彦,MODIFIED,bō yǎ yàn,namimasahiko
モトヤマ,本山,MODIFIED,běn shān,motoyama
ラモス,拉莫斯,MODIFIED,lā mò sī,ramosu
ツグミ,鸫,MODIFIED,dōng,tsugumi
チョクツヨシ,直刚,MODIFIED,zhí gāng,chokutsuyoshi
タイゴ,大悟,MODIFIED,dà wù,taigo
トモアキ,智章,MODIFIED,zhì zhāng,tomoaki
アカツカ,赤冢,MODIFIED,chì zhǒng,akatsuka
シガ,志贺,MODIFIED,zhì hè,shiga
ヤブキ,矢吹,MODIFIED,shǐ chuī,yabuki
ヤマハ,山叶,MODIFIED,shān yè,yamaha
トラクスノキ,寅楠,MODIFIED,yín nán,torakusunoki
カワシマ,川嶋,MODIFIED,chuān dǎo,kawashima
アムロ,安室,MODIFIED,ān shì,amuro
ナミエ,奈美惠,MODIFIED,nài měi huì,namie
ヨシズミ,吉住,MODIFIED,jí zhù,yoshizumi
ナガサト,永里,MODIFIED,yǒng lǐ,nagasato
メンヤ,绵矢,MODIFIED,mián shǐ,menya
マットウ,松任,MODIFIED,sōng rèn,mattou
タニユミ,谷由实,MODIFIED,gǔ yóu shí,taniyumi
モチヅキ,望月,MODIFIED,wàng yuè,mochidzuki
アイヅ,会津,MODIFIED,huì jīn,aidzu
ソウシ,总司,MODIFIED,zǒng sī,soushi
アカバ,赤羽,MODIFIED,chì yǔ,akaba
スエキチ,末吉,MODIFIED,mò jí,suekichi
ナオノブ,直圆,MODIFIED,zhí yuán,naonobu
セイシロウ,征士郎,MODIFIED,zhēng shì láng,seishirou
オウキョ,应举,MODIFIED,yìng jǔ,oukyo
ケイフト,启太,MODIFIED,qǐ tài,keifuto
ケンタスク,谦佑,MODIFIED,qiān yòu,kentasuku
アカマツ,赤松,MODIFIED,chì sōng,akamatsu
ゴンダ,权田,MODIFIED,quán tián,gonda
ユウゾウ,勇藏,MODIFIED,yǒng cáng,yuuzou
オクデラ,奥寺,MODIFIED,ào sì,okudera
ヒカリヒトシ,光仁,MODIFIED,guāng rén,hikarihitoshi
リュウチ,笠智,MODIFIED,lì zhì,ryuuchi
サカマキ,酒卷,MODIFIED,jiǔ juàn,sakamaki
カナコ,加奈子,MODIFIED,jiā nài zǐ,kanako
リョウシ,谅史,MODIFIED,liàng shǐ,ryoushi
カズニチロウ,和日郎,MODIFIED,hé rì láng,kazunichirou
アカネ,茜,MODIFIED,qiàn,akane
アリモリ,有森,MODIFIED,yǒu sēn,arimori
カワヒサ,川久,MODIFIED,chuān jiǔ,kawahisa
ホレイ,保玲,MODIFIED,bǎo líng,horei
アキヒサ,明久,MODIFIED,míng jiǔ,akihisa
アカゾメ,赤染,MODIFIED,chì rǎn,akazome
カチョウ,家长,MODIFIED,jiā zhǎng,kachou
スワ,诹访,MODIFIED,zōu fǎng,suwa
ウチアキコ,内晶子,MODIFIED,nèi jīng zǐ,uchiakiko
ショウイン,松阴,MODIFIED,sōng yīn,shouin
コンノ,近野,MODIFIED,jìn yě,konno
イタクラ,板仓,MODIFIED,bǎn cāng,itakura
カツシゲ,胜重,MODIFIED,shèng zhòng,katsushige
カエ,香衣,MODIFIED,xiāng yī,kae
クスノキマサル,楠大,MODIFIED,nán dà,kusunokimasaru
テン,典,MODIFIED,diǎn,ten
ハカズキ,霸和树,MODIFIED,bà hé shù,hakazuki
ウラワ,浦和,MODIFIED,pǔ hé,urawa
ノベネン,延年,MODIFIED,yán nián,nobenen
ニシタニ,西谷,MODIFIED,xī gǔ,nishitani
ミナミノ,南野,MODIFIED,nán yě,minamino
タクジツ,拓实,MODIFIED,tuò shí,takujitsu
イワブチ,岩渊,MODIFIED,yán yuān,iwabuchi
クニエダ,国枝,MODIFIED,guó zhī,kunieda
タダシロウ,规郎,MODIFIED,guī láng,tadashirou
ケイチ,启治,MODIFIED,qǐ zhì,keichi
ユウハナ,有华,MODIFIED,yǒu huá,yuuhana
サワイ,泽井,MODIFIED,zé jǐng,sawai
ミユ,美优,MODIFIED,měi yōu,miyu
コメタニ,米谷,MODIFIED,mǐ gǔ,kometani
ミク,美久,MODIFIED,měi jiǔ,miku
ショウケン,昭宪,MODIFIED,zhāo xiàn,shouken
コウタイゴウ,皇太后,MODIFIED,huáng tài hòu,koutaigou
チュウドウ,中道,MODIFIED,zhōng dào,chuudou
シンジョウ,新条,MODIFIED,xīn tiáo,shinjou
グンジ,郡司,MODIFIED,jùn sī,gunji
サクラザワ,樱泽,MODIFIED,yīng zé,sakurazawa
ニシナ,仁科,MODIFIED,rén kē,nishina
キタグチ,北口,MODIFIED,běi kǒu,kitaguchi
ハギハラ,萩原,MODIFIED,qiū yuán,hagihara
セリザワ,芹泽,MODIFIED,qín zé,serizawa
カモ,鸭,MODIFIED,yā,kamo
タケイゴ,田圭吾,MODIFIED,tián guī wú,takeigo
フカサワ,深泽,MODIFIED,shēn zé,fukasawa
カズアキラ,和明,MODIFIED,hé míng,kazuakira
ツキ,月,MODIFIED,yuè,tsuki
クロイワ,黑岩,MODIFIED,hēi yán,kuroiwa
リョウボウ,良房,MODIFIED,liáng fáng,ryoubou
イナガキ,稻垣,MODIFIED,dào yuán,inagaki
サグカソケ,探幽,MODIFIED,tàn yōu,sagukasoke
ムライ,村井,MODIFIED,cūn jǐng,murai
ホリタツ,堀辰,MODIFIED,kū chén,horitatsu
カズイタル,和达,MODIFIED,hé dá,kazuitaru
トシロウ,利郎,MODIFIED,lì láng,toshirou
カズミキ,和干,MODIFIED,hé gān,kazumiki
エハタ,江畑,MODIFIED,jiāng tián,ehata
クルミ,久留美,MODIFIED,jiǔ liú měi,kurumi
サコダ,迫田,MODIFIED,pò tián,sakoda
エモン,卫门,MODIFIED,wèi mén,emon
マスミ,真澄,MODIFIED,zhēn chéng,masumi
ヨシヨシミ,美嘉,MODIFIED,měi jiā,yoshiyoshimi
アカツキト,晓斗,MODIFIED,xiǎo dòu,akatsukito
アリマ,有马,MODIFIED,yǒu mǎ,arima
カワヅ,河津,MODIFIED,hé jīn,kawadzu
アキサトシ,秋敏,MODIFIED,qiū mǐn,akisatoshi
ヨシマス,吉益,MODIFIED,jí yì,yoshimasu
カタモリ,容保,MODIFIED,róng bǎo,katamori
ハマオ,滨尾,MODIFIED,bīn wěi,hamao
サクラギ,樱木,MODIFIED,yīng mù,sakuragi
ナンメイ,南明,MODIFIED,nán míng,nanmei
デンヤ,田野,MODIFIED,tián yě,denya
ホ,保,MODIFIED,bǎo,ho
ヒロイ,广井,MODIFIED,guǎng jǐng,hiroi
オウジ,王子,MODIFIED,wáng zǐ,ouji
ジョウヒカリ,城光,MODIFIED,chéng guāng,jouhikari
カメダ,龟田,MODIFIED,guī tián,kameda
ダイアツシ,大毅,MODIFIED,dà yì,daiatsushi
タキダ,泷田,MODIFIED,lóng tián,takida
タダトシ,忠俊,MODIFIED,zhōng jùn,tadatoshi
ダン,坛,MODIFIED,tán,dan
モモタ,桃田,MODIFIED,táo tián,momota
ケント,贤斗,MODIFIED,xián dòu,kento
トクイ,德井,MODIFIED,dé jǐng,tokui
アオゾラ,青空,MODIFIED,qīng kōng,aozora
コウコ,好古,MODIFIED,hǎo gǔ,kouko
ノホウ,之方,MODIFIED,zhī fāng,nohou
クロキ,黑木,MODIFIED,hēi mù,kuroki
メイサ,美沙,MODIFIED,měi shā,meisa
イワキヨシ,岩清,MODIFIED,yán qīng,iwakiyoshi
ミズアズサ,水梓,MODIFIED,shuǐ zǐ,mizuazusa
マナ,真奈,MODIFIED,zhēn nài,mana
セイケン,清健,MODIFIED,qīng jiàn,seiken
カツラリナ,桂里奈,MODIFIED,guì lǐ nài,katsurarina
アイノ,爱野,MODIFIED,ài yě,aino
サダユキ,贞之,MODIFIED,zhēn zhī,sadayuki
ゴクラク,极乐,MODIFIED,jí lè,gokuraku
インサクラコ,院樱子,MODIFIED,yuàn yīng zǐ,insakurako
フカヤマ,深山,MODIFIED,shēn shān,fukayama
ヤスシチュウ,靖宙,MODIFIED,jìng zhòu,yasushichuu
リイ,利位,MODIFIED,lì wèi,rii
ショウダ,正田,MODIFIED,zhèng tián,shouda
オオホリ,大堀,MODIFIED,dà kū,oohori
ヒロシツトム,宽务,MODIFIED,kuān wù,hiroshitsutomu
ヨシロウ,善朗,MODIFIED,shàn lǎng,yoshirou
アユウコ,亚由子,MODIFIED,yà yóu zǐ,ayuuko
ヨシタケ,吉武,MODIFIED,jí wǔ,yoshitake
ウミコウ,海江,MODIFIED,hǎi jiāng,umikou
タマリ,田万里,MODIFIED,tián wàn lǐ,tamari
ノブシゲ,陈重,MODIFIED,chén zhòng,nobushige
マツヨシミミズ,松嘉瑞,MODIFIED,sōng jiā ruì,matsuyoshimimizu
センタニ,仙谷,MODIFIED,xiān gǔ,sentani
キヌエ,绢枝,MODIFIED,juàn zhī,kinue
ハナモリ,花森,MODIFIED,huā sēn,hanamori
ピンク,小桃,MODIFIED,xiǎo táo,pinku
エイコ,映子,MODIFIED,yìng zǐ,eiko
サトシアキラ,智晶,MODIFIED,zhì jīng,satoshiakira
ナカザト,仲里,MODIFIED,zhòng lǐ,nakazato
ヨシャ,依纱,MODIFIED,yī shā,yosha
ミリヤ,米莉亚,MODIFIED,mǐ lì yà,miriya
ソウツトム,宗任,MODIFIED,zōng rèn,soutsutomu
エイミガク,永琢,MODIFIED,yǒng zhuó,eimigaku
アナブキ,穴吹,MODIFIED,xué chuī,anabuki
アサリョ,麻吕,MODIFIED,má lǚ,asaryo
エタニ,柄谷,MODIFIED,bǐng gǔ,etani
マシタ,真下,MODIFIED,zhēn xià,mashita
タキトオル,泷通,MODIFIED,lóng tōng,takitooru
ニシヤマ,西山,MODIFIED,xī shān,nishiyama
ケンドオリ,兼通,MODIFIED,jiān tōng,kendoori
アリタ,有田,MODIFIED,yǒu tián,arita
アキラタイラ,哲平,MODIFIED,zhé píng,akirataira
ハケイ,波形,MODIFIED,bō xíng,hakei
ジュンリ,纯理,MODIFIED,chún lǐ,junri
マエハタ,前畑,MODIFIED,qián tián,maehata
ヒデコ,秀子,MODIFIED,xiù zǐ,hideko
タミナミ,田南,MODIFIED,tián nán,taminami
ブリョク,部力,MODIFIED,bù lì,buryoku
シンチョウ,清长,MODIFIED,qīng cháng,shinchou
アリサ,亚里莎,MODIFIED,yà lǐ shā,arisa
ワクイ,涌井,MODIFIED,yǒng jǐng,wakui
ツボネ,局,MODIFIED,jú,tsubone
カメクラ,龟仓,MODIFIED,guī cāng,kamekura
オツブ,乙武,MODIFIED,yǐ wǔ,otsubu
ヨウタダシ,洋匡,MODIFIED,yáng kuāng,youtadashi
キョウゴク,京极,MODIFIED,jīng jí,kyougoku
ナツヒコ,夏彦,MODIFIED,xià yàn,natsuhiko
サド,佐渡,MODIFIED,zuǒ dù,sado
ジュリン,树林,MODIFIED,shù lín,jurin
ノブヨ,羡代,MODIFIED,xiàn dài,nobuyo
キタ,喜多,MODIFIED,xǐ duō,kita
カワウタマロ,川歌麿,MODIFIED,chuān gē mí,kawautamaro
フサコ,房子,MODIFIED,fáng zi,fusako
キムクリ,金栗,MODIFIED,jīn lì,kimukuri
ヒワタリ,日渡,MODIFIED,rì dù,hiwatari
サキ,早纪,MODIFIED,zǎo jì,saki
イズミサト,泉里,MODIFIED,quán lǐ,izumisato
ヤイ,矢井,MODIFIED,shǐ jǐng,yai
タヒトミ,田瞳,MODIFIED,tián tóng,tahitomi
ミウチ,美内,MODIFIED,měi nèi,miuchi
スズエ,铃惠,MODIFIED,líng huì,suzue
ヤスヒロ,泰裕,MODIFIED,tài yù,yasuhiro
モリショウ,森尚,MODIFIED,sēn shàng,morishou
サリナ,纱理奈,MODIFIED,shā lǐ nài,sarina
ミチタカ,道隆,MODIFIED,dào lóng,michitaka
モトヒロシ,素弘,MODIFIED,sù hóng,motohiroshi
シマモト,岛本,MODIFIED,dǎo běn,shimamoto
スミ,须美,MODIFIED,xū měi,sumi
ヨアキラ,世璋,MODIFIED,shì zhāng,yoakira
サクタロウ,朔太郎,MODIFIED,shuò tài láng,sakutarou
ヤナギモト,柳本,MODIFIED,liǔ běn,yanagimoto
ヨシナリ,启成,MODIFIED,qǐ chéng,yoshinari
ヒロタカ,广隆,MODIFIED,guǎng lóng,hirotaka
アンザ,安座,MODIFIED,ān zuò,anza
ハザマミユ,间美优,MODIFIED,jiān měi yōu,hazamamiyu
イワクラ,岩仓,MODIFIED,yán cāng,iwakura
シンタロウ,信太郎,MODIFIED,xìn tài láng,shintarou
ミズト,水都,MODIFIED,shuǐ dōu,mizuto
アクア,明亚,MODIFIED,míng yà,akua
マック,户,MODIFIED,hù,makku
アカサカ,并诚,MODIFIED,bìng chéng,akasaka
ヨシノブ,义信,MODIFIED,yì xìn,yoshinobu
ノシュウジ,野秀治,MODIFIED,yě xiù zhì,noshuuji
アシメイ,芦名,MODIFIED,lú míng,ashimei
モリシ,盛氏,MODIFIED,shèng shì,morishi
シモジョウ,下条,MODIFIED,xià tiáo,shimojou
アトム,阿童木,MODIFIED,ā tóng mù,atomu
モトスケ,元助,MODIFIED,yuán zhù,motosuke
オウジョ,皇女,MODIFIED,huáng nǚ,oujo
アマコ,尼子,MODIFIED,ní zǐ,amako
カツヒサ,胜久,MODIFIED,shèng jiǔ,katsuhisa
マコトヒトシ,诚仁,MODIFIED,chéng rén,makotohitoshi
トキ,土岐,MODIFIED,tǔ qí,toki
ヨリユキゲイ,赖艺,MODIFIED,lài yì,yoriyukigei
イン,院,MODIFIED,yuàn,in
オクタモツ,奥保,MODIFIED,ào bǎo,okutamotsu
ヤスオカ,安冈,MODIFIED,ān gāng,yasuoka
ショウタロウ,章太郎,MODIFIED,zhāng tài láng,shoutarou
ヒラガ,平贺,MODIFIED,píng hè,hiraga
ゲンナイ,源内,MODIFIED,yuán nèi,gennai
カワマエ,川前,MODIFIED,chuān qián,kawamae
キオサメ,喜纳,MODIFIED,xǐ nà,kiosame
ショウキチ,昌吉,MODIFIED,chāng jí,shoukichi
チュウアサ,忠朝,MODIFIED,zhōng cháo,chuuasa
ベッショ,别所,MODIFIED,bié suǒ,bessho
ナガハル,长治,MODIFIED,cháng zhì,nagaharu
シンギ,信义,MODIFIED,xìn yì,shingi
チョウエキ,长益,MODIFIED,cháng yì,choueki
チュウテル,忠辉,MODIFIED,zhōng huī,chuuteru
シンマイ,信枚,MODIFIED,xìn méi,shinmai
マイコ,舞子,MODIFIED,wǔ zǐ,maiko
シンナベ,新锅,MODIFIED,xīn guō,shinnabe
ゾウシマ,增嶋,MODIFIED,zēng dǎo,zoushima
クワタ,桑田,MODIFIED,sāng tián,kuwata
トヨコ,丰子,MODIFIED,fēng zǐ,toyoko
リキマル,力丸,MODIFIED,lì wán,rikimaru
オオバヤシ,大林,MODIFIED,dà lín,oobayashi
ソシ,素子,MODIFIED,sù zǐ,soshi
ダイタスク,大佑,MODIFIED,dà yòu,daitasuku
トシツネ,利常,MODIFIED,lì cháng,toshitsune
オクロウ,奥郎,MODIFIED,ào láng,okurou
オトコ,男,MODIFIED,nán,otoko
ハンメグミ,潘惠,MODIFIED,pān huì,hanmegumi
デキ,出木,MODIFIED,chū mù,deki
スギエイサイ,杉英才,MODIFIED,shān yīng cái,sugieisai
イノハラ,井之原,MODIFIED,jǐng zhī yuán,inohara
ニッタ,新田,MODIFIED,xīn tián,nitta
ユウカツ,祐克,MODIFIED,yòu kè,yuukatsu
ヒラバヤシ,平林,MODIFIED,píng lín,hirabayashi
タイコ,泰子,MODIFIED,tài zǐ,taiko
ヒサイシ,久石,MODIFIED,jiǔ shí,hisaishi
ユズル,让,MODIFIED,ràng,yuzuru
カミナリク,雷句,MODIFIED,léi jù,kaminariku
コシダ,越田,MODIFIED,yuè tián,koshida
ハルタ,春田,MODIFIED,chūn tián,haruta
シラヤナギ,白柳,MODIFIED,bái liǔ,shirayanagi
ホクト,北斗,MODIFIED,běi dòu,hokuto
カジヤマ,梶山,MODIFIED,wěi shān,kajiyama
ゼントウ,全登,MODIFIED,quán dēng,zentou
デイ,出井,MODIFIED,chū jǐng,dei
ノブユキ,伸之,MODIFIED,shēn zhī,nobuyuki
ムネオ,宗男,MODIFIED,zōng nán,muneo
ソントク,尊德,MODIFIED,zūn dé,sontoku
マルヤ,丸谷,MODIFIED,wán gǔ,maruya
キヨユキカイ,清之介,MODIFIED,qīng zhī jiè,kiyoyukikai
リュウタロウ,隆太郎,MODIFIED,lóng tài láng,ryuutarou
ヤナギダ,柳田,MODIFIED,liǔ tián,yanagida
サイジョウ,最上,MODIFIED,zuì shàng,saijou
シゲナリ,重成,MODIFIED,zhòng chéng,shigenari
シンスケ,绅助,MODIFIED,shēn zhù,shinsuke
アーサー,亚瑟,MODIFIED,yà sè,āsā
ホリウチ,堀内,MODIFIED,kū nèi,horiuchi
タダナオ,忠直,MODIFIED,zhōng zhí,tadanao
サカガミイラツメ,坂上郎女,MODIFIED,bǎn shàng láng nǚ,sakagamiiratsume
カバヤマ,桦山,MODIFIED,huà shān,kabayama
シオサム,资纪,MODIFIED,zī jì,shiosamu
ハシグチ,桥口,MODIFIED,qiáo kǒu,hashiguchi
リョウスケ,亮辅,MODIFIED,liàng fǔ,ryousuke
ヤギシタ,柳下,MODIFIED,liǔ xià,yagishita
イネメ,稻目,MODIFIED,dào mù,ineme
ジツトキ,实时,MODIFIED,shí shí,jitsutoki
セイドオリ,政通,MODIFIED,zhèng tōng,seidoori
ヤクショ,役所,MODIFIED,yì suǒ,yakusho
マツゾノ,松园,MODIFIED,sōng yuán,matsuzono
ナンバ,难波,MODIFIED,nán bō,nanba
コテ,小手,MODIFIED,xiǎo shǒu,kote
カワユア,川瑜亚,MODIFIED,chuān yú yà,kawayua
トクナガ,德永,MODIFIED,dé yǒng,tokunaga
スギサキ,杉崎,MODIFIED,shān qí,sugisaki
ユキル,由绮琉,MODIFIED,yóu qǐ liú,yukiru
タナ,田名,MODIFIED,tián míng,tana
ブタダシショウ,部匡省,MODIFIED,bù kuāng shěng,butadashishou
ジシュウ,时宗,MODIFIED,shí zōng,jishuu
カンダ,神田,MODIFIED,shén tián,kanda
トキマサ,时政,MODIFIED,shí zhèng,tokimasa
ミチナガ,道长,MODIFIED,dào zhǎng,michinaga
ナガムネ,长宗,MODIFIED,cháng zōng,nagamune
ガブモリチカ,我部盛亲,MODIFIED,wǒ bù shèng qīn,gabumorichika
サコウ,佐江,MODIFIED,zuǒ jiāng,sakou
ノギワ,野际,MODIFIED,yě jì,nogiwa
ハヤシボウ,林房,MODIFIED,lín fáng,hayashibou
カズツジ,和辻,MODIFIED,hé shí,kazutsuji
シマヨシ,岛义,MODIFIED,dǎo yì,shimayoshi
イサム,勇,MODIFIED,yǒng,isamu
オユウ,雄祐,MODIFIED,xióng yòu,oyuu
カマアシ,镰足,MODIFIED,lián zú,kamaashi
エイメイ,英明,MODIFIED,yīng míng,eimei
ケンシュウ,贤秀,MODIFIED,xián xiù,kenshuu
クシロ,久代,MODIFIED,jiǔ dài,kushiro
トウハル,陶晴,MODIFIED,táo qíng,touharu
キシホ,木志穗,MODIFIED,mù zhì suì,kishiho
トモエ,友惠,MODIFIED,yǒu huì,tomoe
オウタロウ,王太郎,MODIFIED,wáng tài láng,outarou
イシゲ,石毛,MODIFIED,shí máo,ishige
サワ,佐和,MODIFIED,zuǒ hé,sawa
エリノ,绘理乃,MODIFIED,huì lǐ nǎi,erino
コイシ,小石,MODIFIED,xiǎo shí,koishi
カワマサヒロ,川正弘,MODIFIED,chuān zhèng hóng,kawamasahiro
ゲンケン,原研,MODIFIED,yuán yán,genken
ヨコタ,横田,MODIFIED,héng tián,yokota
テツメ,铁眼,MODIFIED,tiě yǎn,tetsume
キッショウガン,吉祥丸,MODIFIED,jí xiáng wán,kisshougan
ワカ,和香,MODIFIED,hé xiāng,waka
ユイツル,结弦,MODIFIED,jié xián,yuitsuru
オニツカ,鬼束,MODIFIED,guǐ shù,onitsuka
シンジツ,真实,MODIFIED,zhēn shí,shinjitsu
コバナ,小花,MODIFIED,xiǎo huā,kobana
ミホ,美穗,MODIFIED,měi suì,miho
オカザキ,冈崎,MODIFIED,gāng qí,okazaki
レイハナ,礼华,MODIFIED,lǐ huá,reihana
ミヤタ,宫田,MODIFIED,gōng tián,miyata
ミズモト,水本,MODIFIED,shuǐ běn,mizumoto
コウハル,高晴,MODIFIED,gāo qíng,kouharu
ナス,那须,MODIFIED,nà xū,nasu
ダイアキラ,大亮,MODIFIED,dà liàng,daiakira
オカジマ,冈嶋,MODIFIED,gāng dǎo,okajima
ミョウ,妙,MODIFIED,miào,myou
トオノ,远野,MODIFIED,yuǎn yě,toono
タニイ,谷井,MODIFIED,gǔ jǐng,tanii
ミナモトシズ,源静,MODIFIED,yuán jìng,minamotoshizu
カゲツナ,景纲,MODIFIED,jǐng gāng,kagetsuna
ミツトモ,光友,MODIFIED,guāng yǒu,mitsutomo
ミズハラ,水原,MODIFIED,shuǐ yuán,mizuhara
コウヨウ,红叶,MODIFIED,hóng yè,kouyou
ウチカオル,内薰,MODIFIED,nèi xūn,uchikaoru
ススムサトル,奖悟,MODIFIED,jiǎng wù,susumusatoru
タキグチ,泷口,MODIFIED,lóng kǒu,takiguchi
ジュンペイ,顺平,MODIFIED,shùn píng,junpei
クシダ,串田,MODIFIED,chuàn tián,kushida
ダイロク,大麓,MODIFIED,dà lù,dairoku
ワカスギ,若杉,MODIFIED,ruò shān,wakasugi
シンゲン,信玄,MODIFIED,xìn xuán,shingen
クミコ,久美子,MODIFIED,jiǔ měi zǐ,kumiko
ドウジ,童子,MODIFIED,tóng zǐ,douji
ソラヤマ,空山,MODIFIED,kōng shān,sorayama
イズミシゲル,泉重,MODIFIED,quán zhòng,izumishigeru
イエハル,家治,MODIFIED,jiā zhì,ieharu
モリサワ,森泽,MODIFIED,sēn zé,morisawa
イケウチ,池内,MODIFIED,chí nèi,ikeuchi
コウダ,幸田,MODIFIED,xìng tián,kouda
モトハン,基范,MODIFIED,jī fàn,motohan
シンフジ,信藤,MODIFIED,xìn téng,shinfuji
ヨシミチ,吉通,MODIFIED,jí tōng,yoshimichi
ヨルカミ,夜神,MODIFIED,yè shén,yorukami
ユキマレ,雪希,MODIFIED,xuě xī,yukimare
ムネモト,宗翰,MODIFIED,zōng hàn,munemoto
ユウナ,优奈,MODIFIED,yōu nài,yuuna
トウマツ,等松,MODIFIED,děng sōng,toumatsu
ノウフゾウ,农夫藏,MODIFIED,nóng fū cáng,noufuzou
シモトリ,霜鸟,MODIFIED,shuāng niǎo,shimotori
エスミ,江角,MODIFIED,jiāng jiǎo,esumi
マキコ,真纪子,MODIFIED,zhēn jì zǐ,makiko
タシロ,田代,MODIFIED,tián dài,tashiro
シンタニ,新谷,MODIFIED,xīn gǔ,shintani
シュウゾウ,修造,MODIFIED,xiū zào,shuuzou
サハラ,佐原,MODIFIED,zuǒ yuán,sahara
マスイ,增井,MODIFIED,zēng jǐng,masui
スルドヒトシ,锐仁,MODIFIED,ruì rén,surudohitoshi
ヒカリミヤビ,光雅,MODIFIED,guāng yǎ,hikarimiyabi
ウミオン,海音,MODIFIED,hǎi yīn,umion
サダヨ,了俊,MODIFIED,liǎo jùn,sadayo
ナガトモ,长友,MODIFIED,cháng yǒu,nagatomo
タスクト,佑都,MODIFIED,yòu dōu,tasukuto
インサヌキ,院赞岐,MODIFIED,yuàn zàn qí,insanuki
モリヨロズ,森万,MODIFIED,sēn wàn,moriyorozu
ケイダイ,启代,MODIFIED,qǐ dài,keidai
ユミコ,由美子,MODIFIED,yóu měi zǐ,yumiko
ユタカシ,丰氏,MODIFIED,fēng shì,yutakashi
タイラキヨシ,平清,MODIFIED,píng qīng,tairakiyoshi
サダホン,贞本,MODIFIED,zhēn běn,sadahon
ウチタ,打田,MODIFIED,dǎ tián,uchita
シヅカ,志津,MODIFIED,zhì jīn,shidzuka
ニシマキ,西牧,MODIFIED,xī mù,nishimaki
ミオ,未央,MODIFIED,wèi yāng,mio
ジョウテンスメラギ,上天皇,MODIFIED,shàng tiān huáng,joutensumeragi
コウフク,后伏,MODIFIED,hòu fú,koufuku
ミテンノウ,见天皇,MODIFIED,jiàn tiān huáng,mitennou
イエヨシ,家庆,MODIFIED,jiā qìng,ieyoshi
イエナリ,家齐,MODIFIED,jiā qí,ienari
ミチツナハハ,道纲母,MODIFIED,dào gāng mǔ,michitsunahaha
カゲサキ,影崎,MODIFIED,yǐng qí,kagesaki
トケイ,时计,MODIFIED,shí jì,tokei
ノハリ,野针,MODIFIED,yě zhēn,nohari
ハラタツ,原辰,MODIFIED,yuán chén,haratatsu
トク,德,MODIFIED,dé,toku
サガラ,相良,MODIFIED,xiāng liáng,sagara
ヨリフサ,赖房,MODIFIED,lài fáng,yorifusa
ユウヒトシ,悠仁,MODIFIED,yōu rén,yuuhitoshi
サトエ,里江,MODIFIED,lǐ jiāng,satoe
ミツタカ,光孝,MODIFIED,guāng xiào,mitsutaka
ナカオ,仲尾,MODIFIED,zhòng wěi,nakao
