douglas adams,ダグラス・アダムズ,dagurasu・adamuzu
edwin lutyens,エドウィン・ラッチェンス,edowin・ratchensu
thomas woodcock,トマス・ウッドコック,tomasu・uddokokku
john brunner,ジョン・ブラナー,jon・buranā
dorothy richardson,ドロシー・リチャードソン,doroshī・richādoson
jelly d'arányi,イェリー・ダラーニ,yerī・darāni
malorie blackman,マロリー・ブラックマン,marorī・burakkuman
ben chaplin,ベン・チャップリン,ben・chappurin
mark randall,マーク・ランドール,māku・randōru
paul mcgrath,ポール・マグラー,pōru・magurā
gavin hoyte,ギャヴィン・ホイト,gyavin・hoito
alex stepney,アレックス・ステップニー,arekkusu・suteppunī
ruth belville,ルース・ベルヴィル,rūsu・beruviru
mackenzie crook,マッケンジー・クルック,makkenjī・kurukku
piers anthony,ピアズ・アンソニイ,piazu・ansonii
antony beevor,アントニー・ビーヴァー,antonī・bīvā
norman whiteside,ノーマン・ホワイトサイド,nōman・howaitosaido
sandrine holt,サンドリーヌ・ホルト,sandorīnu・horuto
barbara kellerman,バーバラ・ケラーマン,bābara・kerāman
geoff emerick,ジェフ・エメリック,jefu・emerikku
ali smith,アリ・スミス,ari・sumisu
suzanna leigh,スザンナ・リー,suzanna・rī
andy nyman,アンディ・ナイマン,andi・naiman
andy partridge,アンディ・パートリッジ,andi・pātorijji
tim flowers,ティム・フラワーズ,timu・furawāzu
joanna david,ジョアンナ・デヴィッド,joanna・deviddo
niall ferguson,ニーアル・ファーガソン,nīaru・fāgason
ray parlour,レイ・パーラー,rei・pārā
wilfred bion,ウィルフレッド・ビオン,wirufureddo・bion
mike newton,マイク・ニュートン,maiku・nyūton
scott dann,スコット・ダン,sukotto・dan
rebecca saunders,レベッカ・サンダース,rebekka・sandāsu
roxy jezel,ロキシー・ジェゼル,rokishī・jezeru
alun wyn jones,アラン・ウィン・ジョーンズ,aran・win・jōnzu
thomas abel brimage spratt,トーマス・エイベル・ブリメイジ・スプラット,tōmasu・eiberu・burimeiji・supuratto
piers morgan,ピアーズ・モーガン,piāzu・mōgan
michael balint,マイケル・バリント,maikeru・barinto
reginald johnston,レジナルド・ジョンストン,rejinarudo・jonsuton
sinitta,シニータ,shinīta
frank hadow,フランク・ハドー,furanku・hadō
amir khan,アミール・カーン,amīru・kān
emil voigt,エミール・ボイト,emīru・boito
christopher cockerell,クリストファー・コッカレル,kurisutofā・kokkareru
jamie o'hara,ジェイミー・オハラ,jeimī・ohara
stewart raffill,スチュワート・ラフィル,suchuwāto・rafiru
thomas sydenham,トマス・シデナム,tomasu・shidenamu
robert conquest,ロバート・コンクエスト,robāto・konkuesuto
oliver lodge,オリバー・ロッジ,oribā・rojji
harry lloyd,ハリー・ロイド,harī・roido
harold jeffreys,ハロルド・ジェフリーズ,harorudo・jefurīzu
samuel alexander,サミュエル・アレクサンダー,samyueru・arekusandā
nicholas henderson,ニコラス・ヘンダースン,nikorasu・hendāsun
linton kwesi johnson,リントン・クウェシ・ジョンソン,rinton・kuweshi・jonson
sami yusuf,サミ・ユスフ,sami・yusufu
steve clarke,スティーブ・クラーク,sutību・kurāku
john muir,ジョン・ミューア,jon・myūa
dawn addams,ドーン・アダムズ,dōn・adamuzu
brian jacques,ブライアン・ジェイクス,buraian・jeikusu
alun hoddinott,アラン・ホディノット,aran・hodinotto
linus roache,ライナス・ローチ,rainasu・rōchi
peter mensah,ピーター・メンサー,pītā・mensā
john stott,ジョン・ストット,jon・sutotto
kate rusby,ケイト・ラズビー,keito・razubī
alun francis,アラン・フランシス,aran・furanshisu
alun armstrong,アラン・アームストロング,aran・āmusutorongu
pamela franklin,パメラ・フランクリン,pamera・furankurin
margaret scriven,マーガレット・スクリブン,māgaretto・sukuribun
sophie ward,ソフィー・ワード,sofī・wādo
andy mackay,アンディ・マッケイ,andi・makkei
rosemary brown,ローズマリー・ブラウン,rōzumarī・buraun
al stewart,アル・スチュワート,aru・suchuwāto
patrick troughton,パトリック・トラウトン,patorikku・torauton
elihu thomson,エリフ・トムソン,erifu・tomuson
hugh lofting,ヒュー・ロフティング,hyū・rofutingu
hermann bondi,ヘルマン・ボンディ,heruman・bondi
gary pallister,ガリー・パリスター,garī・parisutā
michael winterbottom,マイケル・ウィンターボトム,maikeru・wintābotomu
helen watts,ヘレン・ワッツ,heren・wattsu
brenda milner,ブレンダ・ミルナー,burenda・mirunā
omid djalili,オミッド・ジャリリ,omiddo・jariri
shane williams,シェーン・ウィリアムス,shēn・wiriamusu
laurie cunningham,ローリー・カニンガム,rōrī・kaningamu
jason bonham,ジェイソン・ボーナム,jeison・bōnamu
paul warwick,ポール・ワーウィック,pōru・wāwikku
mark gatiss,マーク・ゲイティス,māku・geitisu
frank brangwyn,フランク・ブラングィン,furanku・buranguィn
lukas jutkiewicz,ルーカス・ユトキエヴィッツ,rūkasu・yutokievittsu
peter mayhew,ピーター・メイヒュー,pītā・meihyū
richard parkes bonington,リチャード・パークス・ボニントン,richādo・pākusu・boninton
kerrea gilbert,ケリー・ギルバート,kerī・girubāto
rory mcilroy,ローリー・マキロイ,rōrī・makiroi
ronnie biggs,ロナルド・ビッグズ,ronarudo・bigguzu
maurice dobb,モーリス・ドッブ,mōrisu・dobbu
arthur scargill,アーサー・スカーギル,āsā・sukāgiru
anne fine,アン・ファイン,an・fain
elliott bennett,エリオット・ベネット,eriotto・benetto
leon clarke,レオン・クラーク,reon・kurāku
poppy morgan,ポピー・モーガン,popī・mōgan
emeli sandé,エミリー・サンデー,emirī・sandē
tim staffell,ティム・スタッフェル,timu・sutafferu
michael radford,マイケル・ラドフォード,maikeru・radofōdo
chris gunter,クリス・ガンター,kurisu・gantā
alan curbishley,アラン・カービシュリー,aran・kābishurī
harry brearley,ハリー・ブレアリー,harī・burearī
andy rourke,アンディ・ルーク,andi・rūku
leonard hawkes,レオナード・ホークス,reonādo・hōkusu
basil hume,バジル・ヒューム,bajiru・hyūmu
chris coleman,クリス・コールマン,kurisu・kōruman
george stubbs,ジョージ・スタッブス,jōji・sutabbusu
tony kaye,トニー・ケイ,tonī・kei
vincent regan,ヴィンセント・リーガン,vinsento・rīgan
peter banks,ピーター・バンクス,pītā・bankusu
laura ashley,ローラ・アシュレイ,rōra・ashurei
shanaze reade,シャネーズ・リード,shanēzu・rīdo
brian blessed,ブライアン・ブレスド,buraian・buresudo
luke charteris,ルーク・チャータリス,rūku・chātarisu
peter pears,ピーター・ピアーズ,pītā・piāzu
alvin langdon coburn,アルヴィン・ラングダン・コバーン,aruvin・rangudan・kobān
maddy prior,マディ・プライヤー,madi・puraiyā
r m hare,リチャード・マーヴィン・ヘア,richādo・māvin・hea
henry wood,ヘンリー・ウッド,henrī・uddo
frederic bartlett,フレデリック・バートレット,furederikku・bātoretto
peter sinfield,ピート・シンフィールド,pīto・shinfīrudo
david frost,デービッド・フロスト,dēbiddo・furosuto
radu lupu,ラドゥ・ルプ,radu・rupu
neil ritchie,ニール・リッチー,nīru・ritchī
gary mckinnon,ゲイリー・マッキノン,geirī・makkinon
siobhan dowd,シヴォーン・ダウド,shivuォーn・daudo
john daly,ジョン・デイリー,jon・deirī
terry kilburn,テリー・キルバーン,terī・kirubān
jimmy bullard,ジミー・ブラード,jimī・burādo
john berger,ジョン・バージャー,jon・bājā
julian stockwin,ジュリアン・ストックウィン,jurian・sutokkuwin
john masefield,ジョン・メイスフィールド,jon・meisufīrudo
don lusher,ドン・ラッシャー,don・rasshā
lee jackson,リー・ジャクソン,rī・jakuson
tom sermanni,トム・サーマンニ,tomu・sāmanni
ken annakin,ケン・アナキン,ken・anakin
harold laski,ハロルド・ラスキ,harorudo・rasuki
stephen wiltshire,スティーヴン・ウィルシャー,sutīvun・wirushā
tony atkinson,アンソニー・アトキンソン,ansonī・atokinson
derek bailey,デレク・ベイリー,dereku・beirī
ken aston,ケネス・アストン,kenesu・asuton
lancelot ware,ランス・ウェア,ransu・wea
alan garner,アラン・ガーナー,aran・gānā
ray kennedy,レイ・ケネディ,rei・kenedi
james rossiter,ジェームズ・ロシター,jēmuzu・roshitā
dennis stratton,デニス・ストラットン,denisu・sutoratton
lascelles abercrombie,ラッセル・アバークロンビー,rasseru・abākuronbī
w o bentley,ウォルター・オーウェン・ベントレー,worutā・ōwen・bentorē
herbert pitman,ハーバート・ピットマン,hābāto・pittoman
baillie scott,ベイリー・スコット,beirī・sukotto
norah neilson gray,ノラ・ニールソン・グレイ,nora・nīruson・gurei
michael kightly,マイケル・カイトリー,maikeru・kaitorī
anna reynolds,アンナ・レイノルズ,anna・reinoruzu
noah taylor,ノア・テイラー,noa・teirā
thomas chalmers,トーマス・チャーマーズ,tōmasu・chāmāzu
charles howard hodges,チャールズ・ハワード・ホッジス,chāruzu・hawādo・hojjisu
chas chandler,チャス・チャンドラー,chasu・chandorā
michael giles,マイケル・ジャイルズ,maikeru・jairuzu
joe garner,ジョー・ガーナー,jō・gānā
izaak walton,アイザック・ウォルトン,aizakku・woruton
lancelot hogben,ランスロット・ホグベン,ransurotto・hoguben
william astbury,ウィリアム・アストベリー,wiriamu・asutoberī
cedric hardwicke,セドリック・ハードウィック,sedorikku・hādowikku
augustus john,オーガスタス・ジョン,ōgasutasu・jon
brian kidd,ブライアン・キッド,buraian・kiddo
arthur rowe,アーサー・ロウ,āsā・rou
liam boyce,リアム・ボイス,riamu・boisu
sam edwards,サム・エドワーズ,samu・edowāzu
spike milligan,スパイク・ミリガン,supaiku・mirigan
peter kennaugh,ピーター・ケノー,pītā・kenō
joss ackland,ジョス・アクランド,josu・akurando
john pell,ジョン・ペル,jon・peru
joe calzaghe,ジョー・カルザゲ,jō・karuzage
roger hammond,ロジャー・ハモンド,rojā・hamondo
john greaves,ジョン・グリーヴス,jon・gurīvusu
david olive,デイヴィッド・オリーヴ,deividdo・orīvu
kaikhosru shapurji sorabji,カイホスルー・シャプルジ・ソラブジ,kaihosurū・shapuruji・sorabuji
andy white,アンディ・ホワイト,andi・howaito
jodie whittaker,ジョディ・ウィテカー,jodi・witekā
matthew carter,マシュー・カーター,mashū・kātā
andy sinton,アンディ・シントン,andi・shinton
andy sneap,アンディ・スニープ,andi・sunīpu
guy smith,ガイ・スミス,gai・sumisu
robin hill,ロビン・ヒル,robin・hiru
steven berkoff,スティーヴン・バーコフ,sutīvun・bākofu
frank bruno,フランク・ブルーノ,furanku・burūno
ian hamilton finlay,イアン・ハミルトン・フィンレイ,ian・hamiruton・finrei
matthew connolly,マシュー・コノリー,mashū・konorī
robert snodgrass,ロバート・スノッドグラス,robāto・sunoddogurasu
theo james,テオ・ジェームズ,teo・jēmuzu
iain softley,イアン・ソフトリー,ian・sofutorī
stanley morison,スタンレー・モリソン,sutanrē・morison
nesta helen webster,ネスタ・ヘレン・ウェブスター,nesuta・heren・webusutā
paul simonon,ポール・シムノン,pōru・shimunon
isobel elsom,イソベル・エルソム,isoberu・erusomu
jason flemyng,ジェイソン・フレミング,jeison・furemingu
john martyn,ジョン・マーティン,jon・mātin
bob fitzsimmons,ボブ・フィッシモンズ,bobu・fisshimonzu
william jackson hooker,ウィリアム・ジャクソン・フッカー,wiriamu・jakuson・fukkā
stephen toulmin,スティーヴン・トゥールミン,sutīvun・tūrumin
harold abrahams,ハロルド・エイブラハムス,harorudo・eiburahamusu
corin redgrave,コリン・レッドグレイヴ,korin・reddogureivu
neil aspinall,ニール・アスピノール,nīru・asupinōru
alastair reynolds,アレステア・レナルズ,aresutea・renaruzu
rupert graves,ルパート・グレイヴス,rupāto・gureivusu
ralph richardson,ラルフ・リチャードソン,rarufu・richādoson
stephen spender,スティーブン・スペンダー,sutībun・supendā
james murray,ジェームズ・マレー,jēmuzu・marē
marlon devonish,マーロン・デボニッシュ,māron・debonisshu
derren brown,ダレン・ブラウン,daren・buraun
barbara windsor,バーバラ・ウィンザー,bābara・winzā
nina hamnett,ニーナ・ハムネット,nīna・hamunetto
ashley williams,アシュリー・ウィリアムズ,ashurī・wiriamuzu
james mccarthy,ジェームス・マッカーシー,jēmusu・makkāshī
jamie roberts,ジェイミー・ロバーツ,jeimī・robātsu
