angela merkel,アンゲラ・メルケル,angera・merukeru
theo saevecke,テオドール・ゼーフェッケ,teodōru・zēfekke
konrad meyer,コンラート・マイヤー,konrāto・maiyā
judith arndt,ユーディト・アルント,yūdito・arunto
andreas werckmeister,アンドレアス・ヴェルクマイスター,andoreasu・vuェrukumaisutā
otto kittel,オットー・キッテル,ottō・kitteru
stefan nimke,シュテファン・ニムケ,shutefan・nimuke
hermann prey,ヘルマン・プライ,heruman・purai
sebastian münster,ゼバスティアン・ミュンスター,zebasutian・myunsutā
klaus teuber,クラウス・トイバー,kurausu・toibā
walter momper,ヴァルター・モンパー,varutā・monpā
ronald weigel,ロナルト・ヴァイゲル,ronaruto・vaigeru
thomas brussig,トーマス・ブルスィヒ,tōmasu・burusihi
ralf schumacher,ラルフ・シューマッハ,rarufu・shūmahha
bernhard schlink,ベルンハルト・シュリンク,berunharuto・shurinku
jawed karim,ジョード・カリム,jōdo・karimu
alfred naujocks,アルフレート・ナウヨックス,arufurēto・nauyokkusu
otto strasser,オットー・シュトラッサー,ottō・shutorassā
karl ziegler,カール・ツィーグラー,kāru・tsīgurā
robert huber,ロベルト・フーバー,roberuto・fūbā
ernst von leyser,エルンスト・フォン・レイザー,erunsuto・fon・reizā
christian werner,クリスティアン・ヴェルナー,kurisutian・vuェrunā
edzard reuter,エツァルト・ロイター,etsaruto・roitā
karoline herfurth,カロリーネ・ヘルフルト,karorīne・herufuruto
tobias schenke,トビアス・シェンケ,tobiasu・shenke
michael naumann,ミヒャエル・ナウマン,mihyaeru・nauman
malu dreyer,マル・ドライヤー,maru・doraiyā
wilhelm redieß,ヴィルヘルム・レディース,viruherumu・redīsu
oskar barnack,オスカー・バルナック,osukā・barunakku
ralf moeller,ラルフ・メラー,rarufu・merā
walther nehring,ヴァルター・ネーリング,varutā・nēringu
wolfgang altenburg,ヴォルフガング・アルテンブルク,vuォrufugangu・arutenburuku
günter mittag,ギュンター・ミッターク,gyuntā・mittāku
ossi oswalda,オッシー・オスヴァルダ,osshī・osuvaruda
paul henckels,ポール・ヘンケルス,pōru・henkerusu
greta schröder,グレタ・シュレーダー,gureta・shurēdā
christoph daum,クリストフ・ダウム,kurisutofu・daumu
luigi colani,ルイジ・コラーニ,ruiji・korāni
gottfried von cramm,ゴットフリート・フォン・クラム,gottofurīto・fon・kuramu
joseph weizenbaum,ジョセフ・ワイゼンバウム,josefu・waizenbaumu
karl binding,カール・ビンディング,kāru・bindingu
karl löwith,カール・レーヴィット,kāru・rēvitto
cornelius meister,コルネリウス・マイスター,koruneriusu・maisutā
hans baumann,ハンス・バウマン,hansu・bauman
josef fischer,ヨーゼフ・フィッシャー,yōzefu・fisshā
eugen ott,オイゲン・オット,oigen・otto
karl arnold,カール・アルノルト,kāru・arunoruto
claudia roth,クラウディア・ロート,kuraudia・rōto
oskar sala,オスカル・ザラ,osukaru・zara
florian david fitz,フロリアン・ダーヴィト・フィッツ,furorian・dāvito・fittsu
otl aicher,オトル・アイヒャー,otoru・aihyā
hans blumenberg,ハンス・ブルーメンベルク,hansu・burūmenberuku
paul götz,パウル・ゲッツ,pauru・gettsu
nick heidfeld,ニック・ハイドフェルド,nikku・haidoferudo
norbert elias,ノルベルト・エリアス,noruberuto・eriasu
nadja auermann,ナジャ・アウアマン,naja・auaman
nico rosberg,ニコ・ロズベルグ,niko・rozuberugu
andrea berg,アンドレア・バーグ,andorea・bāgu
rudolf heß,ルドルフ・ヘス,rudorufu・hesu
dorothea susanne von der pfalz,ドロテア・ズザンナ・フォン・デア・プファルツ,dorotea・zuzanna・fon・dea・pufarutsu
carl de vogt,カール・デ・フォグト,kāru・de・foguto
jürgen ehlers,ユルゲン・エーラス,yurugen・ērasu
karl lagerfeld,カール・ラガーフェルド,kāru・ragāferudo
otto wilhelm thomé,オットー・ヴィルヘルム・トーメ,ottō・viruherumu・tōme
eduard spranger,エドゥアルト・シュプランガー,eduaruto・shupurangā
ludwig crüwell,ルートヴィッヒ・クリューヴェル,rūtovihhi・kuryūvuェru
kurt hahn,クルト・ハーン,kuruto・hān
josef jadassohn,ヨーゼフ・ヤーダスゾーン,yōzefu・yādasuzōn
erich walther,エリッヒ・ヴァルター,erihhi・varutā
wilhelm wundt,ヴィルヘルム・ヴント,viruherumu・vunto
erich neumann,エーリッヒ・ノイマン,ērihhi・noiman
sabine braun,ザビーネ・ブラウン,zabīne・buraun
klaus tennstedt,クラウス・テンシュテット,kurausu・tenshutetto
markus winkelhock,マルクス・ヴィンケルホック,marukusu・vinkeruhokku
harald zur hausen,ハラルド・ツア・ハウゼン,hararudo・tsua・hauzen
nuri şahin,ヌリ・シャヒン,nuri・shahin
hartmann von aue,ハルトマン・フォン・アウエ,harutoman・fon・aue
ernest cassel,アーネスト・カッセル,ānesuto・kasseru
peter damm,ペーター・ダム,pētā・damu
clara zetkin,クララ・ツェトキン,kurara・tsetokin
hermann oldenberg,ヘルマン・オルデンベルク,heruman・orudenberuku
georg bednorz,ヨハネス・ベドノルツ,yohanesu・bedonorutsu
ludwig prandtl,ルートヴィヒ・プラントル,rūtovihi・purantoru
kurt eichhorn,クルト・アイヒホルン,kuruto・aihihorun
waldemar fegelein,ヴァルデマール・フェーゲライン,varudemāru・fēgerain
johann speth,ヨハン・スペス,yohan・supesu
franz rosenzweig,フランツ・ローゼンツヴァイク,furantsu・rōzentsuvaiku
max wolf,マックス・ヴォルフ,makkusu・vuォrufu
nastassja kinski,ナスターシャ・キンスキー,nasutāsha・kinsukī
friedrich foertsch,フリードリヒ・フェルチュ,furīdorihi・feruchu
hans grade,ハンス・グラーデ,hansu・gurāde
julius bartels,ユリウス・バーテルス,yuriusu・bāterusu
walter forstmann,ヴァルター・フォルストマン,varutā・forusutoman
albrecht alt,アルブレヒト・アルト,aruburehito・aruto
angelika buck,アンゲリーカ・ブック,angerīka・bukku
ernst fuhrmann,エルンスト・フールマン,erunsuto・fūruman
fritz laves,フリッツ・ラーベス,furittsu・rābesu
gerhard oppitz,ゲルハルト・オピッツ,geruharuto・opittsu
alexander held,アレクサンダー・ヘルト,arekusandā・heruto
arabella steinbacher,アラベラ・シュタインバッハー,arabera・shutainbahhā
hermann graf,ヘルマン・グラーフ,heruman・gurāfu
karl haushofer,カール・ハウスホーファー,kāru・hausuhōfā
peter fechter,ペーター・フェヒター,pētā・fehitā
ralf meister,ラルフ・マイスター,rarufu・maisutā
paul ramdohr,パウル・ラムドール,pauru・ramudōru
fritz goerdeler,フリッツ・ゲルデラー,furittsu・geruderā
johann ludwig christ,ヨハン・ルートヴィヒ・クリスト,yohan・rūtovihi・kurisuto
heinrich schmieder,ハインリヒ・シュミーダー,hainrihi・shumīdā
malte ludin,マルテ・ルディン,marute・rudin
gotthard sachsenberg,ゴットハルト・ザクセンベルク,gottoharuto・zakusenberuku
eduard neumann,エドゥアルト・ノイマン,eduaruto・noiman
thomas hengelbrock,トーマス・ヘンゲルブロック,tōmasu・hengeruburokku
wolfgang sawallisch,ヴォルフガング・サヴァリッシュ,vuォrufugangu・savarisshu
friedrich hund,フリードリッヒ・フント,furīdorihhi・funto
gerd albrecht,ゲルト・アルブレヒト,geruto・aruburehito
christian knees,クリスティアン・クネース,kurisutian・kunēsu
johanna quandt,ヨハンナ・クヴァント,yohanna・kuvanto
karl liebknecht,カール・リープクネヒト,kāru・rīpukunehito
claudia schiffer,クラウディア・シファー,kuraudia・shifā
anton raphael mengs,アントン・ラファエル・メングス,anton・rafaeru・mengusu
peter öttl,ペーター・エッテル,pētā・etteru
timo glock,ティモ・グロック,timo・gurokku
lenka dürr,レンカ・ドウア,renka・doua
richard kroner,リヒャルト・クローナー,rihyaruto・kurōnā
carl froelich,カール・フレーリッヒ,kāru・furērihhi
heike beier,ハイケ・バイアー,haike・baiā
katharina schmid,カタリナ・アルトハウス,katarina・arutohausu
christian gentner,クリスティアン・ゲントナー,kurisutian・gentonā
felix hoffmann,フェリックス・ホフマン,ferikkusu・hofuman
rudolf dassler,ルドルフ・ダスラー,rudorufu・dasurā
hermann balck,ヘルマン・バルク,heruman・baruku
paul thieme,パウル・ティーメ,pauru・tīme
nina hoss,ニーナ・ホス,nīna・hosu
bruno taut,ブルーノ・タウト,burūno・tauto
christophorus clavius,クリストファー・クラヴィウス,kurisutofā・kuraviusu
erich mendelsohn,エーリヒ・メンデルゾーン,ērihi・menderuzōn
hermann amandus schwarz,ヘルマン・アマンドゥス・シュヴァルツ,heruman・amandusu・shuvarutsu
markus babbel,マルクス・バッベル,marukusu・babberu
dietrich von choltitz,ディートリヒ・フォン・コルティッツ,dītorihi・fon・korutittsu
fredi bobic,フレディ・ボビッチ,furedi・bobitchi
frank schätzing,フランク・シェッツィング,furanku・shettsingu
hermann ganswindt,ヘルマン・ガンズヴィント,heruman・ganzuvinto
karl richter,カール・リヒター,kāru・rihitā
peter behrens,ペーター・ベーレンス,pētā・bērensu
moritz von sachsen,モーリス・ド・サックス,mōrisu・do・sakkusu
christoph wilhelm von kalckstein,クリストフ・ヴィルヘルム・フォン・カルクシュタイン,kurisutofu・viruherumu・fon・karukushutain
thomas fey,トーマス・ファイ,tōmasu・fai
dieter wellershoff,ディーター・ヴェラースホフ,dītā・vuェrāsuhofu
reinhard süring,ラインハルト・シューリンク,rainharuto・shūrinku
justus frantz,ユストゥス・フランツ,yusutusu・furantsu
joseph suder,ヨーゼフ・ズーダー,yōzefu・zūdā
bruno weil,ブルーノ・ヴァイル,burūno・vairu
ludwig philipp,ルートヴィヒ・フィリップ,rūtovihi・firippu
alexander lonquich,アレクサンダー・ロンクヴィッヒ,arekusandā・ronkuvihhi
saskia hippe,ザスキア・ヒッペ,zasukia・hippe
ernst jünger,エルンスト・ユンガー,erunsuto・yungā
dirk werner,ディルク・ヴェルナー,diruku・vuェrunā
martin bangemann,マルティン・バンゲマン,marutin・bangeman
gisela mauermayer,ギーゼラ・マウアーマイヤー,gīzera・mauāmaiyā
franz joseph von battenberg,フランツ・ヨーゼフ・フォン・バッテンベルク,furantsu・yōzefu・fon・battenberuku
petra kelly,ペトラ・ケリー,petora・kerī
stefan quandt,シュテファン・クヴァント,shutefan・kuvanto
hans stille,ハンス・シュティレ,hansu・shutire
hans cloos,ハンス・クロース,hansu・kurōsu
peter anders,ペーター・アンダース,pētā・andāsu
fritz lehmann,フリッツ・レーマン,furittsu・rēman
karl ludwig,カール・ルートヴィヒ,kāru・rūtovihi
tim borowski,ティム・ボロウスキ,timu・borousuki
adolf dassler,アドルフ・ダスラー,adorufu・dasurā
ermin bičakčić,エルミン・ビチャクチッチ,erumin・bichakuchitchi
annelies kupper,アンネリース・クッパー,annerīsu・kuppā
rainer schüttler,ライナー・シュットラー,rainā・shuttorā
gerd binnig,ゲルト・ビーニッヒ,geruto・bīnihhi
hagen kleinert,ハーゲン・クライネルト,hāgen・kuraineruto
gustav adolf nosske,グスタフ・アドルフ・ノスケ,gusutafu・adorufu・nosuke
maximilian schwedler,マクシミリアン・シュヴェードラー,makushimirian・shuvuェーdorā
johannes justus rein,ヨハネス・ユストゥス・ライン,yohanesu・yusutusu・rain
helmut landsberg,ヘルムート・ランズベルク,herumūto・ranzuberuku
gerhard sommer,ゲルハルト・ゾンマー,geruharuto・zonmā
wilhelm heitmüller,ヴィルヘルム・ハイトミュラー,viruherumu・haitomyurā
eberhard jüngel,エーバーハルト・ユンゲル,ēbāharuto・yungeru
edith stein,エーディト・シュタイン,ēdito・shutain
reinhard hauff,ラインハルト・ハウフ,rainharuto・haufu
richard pischel,リヒャルト・ピシェル,rihyaruto・pisheru
samuel stryk,ザムエル・シュトリュク,zamueru・shutoryuku
andreas wank,アンドレアス・ヴァンク,andoreasu・vanku
johannes rydzek,ヨハネス・ルゼック,yohanesu・ruzekku
beno gutenberg,ベノー・グーテンベルグ,benō・gūtenberugu
sebastian anton scherer,セバスチャン・アントン・シェラー,sebasuchan・anton・sherā
christopher franke,クリストファー・フランケ,kurisutofā・furanke
hermann abert,ヘルマン・アーベルト,heruman・āberuto
reinhart koselleck,ラインハルト・コゼレック,rainharuto・kozerekku
nicolas kiefer,ニコラス・キーファー,nikorasu・kīfā
friedrich kellner,フリードリッヒ・ケルナー,furīdorihhi・kerunā
matthias ettrich,マティアス・エトリッヒ,matiasu・etorihhi
klaus schwab,クラウス・シュワブ,kurausu・shuwabu
max delbrück,マックス・デルブリュック,makkusu・deruburyukku
carl zuckmayer,カール・ツックマイヤー,kāru・tsukkumaiyā
karl mannheim,カール・マンハイム,kāru・manhaimu
hans heyer,ハンス・ヘイヤー,hansu・heiyā
ronny ackermann,ロニー・アッカーマン,ronī・akkāman
friedrich naumann,フリードリヒ・ナウマン,furīdorihi・nauman
lothar wolleh,ローター・ヴァレー,rōtā・varē
reinhard seehafer,レインハルト・ジーハファー,reinharuto・jīhafā
christoph waltz,クリストフ・ヴァルツ,kurisutofu・varutsu
brigitte helm,ブリギッテ・ヘルム,burigitte・herumu
wolfgang voigt,ウォルフガング・ヴォイト,worufugangu・vuォito
jenny erpenbeck,ジェニー・エルペンベック,jenī・erupenbekku
