françois hollande,フランソワ・オランド,furansowa・orando
denis lavant,ドニ・ラヴァン,doni・ravan
pierre cochereau,ピエール・コシュロー,piēru・koshurō
christian ingrao,クリスティアン・アングラオ,kurisutian・angurao
christian marquand,クリスチャン・マルカン,kurisuchan・marukan
christian lavieille,クリスチャン・ラビエル,kurisuchan・rabieru
serge blanco,セルジュ・ブランコ,seruju・buranko
jacky ido,ジャッキー・イド,jakkī・ido
steve hérélius,スティーブ・ヘレリウス,sutību・hereriusu
charles thévenin,シャルル・テブナン,sharuru・tebunan
marc seguin,マルク・スガン,maruku・sugan
mathieu coutadeur,マテュー・クタドゥール,matyū・kutadūru
gilles sunu,ジル・スヌ,jiru・sunu
damien grégorini,ダミアン・グレゴリーニ,damian・guregorīni
paul teste,ポール・テスト,pōru・tesuto
gérald mossé,ジェラルド・モッセ,jerarudo・mosse
christian sarron,クリスチャン・サロン,kurisuchan・saron
christian poveda,クリスチャン・ポヴェダ,kurisuchan・povuェda
victoire de france,ヴィクトワール・ド・フランス,vikutowāru・do・furansu
roger bourdin,ロジェ・ブールダン,roje・būrudan
denys de la patellière,ドニス・ド・ラ・パテリエール,donisu・do・ra・pateriēru
henri dutrochet,アンリ・デュトロシェ,anri・dyutoroshe
raël,ラエル,raeru
martial solal,マーシャル・ソラール,māsharu・sorāru
christine de france,クリスティーヌ・ド・フランス,kurisutīnu・do・furansu
théodore de mayerne,テオドール・ド・マイエルヌ,teodōru・do・maierunu
philippe descola,フィリップ・デスコーラ,firippu・desukōra
henri casadesus,アンリ・カサドシュ,anri・kasadoshu
diafra sakho,ディアフラ・サコ,diafura・sako
xavier beauvois,グザヴィエ・ボーヴォワ,guzavie・bōvuォwa
sami frey,サミー・フレー,samī・furē
alexandre charpentier,アレクサンドル・シャルパンティエ,arekusandoru・sharupantie
yannick ponsero,ヤニック・ポンセロ,yanikku・ponsero
christophe bouchut,クリストフ・ブシュー,kurisutofu・bushū
didier levallet,ディディエ・ルヴァレ,didie・ruvare
christophe coin,クリストフ・コワン,kurisutofu・kowan
christophe capelle,クリストフ・カペル,kurisutofu・kaperu
alain lombard,アラン・ロンバール,aran・ronbāru
françois coty,フランソワ・コティ,furansowa・koti
maurice martenot,モーリス・マルトノ,mōrisu・marutono
raoul pugno,ラウール・プーニョ,raūru・pūnyo
raoul diagne,ラウル・ディアニュ,rauru・dianyu
roger leenhardt,ロジェ・レーナルト,roje・rēnaruto
alexandre astruc,アレクサンドル・アストリュック,arekusandoru・asutoryukku
michel bouquet,ミシェル・ブーケ,misheru・būke
fabrice guy,ファブリス・ギー,faburisu・gī
james darmesteter,ジャーム・ダルメステテール,jāmu・darumesutetēru
christophe tiozzo,クリストフ・ティオゾ,kurisutofu・tiozo
christophe de beaumont,クリストフ・ド・ボーモン,kurisutofu・do・bōmon
roland dyens,ローラン・ディアンス,rōran・diansu
max morinière,マクシ・モリニエール,makushi・moriniēru
michel rousseau,ミシェル・ルソー,misheru・rusō
marcel bich,マルセル・ビック,maruseru・bikku
marin karmitz,マリン・カルミッツ,marin・karumittsu
patrick mboma,パトリック・エムボマ,patorikku・emuboma
jannick top,ヤニック・トップ,yanikku・toppu
maxime guyon,マキシム・ギュイヨン,makishimu・gyuiyon
tahar rahim,タハール・ラヒム,tahāru・rahimu
serge akakpo,セルジュ・アカクポ,seruju・akakupo
louis delluc,ルイ・ドゥリュック,rui・duryukku
jacques delille,ジャック・ドリル,jakku・doriru
étienne fourmont,エチエンヌ・フルモン,echiennu・furumon
alphonse hasselmans,アルフォンス・アッセルマン,arufonsu・asseruman
octave feuillet,オクターヴ・フイエ,okutāvu・fuie
paul déroulède,ポール・デルレード,pōru・derurēdo
alfred foucher,アルフレッド・フーシェ,arufureddo・fūshe
thierry amiel,ティエリ・アミエル,tieri・amieru
jacques d'armagnac,ジャック・ダルマニャック,jakku・darumanyakku
dieudonné de gozon,デュードネ・ド・ゴゾン,dyūdone・do・gozon
frédéric nihous,フレデリック・ニウ,furederikku・niu
roger beaufrand,ロジェ・ボーフラン,roje・bōfuran
valentin poénaru,ヴァレンティン・ポエナル,varentin・poenaru
george langelaan,ジョルジュ・ランジュラン,joruju・ranjuran
nicolas hulot,ニコラ・ユロ,nikora・yuro
tony duvert,トニー・デュヴェール,tonī・dyuvuェーru
jean rouaud,ジャン・ルオー,jan・ruō
jacques daléchamps,ジャック・ダレシャン,jakku・dareshan
alfred boucher,アルフレッド・ブーシェ,arufureddo・būshe
emmanuel liais,エマニュエル・リエ,emanyueru・rie
emmanuel salinger,エマニュエル・サランジェ,emanyueru・saranje
robert enrico,ロベール・アンリコ,robēru・anriko
jean van de velde,ジャン・ヴァン・デ・ヴェルデ,jan・van・de・vuェrude
jules émile planchon,ジュール・エミール・プランション,jūru・emīru・puranshon
gabriel dupont,ガブリエル・デュポン,gaburieru・dyupon
alfred desenclos,アルフレッド・デザンクロ,arufureddo・dezankuro
michel jazy,ミシェル・ジャジ,misheru・jaji
joseph oesterlé,ジョゼフ・オステルレ,jozefu・osuterure
nicolas charles seringe,ニコラ・シャルル・セランジュ,nikora・sharuru・seranju
samuel hadida,サミュエル・ハディダ,samyueru・hadida
georges spénale,ジョルジュ・スペナール,joruju・supenāru
alexandre geniez,アレクサンドル・ジェニエス,arekusandoru・jeniesu
alphonse georges,アルフォンス・ジョルジュ,arufonsu・joruju
emmanuel desurvire,エマニュエル・ドゥスルヴィル,emanyueru・dusuruviru
emmanuel bove,エマニュエル・ボーヴ,emanyueru・bōvu
emmanuel drake del castillo,エマヌエル・ドレーク・デル・カスティリョ,emanueru・dorēku・deru・kasutiryo
claude delangle,クロード・ドゥラングル,kurōdo・duranguru
claude delvincourt,クロード・デルヴァンクール,kurōdo・deruvankūru
claude gervaise,クロード・ジェルヴェーズ,kurōdo・jeruvuェーzu
claude gay,クロード・ゲイ,kurōdo・gei
damia,ダミア,damia
albéric magnard,アルベリク・マニャール,aruberiku・manyāru
pierre andré de suffren,ピエール・アンドレ・ド・シュフラン,piēru・andore・do・shufuran
alexandre jardin,アレクサンドル・ジャルダン,arekusandoru・jarudan
michel corrette,ミシェル・コレット,misheru・koretto
claude pascal,クロード・パスカル,kurōdo・pasukaru
claude piquemal,クロード・ピケマル,kurōdo・pikemaru
serge bourguignon,セルジュ・ブールギニョン,seruju・būruginyon
jacques bouveresse,ジャック・ブーヴレス,jakku・būvuresu
pierre ducasse,ピエール・デュカス,piēru・dyukasu
henri bertini,アンリ・ベルティーニ,anri・berutīni
claude allègre,クロード・アレグル,kurōdo・areguru
claude aubriet,クロード・オーブリエ,kurōdo・ōburie
marcel chevalier,マルセル・シュヴァリエ,maruseru・shuvarie
pierre beauchamp,ピエール・ボーシャン,piēru・bōshan
gaston méliès,ガストン・メリエス,gasuton・meriesu
vincent guérin,ヴァンサン・ゲラン,vansan・geran
émilien de nieuwerkerke,エミリアン・ド・ニューウェルケルク,emirian・do・nyūwerukeruku
maurice farman,モーリス・ファルマン,mōrisu・faruman
kad merad,カド・メラッド,kado・meraddo
neal maupay,ニール・モペイ,nīru・mopei
melvil poupaud,メルヴィル・プポー,meruviru・pupō
philippe torreton,フィリップ・トレトン,firippu・toreton
olivier megaton,オリヴィエ・メガトン,orivie・megaton
pierre chambon,ピエール・シャンボン,piēru・shanbon
jean murat,ジャン・ミュラ,jan・myura
alban préaubert,アルバン・プレオベール,aruban・pureobēru
jean becker,ジャン・ベッケル,jan・bekkeru
eriq ebouaney,エリック・エブアニー,erikku・ebuanī
pierre moinot,ピエール・モワノー,piēru・mowanō
noël akchoté,ノエル・アクショテ,noeru・akushote
claude de la trémoille,クロード・ド・ラ・トレモイユ,kurōdo・do・ra・toremoiyu
japhet n'doram,ヤフェット・エンドラム,yafetto・endoramu
paul jamin,ポール・ジャマン,pōru・jaman
jules de goncourt,ジュール・ド・ゴンクール,jūru・do・gonkūru
simon sabiani,シモン・サビアニ,shimon・sabiani
patrick gallois,パトリック・ガロワ,patorikku・garowa
cécile cassel,セシル・カッセル,seshiru・kasseru
henri meschonnic,アンリ・メショニック,anri・meshonikku
clément loret,クレマン・ロレ,kureman・rore
clovis trouille,クロヴィス・トルイユ,kurovisu・toruiyu
clément turpin,クレマン・トゥルパン,kureman・turupan
pierre failliot,ピエール・ファリオ,piēru・fario
gilles quénéhervé,ジル・ケネールヴェ,jiru・kenēruvuェ
alexandre luigini,アレクサンドル・ルイジーニ,arekusandoru・ruijīni
armand peugeot,アルマン・プジョー,aruman・pujō
pierre hermé,ピエール・エルメ,piēru・erume
alain decaux,アラン・ドゥコー,aran・dukō
eugénie blanchard,ウジェニー・ブランシャール,ujenī・buranshāru
horațiu rădulescu,ホラチウ・ラドゥレスク,horachiu・raduresuku
marius constant,マリユス・コンスタン,mariyusu・konsutan
isaach de bankolé,イザック・ド・バンコレ,izakku・do・bankore
georges arvanitas,ジョルジュ・アルヴァニタス,joruju・aruvanitasu
michel leblond,ミシェル・ルブロン,misheru・ruburon
philippe nozières,フィリップ・ノジェール,firippu・nojēru
josé bénazéraf,ジョゼ・ベナゼラフ,joze・benazerafu
tomer sisley,トメル・シスレー,tomeru・shisurē
roger grenier,ロジェ・グルニエ,roje・gurunie
oleg cassini,オレグ・カッシーニ,oregu・kasshīni
ligier richier,リジェ・リシエ,rije・rishie
régis laconi,レジス・ラコーニ,rejisu・rakōni
albert mathiez,アルベール・マチエ,arubēru・machie
gabriel bataille,ガブリエル・バタイユ,gaburieru・bataiyu
gabriel de clieu,ガブリエル・ド・クリュー,gaburieru・do・kuryū
antoinette de monaco,アントワネット・ド・モナコ,antowanetto・do・monako
antoine du verdier,アントワーヌ・デュ・ヴェルディエ,antowānu・dyu・vuェrudie
dominique baratelli,ドミニク・バラテリ,dominiku・barateri
manuel rosenthal,マニュエル・ロザンタル,manyueru・rozantaru
dominique lapierre,ドミニク・ラピエール,dominiku・rapiēru
dominique dropsy,ドミニク・ドロプシー,dominiku・doropushī
louis antoine fauvelet de bourrienne,ルイ・アントワーヌ・フォヴレ・ド・ブーリエンヌ,rui・antowānu・fovure・do・būriennu
alexandre hardy,アレクサンドル・アルディ,arekusandoru・arudi
pierre de larivey,ピエール・ド・ラリヴェ,piēru・do・rarivuェ
hervé le tellier,エルヴェ・ル・テリエ,eruvuェ・ru・terie
marcel dadi,マルセル・ダディ,maruseru・dadi
yvon douis,イヴォン・ドゥイス,ivuォn・duisu
nino frank,ニーノ・フランク,nīno・furanku
louis rémy mignot,ルイ・レミー・ミニョー,rui・remī・minyō
gilbert simondon,ジルベール・シモンドン,jirubēru・shimondon
gaël morel,ガエル・モレル,gaeru・moreru
gaëtan bussmann,ガエタン・ビュスマン,gaetan・byusuman
pierre naville,ピエール・ナヴィル,piēru・naviru
théo sarapo,テオ・サラポ,teo・sarapo
stéphane bernadis,ステファン・ベルナディス,sutefan・berunadisu
gaston lachaise,ガストン・ラシェーズ,gasuton・rashēzu
gaucher de châtillonnevers,ゴーシェ・ド・シャティヨン,gōshe・do・shatiyon
alphonse de neuville,アルフォンス・ド・ヌヴィル,arufonsu・do・nuviru
dominique rouits,ドミニク・ルイツ,dominiku・ruitsu
dominique reymond,ドミニク・レイモン,dominiku・reimon
gaston bussière,ガストン・ビュシエール,gasuton・byushiēru
edmond albius,エドモン・アルビウス,edomon・arubiusu
livio nabab,リヴィオ・ナバブ,rivio・nababu
louis marcoussis,ルイ・マルクーシ,rui・marukūshi
constant dutilleux,コンスタン・デュティユー,konsutan・dyutiyū
conrad lycosthenes,コンラドゥス・リュコステネス,konradusu・ryukosutenesu
marguerite de lorraine,マルグリット・ド・ロレーヌ,maruguritto・do・rorēnu
olivier de termes,オリヴィエ・ド・テルメ,orivie・do・terume
françois léotard,フランソワ・レオタール,furansowa・reotāru
stanislas merhar,スタニスラス・メラール,sutanisurasu・merāru
gaston gallimard,ガストン・ガリマール,gasuton・garimāru
louis godin,ルイ・ゴダン,rui・godan
manitas de plata,マニタス・デ・プラタ,manitasu・de・purata
tibet,チベット,chibetto
george psalmanazar,ジョルジュ・サルマナザール,joruju・sarumanazāru
georges deflandre,ジョルジュ・ドフランドル,joruju・dofurandoru
georges canetti,ジョルジュ・カネッティ,joruju・kanetti
pierre roy,ピエール・ロワ,piēru・rowa
louis de guyenne,ルイ・ド・ギュイエンヌ,rui・do・gyuiennu
françois coli,フランソワ・コリ,furansowa・kori
lucien michard,リュシアン・ミシャール,ryushian・mishāru
donovan léon,ドノヴァン・レオン,donovan・reon
marcel rieder,マルセル・リーダー,maruseru・rīdā
paul benacerraf,ポール・ベナセラフ,pōru・benaserafu
tony aubin,トニー・オーバン,tonī・ōban
henri péquet,アンリ・ペケ,anri・peke
henri emmanuelli,アンリ・エマニュエリ,anri・emanyueri
yannick stopyra,ヤニック・ストピラ,yanikku・sutopira
