inna,茵娜,yīn nà
daciana sârbu,达西安娜·萨尔布,dá xī ān nà · sà ěr bù
adrian pintea,阿德里安·平提亚,ā dé lǐ ān · píng tí yà
viorica ursuleac,维奥里卡·乌苏莉克,wéi ào lǐ kǎ · wū sū lì kè
marin moraru,马林·莫拉鲁,mǎ lín · mò lā lǔ
adriana hölszky,阿德里安娜·赫尔斯基,ā dé lǐ ān nà · hè ěr sī jī
florica musicescu,弗洛里卡·穆西切斯库,fú luò lǐ kǎ · mù xī qiè sī kù
valeriu lazarov,瓦列里乌·拉扎罗夫,wǎ liè lǐ wū · lā zhā luó fū
vladimir filat,弗拉德·费拉特,fú lā dé · fèi lā tè
lászló sepsi,拉兹·萨比斯,lā zī · sà bǐ sī
victor babeș,维克多·巴贝什,wéi kè duō · bā bèi shén
ionuț mazilu,约努茨·马济卢,yuē nǔ cí · mǎ jì lú
marcel iancu,马塞尔·扬科,mǎ sāi ěr · yáng kē
iulian apostol,朱利安·艾斯托尔,zhū lì ān · ài sī tuō ěr
józsef dudás,杜达什·约瑟夫,dù dá shén · yuē sè fū
ilena gheorghi,艾莲娜·乔治,ài lián nà · qiáo zhì
mihaela melinte,米哈拉·梅林特,mǐ hā lā · méi lín tè
colin kolles,科林·科勒斯,kē lín · kē lè sī
steve holmes,史蒂夫·霍姆斯,shǐ dì fū · huò mǔ sī
ioan fiscuteanu,约安·费斯库特阿努,yuē ān · fèi sī kù tè ā nǔ
cristina rus,克里斯蒂娜·鲁斯,kè lǐ sī dì nà · lǔ sī
marcel hellman,马歇尔·赫尔曼,mǎ xiē ěr · hè ěr màn
arnold rosé,阿诺德·罗斯,ā nuò dé · luó sī
mihai trăistariu,米哈伊·维维斯塔里乌,mǐ hā yī · wéi wéi sī tǎ lǐ wū
gheorghe funar,格奥尔格·富纳尔,gé ào ěr gé · fù nà ěr
nicolae rainea,尼古莱·莱内,ní gǔ lái · lái nèi
ștefan bănică,小斯蒂芬·巴尼卡,xiǎo sī dì fēn · bā ní kǎ
cornel damian,高略·达米安,gāo lüè · dá mǐ ān
aurel percă,奥来留·佩尔克,ào lái liú · pèi ěr kè
jean alexandru steriadi,让·亚历山德鲁·斯特里亚迪,ràng · yà lì shān dé lǔ · sī tè lǐ yà dí
daniel potra,达恩·波特拉,dá ēn · bō tè lā
luminița anghel,吕明妮塔·安格尔,lǚ míng nī tǎ · ān gé ěr
vasile miriuță,瓦西里·米留彻,wǎ xī lǐ · mǐ liú chè
mălina olinescu,马琳娜·奥林斯库,mǎ lín nà · ào lín sī kù
jean negulesco,浸·尼古拉可,jìn · ní gǔ lā kě
simina grigoriu,西米娜·格里格留,xī mǐ nà · gé lǐ gé liú
take ionescu,塔凯·约内斯库,tǎ kǎi · yuē nèi sī kù
dan lungu,丹·伦古,dān · lún gǔ
gheorghe dinică,格奥尔基·迪尼察,gé ào ěr jī · dí ní chá
adrian bumbescu,阿德里安·布姆贝斯库,ā dé lǐ ān · bù mǔ bèi sī kù
adrian cioroianu,阿德里安·齐奥罗亚努,ā dé lǐ ān · qí ào luó yà nǔ
iancu flondor,曹·弗隆多,cáo · fú lóng duō
sándor kányádi,桑德·卡尼亚迪,sāng dé · kǎ ní yà dí
ion pop,伊昂·波普,yī áng · bō pǔ
dorel stoica,多雷尔·斯托伊卡,duō léi ěr · sī tuō yī kǎ
zoltan kelemen,佐尔坦·克列门,zuǒ ěr tǎn · kè liè mén
nadia gray,娜迪亚·格雷,nà dí yà · gé léi
raluca strămăturaru,拉卢卡·斯特勒默图拉鲁,lā lú kǎ · sī tè lè mò tú lā lǔ
ionuț neagu,约努茨·内亚古,yuē nǔ cí · nèi yà gǔ
charles bruck,查尔斯·布鲁克,chá ěr sī · bù lǔ kè
alina eremia,阿丽娜·埃雷米亚,ā lì nà · āi léi mǐ yà
nichita stănescu,尼基塔·斯特内斯库,ní jī tǎ · sī tè nèi sī kù
alfred mendelsohn,阿尔弗雷德·门德尔松,ā ěr fú léi dé · mén dé ěr sōng
alexandru șerbănescu,亚历山德鲁·塞伯内斯库,yà lì shān dé lǔ · sāi bǎi nèi sī kù
lucian blaga,露西安·布拉加,lù xī ān · bù lā jiā
mihaela steff,米哈埃拉·什泰夫,mǐ hā āi lā · shén tài fū
eduard caudella,爱德华·考德拉,ài dé huá · kǎo dé lā
ștefan negrișan,斯特凡·内格里尚,sī tè fán · nèi gé lǐ shàng
andrei blaier,安德烈·布莱尔,ān dé liè · bù lái ěr
marius moga,马吕斯·莫加,mǎ lǚ sī · mò jiā
petru păduraru,彼得·珀杜拉鲁,bǐ dé · pò dù lā lǔ
ștefan iovan,什特凡·伊奥万,shén tè fán · yī ào wàn
virgil ierunca,维吉尔·叶伦卡,wéi jí ěr · yè lún kǎ
ion gigurtu,扬·吉格图,yáng · jí gé tú
lazăr comănescu,拉扎尔·科玛内斯库,lā zhā ěr · kē mǎ nèi sī kù
dumitru antonescu,杜米特鲁·安东内斯库,dù mǐ tè lǔ · ān dōng nèi sī kù
vlad plahotniuc,弗拉基米尔·普拉霍尼克,fú lā jī mǐ ěr · pǔ lā huò ní kè
petru soltan,彼得鲁·索尔坦,bǐ dé lǔ · suǒ ěr tǎn
sorina plăcintă,索丽娜露米妮塔·普勒钦特,suǒ lì nà lù mǐ nī tǎ · pǔ lè qīn tè
edward luttwak,爱德华·勒特韦克,ài dé huá · lè tè wéi kè
lili poór,莉莉·普尔,lì lì · pǔ ěr
hunor kelemen,克莱门特·胡诺,kè lái mén tè · hú nuò
nicolae labiș,尼古拉·拉比,ní gǔ lā · lā bǐ
mircea ionescuquintus,米尔恰·约内斯库昆图斯,mǐ ěr qià · yuē nèi sī kù kūn tú sī
rona hartner,萝娜·哈尔特尼,luó nà · hā ěr tè ní
anca petrescu,安卡·佩特雷斯库,ān kǎ · pèi tè léi sī kù
ioan mihail racoviță,伊昂·米哈伊尔·拉科维策,yī áng · mǐ hā yī ěr · lā kē wéi cè
maria popistașu,玛丽亚·波皮斯塔舒,mǎ lì yà · bō pí sī tǎ shū
lászló szabédi,萨贝迪·拉斯洛,sà bèi dí · lā sī luò
mihai roman,米哈伊·罗曼,mǐ hā yī · luó màn
gheorghe mironescu,格奥尔格·米罗内斯库,gé ào ěr gé · mǐ luó nèi sī kù
ileana lazariuc,伊利亚娜·拉扎里,yī lì yà nà · lā zhā lǐ
mădălina ghenea,马达丽娜·珍娜,mǎ dá lì nà · zhēn nà
cătălin țăranu,卡塔林·塔那努,kǎ tǎ lín · tǎ nà nǔ
nadia russo,娜迪亚·鲁索,nà dí yà · lǔ suǒ
anna széles,安娜·瑟莱斯,ān nà · sè lái sī
ciprian deac,奇普里安·代亚克,qí pǔ lǐ ān · dài yà kè
gigel bucur,格奥尔基·布库尔,gé ào ěr jī · bù kù ěr
marius constantin,马吕斯·康斯坦丁,mǎ lǚ sī · kāng sī tǎn dīng
andrás hatházi,安德拉斯·哈塔兹,ān dé lā sī · hā tǎ zī
daniel ciugureanu,达尼埃尔·丘古雷亚努,dá ní āi ěr · qiū gǔ léi yà nǔ
anna lesko,安娜·莱斯克,ān nà · lái sī kè
tudor arghezi,都铎·阿格兹,dōu duó · ā gé zī
vitali holostenco,维塔利·霍洛斯坦科,wéi tǎ lì · huò luò sī tǎn kē
mihai adam,米哈伊·亚当,mǐ hā yī · yà dāng
alexandru adrian popovici,亚历山德鲁·阿德里安·波波维奇,yà lì shān dé lǔ · ā dé lǐ ān · bō bō wéi qí
elena albu,埃伦娜·阿尔布,āi lún nà · ā ěr bù
adrian bejan,阿德里安·比赞,ā dé lǐ ān · bǐ zàn
antoine goléa,安托万·戈莱亚,ān tuō wàn · gē lái yà
monica anghel,莫妮卡·安吉尔,mò nī kǎ · ān jí ěr
emanoil petruț,伊曼尼尔·彼得鲁特,yī màn ní ěr · bǐ dé lǔ tè
robert vișoiu,罗伯特·维绍尤,luó bǎi tè · wéi shào yóu
adrian sitaru,阿德雷安·西塔鲁,ā dé léi ān · xī tǎ lǔ
alex iordăchescu,亚历克斯·伊尔塔斯库,yà lì kè sī · yī ěr tǎ sī kù
miodrag belodedici,米奥德拉格·贝洛德迪奇,mǐ ào dé lā gé · bèi luò dé dí qí
nicu constantin,尼库·康斯坦丁,ní kù · kāng sī tǎn dīng
alla baianova,阿拉·巴亚诺瓦,ā lā · bā yà nuò wǎ
horia sima,霍利亚·希马,huò lì yà · xī mǎ
emil racoviță,埃米尔·拉科维策,āi mǐ ěr · lā kē wéi cè
anca radici,安卡·拉迪奇,ān kǎ · lā dí qí
roxana mărăcineanu,罗克萨娜·默勒奇内亚努,luó kè sà nà · mò lè qí nèi yà nǔ
ioan robu,若望·罗布,ruò wàng · luó bù
jános thorma,托尔马·亚诺什,tuō ěr mǎ · yà nuò shén
decebal traian remeș,德切巴尔·特拉扬·雷梅斯,dé qiè bā ěr · tè lā yáng · léi méi sī
maria golopența,玛丽亚·亚历山德鲁,mǎ lì yà · yà lì shān dé lǔ
paul pepene,保罗·佩佩内,bǎo luó · pèi pèi nèi
julius popper,朱利奥·波普尔,zhū lì ào · bō pǔ ěr
emil jula,艾米尔·尤拉,ài mǐ ěr · yóu lā
elina löwensohn,依琳娜·卢雯宋,yī lín nà · lú wén sòng
cilibi moise,切莱比·莫伊斯,qiè lái bǐ · mò yī sī
vladimir tismăneanu,弗拉基米尔·斯特纳内亚努,fú lā jī mǐ ěr · sī tè nà nèi yà nǔ
eugen țurcanu,尤根·楚尔卡努,yóu gēn · chǔ ěr kǎ nǔ
gheorghe grozav,格奥尔格·格罗萨夫,gé ào ěr gé · gé luó sà fū
nicolae grigorescu,尼古拉·格里格雷斯库,ní gǔ lā · gé lǐ gé léi sī kù
iuliu hațieganu,约略·哈齐耶加努,yuē lüè · hā qí yē jiā nǔ
mosko alkalai,莫斯科·阿尔卡莱,mò sī kē · ā ěr kǎ lái
marius pena,马里斯·彭拿,mǎ lǐ sī · péng ná
eric bicfalvi,埃里克·比化维,āi lǐ kè · bǐ huà wéi
nicholas georgescuroegen,尼可拉斯·乔治斯古罗简,ní kě lā sī · qiáo zhì sī gǔ luó jiǎn
cristeana cojocaru,克里斯蒂亚娜·科若卡鲁,kè lǐ sī dì yà nà · kē ruò kǎ lǔ
maria ciobanu,玛丽亚·西奥班,mǎ lì yà · xī ào bān
eremia grigorescu,埃雷米亚·格利戈雷斯库,āi léi mǐ yà · gé lì gē léi sī kù
gheorghe ursu,格奥尔基·乌尔苏,gé ào ěr jī · wū ěr sū
bianca ghelber,比安卡·盖尔贝尔,bǐ ān kǎ · gài ěr bèi ěr
andreea ehrittvanc,安德利亚·艾利特范克,ān dé lì yà · ài lì tè fàn kè
corneliu baba,科尔内留·巴巴,kē ěr nèi liú · bā bā
dan pița,丹·皮察,dān · pí chá
daniela dodean,丹尼尔拉·多迪安,dān ní ěr lā · duō dí ān
elvira popescu,埃尔维拉·波佩斯库,āi ěr wéi lā · bō pèi sī kù
marius constant,马里于斯·康斯唐,mǎ lǐ yú sī · kāng sī táng
adrian avrămia,阿德里安·阿夫拉米亚,ā dé lǐ ān · ā fū lā mǐ yà
ioan culcer,伊昂·库尔切,yī áng · kù ěr qiè
mircea mureșan,米尔恰·穆雷桑,mǐ ěr qià · mù léi sāng
lucian pintilie,路西安·品特莱,lù xī ān · pǐn tè lái
marin preda,马林·普雷达,mǎ lín · pǔ léi dá
marius oprea,马里乌斯·奥普雷亚,mǎ lǐ wū sī · ào pǔ léi yà
liviu rebreanu,利维乌·雷布列亚努,lì wéi wū · léi bù liè yà nǔ
diana dumitrescu,黛安娜·杜米特雷斯库,dài ān nà · dù mǐ tè léi sī kù
florin șerban,佛罗林·瑟班,fó luó lín · sè bān
cezar popescu,塞萨尔·波佩斯库,sāi sà ěr · bō pèi sī kù
toma caragiu,托马·卡拉玖,tuō mǎ · kǎ lā jiǔ
mihai stoichiță,米哈伊·斯托伊基采,mǐ hā yī · sī tuō yī jī cǎi
cristian pop,克里斯坦·波普,kè lǐ sī tǎn · bō pǔ
ioan dragalina,扬·德拉加利纳,yáng · dé lā jiā lì nà
cosmin hănceanu,科斯明·汉西阿姆,kē sī míng · hàn xī ā mǔ
mihai frățilă,弥额尔·弗勒齐勒,mí é ěr · fú lè qí lè
alina pușcău,阿琳娜·帕丝考,ā lín nà · pà sī kǎo
costi ioniță,科斯蒂·约奥尼亚,kē sī dì · yuē ào ní yà
marin karmitz,马亨·卡米兹,mǎ hēng · kǎ mǐ zī
leonard orban,莱昂纳德·奥尔班,lái áng nà dé · ào ěr bān
elena udrea,埃伦娜·乌德里亚,āi lún nà · wū dé lǐ yà
jean constantin,让·康斯坦丁,ràng · kāng sī tǎn dīng
nicolae vermont,尼古拉·佛蒙特,ní gǔ lā · fó méng tè
radu beligan,拉杜·贝里根,lā dù · bèi lǐ gēn
nicolae stanciu,尼古拉·斯坦丘,ní gǔ lā · sī tǎn qiū
dorotheea petre,多萝西亚·彼得雷,duō luó xī yà · bǐ dé léi
dumitru mazilu,杜米特鲁·马奇卢,dù mǐ tè lǔ · mǎ qí lú
elena caragianistoienescu,埃列娜·卡拉贾尼斯托埃内斯库,āi liè nà · kǎ lā jiǎ ní sī tuō āi nèi sī kù
elisabeta bostan,伊丽莎白·博斯坦,yī lì shā bái · bó sī tǎn
cristea avram,克里斯·阿夫拉姆,kè lǐ sī · ā fū lā mǔ
alexandru nicolschi,亚历山德鲁·尼科尔斯基,yà lì shān dé lǔ · ní kē ěr sī jī
mariavictoria drăguș,玛丽亚维多利亚·德拉古斯,mǎ lì yà wéi duō lì yà · dé lā gǔ sī
claudiu keșerü,克劳迪乌·凯谢吕,kè láo dí wū · kǎi xiè lǚ
george demetrescu mirea,乔治·德梅特斯库·米拉,qiáo zhì · dé méi tè sī kù · mǐ lā
andrei ionescu,安德烈·尤内斯库,ān dé liè · yóu nèi sī kù
anca măroiu,安卡·马罗尤,ān kǎ · mǎ luó yóu
alin toșca,阿林·托斯卡,ā lín · tuō sī kǎ
gabriel sîncrăian,加布里埃尔·辛克勒扬,jiā bù lǐ āi ěr · xīn kè lè yáng
elena moșuc,艾莲娜·莫苏克,ài lián nà · mò sū kè
ana caterina morariu,安娜·卡特琳娜·莫拉露,ān nà · kǎ tè lín nà · mò lā lù
gabriel oprea,加布里埃尔·奥普拉,jiā bù lǐ āi ěr · ào pǔ lā
eugen barbu,欧根·巴布,ōu gēn · bā bù
attila bartis,鲍尔蒂什·奥蒂洛,bào ěr dì shén · ào dì luò
alexandru moșanu,亚历山德鲁·莫萨努,yà lì shān dé lǔ · mò sà nǔ
anatol șalaru,阿纳托里亚·沙拉鲁,ā nà tuō lǐ yà · shā lā lǔ
liviu ciulei,利维乌·丘列伊,lì wéi wū · qiū liè yī
ana guțu,安娜·古图,ān nà · gǔ tú
alina gorghiu,阿利娜·戈尔吉乌,ā lì nà · gē ěr jí wū
ioana barbu,伊万娜·巴尔布,yī wàn nà · bā ěr bù
andrea faciu,安德里亚·法丘,ān dé lǐ yà · fǎ qiū
colea răutu,科莱亚·罗图,kē lái yà · luó tú
andrei bănică,安德烈·伯尼克,ān dé liè · bǎi ní kè
andreea marin,安德莉亚·巴妮察,ān dé lì yà · bā nī chá
george piștereanu,乔治·皮斯特努,qiáo zhì · pí sī tè nǔ
dorin chirtoacă,多林·基尔托阿科,duō lín · jī ěr tuō ā kē
claudia ștef,克劳迪娅·斯戴夫,kè láo dí yà · sī dài fū
alexandru mesian,亚历山大·梅西安,yà lì shān dà · méi xī ān
elena antoci,埃琳娜·伊格,āi lín nà · yī gé
andrei georgescu,安德烈·乔治斯库,ān dé liè · qiáo zhì sī kù
andrei hergheligiu,安德烈·赫尔盖莱久,ān dé liè · hè ěr gài lái jiǔ
jules perahim,朱尔斯·佩拉欣,zhū ěr sī · pèi lā xīn
vladimir cosma,弗拉迪米尔·科斯马,fú lā dí mǐ ěr · kē sī mǎ
denis alibec,丹尼斯·艾利比,dān ní sī · ài lì bǐ
andrew ilie,安德鲁·伊利耶,ān dé lǔ · yī lì yē
lucien goldmann,卢西安·戈尔德曼,lú xī ān · gē ěr dé màn
leontina văduva,利昂蒂娜·瓦杜娃,lì áng dì nà · wǎ dù wá
jean bart,欧根尼·博斯,ōu gēn ní · bó sī
helmut stürmer,赫尔穆特·斯特默尔,hè ěr mù tè · sī tè mò ěr
mariana simionescu,玛丽安娜·西苗内斯库,mǎ lì ān nà · xī miáo nèi sī kù
aristide razu,阿里斯蒂德·拉祖,ā lǐ sī dì dé · lā zǔ
medeea marinescu,梅迪亚·马里内斯丘,méi dí yà · mǎ lǐ nèi sī qiū
constantin coandă,康斯坦丁·科安德,kāng sī tǎn dīng · kē ān dé
serge moscovici,塞尔日·莫斯科维奇,sāi ěr rì · mò sī kē wéi qí
aurel babeș,奥里尔·巴拜士,ào lǐ ěr · bā bài shì
constantin budeanu,康斯坦丁·布代亚努,kāng sī tǎn dīng · bù dài yà nǔ
mihail majearu,米哈伊尔·马热亚鲁,mǐ hā yī ěr · mǎ rè yà lǔ
laura vasiliu,劳拉·瓦西里,láo lā · wǎ xī lǐ
oana pellea,瓦娜·佩莱亚,wǎ nà · pèi lái yà
constantin bosianu,康斯坦丁·博西亚努,kāng sī tǎn dīng · bó xī yà nǔ
pierre hassner,皮埃尔·阿斯奈,pí āi ěr · ā sī nài
mihnea gheorghiu,米尼亚·乔治乌,mǐ ní yà · qiáo zhì wū
mirabela dauer,米拉贝拉·多尔,mǐ lā bèi lā · duō ěr
radu mihăileanu,拉杜·米哈伊列亚努,lā dù · mǐ hā yī liè yà nǔ
bogdan mitrea,保丹·米特利,bǎo dān · mǐ tè lì
ion păun,扬·珀温,yáng · pò wēn
cornel fugaru,科尔内尔·富加,kē ěr nèi ěr · fù jiā
ion davidov,伊昂·达维多夫,yī áng · dá wéi duō fū
laura cosoi,劳拉·科索伊,láo lā · kē suǒ yī
rudolf wagnerrégeny,鲁道夫·瓦格纳雷吉尼,lǔ dào fū · wǎ gé nà léi jí ní
ionuț rada,约努茨·拉达,yuē nǔ cí · lā dá
corneliu vadim tudor,科尔内留·瓦迪姆·都铎,kē ěr nèi liú · wǎ dí mǔ · dōu duó
ion sturza,扬·斯图尔扎,yáng · sī tú ěr zhā
radu câmpeanu,拉杜·坎佩亚努,lā dù · kǎn pèi yà nǔ
dinu pescariu,迪努·佩斯卡留,dí nǔ · pèi sī kǎ liú
constantin constantinescuclaps,康斯坦丁·康斯坦丁内斯库克拉普斯,kāng sī tǎn dīng · kāng sī tǎn dīng nèi sī kù kè lā pǔ sī
petru gherghel,伯多禄·盖尔格尔,bǎi duō lù · gài ěr gé ěr
constantin popovici,康斯坦丁·波波维奇,kāng sī tǎn dīng · bō bō wéi qí
sorin copilul de aur,索林·科皮卢尔·德·奥尔,suǒ lín · kē pí lú ěr · dé · ào ěr
dan bittman,丹·比特曼,dān · bǐ tè màn
călin georgescu,卡林·乔治斯库,kǎ lín · qiáo zhì sī kù
soare macedonski,苏亚尔·马其顿斯基,sū yà ěr · mǎ qí dùn sī jī
anastasie tănăsescu,阿塔纳谢·特讷塞斯库,ā tǎ nà xiè · tè nè sāi sī kù
florin bratu,弗洛林·布拉图,fú luò lín · bù lā tú
miklós nyiszli,米克洛斯·尼斯利,mǐ kè luò sī · ní sī lì
carmen tănase,卡门·塔纳塞,kǎ mén · tǎ nà sāi
daniela nane,丹妮拉·南恩,dān nī lā · nán ēn
constantin budescu,康斯坦丁·布德斯库,kāng sī tǎn dīng · bù dé sī kù
hariclea darclée,哈利克里娅·达克利,hā lì kè lǐ yà · dá kè lì
teodor meleșcanu,特奥多尔·梅莱什卡努,tè ào duō ěr · méi lái shén kǎ nǔ
dumitru mitu,杜米特鲁·米图,dù mǐ tè lǔ · mǐ tú
tudorel stoica,图多雷尔·斯托伊卡,tú duō léi ěr · sī tuō yī kǎ
radu muntean,拉杜·蒙泰安,lā dù · méng tài ān
adrian minune,阿德里安·米尼内,ā dé lǐ ān · mǐ ní nèi
józsef tamás,若瑟·陶马什,ruò sè · táo mǎ shén
dalma kovács,达尔马·科瓦克斯,dá ěr mǎ · kē wǎ kè sī
răzvan florea,勒兹万·弗洛蕾亚,lè zī wàn · fú luò lěi yà
cornel nemțoc,科尔内尔·内姆措克,kē ěr nèi ěr · nèi mǔ cuò kè
gheorghe tătărăscu,格奥尔基·塔塔内斯库,gé ào ěr jī · tǎ tǎ nèi sī kù
alexandru vaidavoievod,亚历山德鲁·费达沃埃沃德,yà lì shān dé lǔ · fèi dá wò āi wò dé
dida drăgan,迪达·德拉甘,dí dá · dé lā gān
sergiu nicolaescu,塞尔玖·尼古拉耶斯库,sāi ěr jiǔ · ní gǔ lā yē sī kù
alexandru d xenopol,亚历山德鲁·迪米特里耶·克塞诺波尔,yà lì shān dé lǔ · dí mǐ tè lǐ yē · kè sāi nuò bō ěr
constantin ion parhon,康斯坦丁·扬·巴洪,kāng sī tǎn dīng · yáng · bā hóng
marcel iureș,马塞尔·尤勒斯,mǎ sāi ěr · yóu lè sī
corina belcea,柯莉娜·贝尔琪亚,kē lì nà · bèi ěr qí yà
alexandra dinu,亚历桑德拉·迪努,yà lì sāng dé lā · dí nǔ
marcel pavel,马塞尔·帕维尔,mǎ sāi ěr · pà wéi ěr
cristian nemescu,克利斯汀·南梅斯古,kè lì sī tīng · nán méi sī gǔ
constantin vișoianu,康斯坦丁·维绍亚努,kāng sī tǎn dīng · wéi shào yà nǔ
cristian popescu,克里斯蒂安·波佩斯库,kè lǐ sī dì ān · bō pèi sī kù
alexandru zotincă,阿莱克斯·索天卡,ā lái kè sī · suǒ tiān kǎ
daniel minea,丹尼尔·米内亚,dān ní ěr · mǐ nèi yà
nicolae teclu,尼可拉耶·特克卢,ní kě lā yē · tè kè lú
cristian tudor popescu,克里斯蒂安·都铎·波佩斯库,kè lǐ sī dì ān · dōu duó · bō pèi sī kù
sergiu radu,塞尔久·拉杜,sāi ěr jiǔ · lā dù
lucian sănmărtean,卢西恩·桑马特安,lú xī ēn · sāng mǎ tè ān
dragoș bucur,德拉戈什·布库尔,dé lā gē shén · bù kù ěr
corneliu teodorini,柯内流·堤多里尼,kē nèi liú · dī duō lǐ ní
marcel răducanu,马塞尔·拉杜卡努,mǎ sāi ěr · lā dù kǎ nǔ
mario livio,马里奥·利维奥,mǎ lǐ ào · lì wéi ào
bogdan mustață,博格丹·穆斯塔塔,bó gé dān · mù sī tǎ tǎ
zsolt nagy,若尔特·瑙吉,ruò ěr tè · nǎo jí
mihail lascăr,米哈伊尔·拉斯卡,mǐ hā yī ěr · lā sī kǎ
eliezer berkovits,埃利泽·贝尔科维茨,āi lì zé · bèi ěr kē wéi cí
andreea mitu,安德莉雅·米图,ān dé lì yǎ · mǐ tú
dimitrie leonida,迪米特里·莱奥尼达,dí mǐ tè lǐ · lái ào ní dá
max blecher,马克斯·布莱切,mǎ kè sī · bù lái qiè
