françois hollande,프랑수아 올랑드,peurangsua olrangdeu
laura smet,로라 스메트,rora seumeteu
hans bellmer,한스 벨머,hanseu belmeo
henri fayol,앙리 파욜,angri payol
jean galfione,장 갈피온,jang galpion
jean clouet,장 클루에,jang keulrue
louise colet,루이즈 콜레,ruijeu kolre
madeleine robinson,마델라인 로빈슨,madelrain robinseun
alexandre brongniart,알렉상드르 브롱니아르,alregsangdeureu beurongniareu
kevin constant,케뱅 콘스탕,kebaeng konseutang
andré téchiné,앙드레 테시네,angdeure tesine
khatia buniatishvili,카티아 부니아티슈빌리,katia buniatisyubilri
jacques rancière,자크 랑시에르,jakeu rangsiereu
jacques le goff,자크 르 고프,jakeu reu gopeu
jean nouvel,장 누벨,jang nubel
félix houphouëtboigny,펠릭스 우푸에부아니,pelrigseu upuebuani
samantha cristoforetti,사만타 크리스토포레티,samanta keuriseutoporeti
paco rabanne,파코 라반,pako raban
joseph liouville,조제프 리우빌,jojepeu riubil
pierre bayle,피에르 벨,piereu bel
gilad shalit,길라드 샬리트,gilradeu syalriteu
charles richet,샤를 리셰,syareul risye
clotilde courau,클로틸드 쿠로,keulrotildeu kuro
pierre reverdy,피에르 르베르디,piereu reubereudi
charlesmarie widor,샤를마리 비도르,syareulmari bidoreu
modeste m'bami,모데스트 음바미,modeseuteu eumbami
dominique vivant denon,도미니크 비방 드농,dominikeu bibang deunong
dominiquejean larrey,도미니크장 라레,dominikeujang rare
henri de la rochejaquelein,앙리 드 라 로슈자클랭,angri deu ra rosyujakeulraeng
henry de montherlant,앙리 드 몽테를랑,angri deu mongtereulrang
aïssa maïga,아이사 마이가,aisa maiga
camélia jordana,카멜리아 조르다나,kamelria joreudana
rina ketty,리나 케티,rina keti
yodelice,요델리스,yodelriseu
claire voisin,클레르 부아쟁,keulrereu buajaeng
didier six,디디에 시스,didie siseu
dany boon,대니 분,daeni bun
laurent terzieff,로랑 테르지에프,rorang tereujiepeu
mohamed diamé,모아메드 디아메,moamedeu diame
mehdi nafti,메디 나프티,medi napeuti
jean martinon,장 마르티농,jang mareutinong
jeanpaul roussillon,장폴 루시용,jangpol rusiyong
véronique jannot,베로니크 자노,beronikeu jano
cristobal huet,크리스토발 위에,keuriseutobal wie
jules guesde,쥘 게드,jwil gedeu
françoismarie raoult,프랑수아마리 라울,peurangsuamari raul
eugène cavaignac,외젠 카베냐크,oejen kabenyakeu
eugène labiche,외젠 라비슈,oejen rabisyu
jeanbaptiste arban,장바티스트 아르방,jangbatiseuteu areubang
pierrepaul prud'hon,피에르폴 프뤼동,piereupol peurwidong
basile boli,바질 볼리,bajil bolri
françoisxavier ortoli,프랑수아그자비에 오르톨리,peurangsuageujabie oreutolri
alain finkielkraut,알랭 핑켈크로트,alraeng pingkelkeuroteu
maurice duverger,모리스 뒤베르제,moriseu dwibereuje
mimsy farmer,밈시 파머,mimsi pameo
marc isambart brunel,마크 이점바드 브루넬,makeu ijeombadeu beurunel
jules pascin,줄스 파스킨,julseu paseukin
patrice loko,파트리스 로코,pateuriseu roko
françois l'olonnais,프랑수아 롤로네,peurangsua rolrone
richard belzer,리차드 벨저,ricadeu beljeo
félix gouin,펠릭스 구앵,pelrigseu guaeng
maurice bourgèsmaunoury,모리스 부르제모누리,moriseu bureujemonuri
augustin thierry,오귀스탱 티에리,ogwiseutaeng tieri
manu dibango,마뉘 디방고,manwi dibanggo
james tissot,제임스 티소,jeimseu tiso
didier dinart,디디에 디나르,didie dinareu
ingrid chauvin,잉그리드 쇼뱅,inggeurideu syobaeng
joseph guillemot,조제프 기예모,jojepeu giyemo
luc abalo,뤼크 아발로,rwikeu abalro
corinne calvet,코린 칼베,korin kalbe
charles d'orléans,샤를 도를레앙,syareul doreulreang
marianne basler,마리안느 바슬레르,marianneu baseulrereu
pierre lescot,피에르 레스코,piereu reseuko
jason lamychappuis,자송 라미샤퓌,jasong ramisyapwi
ousmane dabo,우스만 다보,useuman dabo
norodom ranariddh,노로돔 라나리드,norodom ranarideu
pierre quinon,피에르 키농,piereu kinong
maurice rouvier,모리스 루비에,moriseu rubie
michel duchaussoy,미셸 뒤쇼수아,misyel dwisyosua
jeanlouis koszul,장루이 코쥘,jangrui kojwil
chimène badi,시멘 바디,simen badi
malia metella,말리아 므텔라,malria meutelra
géraldine pailhas,제랄딘 펠라스,jeraldin pelraseu
sylvain chomet,실뱅 쇼메,silbaeng syome
pascale ogier,파스칼 오지에,paseukal ojie
charlotte perriand,샬로트 페리앙,syalroteu periang
micheline presle,미셸린 프레슬,misyelrin peureseul
jean de matha,마타의 성 요한,matayi seong yohan
bastien vivès,바스티앙 비베스,baseutiang bibeseu
jeanfrançois chalgrin,장 샬그랭,jang syalgeuraeng
louis leterrier,루이 르테리에,rui reuterie
bernard giraudeau,베르나르 지로도,bereunareu jirodo
philippe séguin,필리프 세귄,pilripeu segwin
catherine fleuryvachon,카트린 플뢰리,kateurin peulroeri
jean vanier,장 바니에,jang banie
guymanuel de homemchristo,기마누엘 드 오멩크리스토,gimanuel deu omengkeuriseuto
rené grousset,르네 그루세,reune geuruse
roger vadim,로제 바딤,roje badim
yvan goll,이반 골,iban gol
sébastien foucan,세바스티앵 푸캉,sebaseutiaeng pukang
nicole calfan,니콜 칼팬,nikol kalpaen
florence pernel,플로랑스 페르넬,peulrorangseu pereunel
gaël touya,가엘 투야,gael tuya
lucille younge,루실 영,rusil yeong
alaixys romao,알렉시스 로마오,alregsiseu romao
jacques audiard,자크 오디아르,jakeu odiareu
louis garrel,루이 가렐,rui garel
andré michelin,앙드레 미슐랭,angdeure misyulraeng
john berger,존 버거,jon beogeo
séverine caneele,세브린 카네일러,sebeurin kaneilreo
mélanie doutey,멜라니 두티,melrani duti
hélène rollès,엘렌 롤레스,elren rolreseu
alexandre aja,알렉상드르 아자,alregsangdeureu aja
jules barbier,쥘 바르비에,jwil bareubie
thierry lhermitte,티에리 레미트,tieri remiteu
anne wiazemsky,안 비아젬스키,an biajemseuki
guillaume gille,기욤 질,giyom jil
thomas bangalter,토마 방갈테르,toma banggaltereu
dominique strausskahn,도미니크 스트로스칸,dominikeu seuteuroseukan
vincent clerc,뱅상 클레르,baengsang keulrereu
chantal goya,샹탈 고야,syangtal goya
jennifer decker,제니퍼 덱커,jenipeo degkeo
milan biševac,밀란 비셰바츠,milran bisyebaceu
eugène lourié,외젠 루리에,oejen rurie
andré antoine,앙드레 앙투안,angdeure angtuan
firmine richard,피르민 리샤르,pireumin risyareu
alain chabat,알랭 샤바,alraeng syaba
jacques herbrand,자크 에르브랑,jakeu ereubeurang
françoise giroud,프랑수아즈 지루,peurangsuajeu jiru
auguste dupin,오귀스트 뒤팽,ogwiseuteu dwipaeng
anne vernon,안 베르농,an bereunong
françoise de graffigny,프랑수아즈 드 그라피니,peurangsuajeu deu geurapini
alexandre tansman,알렉산데르 탄스만,alregsandereu tanseuman
anny duperey,아니 뒤프레,ani dwipeure
pierre poujade,피에르 푸자드,piereu pujadeu
yvonne printemps,이본 프랭탕,ibon peuraengtang
michel théato,미셸 테아토,misyel teato
nicolas godin,니콜라스 고댕,nikolraseu godaeng
emmanuel mouret,에마뉘엘 무레,emanwiel mure
roxane mesquida,록산 메스키다,rogsan meseukida
edwige feuillère,에드비주 푀예르,edeubiju poeyereu
amédée courbet,아메데 쿠르베,amede kureube
anémone,아네몬,anemon
jeanclaude carrière,장클로드 카리에르,jangkeulrodeu kariereu
isabelle renauld,이자벨 르노,ijabel reuno
patrick dewaere,파트릭 드베르,pateurig deubereu
antoine barnave,앙투안 바르나브,angtuan bareunabeu
chrétien guillaume de lamoignon de malesherbes,크레티앵 기욤 드 라무아뇽 드 말제르브,keuretiaeng giyom deu ramuanyong deu maljereubeu
jean langlais,장 랑글레,jang ranggeulre
olivier assayas,올리비에 아사야스,olribie asayaseu
jeanlouis tauran,장루이 토랑,jangrui torang
luc besson,뤼크 베송,rwikeu besong
christine lagarde,크리스틴 라가르드,keuriseutin ragareudeu
stanley weber,스탄레 베버,seutanre bebeo
maurice de guérin,모리스 드 게랭,moriseu deu geraeng
antoinelouis barye,앙투안루이 바리,angtuanrui bari
alexandra stewart,알렉산드라 스튜어트,alregsandeura seutyueoteu
charles iv de bourbon,샤를 드 방돔 공작,syareul deu bangdom gongjag
louis de luxembourgsaintpol,루이 드 뤽상부르생폴,rui deu rwigsangbureusaengpol
jean goujon,장 구종,jang gujong
mathieu kassovitz,마티외 카소비츠,matioe kasobiceu
agathe bonitzer,아가트 보니처,agateu boniceo
camille abily,카미유 아빌리,kamiyu abilri
joseph caillaux,조제프 카요,jojepeu kayo
lassana diarra,라사나 디아라,rasana diara
louis saha,루이 사아,rui saa
catherine jourdan,카트린 주르당,kateurin jureudang
jeanpierre aumont,장피에르 오몽,jangpiereu omong
jeanmarc barr,장마르크 바,jangmareukeu ba
pierre balmain,피에르 발망,piereu balmang
paul scarron,폴 스카롱,pol seukarong
roschdy zem,로슈디 젬,rosyudi jem
isild le besco,이실드 르 베스코,isildeu reu beseuko
catherine hessling,카트린 에슬랭,kateurin eseulraeng
sophie guillemin,소피 기유맹,sopi giyumaeng
denise darcel,데니스 다셀,deniseu dasel
anatole deibler,아나톨 데이브레르,anatol deibeurereu
anamaria vartolomei,아나마리아 바르톨로메이,anamaria bareutolromei
henri d'orléans,앙리 도를레앙,angri doreulreang
lucien muller,뤼시앙 뮈예르,rwisiang mwiyereu
jeanfrançois richet,장프랑수아 리셰,jangpeurangsua risye
pierre jolivet,피에르 졸리베,piereu jolribe
aristide bruant,아리스티드 브뤼앙,ariseutideu beurwiang
zoran rendulić,조란 렌둘리치,joran rendulrici
edgar quinet,에드가 키네,edeuga kine
pierrelaurent wantzel,피에르 방첼,piereu bangcel
henri mouhot,앙리 무오,angri muo
jacques tits,자크 티츠,jakeu ticeu
raphaël varane,라파엘 바란,rapael baran
marpessa dawn,마르페사 돈,mareupesa don
laurent malet,로랭 말레,roraeng malre
christophe honoré,크리스토프 오노레,keuriseutopeu onore
cyrille thouvenin,시릴 투베냉,siril tubenaeng
michel de l'hospital,미셸 드 로피탈,misyel deu ropital
lilyan chauvin,릴리안 쇼빈,rilrian syobin
rené guénon,르네 게농,reune genong
bakary sako,바카리 사코,bakari sako
claire chazal,클레르 샤잘,keulrereu syajal
molla wagué,몰라 와귀에,molra wagwie
angelo parisi,앙젤로 파리지,angjelro pariji
corinne touzet,코린 투제,korin tuje
georges mandjeck,조르주 망지크,joreuju mangjikeu
gilles lellouche,질 를루슈,jil reulrusyu
pierre terrail de bayard,피에르 테라유 드 바야르,piereu terayu deu bayareu
youssouf m'changama,유수프 음창가마,yusupeu eumcanggama
arnaud di pasquale,아르노 디 파스쿠알,areuno di paseukual
caroline loeb,캐롤라인느 로엡,kaerolrainneu roeb
françois marty,프랑수아 마르티,peurangsua mareuti
romane bohringer,로만 보랭제,roman boraengje
catherine frot,카트린 프로,kateurin peuro
pierre brice,피에르 브라이스,piereu beuraiseu
georges catroux,조르주 카트루,joreuju kateuru
pascal quignard,파스칼 키냐르,paseukal kinyareu
gabriel yared,가브리엘 야레드,gabeuriel yaredeu
antoine fouquiertinville,푸키에 탱빌,pukie taengbil
george steiner,조지 스타이너,joji seutaineo
rachid taha,라시드 타하,rasideu taha
christian louboutin,크리스찬 루부탱,keuriseucan rubutaeng
claude goudimel,클로드 구디멜,keulrodeu gudimel
gaspard ulliel,가스파르 윌리엘,gaseupareu wilriel
georges rayet,조르주 레이에,joreuju reie
jeandominique cassini,장도미니크 카시니,jangdominikeu kasini
youssouf hadji,유수프 하지,yusupeu haji
augustin de robespierre,오귀스탱 드 로베스피에르,ogwiseutaeng deu robeseupiereu
guillaume gouix,기욤 구익스,giyom guigseu
marcel berger,마르셀 베르제,mareusel bereuje
jean lecanuet,장 르카뉘에,jang reukanwie
tsilla chelton,실라 첼튼,silra celteun
jean fautrier,장 포트리에,jang poteurie
james mark baldwin,제임스 마크 볼드윈,jeimseu makeu boldeuwin
claude miller,클로드 밀러,keulrodeu milreo
igor markevitch,이고르 마르케비치,igoreu mareukebici
théophile delcassé,테오필 델카세,teopil delkase
dalida,달리다,dalrida
maxime gonalons,막심 고날론,magsim gonalron
nicolas gillet,니콜라 지예,nikolra jiye
suzanne flon,쉬잔 플롱,swijan peulrong
charles munch,샤를 뮌슈,syareul mwinsyu
quentin dupieux,미스터 오이조,miseuteo oijo
steve marlet,스테브 말레,seutebeu malre
jacquesnicolas billaudvarenne,자크니콜라 비요바렌,jakeunikolra biyobaren
alain roche,알랭 로슈,alraeng rosyu
musidora,무시도라,musidora
louisjoseph de montcalm,루이조제프 드 몽칼름,ruijojepeu deu mongkalreum
juliette mayniel,쥘리에트 마이니엘,jwilrieteu mainiel
benoît magimel,브누아 마지멜,beunua majimel
anna polina,안나 폴리나,anna polrina
charles frederick worth,찰스 프레데릭 워스,calseu peurederig weoseu
medhi lacen,메드히 라센,medeuhi rasen
amandine henry,아망딘 앙리,amangdin angri
emma daumas,에마 도마,ema doma
denise colomb,드니즈 콜롱,deunijeu kolrong
adrien proust,아드리앵 프루스트,adeuriaeng peuruseuteu
gérard mourou,제라르 무루,jerareu muru
roger caillois,로제 카유아,roje kayua
taloula,탈,tal
rené viviani,르네 비비아니,reune bibiani
barbet schroeder,바르베 슈뢰더,bareube syuroedeo
amanda lear,아만다 레아,amanda rea
christine boisson,크리스틴 보이슨,keuriseutin boiseun
bernard genghini,베르나르 장기니,bereunareu janggini
bernadette chirac,베르나데트 시라크,bereunadeteu sirakeu
amandine bourgeois,아망딘 부르주아,amangdin bureujua
laurent robert,로랑 로베르,rorang robereu
jean hyppolite,장 이폴리트,jang ipolriteu
céline tran,셀린 트랑,selrin teurang
josephnicolas delisle,조제프니콜라 드릴,jojepeunikolra deuril
olivier martinez,올리비에 마르티네즈,olribie mareutinejeu
alain perrin,알랭 페랭,alraeng peraeng
guillaume joli,기욤 졸리,giyom jolri
sarah bouhaddi,사라 부하디,sara buhadi
abbé moigno,아베 무아뉴,abe muanyu
géraldine nakache,제랄딘 나카슈,jeraldin nakasyu
hafsia herzi,하프시아 헤르지,hapeusia hereuji
louis jolliet,루이 졸리에,rui jolrie
youssouf mulumbu,유수프 물룸부,yusupeu mulrumbu
antoine dénériaz,앙투안 데네리아즈,angtuan deneriajeu
kenzō takada,다카다 겐조,dakada genjo
morgane dubled,모르강 뒤블레,moreugang dwibeulre
sofia essaïdi,소피아 에사이디,sopia esaidi
valérie pécresse,발레리 페크레스,balreri pekeureseu
martin provost,마르탱 프로보스트,mareutaeng peuroboseuteu
vincent lindon,뱅상 랭동,baengsang raengdong
lola naymark,롤라 네마르크,rolra nemareukeu
antoine kombouaré,앙투안 콩부아레,angtuan kongbuare
renéjean jacquet,르네장 자케,reunejang jake
vladimir cosma,블라디미르 코스마,beulradimireu koseuma
eva ionesco,에바 이오네스코,eba ioneseuko
amaury leveaux,아모리 르보,amori reubo
alexandre tuffèri,알렉상드르 튀페르,alregsangdeureu twipereu
lizzy mercier descloux,리지 메르시에 데클루,riji mereusie dekeulru
sandrine soubeyrand,상드린 수베랑,sangdeurin suberang
anna maria ferrero,안나 마리아 페레로,anna maria perero
tomi ungerer,토미 웅거러,tomi unggeoreo
marcel domingo,마르셀 도밍고,mareusel dominggo
robert casadesus,로베르 카자드쥐,robereu kajadeujwi
georges lefebvre,조르주 르페브르,joreuju reupebeureu
samuel honrubia,사뮈엘 온루비아,samwiel onrubia
piotr świerczewski,피오트르 시비에르체프스키,pioteureu sibiereucepeuseuki
delphine chanéac,델핀 샤네아크,delpin syaneakeu
sonia bompastor,소니아 봉파스토르,sonia bongpaseutoreu
alexandre de beauharnais,알렉상드르 드 보아르네,alregsangdeureu deu boareune
jeanne cherhal,잔 셰랄,jan syeral
vivienne chandler,비비엔느 챈들러,bibienneu caendeulreo
alfred manessier,알프레드 마네시에,alpeuredeu manesie
alexandre villaplane,알렉상드르 빌라플랑,alregsangdeureu bilrapeulrang
cédric sorhaindo,세드리크 소라인도,sedeurikeu soraindo
marie guillard,마리 길라르,mari gilrareu
carlos salzedo,카를로스 살제도,kareulroseu saljedo
fulbert youlou,퓔베르 율루,pwilbereu yulru
jeanluc ettori,장뤼크 에토리,jangrwikeu etori
