マツモトユキヒロ,松本行弘,matsumotoyukihiro
アシユキ,芦雪,ashiyuki
スヤマ,陶山,suyama
アキラヒサシ,章央,akirahisashi
カマタ,镰田,kamata
ライカ,来夏,raika
タチ,田知,tachi
モトハルカ,本遥,motoharuka
ホススム,保进,hosusumu
トチオ,橡尾,tochio
ニシマサシ,西政,nishimasashi
イサムフミ,勇史,isamufumi
タニヨウコ,谷叶子,taniyouko
ハレケイ,晴景,harekei
ナカツカ,中冢,nakatsuka
タダトウ,唯登,tadatou
シジュ,诗树,shiju
ヒデヤス,秀康,hideyasu
タケンジ,田贤司,takenji
トミナガ,富永,tominaga
マサタカシ,雅隆,masatakashi
ムベ,郁子,mube
コトブキサン,寿产,kotobukisan
インジケン,院命案,injiken
ノミズ,野水,nomizu
コッキ,克己,kokki
スズオキ,铃置,suzuoki
アキラコ,彬子,akirako
マサヒサ,昌久,masahisa
モリヤ,守谷,moriya
タケヒカリ,武光,takehikari
タヨシナル,田芳成,tayoshinaru
ツネタカ,恒孝,tsunetaka
スズタイラ,铃平,suzutaira
マコトモトコ,真基子,makotomotoko
マトノ,真殿,matono
タダツグ,忠次,tadatsugu
イエヒサ,家久,iehisa
クルス,来栖,kurusu
ノブヨシ,信吉,nobuyoshi
リンツカサ,伦司,rintsukasa
シンツカサ,绅司,shintsukasa
ヨシシュウ,芳秀,yoshishuu
ツヨシタ,刚田,tsuyoshita
イオリ,伊织,iori
ミフ,未步,mifu
チョクシマ,直嶋,chokushima
トヨヒサ,豊久,toyohisa
キョウタ,京太,kyouta
キオ,木尾,kio
シメ,士目,shime
マレゼイ,稀势,marezei
ノサトヒロシ,之里宽,nosatohiroshi
タケオット,岳夫,takeotto
トモユキカイ,知幸介,tomoyukikai
ヨロズ,万,yorozu
ナガエ,长江,nagae
ヘビシャク,蛇笏,hebishaku
ウト,宇都,uto
ミヤケンジ,宫健儿,miyakenji
ヒマワリ,向日葵,himawari
ダイヒサシ,代永,daihisashi
ダイトウ,大东,daitou
スゲタ,菅田,sugeta
ヨウスイ,阳水,yousui
キリヤマ,桐山,kiriyama
オオガミ,大神,oogami
ホウガイ,芳崖,hougai
ケンヒサ,宪久,kenhisa
モギ,茂木,mogi
サトタカシ,敏充,satotakashi
ミヤコシ,宫腰,miyakoshi
イバラギ,茨木,ibaragi
カネラ,兼良,kanera
アラシウララ,岚丽,arashiurara
フジリュウ,藤龙,fujiryuu
イヤコレスケ,弥之助,iyakoresuke
カワニシ,川西,kawanishi
モリタカシ,森孝,moritakashi
タケアキラ,武昭,takeakira
アワナカ,淡中,awanaka
キョウダ,京田,kyouda
チキ,知己,chiki
トツカ,户冢,totsuka
サキヤ,崎谷,sakiya
ミエコ,美枝子,mieko
トウリ,桃李,touri
ナガサク,永作,nagasaku
メミ,芽实,memi
コモリ,小森,komori
ビカ,美果,bika
メイオン,明音,meion
ミフネ,御船,mifune
ツツミミユキ,堤幸,tsutsumimiyuki
アヅマ,吾妻,adzuma
モトギ,本木,motogi
オオスギ,大杉,oosugi
バイショウ,倍赏,baishou
ミツコ,美津子,mitsuko
ナマセ,生濑,namase
イノセ,猪濑,inose
タクキチ,卓吉,takukichi
イモウトコ,妹子,imoutoko
タワラヤ,俵屋,tawaraya
ソウイタル,宗达,souitaru
キョクチョク,曲直,kyokuchoku
トキエダ,时枝,tokieda
モトキ,诚记,motoki
タカノナミ,贵乃浪,takanonami
サダヒロ,贞博,sadahiro
カドワキ,门脇,kadowaki
ミナ,美奈,mina
サダミチ,贞通,sadamichi
ゴウココロザシ,豪志,goukokorozashi
タダナガ,忠长,tadanaga
ヤナギバ,柳叶,yanagiba
ダンイ,团伊,dani
スミドウ,角铜,sumidou
タカバヤシ,高林,takabayashi
マルハシ,丸桥,maruhashi
オオナカ,大中,oonaka
シンノウセン,臣能宣,shinnousen
モリヒサ,森久,morihisa
サンジョウ,山上,sanjou
イワヤ,岩屋,iwaya
ムクススム,椋丞,mukususumu
カマガリ,镰苅,kamagari
アラシハヤブサシ,岚隼士,arashihayabusashi
イチノセ,市濑,ichinose
ハタハジメ,秦基,hatahajime
コクブン,国分,kokubun
ミナセ,美奈亩,minase
ヤスツグ,康嗣,yasutsugu
ヨリユキコレ,赖之,yoriyukikore
タカトリ,高取,takatori
エゾ,虾夷,ezo
イイン,伊尹,iin
レイトメヒ,礼留飞,reitomehi
テルコ,照子,teruko
イワキ,岩木,iwaki
ハヤオ,隼雄,hayao
タテイシ,立石,tateishi
アナヤマ,穴山,anayama
シンクン,信君,shinkun
ケンシ,健士,kenshi
ホカヨコ,保佳代子,hokayoko
イケナミ,池波,ikenami
ワタヌキ,绵贯,watanuki
タミスケ,民辅,tamisuke
アキラダイ,晃大,akiradai
エンキン,远近,enkin
キヤ,喜屋,kiya
タケチョウトク,武朝德,takechoutoku
ホソヤ,细谷,hosoya
フジシマ,藤嶋,fujishima
トヨナガ,丰永,toyonaga
ケンアキラ,贤章,kenakira
タカムラ,篁,takamura
カズサ,每早,kazusa
ユヤ,汤屋,yuya
チョクタロウ,直太朗,chokutarou
キヨタキ,清泷,kiyotaki
ハヤシカオル,林芳,hayashikaoru
アヤハ,绫波,ayaha
ウダ,宇田,uda
ハガネノカイ,钢之介,haganenokai
コトブキタロウ,寿太郎,kotobukitarou
トウヤマ,头山,touyama
ヤグチ,矢口,yaguchi
マイヨシ,舞美,maiyoshi
イサゴジュ,沙树,isagoju
ウジ,宇治,uji
ハラフミタダシ,原史规,harafumitadashi
ゼンミヤツコ,善造,zenmiyatsuko
ハチスミノル,莲实,hachisuminoru
シゲヒコ,重彦,shigehiko
トモミチ,知道,tomomichi
スサ,须佐,susa
タイカン,大观,taikan
モリタダシ,森正,moritadashi
チョウヒ,朝比,chouhi
ナマテン,生天,namaten
メヒトミ,目仁美,mehitomi
ミヨコ,美代子,miyoko
フチ,不知,fuchi
ヒマイ,火舞,himai
リョウハナ,凉花,ryouhana
モチダ,持田,mochida
スバル,昴,subaru
クニシ,国士,kunishi
サナエ,早苗,sanae
コンポン,根本,konpon
カサマツ,笠松,kasamatsu
ダイチュウ,大宙,daichuu
ウチジャクチョウ,内寂听,uchijakuchou
ゲンシン,成赖,genshin
ソウセン,宗宣,sousen
クナイ,宫内,kunai
セイモト,正基,seimoto
サヤマ,佐山,sayama
カツアンズ,胜杏,katsuanzu
ナカモリ,中森,nakamori
アキナ,明菜,akina
ツジヒトシ,辻仁,tsujihitoshi
マコトオトコ,真男,makotootoko
トシナオ,利直,toshinao
カワタカカゲ,川隆景,kawatakakage
ヒサヒデ,久秀,hisahide
タチキ,立木,tachiki
フミヒコ,文彦,fumihiko
カイバラ,贝原,kaibara
エキケン,益轩,ekiken
カジロウ,嘉次郎,kajirou
トイイ,樋井,toii
スゴウ,菅生,sugou
アキラセン,照宣,akirasen
ロギ,路木,rogi
クボツカ,洼冢,kubotsuka
ナカマ,仲间,nakama
ユキメグミ,由纪惠,yukimegumi
ナリアキラ,齐彬,nariakira
ハタケン,畑健,hataken
カシイ,香椎,kashii
サシゲヨシ,佐重喜,sashigeyoshi
ナカモト,中本,nakamoto
クニジ,邦治,kuniji
リュウスケ,隆介,ryuusuke
ハラアキラ,原哲,haraakira
カジハラ,梶原,kajihara
サイモン,柴门,saimon
ミヒロ,美广,mihiro
ミーナ,美衣奈,mīna
キノリオ,木则夫,kinorio
タマヤマ,玉山,tamayama
アキモト,秋本,akimoto
ケンカ,兼家,kenka
レンタロウ,连太郎,rentarou
オオクラ,大仓,ookura
ユウジロウ,裕次郎,yuujirou
テルヤ,照屋,teruya
ヒロシトク,宽德,hiroshitoku
ノボルテル,昂辉,noboruteru
ユキヒラ,行平,yukihira
ジャニーキ,强尼,janīki
カツ,克,katsu
カツサダ,胜贞,katsusada
カシワド,柏户,kashiwado
ムベヒトシシンノウ,宜仁亲王,mubehitoshishinnou
ダイシロウ,大志郎,daishirou
シマタダシ,嶋正,shimatadashi
タユキ,田幸,tayuki
リュウキ,龙骑,ryuuki
シンテル,信辉,shinteru
フカミ,深水,fukami
アキラケイ,昌景,akirakei
アオイタスク,奏辅,aoitasuku
タカダイ,高台,takadai
オワタル,雄弥,owataru
アサモト,朝基,asamoto
タダオキ,忠兴,tadaoki
ヨシカゲ,义景,yoshikage
ネタニ,根谷,netani
マトイ,缠,matoi
ホシシン,星新,hoshishin
モリカズ,森和,morikazu
コザイ,古财,kozai
カズテル,和辉,kazuteru
カワトウ,河东,kawatou
ヘキゴトウ,碧梧桐,hekigotou
キシオ,岸尾,kishio
リヘイ,理平,rihei
フカセ,深瀬,fukase
マンヨウ,万叶,manyou
タダヒコ,忠彦,tadahiko
タイラタカシ,平宗,tairatakashi
テラトモヤマ,寺友山,teratomoyama
ウケイ,忧佳,ukei
シュウカンキンサツジンジケン,州监禁杀人事件,shuukankinsatsujinjiken
メグミレイナ,惠令奈,megumireina
アミサイ,亚美菜,amisai
リエキ,利益,rieki
フジハル,藤春,fujiharu
トミノ,富野,tomino
ヨシユウキ,由悠季,yoshiyuuki
チサ,智佐,chisa
タイナカ,田井中,tainaka
アヤサトシ,彩智,ayasatoshi
イタミ,伊丹,itami
キサキイクコ,妃生子,kisakiikuko
タカシゲン,崇源,takashigen
リョウカ,凉香,ryouka
ソラチ,空知,sorachi
エイアキ,英秋,eiaki
ユキヒロ,幸宏,yukihiro
マツヤ,松谷,matsuya
セイタダシ,清直,seitadashi
イワクマ,岩隈,iwakuma
サトシアキ,智秋,satoshiaki
ユウサワ,有泽,yuusawa
トキシュンスイ,斋春水,tokishunsui
チヒロ,治广,chihiro
ハレアキラ,晴明,hareakira
スウノ,数野,suuno
スカ,须贺,suka
ミチエ,美智惠,michie
キケンスケ,木健介,kikensuke
カワケンタ,川健太,kawakenta
アキラサダ,守友,akirasada
ナンオウ,南央,nanou
トチギ,栃木,tochigi
アキラヨシミ,晃嘉,akirayoshimi
タチバナケイ,橘庆,tachibanakei
スズタ,铃田,suzuta
ミヤコ,美夜子,miyako
ナリアキ,齐昭,nariaki
ミナグチ,皆口,minaguchi
セイリツ,成立,seiritsu
モリヤス,森保,moriyasu
テルオサム,辉纪,teruosamu
オオブ,多部,oobu
ミハナコ,未华子,mihanako
タナダ,棚田,tanada
セキヒロシ,关浩,sekihiroshi
ミナミツヨシ,南雄,minamitsuyoshi
テルキ,辉树,teruki
タマモ,玉藻,tamamo
リツコ,律子,ritsuko
ケイト,凯特,keito
タテカベ,立壁,tatekabe
ヨシサダ,义贞,yoshisada
ハヤシユカリ,林由,hayashiyukari
アサヨシ,朝美,asayoshi
シュウギ,宗义,shuugi
テゴシ,手越,tegoshi
マリナ,麻里奈,marina
タヒデイエ,多秀家,tahideie
オカイ,冈井,okai
フクトメ,福留,fukutome
コンヒガシ,今东,konhigashi
カマ,蒲,kama
トミオカ,富冈,tomioka
キヘイ,喜平,kihei
ムラセ,村濑,murase
ウカイ,鹈饲,ukai
アキラハク,晃博,akirahaku
モトナミ,本并,motonami
ソウタケシ,宗武,soutakeshi
トキヒロ,时广,tokihiro
シュウセイ,秋声,shuusei
イワセ,岩濑,iwase
ヒトノリ,仁纪,hitonori
トシン,斗真,toshin
フセ,布施,fuse
イケヒロ,池广,ikehiro
テラエケイ,寺惠琼,teraekei
フクエン,福圆,fukuen
ツウソウ,通总,tsuusou
ナシハナ,梨华,nashihana
ハヤトウト,早贵,hayatouto
ツツミシン,堤真,tsutsumishin
ハヤブサ,隼,hayabusa
イケガミ,池上,ikegami
センスイ,泉水,sensui
テンマ,天马座,tenma
ホリハタ,堀畑,horihata
セイシサイ,正志斋,seishisai
モクベイ,木米,mokubei
オトウトアサリョ,弟麻吕,otoutoasaryo
ハヤシアキラ,林彰,hayashiakira
キリバタケ,桐畑,kiribatake
カズシゲル,和繁,kazushigeru
マサイツキ,雅树,masaitsuki
カンヒトシ,康仁,kanhitoshi
タイネン,泰年,tainen
イヅツ,井筒,idzutsu
ニタ,荷田,nita
ハルミツル,春满,harumitsuru
ホシハラ,星原,hoshihara
ケイジロウ,庆治朗,keijirou
アオイイツキ,苍树,aoiitsuki
ウメ,梅,ume
ダイチョウ,大张,daichou
セイオノレ,正己,seionore
クサカ,日下,kusaka
ブキムヒョウエ,部金兵卫,bukimuhyoue
アタエナオ,与犹,ataenao
キョウチ,兴治,kyouchi
マチダ,町田,machida
コナガ,小长,konaga
シゲルミ,茂巳,shigerumi
ケンワタル,谦弥,kenwataru
ノブタダ,信忠,nobutada
ノブヒデ,信秀,nobuhide
ミヤサコ,宫迫,miyasako
シャクユカリ,释由,shakuyukari
ユウバ,优马,yuuba
シオザワ,盐泽,shiozawa
ノサクラ,野樱,nosakura
ブカズユキ,部和恭,bukazuyuki
アオシマ,青嶋,aoshima
ニシキド,锦户,nishikido
ミワコ,美和子,miwako
ケンケイ,宪敬,kenkei
ハチスナンジ,莲尔,hachisunanji
オクヤマ,奥山,okuyama
ギドウ,义堂,gidou
ガカゴ,驾笼,gakago
マタロウ,真太郎,matarou
ツムロ,积良,tsumuro
ユサ,游佐,yusa
ミチヒロ,道弘,michihiro
タニハラ,谷原,tanihara
ショウスケ,章介,shousuke
ハネオオ,羽多,haneoo
ノワタル,野涉,nowataru
ニシモリ,西森,nishimori
テイジロウ,贞次郎,teijirou
キヨノ,清野,kiyono
キュウゾウ,久藏,kyuuzou
キタツ,北津,kitatsu
トメツバサ,留翼,tometsubasa
ヨコタニ,横谷,yokotani
サギノス,鹭巢,saginosu
タチハラ,立原,tachihara
モトオ,元夫,motoo
ドウモリ,堂森,doumori
ショウリ,胜利,shouri
ウガ,宇贺,uga
カミトモヤ,神友弥,kamitomoya
エン,圆,en
オウバラ,扇原,oubara
カツシ,克志,katsushi
コウロウ,孝朗,kourou
フユカ,冬华,fuyuka
シカタ,志方,shikata
フチザキ,渕崎,fuchizaki
イワシロ,岩代,iwashiro
サワケサオ,泽今朝雄,sawakesao
ヒナツ,日夏,hinatsu
ミナモトタメ,源为,minamototame
ヌマタダシ,沼匡,numatadashi
バンミヤコ,伴都,banmiyako
カミナガ,神永,kaminaga
ツブセアキラ,拓晃,tsubuseakira
トオルタイラ,彻平,toorutaira
ウチハク,内博,uchihaku
ハルバ,春马,haruba
マフチ,真渊,mafuchi
ツマオット,妻夫,tsumaotto
キサトシ,木聪,kisatoshi
モクタロウ,杢太郎,mokutarou
コハシ,小桥,kohashi
タテフトシ,建太,tatefutoshi
ツカアツシ,冢毅,tsukaatsushi
セラ,世良,sera
マツバセ,松桥,matsubase
リキゾウ,力藏,rikizou
キュウジュユウ,久寿雄,kyuujuyuu
ソウオオ,奏多,souoo
ニュウイ,入井,nyuui
ヨコウチ,横内,yokouchi
アキラテン,昭展,akiraten
リュウボシ,龙星,ryuuboshi
ヨウシゲル,洋成,youshigeru
ケンイサム,健勇,kenisamu
ジキシン,字贵信,jikishin
ノリアキ,德明,noriaki
タケハラ,竹原,takehara
キンヤ,欣也,kinya
ヨウカイ,要介,youkai
オクダイ,奥大,okudai
ハラヒロ,原广,harahiro
クニチカ,国周,kunichika
カズノリ,和纪,kazunori
メイリョウ,名良,meiryou
ハシアキラ,桥晃,hashiakira
ムソウ,梦想,musou
ケンノスケ,权之助,kennosuke
ヒデカツ,秀胜,hidekatsu
ムリョウ,无良,muryou
アシホ,足穗,ashiho
ヘキ,碧,heki
ショウノ,庄野,shouno
ヒサシセイ,央生,hisashisei
ウジツナ,氏纲,ujitsuna
ケンゾク,兼续,kenzoku
フジオ,富士雄,fujio
コヤ,小屋,koya
ササノ,笹野,sasano
セキジ,积次,sekiji
キタカヒロ,木崇浩,kitakahiro
ホリタダシ,堀直,horitadashi
コイヅカ,肥冢,koidzuka
ヒロシゴウ,宽豪,hiroshigou
ヘキタダ,碧唯,hekitada
カンザン,观山,kanzan
ヒシダ,菱田,hishida
シュンソウ,春草,shunsou
サクジ,作治,sakuji
フルマエ,古前,furumae
タタカシ,田充,tatakashi
イイトミ,饭富,iitomi
トラアキラ,虎昌,toraakira
ハラタダシ,原正,haratadashi
イワシタ,岩下,iwashita
チュウドオリ,忠通,chuudoori
ホサチタロウ,保祥太郎,hosachitarou
トラジョウ,虎上,torajou
ツゲ,柘植,tsuge
リュウキヨシ,隆圣,ryuukiyoshi
ノリカ,纪香,norika
カネマル,金丸,kanemaru
ウンノボル,运升,unnoboru
マホ,真穗,maho
タカライ,宝井,takarai
キカク,其角,kikaku
オオヒト,大仁,oohito
クニイヤ,邦弥,kuniiya
ガブクニチカ,我部国亲,gabukunichika
バンシン,伴信,banshin
ガブシンオヤ,我部信亲,gabushinoya
ユキタカ,幸隆,yukitaka
ニシウラ,西浦,nishiura
トモヒト,智仁,tomohito
ナルオカ,成冈,naruoka
オオサキ,大崎,oosaki
アイオモネ,相阿,aiomone
シゲムネ,重宗,shigemune
キドウ,绮堂,kidou
チュウイワオ,中岩,chuuiwao
エンツキ,圆月,entsuki
タキチ,太吉,takichi
ユウユウ,有佑,yuuyuu
サダジ,定次,sadaji
ウジョウ,雨情,ujou
カツラオサム,桂治,katsuraosamu
ムネタ,栋田,muneta
ハルアキラ,春章,haruakira
タノウ,田能,tanou
ムラタケダ,村竹田,muratakeda
シラツチ,白土,shiratsuchi
タミオ,民夫,tamio
トキヨリユキ,时赖,tokiyoriyuki
ヤマナ,山名,yamana
ソウゼン,宗全,souzen
ミノワ,箕轮,minowa
ヤマシナ,山阶,yamashina
ヨシマロ,芳麿,yoshimaro
サワキョウツカサ,泽教司,sawakyoutsukasa
スガマタ,菅又,sugamata
トラツナ,昌信,toratsuna
セイヒカリ,正光,seihikari
スエジ,末治,sueji
ヨネヤマ,米山,yoneyama
トクシ,笃志,tokushi
ミサキフトシ,岬太,misakifutoshi
サンナン,山南,sannan
シンカタ,信方,shinkata
キウチ,木内,kiuchi
シロタ,城田,shirota
シゲマツ,重松,shigematsu
ユウシャ,有纱,yuusha
アキラユタカ,昌丰,akirayutaka
セタ,濑田,seta
ヨシイク,芳几,yoshiiku
サツマ,萨摩,satsuma
タイセイ,大政,taisei
セキツカ,关冢,sekitsuka
オオゾラ,大空,oozora
エイタツ,英辰,eitatsu
オトワ,乙羽,otowa
タカメ,田龟,takame
カギソラ,键空,kagisora
トミヤキ,富烧,tomiyaki
イサムガタナ,勇刀,isamugatana
ハヤシオオトリ,林凤,hayashiootori
オカ,冈,oka
ワヨウ,和洋,wayou
カザン,华山,kazan
ハヤシフク,林复,hayashifuku
ハシラタニ,柱谷,hashiratani
セコ,濑古,seko
カシオ,柏尾,kashio
ニシキ,西纪,nishiki
カジヒロシ,梶裕,kajihiroshi
レイカ,丽香,reika
ウエタケシ,上武,uetakeshi
イクハラ,几原,ikuhara
ウジテル,氏照,ujiteru
タニタダシ,谷正,tanitadashi
イクイナ,生稻,ikuina
クボテラ,洼寺,kubotera
シンモン,新门,shinmon
ナシコロモ,梨衣,nashikoromo
カゼマ,风魔,kazema
コタロウ,小太郎,kotarou
クサナギ,草薙,kusanagi
ウシュク,宇宿,ushuku
サクラセ,樱濑,sakurase
サクコ,索子,sakuko
クロボシ,黑星,kuroboshi
コウハク,红白,kouhaku
オタニ,小谷,otani
ハラメグミ,原惠,haramegumi
マスオカ,增冈,masuoka
コウドウ,弘道,koudou
ヨウトウト,洋贵,youtouto
ノビ,野比,nobi
ノビタ,大雄,nobita
シミ,师实,shimi
モトジ,基时,motoji
ミツスケ,满祐,mitsusuke
レンジ,莲司,renji
ヨナ,与那,yona
ジョウジョージ,城乔治,joujōji
ヤナギ,矢薙,yanagi
ツキテイ,月亭,tsukitei
ホウセイ,方正,housei
フルイ,古井,furui
コウサカ,高坂,kousaka
マレタロウ,希太郎,maretarou
サホ,佐保,saho
アキラナシ,明梨,akiranashi
カワヒデアキ,川秀秋,kawahideaki
エラセキ,韦晴,eraseki
ハレヒカリ,光,harehikari
イチハシ,市桥,ichihashi
トキゾウ,时藏,tokizou
タチバナショ,橘诸,tachibanasho
アニ,兄,ani
タダシボウ,匡房,tadashibou
ヒコサカ,彦坂,hikosaka
オダカ,小高,odaka
チョウショ,调所,chousho
マサシュン,雅俊,masashun
アイカ,爱佳,aika
ミヤザト,宫里,miyazato
マモリツナ,守纲,mamoritsuna
サダトキ,贞时,sadatoki
シラサワ,白泽,shirasawa
ヒサノリ,久则,hisanori
タケシカイ,壮介,takeshikai
タヒデキ,田秀树,tahideki
ミナバ,皆叶,minaba
ヒカル,光,hikaru
ナオツウ,尚通,naotsuu
ナオタダシ,尚忠,naotadashi
アツミ,渥美,atsumi
コブシ,拳,kobushi
ヨリミチ,赖通,yorimichi
モトム,求,motomu
テッサイ,铁斋,tessai
タケコシ,竹腰,takekoshi
ジュウマル,重丸,juumaru
エチゴ,越后,echigo
セキ,硕,seki
トモカイ,友介,tomokai
ハラトラ,原虎,haratora
タネ,胤,tane
ヨリユキジュウ,赖重,yoriyukijuu
ツルタロウ,鹤太郎,tsurutarou
イマニシ,今西,imanishi
シゲヤス,重保,shigeyasu
イトイ,糸井,itoi
シゲサト,重里,shigesato
オオタキ,大泷,ootaki
ショウエキ,昌益,shoueki
カワナベ,河锅,kawanabe
キョウサイ,晓斋,kyousai
ナカオカ,中冈,nakaoka
